Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,Goalkeeper
1,Bayern Munich,24,19,4,1,72,20,52,61,2.54,59.7,16.3,43.4,1.81,W W D W W,Harry Kane - 21,Manuel Neuer
2,Leverkusen,24,15,8,1,55,28,27,53,2.21,44.9,24.0,20.9,0.87,W D D W W,Patrik Schick - 16,Lukáš Hrádecký
3,Eint Frankfurt,24,12,6,6,50,37,13,42,1.75,44.7,37.5,7.2,0.3,D D W L L,Omar Marmoush - 15,Kevin Trapp
4,Mainz 05,24,12,5,7,39,25,14,41,1.71,33.8,32.2,1.7,0.07,L D W W W,Jonathan Burkardt - 14,Robin Zentner
5,Freiburg,23,12,3,8,34,36,-2,39,1.7,29.1,28.0,1.1,0.05,L W W W W,"Vincenzo Grifo, Ritsu Doan - 8",Noah Atubolu
6,RB Leipzig,24,10,8,6,39,33,6,38,1.58,32.9,36.0,-3.1,-0.13,D W D D L,Benjamin Šeško - 10,Péter Gulácsi
7,Wolfsburg,24,10,7,7,48,38,10,37,1.54,34.5,37.2,-2.7,-0.11,D D W D W,Mohamed Amoura - 9,Kamil Grabara
8,Gladbach,24,11,4,9,38,35,3,37,1.54,36.9,43.7,-6.8,-0.28,W D W L W,Tim Kleindienst - 14,Moritz Nicolas
9,Stuttgart,24,10,6,8,42,37,5,36,1.5,41.6,34.2,7.4,0.31,L W L D L,"Ermedin Demirović, Nick Woltemade - 8",Alexander Nübel
10,Dortmund,24,10,5,9,45,38,7,35,1.46,39.4,29.7,9.7,0.4,W L L W W,Serhou Guirassy - 14,Gregor Kobel
11,Augsburg,23,8,7,8,27,35,-8,31,1.35,23.3,31.2,-7.9,-0.34,W D D D W,Alexis Claude-Maurice - 9,Nediljko Labrović
12,Werder Bremen,24,8,6,10,36,49,-13,30,1.25,32.3,35.2,-2.8,-0.12,W L L L L,Jens Stage - 7,Michael Zetterer
13,Hoffenheim,24,6,7,11,31,46,-15,25,1.04,30.9,41.5,-10.6,-0.44,L L W D W,Andrej Kramarić - 7,Oliver Baumann
14,Union Berlin,23,6,5,12,20,36,-16,23,1.0,27.2,32.5,-5.3,-0.23,L D W L L,Benedict Hollerbach - 6,Frederik Rønnow
15,St. Pauli,24,6,3,15,18,29,-11,21,0.88,24.1,31.3,-7.2,-0.3,D L L L L,Morgan Guilavogui - 5,Nikola Vasilj
16,Bochum,24,4,5,15,23,47,-24,17,0.71,29.7,47.4,-17.7,-0.74,L D W D L,Myron Boadu - 7,Patrick Drewes
17,Heidenheim,24,4,3,17,27,50,-23,15,0.63,29.4,40.8,-11.4,-0.48,L L L D L,Marvin Pieringer - 5,Kevin Müller
18,Holstein Kiel,23,3,4,16,34,59,-25,13,0.57,26.3,42.1,-15.9,-0.69,D L D L L,"Shuto Machino, Phil Harres - 7",Timon Weiner
