Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,27,25,454,287,219,192,43,219,445,49.2,226,243,53,190,213,667,527,7
Athletic Club,30,26,391,225,159,174,58,199,395,50.4,196,237,42,195,242,633,541,17
Atlético Madrid,24,26,418,252,206,157,55,226,451,50.1,225,253,74,179,185,603,541,15
Barcelona,27,25,343,218,124,157,62,178,328,54.3,150,226,48,178,145,488,414,11
Betis,35,26,466,283,190,200,76,247,460,53.7,213,290,77,213,268,734,629,10
Celta Vigo,30,26,389,243,182,152,55,201,391,51.4,190,248,70,178,205,594,557,17
Espanyol,26,25,440,267,256,151,33,201,402,50,201,274,94,180,215,655,712,15
Getafe,30,25,417,254,188,183,46,206,429,48,223,279,58,221,178,595,682,10
Girona,29,26,402,250,198,149,55,205,385,53.2,180,241,70,171,197,599,488,23
Las Palmas,30,26,428,252,215,173,40,226,443,51,217,300,99,201,217,645,668,23
Leganés,25,25,436,266,214,172,50,192,386,49.7,194,289,110,179,222,658,827,14
Mallorca,27,25,377,236,200,127,50,165,314,52.5,149,249,92,157,239,616,661,11
Osasuna,23,25,395,247,175,162,58,192,395,48.6,203,284,68,216,175,570,588,11
Rayo Vallecano,24,26,445,283,230,161,54,217,451,48.1,234,311,88,223,238,683,660,13
Real Madrid,26,26,392,245,194,137,61,167,317,52.7,150,225,67,158,224,616,409,9
Real Sociedad,28,25,445,291,206,173,66,214,397,53.9,183,293,84,209,194,639,558,13
Sevilla,34,26,426,256,209,157,60,202,369,54.7,167,244,59,185,237,663,585,13
Valencia,32,25,426,271,215,151,60,204,377,54.1,173,246,63,183,207,633,547,14
Valladolid,32,26,414,254,237,140,37,188,388,48.5,200,303,111,192,224,638,634,18
Villarreal,28,25,431,269,213,167,51,212,398,53.3,186,282,81,201,190,621,554,14
