Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,Goalkeeper
1,Atlético Madrid,26,16,8,2,43,16,27,56,2.15,43.0,24.2,18.7,0.72,W D D W W,Julián Álvarez - 10,Jan Oblak
2,Barcelona,25,17,3,5,67,25,42,54,2.16,60.8,28.5,32.4,1.29,W W W W W,Robert Lewandowski - 20,Iñaki Peña
3,Real Madrid,26,16,6,4,55,25,30,54,2.08,50.6,25.9,24.7,0.95,L D D W L,Kylian Mbappé - 17,Thibaut Courtois
4,Athletic Club,26,13,9,4,44,23,21,48,1.85,40.9,24.5,16.4,0.63,D W D W L,Oihan Sancet - 13,Julen Agirrezabala
5,Villarreal,25,12,8,5,48,35,13,44,1.76,43.4,28.2,15.2,0.61,D W W D W,Ayoze Pérez - 11,Diego Conde
6,Betis,26,10,8,8,34,33,1,38,1.46,38.6,33.6,4.9,0.19,D L W W W,Giovani Lo Celso - 7,Rui Silva
7,Rayo Vallecano,26,9,9,8,28,27,1,36,1.38,32.5,30.3,2.2,0.08,W W L L D,Jorge de Frutos - 4,Augusto Batalla
8,Mallorca,25,10,5,10,24,31,-7,35,1.4,28.5,28.3,0.2,0.01,L L D W D,Vedat Muriqi - 6,Dominik Greif
9,Real Sociedad,25,10,4,11,23,23,0,34,1.36,28.9,26.6,2.3,0.09,L L W L W,Takefusa Kubo - 5,Álex Remiro
10,Celta Vigo,26,9,6,11,38,40,-2,33,1.27,36.5,28.5,8.0,0.31,L W D W D,Iago Aspas - 8,Vicente Guaita
11,Sevilla,26,8,9,9,31,36,-5,33,1.27,28.2,35.1,-6.9,-0.27,D L W D D,Dodi Lukebakio - 11,Ørjan Nyland
12,Girona,26,9,5,12,34,39,-5,32,1.23,30.2,34.3,-4.0,-0.16,W L L L D,"Cristhian Stuani, Abel Ruiz... - 4",Paulo Gazzaniga
13,Osasuna,25,7,11,7,29,34,-5,32,1.28,26.6,34.7,-8.1,-0.32,D W D D L,Ante Budimir - 13,Sergio Herrera
14,Getafe,25,7,9,9,21,20,1,30,1.2,23.8,30.4,-6.6,-0.27,W D W W L,Mauro Arambarri - 6,David Soria
15,Espanyol,25,7,6,12,24,36,-12,27,1.08,20.3,39.4,-19.1,-0.76,D W L D W,Javi Puado - 8,Joan García
16,Las Palmas,26,6,6,14,30,44,-14,24,0.92,24.8,47.8,-23.1,-0.89,L L L L D,Sandro Ramírez - 8,Jasper Cillessen
17,Leganés,25,5,9,11,22,38,-16,24,0.96,20.0,41.2,-21.3,-0.85,D L L D L,Juan Cruz - 4,Marko Dmitrović
18,Valencia,25,5,8,12,25,41,-16,23,0.92,26.8,37.0,-10.1,-0.41,L W W D L,Hugo Duro - 7,Giorgi Mamardashvili
19,Alavés,25,5,7,13,28,39,-11,22,0.88,28.1,30.2,-2.1,-0.08,D L L D L,Kiké - 10,Antonio Sivera
20,Valladolid,26,4,4,18,17,60,-43,16,0.62,22.3,46.2,-23.9,-0.92,L L L L D,"Mamadou Sylla, Selim Amallah... - 3",Karl Jakob Hein
