Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top Team Scorer,Goalkeeper
1,Ajax,24,19,3,2,52,18,34,60,2.5,W W W W W,"Davy Klaassen, Kenneth Taylor... - 7",Remko Pasveer
2,PSV Eindhoven,25,17,4,4,75,30,45,55,2.2,D D D L W,"Luuk de Jong, Ricardo Pepi - 11",Walter Benítez
3,Utrecht,24,13,7,4,43,36,7,46,1.92,D D L D W,Paxten Aaronson - 6,Vasilios Barkas
4,Feyenoord,24,12,8,4,48,27,21,44,1.83,L W D W D,Santiago Giménez - 7,Timon Wellenreuther
5,Twente,24,12,7,5,49,31,18,43,1.79,D D W W D,Sem Steijn - 19,Lars Unnerstall
6,AZ Alkmaar,24,13,4,7,40,24,16,43,1.79,L W W W L,Troy Parrott - 12,Rome-Jayden Owusu-Oduro
7,Go Ahead Eag,24,11,5,8,43,38,5,38,1.58,D L W L W,Jakob Breum - 9,Luca Plogmann
8,Fortuna Sittard,25,9,5,11,32,42,-10,32,1.28,D L L W W,Kristoffer Peterson - 7,Mattijs Branderhorst
9,Heerenveen,25,8,6,11,31,45,-14,30,1.2,D D D W L,"Ion Nicolaescu, Jacob Trenskow - 5",Mickey van der Hart
10,Groningen,24,7,7,10,23,33,-10,28,1.17,D L W W D,"Brynjolfur Darri Willumsson, Thom van Bergen... - 3",Etienne Vaessen
11,NAC Breda,25,8,4,13,27,43,-16,28,1.12,D L D L D,Elías Már Ómarsson - 7,Daniel Bielica
12,Heracles Almelo,25,6,9,10,32,46,-14,27,1.08,D W L W L,Luka Kulenović - 8,Fabian de Keijzer
13,NEC Nijmegen,24,7,5,12,34,34,0,26,1.08,D L D L D,Koki Ogawa - 7,Robin Roefs
14,Zwolle,24,6,7,11,29,39,-10,25,1.04,W D L D L,Dylan Vente - 11,Jasper Schendelaar
15,Sparta R'dam,25,5,9,11,24,34,-10,24,0.96,W L L W D,Tobias Lauritsen - 7,Nick Olij
16,Willem II,24,6,6,12,26,38,-12,24,1.0,L L D L L,"Kyan Vaesen, Jesse Bosch... - 4",Thomas Didillon
17,RKC Waalwijk,24,4,5,15,32,49,-17,17,0.71,W W W L L,Oskar Zawada - 9,Jeroen Houwen
18,Almere City,24,3,5,16,15,48,-33,14,0.58,L W D L L,"Kornelius Hansen, Junior Kadile - 2",Nordin Bakker
