Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,29,27.0,500,314,244,205,51,245,489,50.1,244,272,60,212,228,728,591,7
Athletic Club,30,26.0,390,224,158,174,58,198,395,50.1,197,237,42,195,241,631,540,18
Atlético Madrid,24,26.0,418,252,206,157,55,226,451,50.1,225,253,74,179,184,602,540,16
Barcelona,27,27.0,359,229,128,165,66,188,343,54.8,155,230,48,182,152,511,421,11
Betis,35,26.0,465,283,189,200,76,246,459,53.6,213,292,77,215,267,732,625,10
Celta Vigo,30,27.0,406,253,190,158,58,210,418,50.2,208,255,72,183,214,620,590,18
Espanyol,26,26.0,440,267,256,151,33,201,402,50.0,201,274,94,180,215,655,712,15
Getafe,30,26.0,441,268,199,193,49,216,448,48.2,232,289,59,230,188,629,706,10
Girona,29,26.0,402,250,198,149,55,205,385,53.2,180,241,70,171,197,599,488,23
Las Palmas,30,26.0,428,252,215,173,40,226,443,51.0,217,300,99,201,217,645,668,23
Leganés,25,27.0,471,288,231,186,54,213,418,51.0,205,313,116,197,242,713,903,14
Mallorca,27,26.0,394,248,208,135,51,174,328,53.0,154,266,98,168,245,639,714,11
Osasuna,23,27.0,412,255,187,167,58,201,413,48.7,212,291,68,223,182,594,604,13
Rayo Vallecano,24,26.0,445,283,229,162,54,217,453,47.9,236,313,88,225,239,684,660,13
Real Madrid,26,26.0,391,244,194,137,60,169,317,53.3,148,225,67,158,223,614,407,9
Real Sociedad,29,26.0,460,300,217,176,67,222,413,53.8,191,314,97,217,202,662,593,14
Sevilla,34,26.0,426,256,209,157,60,200,366,54.6,166,244,59,185,240,666,583,13
Valencia,32,27.0,461,300,233,162,66,224,406,55.2,182,259,65,194,217,678,588,15
Valladolid,32,27.0,440,268,256,145,39,202,408,49.5,206,318,115,203,232,672,659,19
Villarreal,28,27.0,444,276,219,170,55,220,413,53.3,193,292,82,210,196,640,575,14
