Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,Goalkeeper
1,Barcelona,26,18,3,5,71,25,46,57,2.19,63.6,28.5,35.1,1.35,W W W W W,Robert Lewandowski - 21,Iñaki Peña
2,Atlético Madrid,26,16,8,2,43,16,27,56,2.15,43.0,23.9,19.1,0.73,W D D W W,Julián Álvarez - 10,Jan Oblak
3,Real Madrid,26,16,6,4,55,25,30,54,2.08,50.4,26.1,24.3,0.94,L D D W L,Kylian Mbappé - 17,Thibaut Courtois
4,Athletic Club,26,13,9,4,44,23,21,48,1.85,40.6,24.5,16.1,0.62,D W D W L,Oihan Sancet - 13,Julen Agirrezabala
5,Villarreal,26,12,8,6,48,36,12,44,1.69,45.9,29.2,16.7,0.64,W W D W L,Ayoze Pérez - 11,Diego Conde
6,Betis,26,10,8,8,34,33,1,38,1.46,38.7,33.4,5.3,0.2,D L W W W,Giovani Lo Celso - 7,Rui Silva
7,Rayo Vallecano,26,9,9,8,28,27,1,36,1.38,32.8,30.4,2.4,0.09,W W L L D,Jorge de Frutos - 4,Augusto Batalla
8,Celta Vigo,27,10,6,11,40,41,-1,36,1.33,37.5,29.5,8.0,0.29,W D W D W,Iago Aspas - 8,Vicente Guaita
9,Mallorca,26,10,6,10,25,32,-7,36,1.38,29.6,29.9,-0.3,-0.01,L D W D D,Vedat Muriqi - 6,Dominik Greif
10,Real Sociedad,26,10,4,12,23,27,-4,34,1.31,28.9,29.3,-0.4,-0.02,L W L W L,Takefusa Kubo - 5,Álex Remiro
11,Osasuna,26,7,12,7,32,37,-5,33,1.27,28.1,36.4,-8.3,-0.32,W D D L D,Ante Budimir - 14,Sergio Herrera
12,Sevilla,26,8,9,9,31,36,-5,33,1.27,28.3,35.4,-7.2,-0.28,D L W D D,Dodi Lukebakio - 11,Ørjan Nyland
13,Girona,26,9,5,12,34,39,-5,32,1.23,30.2,34.3,-4.0,-0.16,W L L L D,"Cristhian Stuani, Abel Ruiz... - 4",Paulo Gazzaniga
14,Getafe,26,7,9,10,21,21,0,30,1.15,24.1,31.4,-7.3,-0.28,D W W L L,Mauro Arambarri - 6,David Soria
15,Espanyol,25,7,6,12,24,36,-12,27,1.08,20.3,39.4,-19.1,-0.76,D W L D W,Javi Puado - 8,Joan García
16,Valencia,27,6,9,12,30,45,-15,27,1.0,30.4,39.4,-9.0,-0.33,W D L D W,Hugo Duro - 7,Giorgi Mamardashvili
17,Leganés,27,6,9,12,24,40,-16,27,1.0,22.0,42.5,-20.5,-0.76,L D L W L,Juan Cruz - 4,Marko Dmitrović
18,Alavés,27,6,8,13,30,40,-10,26,0.96,30.7,33.8,-3.1,-0.11,L D L D W,Kiké - 11,Antonio Sivera
19,Las Palmas,26,6,6,14,30,44,-14,24,0.92,24.8,47.8,-23.1,-0.89,L L L L D,Sandro Ramírez - 8,Jasper Cillessen
20,Valladolid,27,4,4,19,18,62,-44,16,0.59,23.2,48.0,-24.8,-0.92,L L L D L,"Mamadou Sylla, Selim Amallah... - 3",Karl Jakob Hein
