Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,Goalkeeper
1,Paris S-G,25,20,5,0,70,24,46,65,2.6,66.9,24.8,42.1,1.68,W W W W W,Ousmane Dembélé - 20,Gianluigi Donnarumma
2,Marseille,25,15,4,6,52,30,22,49,1.96,47.0,33.6,13.4,0.54,W W L W L,Mason Greenwood - 15,Gerónimo Rulli
3,Nice,24,13,7,4,49,28,21,46,1.92,42.8,27.4,15.4,0.64,D W W W W,Evann Guessand - 10,Marcin Bułka
4,Monaco,25,13,5,7,49,32,17,44,1.76,56.8,28.2,28.6,1.14,L W L W D,Mika Biereth - 10,Radosław Majecki
5,Lille,25,12,8,5,40,27,13,44,1.76,42.1,34.5,7.6,0.3,L W W L W,Jonathan David - 14,Lucas Chevalier
6,Lyon,24,11,6,7,44,31,13,39,1.63,40.7,35.2,5.5,0.23,L W W L W,Alexandre Lacazette - 9,Lucas Perri
7,Strasbourg,24,10,7,7,38,32,6,37,1.54,35.8,40.7,-4.9,-0.2,L W W D W,Emanuel Emegha - 11,Đorđe Petrović
8,Lens,25,10,6,9,30,29,1,36,1.44,38.7,33.7,5.0,0.2,L L L L W,M'Bala Nzola - 6,Brice Samba
9,Toulouse,25,9,7,9,32,27,5,34,1.36,36.5,27.1,9.5,0.38,D L W W D,Zakaria Aboukhlal - 7,Guillaume Restes
10,Brest,24,10,3,11,36,40,-4,33,1.38,32.4,41.1,-8.7,-0.36,L W D D L,Ludovic Ajorque - 10,Marco Bizot
11,Rennes,25,9,2,14,35,36,-1,29,1.16,34.6,34.7,-0.1,0.0,W L W W L,Arnaud Kalimuendo - 11,Steve Mandanda
12,Auxerre,24,7,7,10,34,38,-4,28,1.17,30.3,41.8,-11.5,-0.48,L D D W L,Hamed Junior Traorè - 9,Donovan Léon
13,Angers,24,7,6,11,26,38,-12,27,1.13,29.1,38.6,-9.5,-0.4,D L W D L,Himad Abdelli - 6,Yahia Fofana
14,Nantes,24,5,9,10,28,42,-14,24,1.0,30.0,40.1,-10.1,-0.42,W L L W L,Matthis Abline - 7,Alban Lafont
15,Reims,24,5,7,12,26,38,-12,22,0.92,26.4,42.3,-15.9,-0.66,L L L L L,Keito Nakamura - 8,Yehvann Diouf
16,Le Havre,24,6,2,16,23,50,-27,20,0.83,25.8,42.7,-17.0,-0.71,D W L L W,André Ayew - 4,Arthur Desmas
17,Saint-Étienne,24,5,4,15,24,56,-32,19,0.79,25.4,54.8,-29.4,-1.22,L L L D L,Zuriko Davitashvili - 7,Gautier Larsonneur
18,Montpellier,25,4,3,18,21,59,-38,15,0.6,28.7,48.9,-20.2,-0.81,L L L L L,Arnaud Nordin - 4,Benjamin Lecomte
