Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Final Third,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Playmaking,Ball Progression,Final Third Impact,Goal Threat,Final Ball Efficiency
21,Adam Lallana,ENG,MF,Southampton,eng  Premier League,36-305,1988,14,5,361,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14.3,51,0,9,12,5,0.5,3,8,-5,-1.25,0.55,4.2,7.9,-3.8,-0.94,0.63,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,2,0.9,0.5,1.1,4,21,9,3,24,0,2,0,0,0.2,0.2,1.1,6,10,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,9,2.24,8,0,0,0,1,0,2,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,255,4,3,1,0,4,0,0,0,0,0,221,1,3,3,0,0.0,0.75,0.0,0.0,0.0,18.1,0,0.06,-0.2,-0.2,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,8,0,10,6,245,43530,Attacking Midfield,10-05-1988,36,['England'],172,both,01-07-2024,Brighton & Hove Albion,30-06-2025,900000,Thigh problems - Return unknown,7.625,7.5,2.05,0.1,0.85
29,Ademola Lookman,NGA,"FW,MF",Atalanta,it  Serie A,27-142,1997,22,20,1567,17.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71,62.2,74,5,2,41,1,2.27,41,15,26,1.49,0.45,31.7,14.2,17.6,1.01,0.46,4,0,0,24,15,24,77,2,12,0,0,0,48,10,11,47.6,25,12,9,10,6,8,14,57.1,6,15,0,15,2,27,3,1,491,666,73.7,6847,1922,307,350,87.7,129,178,72.5,30,67,44.8,5,5.0,5.6,0.0,44,25,21,7,46,13,18,12,1,8.9,8.1,13.1,94,213,0.75,0.29,1.03,0.69,0.98,0.51,0.29,0.8,0.47,0.75,105,6.03,54,20,16,12,2,1,13,0.75,8,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,595,68,4,2,1,77,7,57,25,18,0,491,3,27,64,28,43.8,3.68,1.61,0.19,0.43,14.3,0,0.13,4.1,3.9,917,1,52,308,572,133,916,75,27,36.0,47,62.7,603,3784,2199,53,50,54,38,700,406040,Attacking Midfield,20-10-1997,27,"['Nigeria', 'England']",174,right,04-08-2022,RB Leipzig,30-06-2026,55000000,0,7.793103448275862,8.045977011494253,3.6954022988505746,1.7241379310344829,0.896551724137931
32,Adrian Beck,GER,"MF,FW",Heidenheim,de  Bundesliga,27-275,1997,23,9,861,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38.3,64,1,14,20,1,0.7,15,19,-4,-0.42,0.81,14.7,15.5,-0.7,-0.08,0.6,0,0,0,7,5,0,23,6,9,0,0,0,77,15,10,60.0,21,9,11,9,1,7,22,31.8,15,24,2,22,6,27,14,0,317,406,78.1,5591,1272,146,181,80.7,128,147,87.1,32,45,71.1,1,0.9,1.4,0.1,12,28,15,4,37,2,3,2,0,2.0,2.0,2.9,13,48,0.21,0.1,0.31,0.21,0.31,0.21,0.09,0.3,0.21,0.3,37,3.88,24,3,7,3,0,0,3,0.31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,366,39,3,0,3,23,11,14,10,3,0,317,1,14,22,6,27.3,2.3,0.63,0.09,0.33,18.6,0,0.09,0.0,0.0,544,20,113,272,168,29,544,33,20,60.6,13,39.4,289,1522,533,8,4,19,17,304,273669,Attacking Midfield,09-06-1997,27,['Germany'],186,right,01-07-2022,SSV Ulm 1846,30-06-2028,2000000,0,6.916666666666668,5.208333333333334,1.9479166666666667,0.625,0.34375
35,Adrien Thomasson,FRA,MF,Lens,fr  Ligue 1,31-091,1993,24,24,1947,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,86.5,81,12,0,0,0,1.38,25,23,2,0.09,0.39,33.0,28.8,4.2,0.19,-0.04,5,0,0,36,34,6,52,16,37,0,1,0,158,14,33,29.8,67,37,29,22,16,41,74,55.4,33,33,3,30,16,83,23,1,971,1204,80.6,15073,3823,511,585,87.4,354,424,83.5,69,107,64.5,3,4.6,3.7,-1.6,38,70,23,5,110,2,5,2,0,3.5,3.5,8.1,18,94,0.09,0.14,0.23,0.09,0.23,0.16,0.21,0.38,0.16,0.38,74,3.42,57,9,0,4,2,2,4,0.18,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,1144,56,27,2,5,52,5,24,8,13,0,971,4,25,28,6,21.4,1.29,0.28,0.07,0.33,15.1,0,0.13,-1.5,-1.5,1485,38,225,783,487,78,1485,45,19,42.2,24,53.3,774,3113,1335,20,6,47,28,994,215977,Attacking Midfield,10-12-1993,31,"['France', 'Croatia']",175,right,12-01-2023,RC Strasbourg Alsace,30-06-2026,5000000,0,6.837962962962962,5.925925925925926,2.388888888888889,0.41666666666666663,0.5231481481481481
41,Aimar Oroz,ESP,MF,Osasuna,es  La Liga,23-104,2001,25,24,1999,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,82.3,82,10,1,28,0,1.32,32,29,3,0.14,1.81,25.8,29.5,-3.7,-0.17,0.78,5,0,0,21,48,5,17,16,13,0,0,0,112,11,19,36.7,23,13,9,9,5,9,31,29.0,22,25,2,23,16,39,5,0,606,739,82.0,9745,2288,315,353,89.2,230,276,83.3,41,58,70.7,1,1.8,2.7,-0.8,26,56,25,0,110,4,5,4,0,3.0,3.0,4.8,48,100,0.18,0.05,0.23,0.18,0.23,0.13,0.08,0.22,0.13,0.22,62,2.79,49,0,3,6,3,1,3,0.14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,703,32,7,7,5,17,5,2,1,1,0,606,4,20,37,11,29.7,1.67,0.5,0.11,0.36,19.2,3,0.08,1.0,1.0,954,7,109,465,403,52,954,64,32,50.0,26,40.6,599,3483,1725,48,8,44,33,678,634131,Attacking Midfield,27-11-2001,23,['Spain'],177,right,01-07-2022,CA Osasuna Promesas,30-06-2029,15000000,0,5.436936936936937,7.117117117117117,1.9639639639639639,0.45045045045045046,0.24774774774774774
53,Alberto Moleiro,ESP,"FW,MF",Las Palmas,es  La Liga,21-162,2003,25,23,1900,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,78.2,79,12,2,38,1,0.84,26,35,-9,-0.43,0.59,21.7,37.4,-15.7,-0.74,0.79,5,0,0,23,25,1,16,12,10,0,0,0,94,5,16,23.8,22,10,9,12,1,17,40,42.5,23,20,0,20,12,34,7,0,580,709,81.8,7993,1777,362,408,88.7,178,211,84.4,20,38,52.6,0,2.5,2.4,-2.5,30,47,21,3,82,4,4,4,0,4.5,4.5,7.0,63,143,0.19,0.0,0.19,0.19,0.19,0.21,0.12,0.33,0.21,0.33,82,3.88,58,0,13,5,5,1,5,0.24,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,693,13,8,9,1,16,3,1,0,0,0,580,3,18,52,19,36.5,2.46,0.9,0.08,0.21,18.9,0,0.09,-0.5,-0.5,976,3,111,459,425,69,976,108,47,43.5,57,52.8,666,4055,2139,57,16,51,34,764,733576,Attacking Midfield,30-09-2003,21,"['Spain', 'Cuba']",171,right,01-07-2021,UD Las Palmas U19,30-06-2026,25000000,0,6.2274881516587675,6.872037914691942,2.18957345971564,0.6161137440758293,0.23222748815165878
56,Alberto Risco,ESP,"MF,FW",Getafe,es  La Liga,19-193,2005,5,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.8,0,0,5,14,6,0.6,2,0,2,2.61,2.65,1.6,0.7,0.9,1.13,1.44,0,0,0,1,2,0,4,0,4,0,0,0,5,1,3,25.0,4,4,2,0,2,1,6,16.7,5,2,0,2,0,4,0,0,25,34,73.5,340,98,15,18,83.3,6,8,75.0,2,4,50.0,0,0.1,0.2,-0.1,4,1,4,3,3,0,0,0,0,0.2,0.2,0.3,3,6,0.0,0.0,0.0,0.0,0.0,0.22,0.19,0.41,0.22,0.41,6,7.71,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0,0,0,0,4,0,0,0,0,0,25,1,1,4,1,25.0,5.22,1.3,0.0,0.0,21.1,0,0.04,-0.2,-0.2,57,0,7,17,34,5,57,6,1,16.7,5,83.3,32,153,79,3,2,5,4,33,1255616,Attacking Midfield,30-08-2005,19,['Spain'],0,0,0,0,30-06-2026,200000,0,9.0,7.5,5.0,0.5,0.37500000000000006
64,Aleksandr Golovin,RUS,"MF,FW",Monaco,fr  Ligue 1,28-285,1996,17,13,1136,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,50.5,82,7,4,17,0,1.59,21,17,4,0.32,-0.73,24.7,15.5,9.3,0.73,-0.83,1,0,0,21,20,1,23,11,24,0,0,0,96,9,12,42.9,37,24,9,19,9,17,37,45.9,20,15,4,11,11,48,6,0,516,668,77.2,8191,3017,278,333,83.5,166,203,81.8,54,91,59.3,0,2.4,3.2,-2.4,24,76,31,3,112,3,3,3,0,2.3,2.3,4.7,38,72,0.24,0.0,0.24,0.24,0.24,0.18,0.19,0.37,0.18,0.37,47,3.72,35,3,4,4,1,0,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,639,24,11,9,4,23,6,7,2,3,0,516,5,13,24,9,37.5,1.9,0.71,0.13,0.33,21.4,0,0.1,0.7,0.7,825,7,102,436,300,31,825,36,22,61.1,11,30.6,498,2916,1494,36,9,27,16,559,263918,Attacking Midfield,30-05-1996,28,['Russia'],178,right,27-07-2018,CSKA Moscow,30-06-2029,30000000,Adductor injury - Return unknown,10.015873015873016,11.904761904761905,2.6984126984126986,0.6031746031746031,0.4444444444444444
111,Alphadjo Cissè,ITA,"FW,MF",Hellas Verona,it  Serie A,18-140,2006,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,2,5,25,0.0,0,0,0,0.0,1.08,0.0,0.2,-0.1,-1.23,-0.64,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,6,8,75.0,90,18,4,6,66.7,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,100.0,20.0,20.0,0.0,0.0,26.5,0,0.02,0.0,0.0,11,0,1,6,4,0,11,0,0,0.0,0,0.0,6,15,3,0,0,0,0,10,964087,Attacking Midfield,22-10-2006,18,"['Italy', 'Guinea']",0,0,01-07-2024,Hellas Verona Primavera,0,1400000,0,20.0,10.0,4.0,0.0,0.0
123,Amine Harit,MAR,MF,Marseille,fr  Ligue 1,27-266,1997,9,8,472,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,21.0,59,0,1,3,3,1.89,17,5,12,2.29,1.78,9.7,5.9,3.8,0.72,0.24,0,1,0,5,12,0,6,3,6,1,0,0,20,1,4,20.0,7,6,0,5,2,1,2,50.0,1,6,0,6,3,10,1,1,188,225,83.6,2667,787,110,118,93.2,67,75,89.3,6,14,42.9,3,1.3,0.9,1.7,16,18,6,0,33,2,5,2,0,0.7,0.7,2.0,12,21,0.38,0.57,0.95,0.38,0.95,0.14,0.25,0.39,0.14,0.39,27,5.15,22,2,1,0,1,1,7,1.33,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,204,17,7,3,1,6,0,5,2,1,0,188,4,6,5,3,60.0,0.95,0.57,0.4,0.67,18.5,0,0.14,1.3,1.3,273,1,25,144,106,14,273,17,8,47.1,7,41.2,191,1004,508,14,3,12,12,223,372711,Attacking Midfield,18-06-1997,27,"['Morocco', 'France']",180,right,01-07-2023,FC Schalke 04,30-06-2027,15000000,0,8.826923076923077,8.653846153846153,2.2115384615384617,0.6538461538461539,1.0
