Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Goal Threat,Chance Conversion,Link-Up Play,Shooting Accuracy,Penalty Box Presence,TIS
13,Abdoulie Ceesay,GAM,FW,St. Pauli,de  Bundesliga,21-065,2004.0,6.0,0.0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.3,0.0,0.0,6.0,9.0,4.0,0.5,1.0,1.0,0.0,0.0,0.45,1.3,1.4,-0.1,-0.15,0.15,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,13.0,53.8,57.0,2.0,6.0,9.0,66.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,11.0,10.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,11.0,30.0,2.0,0.0,0.0,3.0,3.0,17.0,1280281,Centre-Forward,2004-01-05,21,['The Gambia'],185.0,0,2025-01-03,Paide Linnameeskond,0,200000.0,0,0.0,0.0,0.08888888888888889,0.0,0.022222222222222223,7.0
16,Abdón Prats,ESP,"FW,MF",Mallorca,es  La Liga,32-094,1992.0,18.0,1.0,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,10.5,62.0,0.0,17.0,11.0,8.0,1.44,6.0,5.0,1.0,0.35,0.69,5.5,5.2,0.4,0.13,0.16,4.0,0.0,0.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,13.0,19.0,40.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,35.0,51.0,68.6,575.0,124.0,16.0,23.0,69.6,12.0,15.0,80.0,4.0,5.0,80.0,0.0,0.0,0.1,0.0,1.0,3.0,1.0,0.0,5.0,2.0,2.0,1.0,1.0,1.9,1.1,1.2,0.0,7.0,0.71,0.0,0.71,0.35,0.35,0.69,0.0,0.69,0.41,0.41,3.0,1.07,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,11.0,4.0,36.4,3.9,1.42,0.09,0.25,15.1,0.0,0.1,0.1,-0.1,91.0,4.0,13.0,41.0,37.0,19.0,90.0,0.0,0.0,0.0,0.0,0.0,43.0,126.0,27.0,0.0,0.0,10.0,9.0,62.0,177452,Centre-Forward,1992-12-07,32,['Spain'],181.0,left,2017-07-04,Racing Santander,2028-06-30,1500000.0,0,0.05555555555555555,0.0003580246913580247,0.09,5.32,0.2111111111111111,6.677115987460814
17,Abel Ruiz,ESP,FW,Girona,es  La Liga,25-042,2000.0,17.0,14.0,1099.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,65.0,45.2,71.0,1.0,3.0,35.0,3.0,1.29,14.0,15.0,-1.0,-0.08,0.19,13.3,14.8,-1.5,-0.12,-0.04,3.0,0.0,0.0,6.0,10.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,19.0,7.0,18.0,28.0,4.0,1.0,2.0,1.0,1.0,2.0,5.0,40.0,3.0,5.0,2.0,3.0,4.0,8.0,7.0,0.0,191.0,219.0,87.2,2839.0,384.0,117.0,127.0,92.1,61.0,65.0,93.8,12.0,19.0,63.2,0.0,0.4,0.6,-0.4,4.0,12.0,4.0,0.0,18.0,4.0,4.0,3.0,1.0,4.5,3.0,3.3,16.0,57.0,0.33,0.0,0.33,0.25,0.25,0.37,0.03,0.4,0.24,0.27,9.0,0.74,5.0,0.0,0.0,3.0,1.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,191.0,27.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,191.0,1.0,4.0,20.0,7.0,35.0,1.64,0.57,0.15,0.43,13.7,0.0,0.15,-0.5,0.0,323.0,11.0,26.0,150.0,149.0,50.0,321.0,15.0,5.0,33.3,8.0,53.3,188.0,997.0,297.0,6.0,8.0,28.0,17.0,232.0,340376,Centre-Forward,2000-01-28,25,['Spain'],182.0,right,2024-07-01,SC Braga,2029-06-30,7500000.0,0,0.12777777777777777,0.0009259259259259261,0.6844444444444444,2.21,0.5555555555555556,6.2207130730050935
31,Ado Onaiwu,JPN,"MF,FW",Auxerre,fr  Ligue 1,29-123,1995.0,23.0,5.0,628.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.9,69.0,1.0,18.0,16.0,1.0,1.3,11.0,14.0,-3.0,-0.43,-0.49,10.0,13.3,-3.3,-0.48,-0.07,0.0,1.0,0.0,5.0,8.0,1.0,5.0,2.0,5.0,0.0,0.0,0.0,31.0,25.0,21.0,54.3,6.0,5.0,1.0,5.0,0.0,2.0,6.0,33.3,4.0,3.0,0.0,3.0,2.0,8.0,10.0,0.0,171.0,236.0,72.5,2257.0,528.0,98.0,129.0,76.0,50.0,63.0,79.4,7.0,10.0,70.0,0.0,0.4,0.6,-0.4,6.0,17.0,5.0,3.0,19.0,2.0,2.0,2.0,0.0,3.4,3.4,3.8,11.0,59.0,0.29,0.0,0.29,0.29,0.29,0.48,0.06,0.54,0.48,0.54,18.0,2.58,15.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,230.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,171.0,3.0,10.0,19.0,10.0,52.6,2.72,1.43,0.11,0.2,12.8,0.0,0.18,-1.4,-1.4,326.0,7.0,35.0,160.0,138.0,27.0,326.0,16.0,6.0,37.5,9.0,56.3,188.0,950.0,482.0,9.0,3.0,18.0,16.0,246.0,308133,Centre-Forward,1995-11-08,29,['Japan'],180.0,right,2023-08-28,FC Toulouse,2026-06-30,1800000.0,0,0.09777777777777778,0.0006666666666666666,0.7177777777777777,4.15,0.3,6.1818181818181825
45,Akor Adams,NGA,FW,Sevilla,es  La Liga,25-041,2000.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.4,79.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,0.3,-0.2,-2.18,-1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,15.0,12.0,1.0,1.0,100.0,0.0,0.0,65.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,46.2,0.0,0.0,0.12,0.25,13.3,0.0,0.16,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,50.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,607034,Centre-Forward,2000-01-29,25,['Nigeria'],190.0,right,2025-01-27,Montpellier HSC,2029-06-30,9000000.0,Hamstring strain - Return unknown,0.0,0.0,0.011111111111111112,0.0,0.0,6.15686274509804
47,Alassane Pléa,FRA,"MF,FW",Gladbach,de  Bundesliga,32-001,1993.0,22.0,17.0,1318.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,58.6,72.0,3.0,5.0,19.0,1.0,1.27,28.0,22.0,6.0,0.41,0.89,22.5,22.7,-0.2,-0.01,0.66,3.0,0.0,0.0,14.0,24.0,6.0,31.0,2.0,3.0,1.0,0.0,0.0,46.0,11.0,22.0,33.3,6.0,3.0,0.0,2.0,4.0,3.0,7.0,42.9,4.0,7.0,0.0,7.0,2.0,8.0,4.0,1.0,422.0,586.0,72.0,6713.0,2148.0,231.0,280.0,82.5,139.0,186.0,74.7,35.0,55.0,63.6,3.0,2.1,2.2,0.9,17.0,59.0,21.0,5.0,82.0,6.0,9.0,6.0,0.0,4.2,4.2,6.3,39.0,102.0,0.41,0.2,0.61,0.41,0.61,0.29,0.15,0.43,0.29,0.43,49.0,3.35,37.0,2.0,4.0,1.0,4.0,1.0,11.0,0.75,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,553.0,26.0,1.0,14.0,7.0,31.0,5.0,1.0,0.0,0.0,0.0,422.0,7.0,30.0,26.0,7.0,26.9,1.78,0.48,0.23,0.86,14.3,0.0,0.16,1.8,1.8,711.0,2.0,58.0,364.0,296.0,48.0,711.0,35.0,16.0,45.7,17.0,48.6,450.0,2347.0,1332.0,28.0,12.0,28.0,16.0,577.0,167329,Centre-Forward,1993-03-10,31,"['France', 'Mali']",181.0,right,2018-07-13,OGC Nice,2026-06-30,6000000.0,0,0.16,0.0012592592592592594,1.3911111111111112,2.26,0.5333333333333333,5.8991031390134525
61,Alejo Sarco,ARG,FW,Leverkusen,de  Bundesliga,19-039,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000675,Centre-Forward,2006-01-06,19,"['Argentina', 'Italy']",179.0,left,2025-01-02,CA Vélez Sarsfield,2029-06-30,800000.0,"No eligibility - until Jun 30, 2025 - UEFA Champions League",0.0,0.0,0.0,0.0,0.0,5.67840909090909
73,Alessandro Gabrielloni,ITA,"FW,MF",Como,it  Serie A,30-244,1994.0,11.0,0.0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.3,0.0,0.0,11.0,10.0,8.0,0.82,2.0,3.0,-1.0,-0.83,-0.49,3.6,2.8,0.7,0.61,0.59,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,40.0,57.5,358.0,80.0,11.0,17.0,64.7,12.0,13.0,92.3,0.0,2.0,0.0,1.0,0.8,0.2,0.2,4.0,2.0,1.0,0.0,5.0,1.0,2.0,1.0,0.0,0.3,0.3,1.0,4.0,11.0,0.83,0.83,1.65,0.83,1.65,0.21,0.64,0.86,0.21,0.86,6.0,4.95,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,37.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,4.0,3.0,1.0,33.3,2.48,0.83,0.33,1.0,14.6,0.0,0.09,0.7,0.7,48.0,2.0,4.0,20.0,26.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,33.0,275.0,96.0,2.0,1.0,2.0,1.0,33.0,311333,Centre-Forward,1994-07-10,30,['Italy'],178.0,right,2018-01-31,AS Bisceglie 1913,2027-06-30,1000000.0,Team captain,0.017777777777777778,0.00016049382716049382,0.13555555555555554,3.31,0.06666666666666667,5.613785557986871
88,Alexander Isak,SWE,FW,Newcastle Utd,eng  Premier League,25-171,1999.0,25.0,25.0,2052.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,82.0,81.4,82.0,13.0,0.0,0.0,0.0,1.8,43.0,33.0,10.0,0.44,0.63,40.2,28.0,12.2,0.54,0.75,1.0,0.0,0.0,23.0,11.0,18.0,11.0,2.0,5.0,1.0,0.0,0.0,44.0,19.0,39.0,32.8,12.0,5.0,2.0,3.0,7.0,5.0,12.0,41.7,7.0,17.0,2.0,15.0,2.0,14.0,13.0,1.0,388.0,525.0,73.9,5412.0,1254.0,233.0,283.0,82.3,116.0,148.0,78.4,18.0,30.0,60.0,5.0,3.8,3.2,1.2,35.0,30.0,17.0,0.0,61.0,19.0,24.0,17.0,2.0,15.5,13.9,17.7,64.0,163.0,0.83,0.22,1.05,0.75,0.96,0.68,0.17,0.85,0.61,0.78,75.0,3.29,57.0,1.0,8.0,5.0,2.0,2.0,13.0,0.57,10.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,459.0,61.0,0.0,5.0,2.0,11.0,8.0,3.0,0.0,0.0,0.0,388.0,5.0,18.0,67.0,31.0,46.3,2.94,1.36,0.25,0.55,14.6,3.0,0.21,3.5,3.1,788.0,17.0,48.0,297.0,454.0,141.0,786.0,75.0,35.0,46.7,39.0,52.0,475.0,2884.0,1454.0,36.0,36.0,52.0,45.0,553.0,349066,Centre-Forward,1999-09-21,25,"['Sweden', 'Eritrea']",192.0,right,2022-08-26,Real Sociedad,2028-06-30,75000000.0,0,0.5377777777777778,0.004012345679012346,2.0355555555555553,4.3,1.5666666666666667,5.561619718309859
93,Alexander Sørloth,NOR,FW,Atlético Madrid,es  La Liga,29-096,1995.0,24.0,9.0,1002.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,41.2,69.0,2.0,15.0,26.0,2.0,2.17,23.0,7.0,16.0,1.44,0.81,21.5,10.5,11.0,0.99,0.5,3.0,0.0,0.0,18.0,12.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,33.0,73.0,33.0,68.9,5.0,1.0,0.0,3.0,2.0,2.0,3.0,66.7,1.0,4.0,1.0,3.0,1.0,6.0,20.0,0.0,159.0,256.0,62.1,2009.0,404.0,95.0,151.0,62.9,44.0,65.0,67.7,4.0,6.0,66.7,2.0,1.5,0.6,0.5,9.0,11.0,8.0,1.0,22.0,10.0,12.0,9.0,1.0,8.7,7.9,9.3,19.0,51.0,0.9,0.18,1.08,0.81,0.99,0.78,0.13,0.91,0.71,0.84,23.0,2.07,12.0,0.0,4.0,5.0,2.0,0.0,5.0,0.45,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,246.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,159.0,4.0,4.0,42.0,19.0,45.2,3.77,1.71,0.21,0.47,12.6,0.0,0.19,1.3,1.1,410.0,21.0,37.0,194.0,183.0,68.0,409.0,25.0,13.0,52.0,11.0,44.0,204.0,1128.0,502.0,10.0,8.0,43.0,22.0,308.0,238407,Centre-Forward,1995-12-05,29,['Norway'],195.0,left,2024-08-03,Villarreal CF,2028-06-30,25000000.0,0,0.29555555555555557,0.002185185185185185,0.6622222222222223,5.48,0.7555555555555555,5.540322580645162
