Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_passing,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Passing,Ball Carrying,Defensive Work,Chance Creation,Possession Retention,TIS
8,Abdou Harroui,NED,"MF,FW",Hellas Verona,it  Serie A,27-057,1998,10,5,463,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,18.4,65,1,5,27,1,1.2,8,12,-4,-0.78,0.36,6.7,10.7,-4.1,-0.79,-0.25,1,0,0,10,3,0,9,2,6,0,0,0,22,8,7,53.3,9,6,6,3,0,4,4,100.0,0,5,0,5,2,11,5,0,160,202,79.2,2324,580,96,106,90.6,54,69,78.3,6,15,40.0,2,0.4,0.6,1.6,4,16,3,2,21,1,3,1,0,2.2,2.2,2.6,23,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,15,2.92,13,0,2,0,0,0,3,0.58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,197,4,1,1,0,9,3,0,0,0,0,160,1,6,15,4,26.7,2.92,0.78,0.07,0.25,17.7,1,0.15,-1.2,-1.2,283,5,41,144,105,17,283,20,6,30.0,13,65.0,175,1241,631,20,4,12,10,203,416386,Central Midfield,13-01-1998,27,"['Morocco', 'Netherlands']",182,both,09-07-2024,Frosinone Calcio,30-06-2028,2500000,"Cruciate ligament tear - Return expected on Jun 1, 2025",0.4111111111111111,0.36666666666666664,0.4777777777777778,0.20222222222222222,2.066666666666667,10.0
11,Abdoulaye Doucouré,MLI,MF,Everton,eng  Premier League,32-069,1993,24,23,1913,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75.9,83,12,1,8,1,1.21,23,26,-3,-0.14,0.01,21.7,26.4,-4.7,-0.22,-0.3,4,1,1,39,4,8,18,7,20,0,0,0,112,25,31,44.6,34,20,15,14,5,7,23,30.4,16,23,5,18,7,41,16,1,563,701,80.3,8617,1768,296,346,85.5,215,258,83.3,33,45,73.3,1,1.5,0.9,-0.5,23,38,12,0,65,2,3,2,0,3.0,3.0,4.5,32,67,0.09,0.05,0.14,0.09,0.14,0.14,0.07,0.21,0.14,0.21,45,2.12,40,0,2,2,0,1,2,0.09,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,685,12,3,0,1,18,0,0,0,0,0,563,4,21,21,5,23.8,0.99,0.24,0.1,0.4,14.0,0,0.14,-1.0,-1.0,884,26,183,411,303,39,884,30,16,53.3,14,46.7,466,2369,1123,19,3,26,27,569,127187,Central Midfield,01-01-1993,32,"['Mali', 'France']",183,right,08-09-2020,Watford FC,30-06-2025,8000000,0,1.1444444444444444,0.5666666666666667,2.1333333333333333,0.5599999999999999,7.111111111111111,5.270167840879438
34,Adrien Rabiot,FRA,MF,Marseille,fr  Ligue 1,29-342,1995,20,18,1675,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,74.4,90,18,2,28,0,1.8,36,22,14,0.75,-0.5,38.6,23.8,14.8,0.79,1.01,3,0,0,40,21,4,26,17,23,0,1,0,89,25,17,59.5,39,23,14,16,9,19,28,67.9,9,15,1,14,17,56,25,0,952,1107,86.0,13248,2716,555,601,92.3,331,381,86.9,25,44,56.8,1,1.5,1.5,-0.5,16,103,13,2,110,5,6,5,0,4.1,4.1,5.5,59,111,0.27,0.05,0.32,0.27,0.32,0.22,0.08,0.3,0.22,0.3,38,2.04,32,0,1,3,2,0,5,0.27,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,1083,22,14,5,0,26,7,0,0,0,0,952,2,25,30,13,43.3,1.61,0.7,0.17,0.38,14.0,0,0.14,0.9,0.9,1299,24,166,715,431,58,1299,34,16,47.1,17,50.0,748,4252,2080,44,9,27,24,1028,182913,Central Midfield,03-04-1995,29,['France'],191,left,17-09-2024,Without Club,30-06-2026,25000000,0,2.3666666666666667,0.9333333333333333,2.0555555555555554,0.5011111111111112,12.077777777777778,5.054097648737515
49,Albert Grønbaek,DEN,"MF,FW",Southampton,eng  Premier League,23-292,2001,3,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5.4,66,0,1,3,2,1.0,2,3,-1,-0.67,1.11,0.8,4.8,-4.1,-2.71,-1.3,0,0,0,0,1,0,0,0,1,0,0,0,6,2,0,100.0,4,1,1,1,2,3,10,30.0,7,1,1,0,0,4,1,0,13,17,76.5,135,43,9,11,81.8,2,3,66.7,0,0,38.2,0,0.0,0.0,0.0,1,2,0,0,1,0,0,0,0,0.1,0.1,0.1,1,2,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,2,1.33,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,13,0,1,2,0,0.0,1.33,0.0,0.0,0.22,22.4,0,0.06,-0.1,-0.1,35,2,9,13,13,2,35,4,0,0.0,4,100.0,15,62,11,0,1,4,3,18,503866,Central Midfield,23-05-2001,23,['Denmark'],181,right,21-01-2025,Stade Rennais FC,30-06-2025,15000000,0,0.03333333333333333,0.022222222222222223,0.13333333333333333,0.023333333333333334,0.17777777777777778,4.744503768844221
50,Albert Sambi Lokonga,BEL,MF,Sevilla,es  La Liga,25-140,1999,16,12,1138,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,46.8,86,8,4,27,1,1.44,11,15,-4,-0.32,-0.32,13.4,14.5,-1.1,-0.09,0.34,4,0,0,17,15,0,2,7,13,0,0,0,60,24,10,70.6,18,13,9,8,1,8,11,72.7,3,8,1,7,7,25,18,3,653,729,89.6,10763,3190,335,355,94.4,255,279,91.4,49,75,65.3,2,0.5,0.8,1.5,11,65,6,0,69,0,2,0,0,0.4,0.4,0.9,20,15,0.0,0.16,0.16,0.0,0.16,0.03,0.04,0.07,0.03,0.07,22,1.74,21,0,0,1,0,0,2,0.16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,705,23,18,4,10,2,5,0,0,0,0,653,1,0,8,2,25.0,0.63,0.16,0.0,0.0,18.8,0,0.06,-0.4,-0.4,818,33,204,494,122,13,818,7,3,42.9,2,28.6,432,2399,1336,12,1,13,10,589,381967,Central Midfield,22-10-1999,25,"['Belgium', 'DR Congo']",183,right,15-07-2024,Arsenal FC,30-06-2025,12000000,Hamstring injury - Return unknown,1.488888888888889,0.26666666666666666,1.2333333333333334,0.2633333333333333,8.133333333333333,4.613993882455757
57,Aleix García,ESP,MF,Leverkusen,de  Bundesliga,27-256,1997,20,11,999,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,44.4,81,7,9,12,5,2.2,23,20,3,0.27,-1.31,20.9,14.0,7.0,0.63,-0.43,2,0,0,4,6,1,72,6,4,0,0,0,48,3,5,37.5,8,4,2,4,2,4,9,44.4,5,8,1,7,6,14,17,1,880,1002,87.8,15210,4279,461,490,94.1,316,349,90.5,88,129,68.2,3,4.3,3.2,-1.3,26,96,8,3,83,2,5,2,0,0.8,0.8,5.1,17,32,0.18,0.27,0.45,0.18,0.45,0.07,0.39,0.46,0.07,0.46,47,4.24,28,14,0,4,0,1,7,0.63,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,911,90,33,2,24,72,5,52,27,15,0,880,1,12,11,2,18.2,0.99,0.18,0.18,1.0,21.6,2,0.07,1.2,1.2,1078,34,160,592,331,11,1078,4,3,75.0,1,25.0,534,2421,1098,26,1,7,2,843,261504,Central Midfield,28-06-1997,27,['Spain'],173,right,01-07-2024,Girona FC,30-06-2029,20000000,0,1.988888888888889,0.23333333333333334,0.9666666666666667,0.6144444444444445,11.166666666666666,4.363748567398396
68,Alessandro Bianco,ITA,MF,Monza,it  Serie A,22-161,2002,24,19,1788,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,71.0,86,13,5,30,1,0.5,15,40,-25,-1.26,-1.26,16.2,31.1,-14.8,-0.75,-0.47,6,0,0,33,37,3,16,11,22,0,1,0,92,9,18,33.3,37,22,13,16,8,21,30,70.0,9,29,12,17,11,48,37,4,876,1025,85.5,16991,4355,285,327,87.2,470,506,92.9,103,145,71.0,0,0.6,1.0,-0.6,14,91,14,3,93,1,1,1,0,1.1,1.1,1.8,29,17,0.05,0.0,0.05,0.05,0.05,0.06,0.03,0.09,0.06,0.09,26,1.31,24,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,974,48,41,3,5,16,3,0,0,0,0,876,3,18,19,4,21.1,0.96,0.2,0.05,0.25,22.3,0,0.06,-0.1,-0.1,1217,63,337,721,175,13,1217,28,14,50.0,11,39.3,798,4161,1937,28,4,30,17,863,602124,Central Midfield,01-10-2002,22,['Italy'],173,right,30-08-2024,ACF Fiorentina,30-06-2025,5000000,0,2.0444444444444443,0.5222222222222223,2.2888888888888888,0.31888888888888894,11.055555555555555,4.21611589018539
71,Alessandro Deiola,ITA,MF,Cagliari,it  Serie A,29-222,1995,21,12,1048,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,41.6,72,4,9,21,7,0.81,11,15,-4,-0.34,0.33,14.6,18.6,-4.0,-0.34,0.09,4,0,0,23,10,0,13,10,15,0,0,0,47,24,23,51.1,23,15,7,14,2,8,24,33.3,16,14,7,7,10,33,31,0,283,387,73.1,4898,1269,132,162,81.5,120,154,77.9,25,39,64.1,1,0.6,0.6,0.4,3,33,5,0,31,0,1,0,0,0.7,0.7,1.2,7,27,0.0,0.09,0.09,0.0,0.09,0.06,0.05,0.11,0.06,0.11,21,1.8,14,1,0,3,2,1,3,0.26,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,376,9,4,1,5,13,5,0,0,0,0,283,2,17,12,2,16.7,1.03,0.17,0.0,0.0,19.7,0,0.06,-0.7,-0.7,506,36,136,256,118,15,506,3,3,100.0,0,0.0,237,869,366,4,1,11,9,293,235931,Central Midfield,01-08-1995,29,['Italy'],190,right,01-07-2014,Cagliari Primavera,30-06-2025,1600000,0,0.7111111111111111,0.12222222222222222,1.3888888888888888,0.2544444444444445,3.577777777777778,4.183952067754178
82,Alex Král,CZE,MF,Espanyol,es  La Liga,26-296,1998,26,25,2283,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,94.0,90,24,1,34,0,1.04,25,36,-11,-0.43,0.18,20.2,40.4,-20.2,-0.8,-0.72,1,0,0,26,20,0,32,23,30,0,0,0,105,27,25,51.9,47,30,23,22,2,11,22,50.0,11,26,11,15,23,70,37,0,505,705,71.6,8376,2266,251,314,79.9,204,252,81.0,39,86,45.3,1,1.5,1.6,-0.5,12,63,11,4,68,0,1,0,0,1.0,1.0,2.6,42,67,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.1,0.04,0.1,39,1.54,29,1,2,2,3,2,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,674,25,10,6,6,32,2,2,0,2,0,505,6,22,17,2,11.8,0.67,0.08,0.0,0.0,16.1,0,0.06,-1.0,-1.0,970,58,221,548,217,41,970,48,24,50.0,20,41.7,516,3394,1604,27,7,43,25,580,337333,Central Midfield,19-05-1998,26,['Czech Republic'],186,right,07-08-2024,1.FC Union Berlin,30-06-2025,6000000,0,1.4555555555555555,0.8111111111111111,2.6444444444444444,0.4788888888888889,6.711111111111111,3.9698933262805256
86,Alex Scott,ENG,MF,Bournemouth,eng  Premier League,21-202,2003,12,2,380,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,15.1,62,0,10,26,0,1.25,5,5,0,0.0,-0.55,7.3,6.0,1.3,0.31,-0.2,1,0,0,6,16,0,1,8,9,0,0,0,32,4,6,40.0,20,9,9,6,5,14,25,56.0,11,9,1,8,8,28,6,0,164,194,84.5,2712,975,82,91,90.1,69,77,89.6,11,16,68.8,0,0.3,0.4,-0.3,7,31,4,0,42,0,0,0,0,0.3,0.3,0.6,8,17,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,17,4.02,14,0,0,0,1,2,2,0.47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,186,6,4,2,2,1,1,0,0,0,0,164,2,4,5,2,40.0,1.18,0.47,0.0,0.0,19.6,0,0.05,-0.3,-0.3,276,13,56,152,71,8,276,21,5,23.8,10,47.6,154,835,380,3,1,9,5,164,855256,Central Midfield,21-08-2003,21,"['England', 'Guernsey']",178,right,10-08-2023,Bristol City,30-06-2028,20000000,0,0.8111111111111111,0.15555555555555556,0.8333333333333334,0.2,2.3,3.936689435199952
