Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Shot Stopping,Expected Goals Prevented,Cross and Aerial Control,Sweeper Keeper Activity,Passing,TIS
1,Aaron Ramsdale,ENG,GK,Southampton,eng  Premier League,26-301,1998,20,20,1800,20.0,48,2.4,136,88,67.6,2,2,16,2,10.0,4,4,0,0,0.0,90,71.4,90,0,0,0,2,0.4,15,48,-33,-1.65,0.23,18.0,47.3,-29.3,-1.46,0.08,2,0,0,0,3,0,0,2,0,0,0,0,13,4,0,100.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,8,2,554,854,64.9,15389,12006,153,153,100.0,214,224,95.5,181,466,38.8,0,0.0,0.1,0.0,0,26,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,48,4,0,9,0,45.3,0.32,-2.7,-0.13,132,400,33.0,733,90,42.7,35.5,116,75.0,54.1,263,17,6.5,14,0.7,12.4,854,679,170,54,0,3,0,0,0,0,0,0,554,5,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,918,673,907,12,0,0,918,0,0,0,0,0,575,2916,1700,0,0,0,0,525,427568,Goalkeeper,14-05-1998,26,['England'],190,right,30-08-2024,Arsenal FC,30-06-2028,20000000,0,0.9777777777777777,-0.030000000000000027,0.18888888888888888,0.7,6.155555555555556,7.0
39,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987,8,8,720,8.0,10,1.25,25,15,64.0,5,1,2,3,37.5,1,1,0,0,0.0,90,29.6,90,8,0,0,17,2.2,17,10,7,0.87,1.14,12.2,9.1,3.1,0.39,0.18,2,0,0,0,0,0,0,0,0,0,0,0,6,1,1,50.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,210,271,77.5,5491,3758,27,27,100.0,117,120,97.5,65,121,53.7,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,10,1,0,2,0,8.8,0.32,-1.2,-0.15,30,80,37.5,229,34,28.8,31.3,41,34.1,36.0,101,5,5.0,5,0.63,12.7,271,207,63,22,0,0,0,0,0,0,0,0,210,1,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,279,237,278,1,0,0,279,0,0,0,0,0,169,805,522,0,0,0,0,143,71271,Goalkeeper,03-01-1987,38,['Spain'],190,right,08-07-2024,Liverpool FC,30-06-2026,500000,0,0.16666666666666666,-0.013333333333333322,0.05555555555555555,0.63,2.3333333333333335,5.5
42,Aitor Fernández,ESP,GK,Osasuna,es  La Liga,33-312,1991,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,27,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118997,Goalkeeper,03-05-1991,33,['Spain'],182,right,02-07-2022,Levante UD,30-06-2027,1500000,0,0.0,0.0,0.0,0.0,0.0,3.75
48,Alban Lafont,FRA,GK,Nantes,fr  Ligue 1,26-047,1999,12,12,1080,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0,90,48.0,90,12,0,0,3,0.83,14,19,-5,-0.42,0.35,13.1,16.9,-3.8,-0.32,0.18,1,0,0,0,0,0,0,0,1,0,0,0,11,5,0,100.0,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,8,1,256,367,69.8,7058,5292,41,41,100.0,147,147,100.0,68,177,38.4,0,0.0,0.0,0.0,2,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.17,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,19,3,0,2,2,16.8,0.3,-0.2,-0.02,40,143,28.0,309,56,34.0,34.9,57,66.7,51.1,200,16,8.0,6,0.5,10.6,367,278,88,31,0,1,0,0,0,0,0,0,256,1,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,408,334,401,7,0,0,408,0,0,0,0,0,228,1065,545,0,0,0,0,212,357117,Goalkeeper,23-01-1999,26,"['France', 'Burkina Faso']",196,right,01-07-2021,: Ablöse €7.50m,30-06-2027,7000000,0,0.35555555555555557,-0.024444444444444435,0.17777777777777778,0.5,2.8444444444444446,3.75
55,Alberto Paleari,ITA,GK,Torino,it  Serie A,32-194,1992,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,0.0,90,3.6,90,1,0,0,27,0.0,2,3,-1,-1.0,-1.0,0.7,2.0,-1.4,-1.35,-0.92,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,28,32,87.5,826,650,10,10,100.0,6,6,100.0,12,16,75.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,2.2,0.32,-0.8,-0.77,8,12,66.7,26,5,34.6,31.0,6,50.0,42.0,12,0,0.0,5,5.0,27.3,32,23,9,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,37,29,37,0,0,0,37,0,0,0,0,0,23,111,65,0,0,0,0,15,163048,Goalkeeper,29-08-1992,32,['Italy'],193,right,19-07-2024,Benevento Calcio,30-06-2026,500000,0,0.044444444444444446,-0.008888888888888887,0.0,5.0,0.3111111111111111,3.5
65,Alen Sherri,ALB,GK,Cagliari,it  Serie A,27-086,1997,6,6,540,6.0,9,1.5,25,16,64.0,1,2,3,1,16.7,0,0,0,0,0.0,90,21.4,90,6,0,0,22,0.83,7,9,-2,-0.33,0.26,10.6,9.1,1.6,0.27,0.84,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,149,198,75.3,3658,2598,38,38,100.0,73,74,98.6,37,85,43.5,0,0.0,0.0,0.0,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.33,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,0,0,0,0,8.6,0.35,-0.4,-0.07,25,67,37.3,150,20,32.7,30.9,48,37.5,34.4,64,4,6.3,5,0.83,12.5,198,138,60,12,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,212,182,210,3,0,0,212,0,0,0,0,0,124,566,283,0,0,0,0,103,304144,Goalkeeper,15-12-1997,27,['Albania'],197,right,24-07-2024,KF Egnatia,30-06-2027,1000000,0,0.17777777777777778,-0.004444444444444459,0.044444444444444446,0.83,1.6555555555555554,3.375
67,Alessandro Berardi,ITA,GK,Hellas Verona,it  Serie A,34-054,1991,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,20,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127217,Goalkeeper,16-01-1991,34,['Italy'],185,right,14-12-2018,Without Club,30-06-2025,50000,0,0.0,0.0,0.0,0.0,0.0,3.0750798722044728
77,Alessio Furlanetto,ITA,GK,Lazio,it  Serie A,23-032,2002,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,28,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538079,Goalkeeper,07-02-2002,23,['Italy'],191,0,0,0,30-06-2028,50000,0,0.0,0.0,0.0,0.0,0.0,2.96
83,Alex McCarthy,ENG,GK,Southampton,eng  Premier League,35-098,1989,5,5,450,5.0,13,2.6,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,90,17.9,90,5,0,0,23,0.0,3,13,-10,-2.0,-0.35,4.8,10.8,-6.1,-1.21,0.33,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,4,117,156,75.0,2823,1985,41,43,95.3,45,49,91.8,30,61,49.2,0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,13,2,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0.0,6.5,156,126,29,6,0,1,0,0,0,0,0,0,117,1,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,173,141,173,0,0,0,173,0,0,0,0,0,100,452,276,0,0,0,0,88,95976,Goalkeeper,03-12-1989,35,['England'],193,right,01-08-2016,Crystal Palace,30-06-2026,500000,0,0.26666666666666666,-0.004444444444444445,0.08888888888888889,0.0,1.3,2.944444444444444
84,Alex Meret,ITA,GK,Napoli,it  Serie A,27-354,1997,25,25,2195,24.4,22,0.9,68,46,69.1,15,6,4,9,36.0,3,1,1,1,50.0,88,87.1,88,24,0,0,0,2.04,39,22,17,0.7,-0.69,35.0,19.6,15.4,0.63,-0.17,0,0,0,1,3,0,0,0,0,0,1,0,39,4,0,100.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,13,0,692,815,84.9,17348,10523,93,93,100.0,431,441,97.7,168,281,59.8,0,0.0,0.0,0.0,0,2,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,22,1,1,0,1,21.1,0.29,0.1,0.0,56,142,39.4,684,84,15.6,27.5,131,26.7,32.5,273,17,6.2,34,1.39,16.4,815,638,177,46,0,1,0,0,0,0,0,0,692,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,867,679,862,5,0,0,867,0,0,0,0,0,508,2224,1208,0,0,1,0,501,240414,Goalkeeper,22-03-1997,27,['Italy'],190,left,01-07-2019,Udinese Calcio,30-06-2025,12000000,0,0.5111111111111111,-0.009999999999999981,0.18888888888888888,1.39,7.688888888888889,2.9347826086956523
