Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Final Third,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Dribbling,Crosses and Playmaking,Goal Threat,Final Third Impact,Ball Carrying
5,Abde Ezzalzouli,MAR,"FW,MF",Betis,es  La Liga,23-084,2001,24,18,1552,17.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65,63.9,77,2,6,26,1,1.33,19,22,-3,-0.17,-0.69,25.2,22.6,2.7,0.16,-0.28,2,0,0,18,31,3,41,5,21,1,0,0,83,19,29,39.6,31,21,13,15,3,11,20,55.0,9,17,3,14,5,36,11,0,425,606,70.1,5325,1594,293,364,80.5,107,155,69.0,9,29,31.0,1,1.7,1.6,-0.7,21,34,15,2,57,1,2,1,0,7.1,6.3,7.9,99,167,0.06,0.06,0.12,0.06,0.12,0.41,0.1,0.5,0.36,0.46,51,2.96,33,0,8,6,3,1,4,0.23,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,585,19,3,2,3,41,15,1,0,0,0,425,2,24,48,17,35.4,2.78,0.99,0.02,0.06,15.9,1,0.13,-6.1,-5.3,862,8,90,328,472,122,861,89,42,47.2,33,37.1,562,4275,2533,63,45,50,42,637,724520,Left Winger,17-12-2001,23,"['Morocco', 'Spain']",177,right,01-09-2023,FC Barcelona,30-06-2029,15000000,0,10.813953488372093,2.5755813953488373,0.8372093023255813,3.0930232558139537,10.813953488372093
7,Abdenego Nankishi,GER,FW,Werder Bremen,de  Bundesliga,22-248,2002,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,455662,Left Winger,06-07-2002,22,"['Germany', 'Angola']",178,left,01-07-2021,SV Werder Bremen II,30-06-2025,450000,0,0.0,0.0,0.0,0.0,0.0
33,Adrian Benedyczak,POL,"FW,MF",Parma,it  Serie A,24-107,2000,8,2,197,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7.8,45,0,6,18,2,1.25,4,6,-2,-0.91,-0.45,2.1,6.2,-4.1,-1.88,-1.5,0,0,0,3,5,1,1,0,0,0,0,0,3,9,11,45.0,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,8,0,32,49,65.3,521,112,17,26,65.4,9,14,64.3,3,5,60.0,0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0,0.3,0.3,0.3,3,11,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,3,1.36,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,48,1,1,0,1,1,0,0,0,0,0,32,0,1,3,0,0.0,1.37,0.0,0.0,0.0,18.4,0,0.08,-0.3,-0.3,74,7,16,33,25,4,74,1,0,0.0,1,100.0,40,167,80,2,0,5,3,55,454386,Left Winger,24-11-2000,24,['Poland'],191,both,01-07-2021,Pogon Szczecin,30-06-2028,6000000,"Ankle surgery - Return expected on May 31, 2025",1.3636363636363635,0.45454545454545453,0.2727272727272727,1.1363636363636365,1.3636363636363635
60,Alejandro Garnacho,ARG,"FW,MF",Manchester Utd,eng  Premier League,20-253,2004,27,16,1574,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,62.5,81,9,11,26,0,1.15,19,26,-7,-0.4,-0.5,25.1,28.0,-2.9,-0.17,0.06,1,0,0,7,31,6,34,10,13,0,0,0,85,2,18,10.0,20,13,9,4,7,6,20,30.0,14,16,0,16,10,30,10,2,445,562,79.2,6305,822,288,322,89.4,113,139,81.3,24,41,58.5,1,2.6,1.5,-1.6,22,16,15,3,36,3,4,3,0,5.6,5.6,8.2,95,207,0.17,0.06,0.23,0.17,0.23,0.32,0.15,0.47,0.32,0.47,52,2.97,38,1,3,6,4,0,4,0.23,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,546,15,3,1,8,34,11,1,1,0,0,445,1,33,59,22,37.3,3.37,1.26,0.05,0.14,16.5,0,0.1,-2.6,-2.6,805,11,100,261,457,123,805,61,17,27.9,39,63.9,571,4290,2127,47,49,43,36,604,811779,Left Winger,01-07-2004,20,"['Argentina', 'Spain']",180,right,01-07-2022,Manchester United U21,30-06-2028,50000000,0,9.2,2.177142857142857,0.8114285714285714,2.9771428571428573,9.2
80,Alessio Zerbin,ITA,DF,Venezia,it  Serie A,26-008,1999,8,7,626,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,24.8,87,5,1,15,0,0.63,3,8,-5,-0.72,-0.05,5.1,9.9,-4.8,-0.7,-0.06,1,0,0,14,15,0,30,9,17,0,0,0,34,2,4,33.3,32,17,19,8,5,18,28,64.3,10,9,2,7,9,41,11,0,178,267,66.7,2955,1306,90,110,81.8,68,97,70.1,16,36,44.4,0,0.9,0.8,-0.9,11,15,8,4,26,1,1,1,0,1.1,1.1,2.0,26,26,0.14,0.0,0.14,0.14,0.14,0.15,0.13,0.29,0.15,0.29,20,2.88,9,9,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,195,70,13,0,1,30,46,11,4,4,0,178,2,9,9,3,33.3,1.29,0.43,0.11,0.33,15.0,0,0.12,-0.1,-0.1,385,15,88,145,159,23,385,29,9,31.0,18,62.1,180,1044,553,13,12,13,9,174,433584,Left Winger,03-03-1999,25,['Italy'],182,right,18-01-2025,SSC Napoli,30-06-2025,3500000,0,6.714285714285714,4.5285714285714285,0.4571428571428572,2.557142857142857,6.714285714285714
81,Alex Iwobi,NGA,"FW,MF",Fulham,eng  Premier League,28-312,1996,28,27,2296,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,91.1,84,12,1,24,0,1.5,32,32,0,0.0,-1.21,31.7,27.4,4.3,0.17,-0.84,1,0,0,13,15,3,88,9,18,0,0,0,106,4,26,13.3,31,18,12,15,4,12,22,54.5,10,19,1,18,9,40,26,0,882,1174,75.1,15236,4530,448,516,86.8,335,433,77.4,84,147,57.1,4,5.7,5.4,-1.7,49,89,66,12,166,7,11,7,0,3.8,3.8,9.4,110,191,0.27,0.16,0.43,0.27,0.43,0.15,0.22,0.37,0.15,0.37,106,4.16,92,0,7,5,2,0,13,0.51,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,1139,30,6,12,18,88,19,2,0,1,0,882,5,38,52,22,42.3,2.04,0.86,0.13,0.32,18.3,0,0.07,3.2,3.2,1431,29,197,571,686,93,1431,74,38,51.4,33,44.6,1024,6125,3371,86,32,48,33,1126,242631,Left Winger,03-05-1996,28,"['Nigeria', 'England']",183,right,01-09-2023,Everton FC,30-06-2028,25000000,0,7.0588235294117645,3.8862745098039215,0.5725490196078431,3.074509803921569,7.0588235294117645
106,Alieu Fadera,GAM,"FW,DF",Como,it  Serie A,23-128,2001,24,20,1592,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,63.2,77,6,4,15,1,1.04,24,24,0,0.0,0.97,21.0,17.9,3.1,0.18,0.34,2,1,0,38,47,14,39,10,45,0,0,0,92,11,14,44.0,60,45,24,24,12,20,44,45.5,24,17,1,16,10,70,9,0,428,572,74.8,6049,1609,243,274,88.7,137,188,72.9,22,40,55.0,3,3.9,1.9,-0.9,22,13,24,5,35,1,4,1,0,1.6,1.6,5.5,73,157,0.06,0.17,0.23,0.06,0.23,0.09,0.22,0.31,0.09,0.31,50,2.82,35,1,5,3,5,1,7,0.4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,522,49,1,3,3,39,48,0,0,0,0,428,1,27,27,9,33.3,1.53,0.51,0.04,0.11,18.8,0,0.06,-0.6,-0.6,810,16,145,304,381,58,810,65,26,40.0,31,47.7,525,3776,2209,34,31,39,32,516,749552,Left Winger,03-11-2001,23,['The Gambia'],182,right,14-08-2024,KRC Genk,30-06-2028,5000000,0,7.344632768361582,2.5310734463276834,0.23728813559322035,2.463276836158192,7.344632768361582
121,Amine Adli,MAR,"MF,FW",Leverkusen,de  Bundesliga,24-305,2000,11,4,403,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,17.9,69,1,7,18,1,1.91,8,8,0,0.0,-1.22,10.4,4.1,6.3,1.4,0.65,2,0,0,5,9,4,18,0,6,2,0,0,17,13,12,52.0,10,6,2,1,7,3,7,42.9,4,6,0,6,0,10,3,0,158,210,75.2,1922,372,104,122,85.2,38,50,76.0,4,11,36.4,0,0.2,1.2,-0.2,5,3,10,4,13,1,1,1,0,1.5,1.5,1.7,23,67,0.22,0.0,0.22,0.22,0.22,0.34,0.04,0.38,0.34,0.38,18,4.02,8,0,2,4,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,202,7,0,0,1,18,7,0,0,0,0,158,1,11,13,4,30.8,2.9,0.89,0.08,0.25,13.1,0,0.12,-0.5,-0.5,270,3,27,71,175,34,270,16,7,43.8,8,50.0,146,847,485,14,8,12,3,207,532776,Left Winger,10-05-2000,24,"['Morocco', 'France']",174,left,26-08-2021,FC Toulouse,30-06-2028,22000000,0,8.444444444444445,4.311111111111111,0.8888888888888888,4.288888888888889,8.444444444444445
130,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,es  La Liga,23-074,2001,22,9,905,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,37.2,59,0,13,29,2,1.23,10,14,-4,-0.4,-0.34,11.5,10.6,0.9,0.09,0.17,4,0,0,23,9,1,36,9,13,0,1,0,66,7,9,43.8,17,13,5,8,4,4,15,26.7,11,12,0,12,9,26,14,0,277,386,71.8,4668,1063,154,182,84.6,78,113,69.0,37,53,69.8,2,1.2,1.6,0.8,13,19,19,3,38,1,3,1,0,1.4,1.4,2.6,34,115,0.1,0.2,0.3,0.1,0.3,0.14,0.12,0.26,0.14,0.26,30,2.98,24,0,2,3,0,1,3,0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,373,10,1,1,9,36,8,1,0,0,0,277,3,21,19,5,26.3,1.89,0.5,0.05,0.2,14.9,0,0.07,-0.4,-0.4,556,9,81,198,286,51,556,51,19,37.3,31,60.8,353,2263,949,19,16,38,20,393,616369,Left Winger,27-12-2001,23,['Spain'],175,right,01-07-2019,Real Sociedad B,30-06-2030,20000000,0,6.8316831683168315,3.8415841584158414,0.37623762376237624,3.1782178217821784,6.8316831683168315
156,Andu Kelati,GER,"MF,DF",Holstein Kiel,de  Bundesliga,22-210,2002,8,2,288,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12.8,71,0,6,25,7,0.25,9,6,3,0.94,2.18,6.7,5.8,0.8,0.25,1.0,2,1,1,4,5,0,6,3,4,0,0,0,19,0,2,0.0,7,4,2,4,1,2,5,40.0,3,4,1,3,3,10,3,0,95,123,77.2,1834,544,40,49,81.6,41,47,87.2,14,21,66.7,1,0.8,0.3,0.2,4,12,3,2,19,1,2,1,0,0.9,0.9,1.7,3,11,0.31,0.31,0.62,0.31,0.62,0.27,0.26,0.53,0.27,0.53,9,2.81,8,0,0,1,0,0,1,0.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,122,1,0,1,0,6,0,0,0,0,0,95,0,5,6,3,50.0,1.87,0.94,0.17,0.33,13.3,0,0.14,0.1,0.1,159,4,30,90,43,9,159,4,3,75.0,1,25.0,88,310,129,0,0,8,4,106,719694,Left Winger,13-08-2002,22,"['Germany', 'Eritrea']",181,right,01-07-2024,TSG 1899 Hoffenheim II,30-06-2028,800000,0,1.875,2.2187499999999996,0.8749999999999999,1.4375,1.875
