Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Defensive Duties,Offensive Contributions,Final Third Play,Possession Play,Dribbling
19,Achraf Hakimi,MAR,DF,Paris S-G,fr  Ligue 1,26-127,1998.0,20.0,19.0,1646.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,73.2,86.0,16.0,1.0,17.0,2.0,2.7,55.0,14.0,41.0,2.24,1.5,51.4,16.9,34.5,1.89,0.76,4.0,0.0,0.0,17.0,21.0,6.0,66.0,27.0,30.0,0.0,0.0,0.0,113.0,7.0,11.0,38.9,40.0,30.0,16.0,16.0,8.0,24.0,41.0,58.5,17.0,21.0,2.0,19.0,27.0,67.0,13.0,2.0,1518.0,1711.0,88.7,20306.0,5927.0,973.0,1036.0,93.9,439.0,500.0,87.8,44.0,68.0,64.7,6.0,5.9,4.7,0.1,45.0,101.0,29.0,8.0,137.0,4.0,10.0,4.0,0.0,2.6,2.6,8.5,81.0,223.0,0.22,0.33,0.55,0.22,0.55,0.14,0.32,0.46,0.14,0.46,88.0,4.81,79.0,2.0,3.0,0.0,3.0,1.0,10.0,0.55,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711.0,1554.0,155.0,27.0,2.0,5.0,66.0,125.0,3.0,0.0,0.0,0.0,1518.0,2.0,26.0,26.0,11.0,42.3,1.42,0.6,0.15,0.36,18.3,4.0,0.1,1.4,1.4,1907.0,34.0,355.0,776.0,788.0,69.0,1907.0,43.0,22.0,51.2,18.0,41.9,1117.0,4924.0,2972.0,46.0,18.0,32.0,15.0,1453.0,398073,Right-Back,1998-11-04,26,"['Morocco', 'Spain']",181.0,right,2021-07-06,Inter Milan,2029-06-30,60000000.0,0,0.4777777777777778,2.9744444444444444,1.9111111111111112,11.011777777777777,0.24444444444444444
24,Adam Smith,ENG,DF,Bournemouth,eng  Premier League,33-316,1991.0,17.0,12.0,1035.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,41.1,74.0,4.0,5.0,29.0,0.0,1.65,19.0,13.0,6.0,0.52,0.1,23.6,12.7,10.9,0.95,0.8,4.0,0.0,0.0,8.0,9.0,0.0,18.0,11.0,8.0,0.0,0.0,0.0,34.0,8.0,11.0,42.1,16.0,8.0,8.0,4.0,4.0,9.0,19.0,47.4,10.0,9.0,2.0,7.0,11.0,27.0,37.0,1.0,312.0,407.0,76.7,5134.0,1781.0,149.0,171.0,87.1,137.0,171.0,80.1,19.0,50.0,38.0,0.0,0.1,0.1,-0.1,3.0,31.0,3.0,1.0,31.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,12.0,1.04,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,327.0,80.0,4.0,0.0,2.0,18.0,76.0,0.0,0.0,0.0,0.0,312.0,0.0,8.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,10.2,0.0,0.6,-0.6,-0.6,507.0,29.0,173.0,222.0,115.0,3.0,507.0,11.0,4.0,36.4,4.0,36.4,217.0,783.0,370.0,12.0,0.0,10.0,5.0,224.0,61841,Right-Back,1991-04-29,33,['England'],174.0,right,2014-01-28,: Ablöse ?,2026-06-30,1000000.0,"Muscle injury - Return expected on Mar 1, 2025",0.2111111111111111,0.45666666666666667,0.3333333333333333,1.8482222222222222,0.044444444444444446
37,Adrià Altimira,ESP,"DF,FW",Leganés,es  La Liga,23-348,2001.0,15.0,12.0,1082.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,44.5,79.0,6.0,3.0,43.0,11.0,1.0,10.0,20.0,-10.0,-0.83,-0.43,8.3,19.6,-11.2,-0.93,-0.32,3.0,0.0,0.0,21.0,17.0,2.0,10.0,12.0,15.0,0.0,1.0,0.0,52.0,9.0,14.0,39.1,30.0,15.0,20.0,8.0,2.0,15.0,26.0,57.7,11.0,11.0,6.0,5.0,12.0,42.0,41.0,2.0,326.0,410.0,79.5,5253.0,1496.0,179.0,204.0,87.7,118.0,148.0,79.7,25.0,43.0,58.1,0.0,0.0,0.2,0.0,2.0,27.0,5.0,0.0,31.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,14.0,33.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,8.0,0.67,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,337.0,72.0,3.0,1.0,3.0,10.0,69.0,0.0,0.0,0.0,0.0,326.0,1.0,8.0,4.0,1.0,25.0,0.33,0.08,0.0,0.0,24.8,0.0,0.03,-0.1,-0.1,563.0,51.0,189.0,275.0,109.0,2.0,563.0,22.0,8.0,36.4,10.0,45.5,241.0,1205.0,603.0,13.0,1.0,19.0,6.0,281.0,466807,Right-Back,2001-03-28,23,['Spain'],170.0,right,2024-08-21,Villarreal CF,2025-06-30,1800000.0,0,0.35555555555555557,0.5244444444444445,0.2111111111111111,1.7947777777777778,0.08888888888888889
44,Aitor Ruibal,ESP,"FW,DF",Betis,es  La Liga,28-354,1996.0,19.0,7.0,677.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,27.9,70.0,1.0,12.0,16.0,2.0,1.68,7.0,10.0,-3.0,-0.4,-0.66,10.6,10.5,0.0,0.0,-0.35,3.0,0.0,0.0,4.0,9.0,2.0,18.0,9.0,8.0,0.0,0.0,0.0,35.0,4.0,11.0,26.7,12.0,8.0,7.0,2.0,3.0,8.0,15.0,53.3,7.0,9.0,2.0,7.0,9.0,21.0,14.0,0.0,226.0,278.0,81.3,3446.0,1365.0,127.0,134.0,94.8,74.0,91.0,81.3,18.0,31.0,58.1,2.0,1.3,0.8,0.7,13.0,20.0,8.0,4.0,25.0,0.0,2.0,0.0,0.0,0.6,0.6,1.9,15.0,40.0,0.0,0.27,0.27,0.0,0.27,0.08,0.17,0.25,0.08,0.25,24.0,3.18,20.0,2.0,1.0,1.0,0.0,0.0,2.0,0.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,239.0,35.0,4.0,0.0,1.0,18.0,26.0,2.0,1.0,1.0,0.0,226.0,4.0,8.0,9.0,2.0,22.2,1.2,0.27,0.0,0.0,17.9,0.0,0.07,-0.6,-0.6,367.0,17.0,74.0,167.0,131.0,20.0,367.0,15.0,8.0,53.3,7.0,46.7,192.0,978.0,511.0,15.0,4.0,15.0,10.0,228.0,378139,Right-Back,1996-03-22,28,['Spain'],176.0,right,2019-07-01,: Ablöse -,2028-06-30,3500000.0,0,0.17777777777777778,0.5977777777777777,0.5111111111111111,1.8384444444444445,0.08888888888888889
72,Alessandro Florenzi,ITA,"DF,FW",Milan,it  Serie A,34-000,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130365,Right-Back,1991-03-11,33,['Italy'],173.0,right,2022-07-01,AS Roma,2025-06-30,1500000.0,"Cruciate ligament tear - Return expected on Apr 30, 2025",0.0,0.0,0.0,0.0,0.0
76,Alessandro Zanoli,ITA,"FW,DF",Genoa,it  Serie A,24-159,2000.0,23.0,15.0,1340.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,53.2,75.0,3.0,8.0,27.0,2.0,1.09,15.0,17.0,-2.0,-0.13,0.48,12.2,18.8,-6.6,-0.44,-0.5,3.0,0.0,0.0,15.0,12.0,1.0,53.0,9.0,17.0,0.0,0.0,0.0,45.0,16.0,10.0,61.5,25.0,17.0,11.0,12.0,2.0,9.0,18.0,50.0,9.0,14.0,2.0,12.0,9.0,34.0,38.0,0.0,268.0,401.0,66.8,4467.0,1397.0,130.0,159.0,81.8,111.0,156.0,71.2,18.0,47.0,38.3,0.0,1.3,0.9,-1.3,16.0,9.0,19.0,12.0,24.0,0.0,0.0,0.0,0.0,0.3,0.3,1.6,57.0,73.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,27.0,1.81,21.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,361.0,40.0,0.0,1.0,1.0,53.0,40.0,0.0,0.0,0.0,0.0,268.0,0.0,18.0,8.0,1.0,12.5,0.54,0.07,0.0,0.0,20.7,0.0,0.03,-0.3,-0.3,569.0,27.0,147.0,225.0,204.0,32.0,569.0,42.0,15.0,35.7,25.0,59.5,276.0,2671.0,1461.0,38.0,19.0,27.0,7.0,343.0,397225,Right-Back,2000-10-03,24,['Italy'],188.0,right,2024-07-11,SSC Napoli,2025-06-30,6000000.0,0,0.2222222222222222,1.0877777777777777,1.1,2.7630000000000003,0.16666666666666666
109,Allan Nyom,CMR,"DF,MF",Getafe,es  La Liga,36-305,1988.0,12.0,8.0,640.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,26.3,72.0,3.0,4.0,17.0,1.0,1.08,5.0,6.0,-1.0,-0.14,-0.24,4.6,8.4,-3.8,-0.53,-0.37,4.0,0.0,0.0,17.0,6.0,0.0,14.0,2.0,7.0,0.0,1.0,0.0,22.0,5.0,12.0,29.4,12.0,7.0,5.0,6.0,1.0,9.0,11.0,81.8,2.0,2.0,1.0,1.0,2.0,14.0,14.0,0.0,207.0,260.0,79.6,3320.0,1216.0,105.0,115.0,91.3,85.0,100.0,85.0,13.0,38.0,34.2,1.0,0.3,0.3,0.7,4.0,17.0,5.0,4.0,19.0,1.0,2.0,1.0,0.0,0.5,0.5,0.7,4.0,17.0,0.14,0.14,0.28,0.14,0.28,0.07,0.04,0.1,0.07,0.1,10.0,1.41,6.0,0.0,0.0,1.0,2.0,1.0,2.0,0.28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,206.0,54.0,5.0,0.0,0.0,14.0,49.0,0.0,0.0,0.0,0.0,207.0,0.0,1.0,8.0,4.0,50.0,1.13,0.56,0.13,0.25,16.2,0.0,0.06,0.5,0.5,327.0,12.0,69.0,171.0,89.0,13.0,327.0,8.0,3.0,37.5,5.0,62.5,153.0,611.0,310.0,9.0,0.0,15.0,3.0,178.0,111508,Right-Back,1988-05-10,36,"['Cameroon', 'France']",189.0,right,2024-10-08,Without Club,2025-06-30,400000.0,0,0.07777777777777778,0.30333333333333334,0.26666666666666666,1.3577777777777778,0.03333333333333333
132,Andoni Gorosabel,ESP,DF,Athletic Club,es  La Liga,28-219,1996.0,13.0,11.0,917.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,37.7,81.0,4.0,2.0,13.0,14.0,1.69,11.0,10.0,1.0,0.1,-1.09,11.7,11.0,0.7,0.07,-0.85,3.0,0.0,0.0,15.0,3.0,1.0,25.0,10.0,13.0,0.0,0.0,0.0,39.0,10.0,16.0,38.5,28.0,13.0,17.0,7.0,4.0,15.0,26.0,57.7,11.0,13.0,1.0,12.0,10.0,38.0,30.0,0.0,497.0,581.0,85.5,7470.0,2191.0,287.0,303.0,94.7,187.0,222.0,84.2,17.0,34.0,50.0,2.0,1.5,1.3,0.5,10.0,45.0,10.0,7.0,36.0,0.0,2.0,0.0,0.0,0.3,0.3,1.9,13.0,34.0,0.0,0.2,0.2,0.0,0.2,0.03,0.15,0.18,0.03,0.18,23.0,2.26,22.0,1.0,0.0,0.0,0.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,472.0,108.0,7.0,0.0,0.0,25.0,101.0,0.0,0.0,0.0,0.0,497.0,1.0,10.0,2.0,1.0,50.0,0.2,0.1,0.0,0.0,22.2,0.0,0.17,-0.3,-0.3,694.0,25.0,157.0,374.0,168.0,8.0,694.0,6.0,3.0,50.0,3.0,50.0,287.0,1082.0,484.0,11.0,2.0,11.0,10.0,384.0,289255,Right-Back,1996-08-04,28,['Spain'],174.0,right,2024-07-01,Deportivo Alavés,2028-06-30,5000000.0,0,0.3,0.6699999999999999,0.5555555555555556,2.6966666666666663,0.03333333333333333
155,Andrés García,ESP,"DF,MF",Aston Villa,eng  Premier League,22-032,2003.0,5.0,4.0,267.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,10.2,62.0,1.0,1.0,21.0,2.0,1.0,4.0,5.0,-1.0,-0.34,-0.22,3.5,6.1,-2.6,-0.86,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,7.0,5.0,5.0,2.0,0.0,3.0,6.0,50.0,3.0,2.0,0.0,2.0,0.0,7.0,8.0,2.0,138.0,162.0,85.2,2073.0,443.0,76.0,82.0,92.7,53.0,60.0,88.3,5.0,10.0,50.0,0.0,0.1,0.3,-0.1,2.0,7.0,6.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,2.0,0.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,141.0,21.0,0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0,138.0,0.0,5.0,2.0,0.0,0.0,0.67,0.0,0.0,0.0,26.6,0.0,0.02,0.0,0.0,208.0,6.0,30.0,86.0,93.0,2.0,208.0,16.0,5.0,31.3,10.0,62.5,124.0,982.0,538.0,12.0,2.0,8.0,6.0,133.0,1063329,Right-Back,2003-02-07,22,['Spain'],185.0,right,2025-01-21,Levante UD,0,1200000.0,"No eligibility - until Jun 30, 2025 - UEFA Champions League - 2 matchdays",0.05555555555555555,0.4033333333333333,0.2222222222222222,1.2636666666666667,0.05555555555555555
159,Andy Pelmard,FRA,DF,Lecce,it  Serie A,24-364,2000.0,3.0,1.0,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.1,90.0,1.0,2.0,20.0,13.0,0.33,0.0,4.0,-4.0,-2.79,-1.96,0.8,3.9,-3.1,-2.15,-1.55,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,6.0,6.0,5.0,1.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,0.0,6.0,5.0,0.0,27.0,34.0,79.4,525.0,145.0,12.0,12.0,100.0,11.0,14.0,78.6,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,9.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,0.01,0.0,0.0,48.0,5.0,23.0,20.0,7.0,0.0,48.0,1.0,1.0,100.0,0.0,0.0,19.0,72.0,24.0,1.0,0.0,0.0,0.0,19.0,494236,Right-Back,2000-03-12,24,"['France', 'Guadeloupe']",180.0,right,2025-01-20,Clermont Foot 63,2025-06-30,2500000.0,0,0.05555555555555555,0.022222222222222223,0.011111111111111112,0.1361111111111111,0.011111111111111112
