name,Squad,position,TIS
Alfonso Pedraza,Villarreal,Left-Back,100.0
Kieran Tierney,Arsenal,Left-Back,52.153308823529414
Ryan Sessegnon,Fulham,Left-Back,50.59878516624041
Mahamadou Nagida,Rennes,Left-Back,43.82175102599179
Ulisses Garcia,Marseille,Left-Back,42.86274509803921
Raphaël Guerreiro,Bayern Munich,Left-Back,39.99170800850461
Juan Bernat,Villarreal,Left-Back,39.785654827968926
Alphonso Davies,Bayern Munich,Left-Back,37.991596638655466
Nuno Mendes,Paris S-G,Left-Back,37.286764705882355
Quentin Merlin,Marseille,Left-Back,37.23492829967808
Federico Dimarco,Inter,Left-Back,37.22311950390638
Nathaniel Brown,Eint Frankfurt,Left-Back,37.009828370250844
Valentín Barco,Brighton,Left-Back,36.62591911764706
Niels Nkounkou,Eint Frankfurt,Left-Back,36.46440863579475
David Jurásek,Hoffenheim,Left-Back,35.6262677484787
Justin Bourgault,Brest,Left-Back,35.29144385026738
Leonardo Spinazzola,Napoli,Left-Back,35.259197324414714
Carlos Augusto,Inter,Left-Back,34.965096798212954
Gabriel Suazo,Toulouse,Left-Back,34.74552036199095
Mathias Løvik,Parma,Left-Back,34.70375620127569
Ali Abdi,Nice,Left-Back,34.41579671188348
Rico Henry,Brentford,Left-Back,34.26470588235294
Frans Krätzig,Heidenheim,Left-Back,34.24860335195531
Kassoum Ouattara,Monaco,Left-Back,34.15059425304649
Jérôme Roussillon,Union Berlin,Left-Back,33.7972972972973
Alejandro Balde,Barcelona,Left-Back,33.61074211685793
Cristiano Biraghi,Torino,Left-Back,33.17586416009703
Ian Maatsen,Aston Villa,Left-Back,33.083706740394696
David Raum,RB Leipzig,Left-Back,32.81514169331172
Conor Townsend,Ipswich Town,Left-Back,32.775086505190316
Ben Chilwell,Crystal Palace,Left-Back,32.52768166089965
Luca Netz,Gladbach,Left-Back,32.26884365913666
Emanuele Valeri,Parma,Left-Back,32.234118807858614
Alexander Prass,Hoffenheim,Left-Back,31.989267896507716
Honest Ahanor,Genoa,Left-Back,31.692387543252597
Daniel Svensson,Dortmund,Left-Back,31.637401229148374
Issiaga Sylla,Montpellier,Left-Back,31.219233746130033
Abner,Lyon,Left-Back,31.00319225251076
Felix Agu,Werder Bremen,Left-Back,30.903119429590017
Lucas Mincarelli,Montpellier,Left-Back,30.723693461448324
Sergio Reguilón,Tottenham,Left-Back,30.650645624103298
Christian Günter,Freiburg,Left-Back,30.326942381047985
Jhoanner Chávez,Lens,Left-Back,30.25582313462298
Angeliño,Roma,Left-Back,30.19061458575525
Mads Pedersen,Augsburg,Left-Back,29.98624084827064
Pep Chavarría,Rayo Vallecano,Left-Back,29.969624746450307
Ricardo Rodríguez,Betis,Left-Back,29.940465714479117
Juan Cruz,Leganés,Left-Back,29.900021481508002
Tyrick Mitchell,Crystal Palace,Left-Back,29.828566176470584
Yanis Zouaoui,Le Havre,Left-Back,29.809649345699402
Harry Toffolo,Nott'ham Forest,Left-Back,29.730913642052567
Derrick Köhn,Werder Bremen,Left-Back,29.72972972972973
Florent Hanin,Angers,Left-Back,29.668084908871492
John Tolkin,Holstein Kiel,Left-Back,29.61041465766635
Luca Pellegrini,Lazio,Left-Back,29.57182946573125
Miguel Gutiérrez,Girona,Left-Back,29.507803417809814
Oleksandr Zinchenko,Arsenal,Left-Back,29.15571512886091
Fabiano Parisi,Fiorentina,Left-Back,29.128922297002006
Ismaily,Lille,Left-Back,28.932085561497324
Ryan Manning,Southampton,Left-Back,28.73749749616078
Luke Shaw,Manchester Utd,Left-Back,28.705882352941178
Tommaso Augello,Cagliari,Left-Back,28.4899750146519
Mitchel Bakker,Atalanta,Left-Back,28.36898395721925
Juan Miranda,Bologna,Left-Back,28.3583444741533
Luke Thomas,Leicester City,Left-Back,28.17420814479638
Adam Aznou,Valladolid,Left-Back,28.160034602076124
Jonas Rouhi,Juventus,Left-Back,28.0
Adrien Truffert,Rennes,Left-Back,27.93289210637911
Gerard Martín,Barcelona,Left-Back,27.924104124408387
Destiny Udogie,Tottenham,Left-Back,27.843801715059428
Brian Oliván,Espanyol,Left-Back,27.820492798889468
Jordan Zemura,Udinese,Left-Back,27.79825485181285
Enric Franquesa,Leganés,Left-Back,27.699866310160427
Martin Frese,Hellas Verona,Left-Back,27.689338235294116
