name,Squad,position,TIS
Justin Diehl,Stuttgart,Left Winger,77.57548076923078
Serge Gnabry,Bayern Munich,Left Winger,73.9346770697876
Bradley Barcola,Paris S-G,Left Winger,68.8944872554831
Luis Sinisterra,Bournemouth,Left Winger,68.39006116207952
Kazeem Olaigbe,Rennes,Left Winger,66.5642361111111
Raphinha,Barcelona,Left Winger,61.158983395989964
Jacob Bruun Larsen,Hoffenheim,Left Winger,59.123708333333326
Tyrique George,Chelsea,Left Winger,57.065283140283135
Kingsley Coman,Bayern Munich,Left Winger,56.55933589990375
Harvey Barnes,Newcastle Utd,Left Winger,56.00228866740494
Timo Werner,Tottenham,Left Winger,55.19815891472868
Jarzinho Malanga,Stuttgart,Left Winger,55.0
Dango Ouattara,Bournemouth,Left Winger,54.404067460317464
Bazoumana Touré,Hoffenheim,Left Winger,53.60681818181818
Sofiane Diop,Nice,Left Winger,52.19211275314724
Eliesse Ben Seghir,Monaco,Left Winger,51.73115349682108
Désiré Doué,Paris S-G,Left Winger,51.59559860549877
Takumi Minamino,Monaco,Left Winger,50.05519205137526
Ansu Fati,Barcelona,Left Winger,49.25363704536932
Kaoru Mitoma,Brighton,Left Winger,49.200410509031194
Khvicha Kvaratskhelia,Napoli,Left Winger,48.52350634651143
Williot Swedberg,Celta Vigo,Left Winger,48.13711071881224
Willian,Fulham,Left Winger,47.66037037037037
Alejandro Garnacho,Manchester Utd,Left Winger,47.46205300417498
Noah Okafor,Napoli,Left Winger,47.30733333333333
Osame Sahraoui,Lille,Left Winger,47.275746302308804
Sebastian Nanasi,Strasbourg,Left Winger,47.24600911071499
Luis Rioja,Alavés,Left Winger,46.638405797101456
Luis Díaz,Liverpool,Left Winger,46.46173745173745
Martin Terrier,Leverkusen,Left Winger,46.19492416829745
Samuel Lino,Atlético Madrid,Left Winger,45.77127080998049
Ramón Sosa,Nott'ham Forest,Left Winger,45.63700849634459
Simon Adingra,Brighton,Left Winger,45.61550513236088
Rafael Leão,Milan,Left Winger,45.43962490023943
Abde Ezzalzouli,Betis,Left Winger,45.25854964408443
Gabriel Martinelli,Arsenal,Left Winger,45.216331321260895
Malick Fofana,Lyon,Left Winger,43.622135228459
Rodrigo Riquelme,Atlético Madrid,Left Winger,43.41356682769727
Anthony Gordon,Newcastle Utd,Left Winger,43.3554983283636
Duk,Leganés,Left Winger,42.96666666666666
Marco Grüll,Werder Bremen,Left Winger,42.96510489185927
Amine Adli,Leverkusen,Left Winger,42.8462660994919
Chidera Ejuke,Sevilla,Left Winger,42.47891891891892
Kevin Schade,Brentford,Left Winger,42.35750055890901
Gonçalo Guedes,Wolves,Left Winger,42.34686465495289
Óscar Perea,Strasbourg,Left Winger,42.14285714285714
Luis Henrique,Marseille,Left Winger,42.000221088435374
Moses Simon,Nantes,Left Winger,41.98106551195027
Arnaut Danjuma,Villarreal,Left Winger,41.96923809523809
Karim Adeyemi,Dortmund,Left Winger,41.95737022276722
Florent Muslija,Freiburg,Left Winger,41.941071428571426
Ben Old,Saint-Étienne,Left Winger,41.84020390070921
Nico Williams,Athletic Club,Left Winger,41.81678641870949
Cody Gakpo,Liverpool,Left Winger,41.62538895076102
Ibrahim Salah,Brest,Left Winger,41.50237430167598
Mikey Moore,Tottenham,Left Winger,41.29774774774775
Alex Iwobi,Fulham,Left Winger,41.02449186991869
Vincenzo Grifo,Freiburg,Left Winger,41.01874879506459
Mathias Honsak,Heidenheim,Left Winger,40.92589230084557
Noah Weißhaupt,St. Pauli,Left Winger,40.846200980392155
Kenan Yıldız,Juventus,Left Winger,40.634106254442074
Issa Soumaré,Le Havre,Left Winger,40.62542185338866
Álex Berenguer,Athletic Club,Left Winger,40.04035909445745
Maat Daniel Caprini,Fiorentina,Left Winger,40.0
Raúl Moro,Valladolid,Left Winger,39.94634848060713
Jadon Sancho,Chelsea,Left Winger,39.79914953435249
Darko Lazović,Hellas Verona,Left Winger,39.03452979181622
Antonio Nusa,RB Leipzig,Left Winger,38.77502314814814
Nicola Sansone,Lecce,Left Winger,38.75754578754579
Keito Nakamura,Reims,Left Winger,38.611871659065265
Robert Skov,Union Berlin,Left Winger,38.60018723451822
Abdenego Nankishi,Werder Bremen,Left Winger,38.53864849986237
Jakub Jankto,Cagliari,Left Winger,38.53864849986237
David Preu,Union Berlin,Left Winger,38.53864849986237
Romeo Aigbekaen,St. Pauli,Left Winger,38.53864849986237
Gerrit Holtmann,Bochum,Left Winger,38.445915003826
Nathan Broadhead,Ipswich Town,Left Winger,37.91415701415701
Jack Grealish,Manchester City,Left Winger,37.839737274220035
Elias Saad,St. Pauli,Left Winger,37.57876331453633
Darwin Machís,Valladolid,Left Winger,37.09250585480093
Nicola Zalewski,Roma,Left Winger,37.034740462789244
Antoine Joujou,Le Havre,Left Winger,36.994296244296244
Yann Gboho,Toulouse,Left Winger,36.90547919709074
Mathias Pereira Lage,Brest,Left Winger,36.75370972341032
Jesper Karlsson,Bologna,Left Winger,36.74669223394055
Chris Führich,Stuttgart,Left Winger,36.70917406510627
Crysencio Summerville,West Ham,Left Winger,36.708139464437174
Alessio Zerbin,Venezia,Left Winger,36.44507835082914
Farid El Melali,Angers,Left Winger,36.39727913431253
Aristide Zossou,Auxerre,Left Winger,36.25
Kamaldeen Sulemana,Southampton,Left Winger,36.00333333333333
Carlos Martín,Alavés,Left Winger,35.90692466311802
Maxwel Cornet,Southampton,Left Winger,35.901256613756615
Stephan El Shaarawy,Roma,Left Winger,35.81019250253293
Sammie Szmodics,Ipswich Town,Left Winger,35.8039593365436
Marcus Tavernier,Bournemouth,Left Winger,35.707901733131415
Marius Bülter,Hoffenheim,Left Winger,35.58779950783577
Riccardo Sottil,Fiorentina,Left Winger,35.57496998799519
Lameck Banda,Lecce,Left Winger,35.50768079333895
Keita Baldé,Monza,Left Winger,35.177688172043005
Kenedy,Valladolid,Left Winger,35.0
Andu Kelati,Holstein Kiel,Left Winger,34.778926917989416
Marcus Rashford,Manchester Utd,Left Winger,34.563311909630926
Álvaro García,Rayo Vallecano,Left Winger,34.43328491683754
Jacob Ramsey,Aston Villa,Left Winger,34.22626106532356
Adrian Benedyczak,Parma,Left Winger,34.15253807106599
Sheraldo Becker,Real Sociedad,Left Winger,33.93967927026629
Samuel Mbangula,Juventus,Left Winger,33.200102186797466
