name,Squad,position,TIS
Jordan Ayew,Crystal Palace,Right Winger,69.09722222222223
Samuel Bamba,Bochum,Right Winger,68.5
Ousmane Dembélé,Paris S-G,Right Winger,59.743125298900054
Eros Maddy,Auxerre,Right Winger,54.16666666666667
Mohamed Salah,Liverpool,Right Winger,50.78634475597092
Federico Chiesa,Liverpool,Right Winger,50.16666666666667
Michael Olise,Bayern Munich,Right Winger,47.627647183396874
Marco Asensio,Aston Villa,Right Winger,46.33816425120773
Riccardo Orsolini,Bologna,Right Winger,45.183046683046676
Antony,Manchester Utd,Right Winger,45.18085106382979
Christian Pulisic,Milan,Right Winger,44.561965811965806
Leroy Sané,Bayern Munich,Right Winger,44.05720720720721
Samuel Chukwueze,Milan,Right Winger,43.78639966624948
Cyril Ngonge,Napoli,Right Winger,43.42480842911878
Franck Honorat,Gladbach,Right Winger,43.269478319783204
Lamine Yamal,Barcelona,Right Winger,43.09577114427861
Iñaki Williams,Athletic Club,Right Winger,42.81464978111319
Ibrahim Mbaye,Paris S-G,Right Winger,42.781609195402304
Rodrygo,Real Madrid,Right Winger,42.60780141843972
Raheem Sterling,Arsenal,Right Winger,42.48736559139785
Mason Greenwood,Marseille,Right Winger,42.01336629683229
Junya Ito,Reims,Right Winger,41.348924731182805
Brahim Díaz,Real Madrid,Right Winger,41.31436314363143
Romain Del Castillo,Brest,Right Winger,40.3330078125
Jeremy Agbonifo,Lens,Right Winger,40.15079365079365
Junior Dina Ebimbe,Eint Frankfurt,Right Winger,39.92775881683731
Andreas Skov Olsen,Wolfsburg,Right Winger,39.44298245614035
Noni Madueke,Chelsea,Right Winger,39.35658981417756
Nicolas Pépé,Villarreal,Right Winger,39.33552119797744
Maghnes Akliouche,Monaco,Right Winger,39.02538793950107
Wilson Odobert,Tottenham,Right Winger,38.89331366764995
Arda Güler,Real Madrid,Right Winger,38.72057291666667
Lasso Coulibaly,Auxerre,Right Winger,38.63157894736842
Dennis Man,Parma,Right Winger,38.23443746430611
Bukayo Saka,Arsenal,Right Winger,38.21674553101998
Fabian Rieder,Stuttgart,Right Winger,37.84028812717337
Donyell Malen,Aston Villa,Right Winger,37.70980392156863
David Neres,Napoli,Right Winger,37.7076537546721
Nathan Tella,Leverkusen,Right Winger,37.53152692569871
Pablo Sarabia,Wolves,Right Winger,37.483394833948346
Juan Cuadrado,Atalanta,Right Winger,37.354302832244
Edon Zhegrova,Lille,Right Winger,37.12517041581459
Zinedine Ferhat,Angers,Right Winger,36.90291736460078
Brajan Gruda,Brighton,Right Winger,36.82058047493404
Shavy Babicka,Toulouse,Right Winger,36.61152591829729
Jack Harrison,Everton,Right Winger,36.44576905095839
Suso,Sevilla,Right Winger,36.39351851851852
Ernest Nuamah,Lyon,Right Winger,36.26561920652577
Jarrod Bowen,West Ham,Right Winger,36.22622455470738
Adama Traoré,Fulham,Right Winger,36.18908629441625
Dan Ndoye,Bologna,Right Winger,35.93096125958152
Bryan Mbeumo,Brentford,Right Winger,35.77433041633519
Justin Njinmah,Werder Bremen,Right Winger,35.72783918508886
Rodrigo Gomes,Wolves,Right Winger,35.623022847100174
Pedro,Lazio,Right Winger,35.48266219239373
Gaëtan Perrin,Auxerre,Right Winger,35.42718233016544
Abdallah Sima,Brest,Right Winger,35.17547274749722
Phil Foden,Manchester City,Right Winger,35.16935150764147
Othmane Maamma,Montpellier,Right Winger,35.1063725490196
Marco Palestra,Atalanta,Right Winger,35.0849358974359
Sorba Thomas,Nantes,Right Winger,34.77294107206248
Fer López,Celta Vigo,Right Winger,34.733695652173914
Anthony Elanga,Nott'ham Forest,Right Winger,34.5968474798576
Harry Wilson,Fulham,Right Winger,34.51042908224076
Zuriko Davitashvili,Saint-Étienne,Right Winger,34.42285397138629
Junior Messias,Genoa,Right Winger,34.402001862197395
Takuma Asano,Mallorca,Right Winger,34.31454138702461
Ilias Akhomach,Villarreal,Right Winger,34.264840182648406
Tajon Buchanan,Inter,Right Winger,34.07543859649123
Eren Dinkçi,Freiburg,Right Winger,33.82661996497373
Tim Skarke,Union Berlin,Right Winger,33.39616402116402
Krépin Diatta,Monaco,Right Winger,33.13064588979223
Luis Guilherme,West Ham,Right Winger,33.10526315789473
Sirlord Conteh,Heidenheim,Right Winger,33.09907945736434
Mohammed Kudus,West Ham,Right Winger,33.053149606299215
Scott Banks,St. Pauli,Right Winger,33.03341584158416
Kasey McAteer,Leicester City,Right Winger,32.792098445595855
Ansgar Knauff,Eint Frankfurt,Right Winger,32.75299145299145
Ritsu Doan,Freiburg,Right Winger,32.7180709802028
Matteo Politano,Napoli,Right Winger,32.24797263051191
Amad Diallo,Manchester Utd,Right Winger,32.21230656629025
Omari Forson,Monza,Right Winger,32.12962962962963
Arnaud Nordin,Montpellier,Right Winger,32.10663236134934
Romain Faivre,Brest,Right Winger,32.06968215158925
Kike Barja,Osasuna,Right Winger,32.06511470985156
Davide Zappacosta,Atalanta,Right Winger,32.04287090558767
Badredine Bouanani,Nice,Right Winger,31.866005873715125
Diego López,Valencia,Right Winger,31.68950424683654
Jacob Murphy,Newcastle Utd,Right Winger,31.59236111111111
Dilane Bakwa,Strasbourg,Right Winger,31.553285037361036
Peter Federico,Getafe,Right Winger,31.514471057884233
Carlos Vicente,Alavés,Right Winger,31.309083601286176
Timothy Weah,Juventus,Right Winger,31.231042007637754
Raoul Bellanova,Torino,Right Winger,31.155172413793103
Brennan Johnson,Tottenham,Right Winger,31.150359153562416
Valery Fernández,Mallorca,Right Winger,31.011427566807317
Alexis Saelemaekers,Roma,Right Winger,30.970035862589654
Oladapo Afolayan,St. Pauli,Right Winger,30.92453972868217
Assane Diao,Como,Right Winger,30.912139917695477
Wes Burns,Ipswich Town,Right Winger,30.530507559395247
Koji Miyoshi,Bochum,Right Winger,30.401111111111113
Adnan Januzaj,Las Palmas,Right Winger,30.34601449275362
Jeremie Frimpong,Leverkusen,Right Winger,30.217275943396228
Patrick Ciurria,Monza,Right Winger,30.21697695035461
Ángel Correa,Atlético Madrid,Right Winger,30.07240634005764
Chiedozie Ogbene,Ipswich Town,Right Winger,29.799019607843135
Oliver Burke,Werder Bremen,Right Winger,29.537414965986397
David Brooks,Bournemouth,Right Winger,29.51220073664825
Ola Solbakken,Empoli,Right Winger,29.400098702763678
Kevin Martins,Monza,Right Winger,29.244763205828782
Cole Campbell,Dortmund,Right Winger,29.242424242424242
Alexander Bernhardsson,Holstein Kiel,Right Winger,29.20121951219512
Tijjani Noslin,Lazio,Right Winger,28.963478064224336
Jesper Lindstrøm,Everton,Right Winger,28.880619517543856
Solly March,Brighton,Right Winger,28.76117886178862
Leon Bailey,Aston Villa,Right Winger,28.742311072056243
Tom Louchet,Nice,Right Winger,28.715130505709627
Sergio Gómez,Real Sociedad,Right Winger,28.68943943943944
Marcos Llorente,Atlético Madrid,Right Winger,28.657857299190194
Giuliano Simeone,Atlético Madrid,Right Winger,28.49400826446281
