Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Augsburg,29,33.0,451,290,192,197,62,227,421,53.9,194,404,121,283,334,785,953,16
Bayern Munich,29,33.0,491,293,160,229,102,239,430,55.6,191,314,51,263,228,719,501,23
Bochum,26,33.0,579,348,309,197,73,299,562,53.2,263,467,139,328,289,868,878,22
Dortmund,28,33.0,509,313,232,191,86,252,480,52.5,228,369,99,270,242,751,708,18
Eint Frankfurt,26,33.0,545,331,253,212,80,272,495,54.9,223,422,127,295,279,824,936,26
Freiburg,26,33.0,494,307,217,219,58,228,448,50.9,220,394,112,282,269,763,782,19
Gladbach,26,33.0,488,274,267,172,49,231,459,50.3,228,435,163,272,307,795,1037,21
Heidenheim,27,33.0,601,347,316,233,52,290,549,52.8,259,425,106,319,310,911,940,14
Hoffenheim,34,33.0,552,326,257,228,67,263,497,52.9,234,442,138,304,279,831,885,22
Holstein Kiel,27,33.0,524,317,277,173,74,263,507,51.9,244,404,152,252,284,808,1096,20
Leverkusen,23,33.0,387,253,149,161,77,180,348,51.7,168,284,69,215,228,615,638,25
Mainz 05,25,33.0,549,316,231,238,80,229,437,52.4,208,412,126,286,340,889,934,22
RB Leipzig,29,33.0,529,326,244,215,70,252,512,49.2,260,493,154,339,264,793,969,28
St. Pauli,28,33.0,534,313,255,216,63,264,503,52.5,239,383,87,296,253,787,902,21
Stuttgart,28,33.0,465,274,191,195,79,250,464,53.9,214,393,102,291,288,753,754,20
Union Berlin,28,33.0,520,309,258,214,48,261,494,52.8,233,393,106,287,305,825,1012,12
Werder Bremen,23,33.0,534,311,240,228,66,268,503,53.3,235,440,139,301,307,841,830,25
Wolfsburg,27,33.0,478,296,252,169,57,240,530,45.3,290,420,131,289,299,777,944,19
