Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,Goalkeeper
1,Bayern Munich,33,24,7,2,95,32,63,79,2.39,80.3,25.1,55.2,1.67,D W W D W,Harry Kane - 25,Manuel Neuer
2,Leverkusen,33,19,11,3,70,41,29,68,2.06,55.6,33.2,22.5,0.68,D D W D L,Patrik Schick - 19,Lukáš Hrádecký
3,Eint Frankfurt,33,16,9,8,65,45,20,57,1.73,63.1,47.3,15.8,0.48,W D W D D,"Omar Marmoush, Hugo Ekitike - 15",Kevin Trapp
4,Freiburg,33,16,7,10,48,50,-2,55,1.67,43.5,40.5,3.1,0.09,W W W D W,Ritsu Doan - 9,Noah Atubolu
5,Dortmund,33,16,6,11,68,51,17,54,1.64,58.7,42.0,16.7,0.51,D W W W W,Serhou Guirassy - 20,Gregor Kobel
6,Mainz 05,33,14,9,10,53,41,12,51,1.55,47.1,46.9,0.2,0.0,L D L D W,Jonathan Burkardt - 17,Robin Zentner
7,RB Leipzig,33,13,12,8,51,45,6,51,1.55,45.5,50.8,-5.3,-0.16,W D L D D,Benjamin Šeško - 13,Péter Gulácsi
8,Werder Bremen,33,13,9,11,50,56,-6,48,1.45,46.9,46.5,0.4,0.01,W W D D D,Jens Stage - 9,Michael Zetterer
9,Stuttgart,33,13,8,12,61,51,10,47,1.42,59.7,45.8,13.9,0.42,L D L W W,Ermedin Demirović - 14,Alexander Nübel
10,Gladbach,33,13,6,14,55,56,-1,45,1.36,49.6,61.7,-12.1,-0.37,L L L D L,Tim Kleindienst - 16,Moritz Nicolas
11,Augsburg,33,11,10,12,34,49,-15,43,1.3,33.0,48.1,-15.1,-0.46,W D L L L,Alexis Claude-Maurice - 9,Finn Dahmen
12,Wolfsburg,33,10,10,13,55,54,1,40,1.21,45.8,51.6,-5.7,-0.17,L D L L D,Mohamed Amoura - 10,Kamil Grabara
13,Union Berlin,33,9,10,14,33,50,-17,37,1.12,36.2,46.1,-9.8,-0.3,D D D D L,Benedict Hollerbach - 9,Frederik Rønnow
14,St. Pauli,33,8,8,17,28,39,-11,32,0.97,34.5,44.0,-9.5,-0.29,W D D L D,Morgan Guilavogui - 6,Nikola Vasilj
15,Hoffenheim,33,7,11,15,46,64,-18,32,0.97,42.2,54.3,-12.1,-0.37,W L L D D,Andrej Kramarić - 11,Oliver Baumann
16,Heidenheim,33,8,5,20,36,60,-24,29,0.88,38.7,55.4,-16.7,-0.51,L L W D W,Marvin Pieringer - 7,Kevin Müller
17,Holstein Kiel,33,6,7,20,49,77,-28,25,0.76,39.1,58.6,-19.5,-0.59,L D W W L,Shuto Machino - 11,Timon Weiner
18,Bochum,33,5,7,21,31,67,-36,22,0.67,40.5,62.4,-21.9,-0.66,L L D D L,Myron Boadu - 7,Patrick Drewes
