Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ajax,37,32.0,449,244,187,183,79,223,395,56.5,172,322,89,233,262,711,675,25
Almere City,32,32.0,486,304,241,176,69,229,452,50.7,223,308,115,193,317,803,885,11
AZ Alkmaar,30,32.0,585,339,215,273,97,286,545,52.5,259,342,85,257,282,867,729,17
Feyenoord,38,32.0,488,311,182,221,85,229,400,57.3,171,299,80,219,243,731,611,30
Fortuna Sittard,30,32.0,517,324,264,187,66,269,526,51.1,257,342,102,240,308,825,925,12
Go Ahead Eag,27,32.0,425,258,213,160,52,198,385,51.4,187,331,138,193,178,603,969,14
Groningen,29,32.0,556,355,264,224,68,286,486,58.8,200,339,98,241,276,832,867,19
Heerenveen,30,32.0,587,358,284,237,66,298,581,51.3,283,352,93,259,293,880,783,21
Heracles Almelo,24,32.0,580,354,298,221,61,258,502,51.4,244,407,133,274,283,863,993,7
NAC Breda,29,32.0,567,346,295,211,61,279,523,53.3,244,383,153,230,285,852,1001,12
NEC Nijmegen,25,32.0,562,339,294,201,67,303,553,54.8,250,338,106,232,274,836,863,16
PSV Eindhoven,32,32.0,514,335,200,216,98,264,474,55.7,210,315,80,235,229,743,578,12
RKC Waalwijk,29,32.0,593,362,348,186,59,303,526,57.6,223,393,130,263,321,914,986,15
Sparta R'dam,29,32.0,543,335,266,224,53,268,518,51.7,250,389,131,258,300,843,947,8
Twente,29,32.0,544,341,231,235,78,264,506,52.2,242,352,88,264,253,797,818,11
Utrecht,27,32.0,612,382,274,257,81,267,524,51.0,257,294,89,205,315,927,876,12
Willem II,24,32.0,517,300,275,186,56,259,503,51.5,244,396,168,228,276,793,975,11
Zwolle,25,32.0,592,371,283,229,80,282,545,51.7,263,378,117,261,293,885,1032,19
