Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,Goalkeeper
1,Ajax,32,23,5,4,63,30,33,74,2.31,61.7,28.8,32.9,1.03,W W L D L,Kenneth Taylor - 9,Remko Pasveer
2,PSV Eindhoven,32,23,4,5,96,37,59,73,2.28,76.1,31.3,44.8,1.4,W W W W W,Luuk de Jong - 13,Walter Benítez
3,Feyenoord,32,19,8,5,74,36,38,65,2.03,56.1,33.1,23.0,0.72,W W W W L,Igor Paixão - 15,Timon Wellenreuther
4,Utrecht,32,18,8,6,61,44,17,62,1.94,46.0,42.0,4.0,0.13,D W W W L,"Paxten Aaronson, Miguel Rodríguez - 7",Vasilios Barkas
5,Twente,32,15,9,8,60,44,16,54,1.69,52.1,39.8,12.3,0.38,D D L W W,Sem Steijn - 24,Lars Unnerstall
6,AZ Alkmaar,32,15,8,9,54,34,20,53,1.66,50.6,31.7,18.9,0.59,L L D W W,Troy Parrott - 14,Rome-Jayden Owusu-Oduro
7,Go Ahead Eag,32,13,9,10,53,50,3,48,1.5,48.5,41.3,7.2,0.22,D D D L D,Jakob Breum - 9,Luca Plogmann
8,Heerenveen,32,11,7,14,40,56,-16,40,1.25,40.3,45.2,-5.0,-0.16,W L W W L,Ion Nicolaescu - 8,Mickey van der Hart
9,Fortuna Sittard,32,11,6,15,36,53,-17,39,1.22,39.7,47.9,-8.2,-0.26,D L W L W,Kristoffer Peterson - 7,Mattijs Branderhorst
10,Sparta R'dam,32,9,11,12,37,39,-2,38,1.19,40.9,39.9,1.0,0.03,W W D L W,Tobias Lauritsen - 9,Nick Olij
11,Groningen,32,10,8,14,38,49,-11,38,1.19,35.1,44.6,-9.5,-0.3,L L W W L,"Stije Resink, Jorg Schreuders - 5",Etienne Vaessen
12,Heracles Almelo,32,9,11,12,40,57,-17,38,1.19,39.9,54.3,-14.3,-0.45,D W L L W,Luka Kulenović - 9,Fabian de Keijzer
13,NEC Nijmegen,32,10,7,15,46,45,1,37,1.16,41.2,41.9,-0.7,-0.02,L W L D W,Vito van Crooy - 9,Robin Roefs
14,Zwolle,32,8,11,13,39,50,-11,35,1.09,36.4,55.2,-18.8,-0.59,D D L W D,Dylan Vente - 13,Jasper Schendelaar
15,NAC Breda,32,8,8,16,33,54,-21,32,1.0,35.3,53.5,-18.2,-0.57,L D D L L,"Elías Már Ómarsson, Leo Sauer - 7",Daniel Bielica
16,Willem II,32,6,7,19,32,53,-21,25,0.78,24.0,53.3,-29.3,-0.92,L L L D L,Jesse Bosch - 5,Thomas Didillon
17,RKC Waalwijk,32,5,7,20,39,69,-30,22,0.69,37.9,61.3,-23.4,-0.73,D L L L W,Oskar Zawada - 9,Jeroen Houwen
18,Almere City,32,4,8,20,21,62,-41,20,0.63,32.6,49.4,-16.7,-0.52,D L L D L,Junior Kadile - 4,Nordin Bakker
