Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,29,35.0,680,416,322,282,76,330,671,49.2,341,356,87,269,286,966,841,10
Athletic Club,31,35.0,547,322,226,241,80,279,541,51.6,262,328,64,264,324,871,810,22
Atlético Madrid,24,35.0,572,347,285,217,70,295,587,50.3,292,331,94,237,238,810,761,23
Barcelona,28,35.0,494,304,162,229,103,248,469,52.9,221,308,57,251,201,695,559,14
Betis,35,35.0,600,369,252,256,92,319,599,53.3,280,372,103,269,328,928,846,14
Celta Vigo,30,36.0,520,319,244,205,71,264,541,48.8,277,326,87,239,270,790,800,27
Espanyol,27,35.0,594,367,350,200,44,284,552,51.4,268,399,144,255,292,886,1056,20
Getafe,30,35.0,600,362,268,259,73,306,610,50.2,304,378,78,300,244,844,953,15
Girona,29,36.0,529,330,251,202,76,273,520,52.5,247,307,93,214,257,786,667,29
Las Palmas,30,36.0,595,357,298,241,56,302,582,51.9,280,424,134,290,308,903,908,28
Leganés,26,35.0,583,354,287,228,68,269,547,49.2,278,407,149,258,309,892,1134,18
Mallorca,28,35.0,538,335,275,199,64,239,451,53.0,212,340,132,208,308,846,1026,16
Osasuna,25,35.0,579,345,284,225,70,294,579,50.8,285,367,97,270,244,823,828,15
Rayo Vallecano,26,35.0,586,367,312,201,73,290,613,47.3,323,396,110,286,302,888,922,21
Real Madrid,29,35.0,540,334,274,191,75,241,442,54.5,201,328,100,228,306,846,601,17
Real Sociedad,31,36.0,616,385,288,234,94,292,549,53.2,257,409,116,293,264,880,867,19
Sevilla,35,36.0,617,369,301,233,83,293,520,56.3,227,345,81,264,342,959,890,17
Valencia,32,35.0,601,387,315,211,75,301,537,56.1,236,331,89,242,274,875,892,17
Valladolid,37,36.0,559,333,324,186,49,261,536,48.7,275,425,153,272,297,856,876,27
Villarreal,30,35.0,608,371,308,222,78,314,564,55.7,250,392,115,277,258,866,842,19
