Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,Goalkeeper
1,Barcelona,35,26,4,5,95,36,59,82,2.34,86.0,37.6,48.4,1.38,W W W W W,Robert Lewandowski - 25,Iñaki Peña
2,Real Madrid,35,23,6,6,72,37,35,75,2.14,68.1,40.9,27.2,0.78,W W W W L,Kylian Mbappé - 27,Thibaut Courtois
3,Atlético Madrid,35,20,10,5,60,27,33,70,2.0,55.8,31.9,23.9,0.68,W L W D W,Alexander Sørloth - 17,Jan Oblak
4,Athletic Club,35,17,13,5,51,26,25,64,1.83,49.5,33.4,16.1,0.46,W L W D W,Oihan Sancet - 15,Unai Simón
5,Villarreal,35,17,10,8,61,47,14,61,1.74,60.4,40.5,19.9,0.57,D L W W W,Ayoze Pérez - 16,Diego Conde
6,Betis,35,16,10,9,53,43,10,58,1.66,51.6,43.9,7.7,0.22,L W W W D,"Isco, Giovani Lo Celso - 8",Adrián
7,Celta Vigo,36,15,7,14,56,54,2,52,1.44,50.3,41.7,8.5,0.24,L W L W W,Borja Iglesias - 10,Vicente Guaita
8,Rayo Vallecano,35,12,11,12,37,42,-5,47,1.34,40.9,44.8,-3.9,-0.11,L D L W W,"Álvaro García, Pathé Ciss... - 4",Augusto Batalla
9,Mallorca,35,13,8,14,33,40,-7,47,1.34,37.2,40.4,-3.2,-0.09,W D L L W,Vedat Muriqi - 7,Dominik Greif
10,Osasuna,35,10,15,10,43,51,-8,45,1.29,40.6,49.6,-9.0,-0.26,W W W L D,Ante Budimir - 19,Sergio Herrera
11,Valencia,35,11,12,12,43,51,-8,45,1.29,41.2,48.1,-6.9,-0.2,W D D W W,Hugo Duro - 11,Giorgi Mamardashvili
12,Real Sociedad,36,12,7,17,32,42,-10,43,1.19,39.7,39.1,0.6,0.02,D L D L L,Mikel Oyarzabal - 8,Álex Remiro
13,Girona,36,11,8,17,42,53,-11,41,1.14,40.2,45.7,-5.5,-0.15,L D W L W,Cristhian Stuani - 10,Paulo Gazzaniga
14,Sevilla,36,10,11,15,40,49,-9,41,1.14,40.7,44.3,-3.6,-0.1,D L D L W,Dodi Lukebakio - 11,Ørjan Nyland
15,Getafe,35,10,9,16,31,34,-3,39,1.11,34.4,43.2,-8.8,-0.25,L L L L L,Mauro Arambarri - 9,David Soria
16,Espanyol,35,10,9,16,38,47,-9,39,1.11,30.3,51.4,-21.1,-0.6,W D L L L,Javi Puado - 11,Joan García
17,Alavés,35,8,11,16,35,47,-12,35,1.0,37.7,43.0,-5.3,-0.15,L D W D L,Kiké - 12,Antonio Sivera
18,Leganés,35,7,13,15,35,53,-18,34,0.97,31.4,56.8,-25.5,-0.73,L D D D W,Dani Raba - 7,Marko Dmitrović
19,Las Palmas,36,8,8,20,40,58,-18,32,0.89,35.3,63.3,-28.1,-0.78,W L L L L,Fábio Silva - 10,Jasper Cillessen
20,Valladolid,36,4,4,28,26,86,-60,16,0.44,32.6,64.1,-31.5,-0.87,L L L L L,Mamadou Sylla - 5,Karl Jakob Hein
