Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arouca,28,33.0,538,344,269,199,70,272,536,50.7,264,360,122,238,291,829,821,21
AVS Futebol,33,33.0,544,357,286,203,55,296,542,54.6,246,379,109,270,298,842,914,23
Benfica,35,33.0,609,369,229,270,110,325,571,56.9,246,301,57,244,304,913,471,23
Boavista,32,33.0,556,325,277,213,66,295,592,49.8,297,327,106,221,305,861,829,31
Braga,35,33.0,549,311,219,246,84,281,538,52.2,257,318,74,244,270,819,748,14
Casa Pia,30,33.0,482,297,238,177,67,251,453,55.4,202,354,116,238,283,765,876,28
Estoril,27,33.0,515,318,220,220,75,270,497,54.3,227,318,86,232,315,830,867,17
Estrela,40,33.0,599,364,298,246,55,301,557,54.0,256,382,114,268,300,899,955,27
Famalicão,31,33.0,549,346,276,202,71,267,515,51.8,248,316,94,222,295,844,774,17
Farense,37,33.0,577,355,279,241,57,276,543,50.8,267,377,109,268,319,896,965,13
Gil Vicente FC,32,33.0,520,329,248,218,54,300,511,58.7,211,348,113,235,304,824,844,17
Moreirense,30,33.0,525,301,272,204,49,265,505,52.5,240,329,116,213,278,803,979,23
Nacional,29,33.0,539,370,277,205,57,275,524,52.5,249,380,123,257,280,819,854,27
Porto,32,33.0,460,267,167,198,95,231,437,52.9,206,292,64,228,242,702,498,12
Rio Ave,35,33.0,581,356,312,200,69,317,601,52.7,284,344,112,232,302,883,936,27
Santa Clara,25,33.0,541,315,259,215,67,248,496,50.0,248,328,84,244,282,823,930,7
Sporting CP,34,33.0,530,323,204,232,94,271,452,60.0,181,311,67,244,236,766,546,17
Vitória,31,33.0,513,324,243,188,82,277,496,55.8,219,312,68,244,258,771,729,15
