Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Angers,29,33.0,612,386,332,200,80,287,592,48.5,305,352,111,241,331,943,877,20
Auxerre,29,33.0,642,394,317,231,94,308,583,52.8,275,386,123,263,336,978,920,17
Brest,30,33.0,631,407,281,247,103,295,560,52.7,265,352,102,250,307,938,856,13
Le Havre,31,33.0,610,379,321,208,81,299,546,54.8,247,359,131,228,312,922,967,24
Lens,33,33.0,588,357,259,224,105,293,567,51.7,274,380,100,280,307,895,693,19
Lille,27,33.0,610,348,235,266,109,303,543,55.8,240,299,73,226,266,876,621,22
Lyon,30,33.0,562,332,252,224,86,302,583,51.8,281,337,106,231,279,841,674,25
Marseille,32,33.0,534,343,234,222,78,264,457,57.8,193,262,69,193,268,802,510,31
Monaco,28,33.0,655,422,276,279,100,337,614,54.9,277,334,65,269,348,1003,651,18
Montpellier,35,33.0,615,369,294,256,65,305,594,51.3,289,356,117,239,262,877,713,24
Nantes,30,33.0,625,361,327,217,81,311,550,56.5,239,391,112,279,271,896,986,10
Nice,31,33.0,620,390,292,238,90,295,527,56.0,232,407,126,281,354,974,771,31
Paris S-G,28,33.0,609,379,240,262,107,321,595,53.9,274,352,101,251,258,867,482,19
Reims,34,33.0,545,351,304,170,71,276,539,51.2,263,369,133,236,279,824,917,18
Rennes,35,33.0,585,353,275,231,79,288,498,57.8,210,342,94,248,330,915,724,13
Saint-Étienne,32,33.0,562,356,281,208,73,286,571,50.1,285,393,133,260,311,873,834,26
Strasbourg,30,33.0,525,328,252,207,66,255,452,56.4,197,369,111,258,273,798,883,16
Toulouse,27,33.0,588,351,255,247,86,309,587,52.6,278,332,98,234,273,861,738,15
