Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Top Team Scorer,Goalkeeper
1,Paris S-G,33,25,6,2,89,34,55,81,2.45,85.8,30.6,55.1,1.67,W D L L W,Ousmane Dembélé - 21,Gianluigi Donnarumma
2,Marseille,33,19,5,9,70,45,25,62,1.88,59.8,44.0,15.9,0.48,L W W D W,Mason Greenwood - 19,Gerónimo Rulli
3,Monaco,33,18,7,8,63,37,26,61,1.85,72.3,33.1,39.3,1.19,W D D W W,Mika Biereth - 13,Philipp Köhn
4,Nice,33,16,9,8,60,41,19,57,1.73,56.7,39.4,17.4,0.53,D W W W L,Evann Guessand - 11,Marcin Bułka
5,Lille,33,16,9,8,50,35,15,57,1.73,52.7,42.3,10.3,0.31,W W W D L,Jonathan David - 16,Lucas Chevalier
6,Strasbourg,33,16,9,8,54,41,13,57,1.73,47.7,53.6,-5.9,-0.18,D D W W L,Emanuel Emegha - 14,Đorđe Petrović
7,Lyon,33,16,6,11,63,46,17,54,1.64,56.4,45.2,11.1,0.34,W L W L L,Alexandre Lacazette - 13,Lucas Perri
8,Brest,33,15,5,13,52,53,-1,50,1.52,44.5,52.5,-8.0,-0.24,D L L W W,Ludovic Ajorque - 13,Marco Bizot
9,Lens,33,14,7,12,38,39,-1,49,1.48,50.0,44.8,5.2,0.16,L W L W D,"M'Bala Nzola, Neil El Aynaoui - 6",Brice Samba
10,Auxerre,33,11,9,13,47,48,-1,42,1.27,40.4,55.5,-15.1,-0.46,L L W L D,"Gaëtan Perrin, Hamed Junior Traorè - 10",Donovan Léon
11,Rennes,33,13,2,18,49,46,3,41,1.24,47.3,42.1,5.3,0.16,W W L L W,Arnaud Kalimuendo - 17,Steve Mandanda
12,Toulouse,33,10,9,14,41,41,0,39,1.18,46.0,35.4,10.5,0.32,L L D W D,Zakaria Aboukhlal - 7,Guillaume Restes
13,Angers,33,10,6,17,32,51,-19,36,1.09,35.6,53.9,-18.3,-0.56,W L L W W,Esteban Lepaul - 9,Yahia Fofana
14,Reims,33,8,9,16,32,45,-13,33,1.0,37.3,55.3,-18.0,-0.55,W W D L L,Keito Nakamura - 11,Yehvann Diouf
15,Nantes,33,7,12,14,36,52,-16,33,1.0,36.6,54.8,-18.1,-0.55,L D D L D,Matthis Abline - 8,Anthony Lopes
16,Le Havre,33,9,4,20,37,69,-32,31,0.94,38.9,61.3,-22.4,-0.68,L L D W L,Abdoulaye Touré - 8,Arthur Desmas
17,Saint-Étienne,32,7,6,19,35,74,-39,27,0.84,35.0,71.1,-36.1,-1.13,D W L L W,Lucas Stassin - 10,Gautier Larsonneur
18,Montpellier,32,4,4,24,23,74,-51,16,0.5,32.7,60.8,-28.1,-0.88,L L D L L,Arnaud Nordin - 4,Benjamin Lecomte
