Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,25,36.0,563,335,208,237,118,246,483,50.9,237,308,98,210,217,780,621,28
Aston Villa,28,36.0,612,353,285,239,88,292,524,55.7,232,312,104,208,231,843,758,42
Bournemouth,29,36.0,666,385,282,285,99,292,610,47.9,318,442,134,308,339,1005,978,21
Brentford,28,36.0,599,360,271,214,114,299,562,53.2,263,459,186,273,274,873,999,26
Brighton,31,36.0,660,402,269,277,114,328,669,49.0,341,414,114,300,301,961,740,28
Chelsea,29,36.0,555,346,233,232,90,259,516,50.2,257,339,100,239,263,818,640,44
Crystal Palace,29,36.0,726,427,353,283,90,310,615,50.4,305,457,134,323,312,1038,1003,19
Everton,26,36.0,694,408,347,257,90,318,619,51.4,301,379,133,246,320,1014,1046,24
Fulham,26,36.0,642,390,302,252,88,273,534,51.1,261,352,104,248,285,927,848,30
Ipswich Town,32,36.0,565,323,287,205,73,272,576,47.2,304,413,180,233,293,858,1060,37
Leicester City,31,36.0,685,401,343,259,83,311,649,47.9,338,478,183,295,312,997,940,29
Liverpool,24,36.0,614,380,261,252,101,326,626,52.1,300,349,92,257,279,893,684,30
Manchester City,29,36.0,475,287,173,208,94,206,430,47.9,224,317,84,233,209,684,585,31
Manchester Utd,31,36.0,774,465,371,294,109,377,683,55.2,306,363,100,263,347,1121,727,24
Newcastle Utd,24,36.0,572,351,261,223,88,294,575,51.1,281,400,134,266,259,831,836,30
Nott'ham Forest,23,36.0,651,391,381,209,61,312,624,50.0,312,408,150,258,302,953,1155,23
Southampton,35,36.0,616,358,289,256,71,268,557,48.1,289,407,186,221,291,907,921,49
Tottenham,31,36.0,639,403,269,266,104,290,569,51.0,279,423,148,275,298,937,742,39
West Ham,27,36.0,610,363,297,233,80,275,508,54.1,233,425,161,264,315,925,972,26
Wolves,31,36.0,758,446,397,290,71,345,636,54.2,291,426,136,290,291,1049,907,24
