Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Atalanta,32,36.0,544,328,227,247,70,263,485,54.2,222,340,89,251,277,821,627,15
Bologna,30,36.0,565,332,209,257,99,270,515,52.4,245,374,93,281,243,808,654,19
Cagliari,26,36.0,508,283,246,215,47,224,421,53.2,197,325,121,204,261,769,837,17
Como,38,36.0,641,398,289,255,97,293,568,51.6,275,326,84,242,263,904,749,18
Empoli,34,36.0,668,383,307,283,78,299,523,57.2,224,377,130,247,313,981,1026,20
Fiorentina,34,36.0,507,301,258,181,68,239,470,50.9,231,329,112,217,260,767,873,17
Genoa,36,36.0,645,371,272,272,101,268,537,49.9,269,401,118,283,291,936,885,14
Hellas Verona,32,36.0,632,404,309,251,72,293,561,52.2,268,372,117,255,315,947,905,23
Inter,25,36.0,479,273,205,191,83,224,429,52.2,205,328,115,213,220,699,651,11
Juventus,29,36.0,572,330,259,230,83,252,448,56.3,196,388,134,254,193,765,659,26
Lazio,27,36.0,502,308,223,217,62,242,482,50.2,240,294,86,208,280,782,672,21
Lecce,31,36.0,613,362,309,244,60,293,564,52.0,271,382,137,245,271,884,953,26
Milan,34,36.0,524,335,233,216,75,230,454,50.7,224,278,92,186,224,748,653,21
Monza,35,36.0,541,304,290,196,55,262,484,54.1,222,369,154,215,293,834,828,35
Napoli,27,36.0,517,310,229,231,57,250,455,54.9,205,303,96,207,263,780,774,11
Parma,32,36.0,494,275,248,192,54,230,456,50.4,226,418,146,272,266,760,919,20
Roma,28,36.0,529,314,225,228,76,217,425,51.1,208,313,101,212,271,800,717,13
Torino,30,36.0,444,247,208,173,63,225,417,54.0,192,323,129,194,269,713,845,21
Udinese,30,36.0,537,332,263,211,63,263,478,55.0,215,369,122,247,290,827,830,25
Venezia,36,36.0,574,349,303,190,81,271,549,49.4,278,411,131,280,265,839,886,22
