Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Final Third,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Defensive Actions,Aerial Duels,Passing and Build-up,Defensive Awareness,Discipline
3,Abakar Sylla,CIV,DF,Strasbourg,fr  Ligue 1,22-076,2002,16,9,830,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,36.9,77,6,7,20,6,1.63,14,19,-5,-0.54,-1.3,13.0,17.1,-4.1,-0.45,-0.41,2,1,0,17,7,0,0,10,13,0,0,1,35,19,13,59.4,25,13,13,10,2,14,16,87.5,2,16,8,8,10,35,47,0,526,594,88.6,9032,3311,201,220,91.4,300,324,92.6,20,40,50.0,0,0.0,0.1,0.0,0,17,0,0,18,1,1,1,0,0.4,0.4,0.4,0,2,0.11,0.0,0.11,0.11,0.11,0.05,0.0,0.05,0.05,0.05,3,0.33,2,0,0,1,0,0,1,0.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,529,65,23,0,1,0,12,0,0,0,0,526,0,6,5,1,20.0,0.54,0.11,0.2,1.0,9.0,0,0.08,0.6,0.6,703,132,456,226,23,9,703,5,2,40.0,3,60.0,380,1329,526,1,0,4,3,440,962555,Centre-Back,25-12-2002,22,"[""Cote d'Ivoire""]",188,left,15-07-2023,Club Brugge KV,30-06-2028,12000000,0,14.456521739130435,6.4565217391304355,1.158695652173913,6.847826086956522,2.173913043478261
6,Abdel Abqar,MAR,DF,Alavés,es  La Liga,26-001,1999,25,25,2118,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,87.2,85,21,0,0,0,1.04,27,36,-9,-0.38,-0.09,27.6,29.1,-1.5,-0.06,0.47,12,0,0,43,27,2,5,36,20,1,2,0,76,35,31,53.0,31,20,20,10,1,18,29,62.1,11,22,15,7,36,67,124,1,645,847,76.2,14212,5082,165,177,93.2,377,411,91.7,99,234,42.3,1,0.2,0.4,0.8,7,58,9,2,76,0,1,0,0,0.8,0.8,1.0,15,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,23,0.98,18,0,0,2,1,2,3,0.13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,801,43,37,1,17,5,5,0,0,0,0,645,3,5,9,1,11.1,0.38,0.04,0.0,0.0,7.5,0,0.08,-0.8,-0.8,1114,144,586,486,52,21,1114,3,2,66.7,1,33.3,565,3322,1901,7,0,16,2,583,559979,Centre-Back,10-03-1999,25,['Morocco'],188,right,01-07-2022,Deportivo Alavés B,30-06-2025,7500000,0,12.297872340425531,2.25531914893617,0.6774468085106382,6.212765957446808,2.3404255319148937
9,Abdoul Koné,FRA,DF,Reims,fr  Ligue 1,19-323,2005,3,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5.3,60,0,2,30,3,1.0,1,2,-1,-0.75,-0.2,1.4,2.4,-1.0,-0.75,-0.09,0,0,0,3,3,0,0,1,3,0,0,0,7,1,0,100.0,5,3,4,1,0,3,5,60.0,2,2,1,1,1,6,4,0,42,60,70.0,864,174,15,17,88.2,21,26,80.8,6,11,54.5,0,0.0,0.0,0.0,0,1,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,43,17,1,0,0,0,16,0,0,0,0,42,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,79,10,36,36,7,0,79,2,1,50.0,1,50.0,35,134,23,0,0,5,1,38,1130445,Centre-Back,22-04-2005,19,"['France', ""Cote d'Ivoire""]",192,right,01-07-2024,Stade Reims B,30-06-2027,500000,0,14.615384615384615,76.92307692307692,5.615384615384615,4.615384615384615,2.3076923076923075
10,Abdoulaye Bamba,CIV,DF,Angers,fr  Ligue 1,34-320,1990,13,10,970,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,43.1,87,8,3,33,12,0.92,8,19,-11,-1.02,-0.81,12.8,15.4,-2.6,-0.24,0.46,2,0,0,9,4,0,4,12,7,0,0,0,28,10,8,55.6,15,7,11,3,1,9,12,75.0,3,9,5,4,12,27,52,0,351,399,88.0,7157,2345,89,99,89.9,230,244,94.3,29,47,61.7,0,0.3,0.3,-0.3,6,16,4,3,11,0,0,0,0,0.0,0.0,0.3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,8,0.74,6,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,383,16,7,1,1,4,9,0,0,0,0,351,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,500,58,260,220,21,1,500,1,1,100.0,0,0.0,301,1199,509,2,0,2,1,327,62351,Centre-Back,25-04-1990,34,"[""Cote d'Ivoire"", 'Italy']",182,right,01-01-2017,Without Club,30-06-2025,350000,0,10.74074074074074,5.148148148148148,0.9722222222222222,5.648148148148148,1.0185185185185184
14,Abdukodir Khusanov,UZB,DF,Manchester City,eng  Premier League,21-010,2004,5,5,413,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16.4,83,4,0,9,1,1.8,6,4,2,0.44,-0.12,7.3,4.9,2.4,0.52,0.1,1,0,0,3,3,0,1,3,4,0,0,0,24,3,3,50.0,5,4,4,1,0,2,3,66.7,1,5,4,1,3,8,21,1,300,328,91.5,5101,1748,135,141,95.7,156,161,96.9,6,20,30.0,0,0.1,0.1,-0.1,2,23,0,0,23,0,0,0,0,0.0,0.0,0.1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,5,1.09,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,320,8,5,0,1,1,2,0,0,0,0,300,0,3,1,0,0.0,0.22,0.0,0.0,0.0,23.9,0,0.02,0.0,0.0,369,33,171,171,29,1,369,2,0,0.0,2,100.0,235,1059,398,1,0,2,1,277,763079,Centre-Back,29-02-2004,20,['Uzbekistan'],186,right,20-01-2025,RC Lens,30-06-2029,12000000,0,12.608695652173914,10.869565217391305,2.532608695652174,5.6521739130434785,0.8695652173913044
15,Abdul Mumin,GHA,DF,Rayo Vallecano,es  La Liga,26-278,1998,24,24,2017,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,83.0,84,21,0,0,0,1.46,24,21,3,0.13,0.79,26.6,25.1,1.5,0.06,-0.03,6,1,0,22,12,0,6,23,25,0,0,0,93,31,25,55.4,37,25,30,7,0,17,27,63.0,10,40,29,11,23,60,125,0,900,1085,82.9,17231,7016,315,339,92.9,492,536,91.8,87,190,45.8,1,0.2,0.1,0.8,1,40,1,0,40,2,3,2,0,0.6,0.6,0.8,12,6,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,11,0.49,10,0,0,0,1,0,3,0.13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,1017,65,25,0,8,6,1,0,0,0,0,900,3,4,10,3,30.0,0.45,0.13,0.2,0.67,12.9,0,0.06,1.4,1.4,1351,253,874,447,39,13,1351,10,5,50.0,4,40.0,725,3467,1525,5,2,16,5,819,451801,Centre-Back,06-06-1998,26,"['Ghana', 'Nigeria']",188,right,01-09-2022,Vitória Guimarães SC,30-06-2026,5000000,0,14.196428571428573,2.4732142857142856,0.553125,7.366071428571429,1.2946428571428572
22,Adam Masina,MAR,DF,Torino,it  Serie A,31-068,1994,20,15,1452,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,57.6,89,13,5,24,7,1.2,18,21,-3,-0.19,-0.35,16.2,23.2,-7.0,-0.43,0.07,5,0,0,18,15,1,13,18,14,1,0,0,63,50,16,75.8,28,14,20,7,1,20,35,57.1,15,23,14,9,18,46,63,2,817,970,84.2,15027,5538,309,340,90.9,424,479,88.5,75,135,55.6,2,0.3,0.5,1.7,3,51,5,2,61,1,3,1,0,0.2,0.2,0.5,13,7,0.06,0.12,0.19,0.06,0.19,0.01,0.02,0.03,0.01,0.03,16,0.99,13,0,2,0,1,0,4,0.25,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,921,47,18,1,7,13,23,0,0,0,0,817,2,3,5,2,40.0,0.31,0.12,0.2,0.5,14.5,0,0.05,0.8,0.8,1139,131,494,582,67,9,1139,8,3,37.5,5,62.5,647,2972,1684,8,1,7,4,750,286949,Centre-Back,02-01-1994,31,"['Morocco', 'Italy']",191,left,01-07-2024,Udinese Calcio,30-06-2026,1500000,0,12.111801242236023,4.70807453416149,0.9204968944099379,5.341614906832298,1.4285714285714284
23,Adam Obert,SVK,DF,Cagliari,it  Serie A,22-200,2002,16,11,876,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,34.8,72,4,5,18,11,1.06,12,12,0,0.0,0.82,10.7,15.2,-4.5,-0.46,-0.11,3,0,0,16,7,0,9,18,16,0,0,0,52,24,17,58.5,28,16,11,17,0,14,25,56.0,11,16,7,9,18,46,38,2,332,436,76.1,5487,2273,169,189,89.4,133,158,84.2,24,56,42.9,1,0.4,0.2,0.6,9,33,4,1,45,1,2,1,0,0.9,0.9,1.2,12,16,0.1,0.1,0.21,0.1,0.21,0.09,0.04,0.13,0.09,0.13,24,2.47,18,3,0,2,1,0,4,0.41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,338,95,11,0,3,9,84,0,0,0,0,332,3,17,9,2,22.2,0.92,0.21,0.11,0.5,12.0,0,0.11,0.1,0.1,575,51,244,255,90,13,575,9,5,55.6,4,44.4,236,1226,674,8,0,22,7,253,568333,Centre-Back,23-08-2002,22,['Slovakia'],188,left,01-07-2021,Sampdoria Primavera,30-06-2029,3000000,0,15.670103092783506,6.030927835051547,1.3412371134020618,5.567010309278351,1.9587628865979383
25,Adam Webster,ENG,DF,Brighton,eng  Premier League,30-066,1995,10,7,527,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,20.9,69,4,3,14,6,2.2,15,6,9,1.54,1.67,11.0,7.4,3.5,0.6,0.66,0,0,0,4,2,1,1,13,5,0,0,0,19,15,3,83.3,7,5,3,3,1,4,9,44.4,5,11,8,3,13,20,25,1,385,446,86.3,7195,2889,149,155,96.1,192,207,92.8,37,71,52.1,0,0.1,0.1,-0.1,2,31,2,0,38,0,0,0,0,0.0,0.0,0.1,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,8,1.37,6,2,0,0,0,0,3,0.51,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,401,44,23,0,2,1,0,0,0,0,0,385,1,4,1,1,100.0,0.17,0.17,0.0,0.0,15.3,0,0.02,0.0,0.0,507,71,241,250,19,5,507,3,1,33.3,2,66.7,298,1830,1094,2,0,3,1,336,212847,Centre-Back,04-01-1995,30,['England'],190,right,03-08-2019,Bristol City,30-06-2026,12000000,0,12.711864406779661,14.118644067796609,2.140677966101695,6.101694915254237,0.6779661016949152
43,Aitor Paredes,ESP,DF,Athletic Club,es  La Liga,24-316,2000,16,15,1281,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,52.7,84,11,1,21,8,1.69,28,15,13,0.91,0.29,22.3,12.3,9.9,0.7,0.2,4,1,1,18,4,0,1,18,8,0,1,0,45,24,22,52.2,10,8,7,3,0,4,9,44.4,5,17,8,9,18,28,85,4,603,715,84.3,12976,4912,133,152,87.5,395,426,92.7,73,130,56.2,0,0.0,0.1,0.0,1,30,2,0,37,3,3,3,0,2.2,2.2,2.2,2,1,0.21,0.0,0.21,0.21,0.21,0.16,0.0,0.16,0.16,0.16,6,0.42,6,0,0,0,0,0,1,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,691,23,19,0,5,1,0,0,0,0,0,603,1,3,5,3,60.0,0.35,0.21,0.6,1.0,3.8,0,0.44,0.8,0.8,864,88,452,402,12,8,864,1,0,0.0,1,100.0,436,2235,1285,3,0,5,1,535,591916,Centre-Back,29-04-2000,24,['Spain'],185,right,01-07-2022,Bilbao Athletic,30-06-2029,22000000,0,12.323943661971832,3.6760563380281694,0.8612676056338028,7.183098591549296,1.6901408450704227
