Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Final Third,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Defensive Contributions,Passing Ability,Build-Up Play,Ball Recovery & Defensive Work,Line Breaking Passes
12,Abdoulaye Touré,GUI,MF,Le Havre,fr  Ligue 1,31-008,1994,19,17,1523,16.9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,80,67.7,86,11,2,27,0,0.68,15,38,-23,-1.36,-0.86,18.7,32.7,-14.0,-0.83,-0.53,4,0,0,23,29,1,5,25,24,0,0,0,109,24,15,61.5,45,24,27,13,5,25,40,62.5,15,24,14,10,25,70,31,3,548,668,82.0,9867,2805,232,272,85.3,235,279,84.2,65,87,74.7,1,0.1,0.4,0.9,4,60,6,2,70,4,5,1,3,4.9,1.6,1.7,8,17,0.24,0.06,0.3,0.06,0.12,0.29,0.01,0.3,0.09,0.1,31,1.83,20,0,1,4,5,1,3,0.18,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,654,8,7,1,5,5,0,0,0,0,0,548,6,4,25,3,12.0,1.48,0.18,0.04,0.33,23.1,0,0.06,-0.9,-0.6,877,65,264,485,135,19,873,23,13,56.5,7,30.4,442,2004,879,10,0,20,23,520,181382,Defensive Midfield,03-03-1994,30,"['Guinea', 'France']",188,right,26-07-2023,Genoa CFC,30-06-2025,3000000,Rib fracture - Return unknown,13.846153846153847,4.852071005917161,1.7485207100591718,0.7928994082840237,0.7928994082840237
26,Adam Wharton,ENG,MF,Crystal Palace,eng  Premier League,20-282,2004,13,10,843,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,33.5,79,3,3,19,1,1.38,12,11,1,0.11,0.0,14.8,12.0,2.9,0.31,-0.01,1,0,0,7,16,0,24,13,12,0,0,0,70,7,14,33.3,28,12,11,14,3,13,32,40.6,19,8,1,7,13,41,18,0,384,502,76.5,7352,2782,140,170,82.4,185,228,81.1,53,80,66.3,0,2.0,1.4,-2.0,19,57,16,5,88,0,0,0,0,0.3,0.3,2.2,9,10,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.24,0.03,0.24,46,4.92,38,6,0,1,0,1,4,0.43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,475,24,8,5,1,24,0,16,10,1,0,384,3,8,10,5,50.0,1.07,0.53,0.0,0.0,25.0,0,0.03,-0.3,-0.3,600,16,132,318,153,6,600,7,1,14.3,6,85.7,294,1345,717,14,2,9,11,372,744149,Defensive Midfield,06-02-2004,21,['England'],182,left,01-02-2024,Blackburn Rovers,30-06-2029,32000000,0,14.574468085106382,8.138297872340425,3.321276595744681,0.8829787234042553,1.7446808510638299
52,Alberto Grassi,ITA,MF,Empoli,it  Serie A,30-004,1995,19,18,1427,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,56.6,78,6,1,17,1,0.53,11,24,-13,-0.82,-0.08,13.9,21.4,-7.6,-0.48,0.15,6,0,0,17,24,1,6,21,16,1,0,0,83,17,12,58.6,30,16,11,15,4,10,14,71.4,4,17,10,7,21,51,31,1,432,570,75.8,7265,2159,178,217,82.0,223,276,80.8,22,47,46.8,0,0.2,0.3,-0.2,5,36,5,0,43,1,1,1,0,0.6,0.6,0.8,11,11,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,16,1.01,14,0,0,0,1,1,1,0.06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,545,22,20,1,1,6,2,0,0,0,0,432,3,9,5,2,40.0,0.32,0.13,0.2,0.5,13.2,0,0.12,0.4,0.4,714,55,216,409,98,12,714,7,3,42.9,3,42.9,310,1471,598,8,1,15,13,375,197473,Defensive Midfield,07-03-1995,29,['Italy'],183,right,01-07-2023,Parma Calcio 1913,30-06-2026,1800000,Team captain,11.446540880503145,4.767295597484276,1.389308176100629,0.6540880503144654,0.5283018867924528
62,Aleksandar Pavlovic,GER,MF,Bayern Munich,de  Bundesliga,20-312,2004,15,14,1041,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,46.3,73,5,1,22,3,2.4,33,8,25,2.16,0.23,25.0,8.1,16.9,1.46,-0.61,2,0,0,13,5,0,5,3,16,0,0,0,56,6,7,46.2,30,16,9,13,8,18,27,66.7,9,17,3,14,3,33,9,0,1073,1143,93.9,16854,4086,592,609,97.2,415,431,96.3,53,76,69.7,0,0.2,1.4,-0.2,5,128,10,1,92,1,1,1,0,0.4,0.4,0.6,8,30,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.05,0.03,0.05,20,1.73,19,0,0,1,0,0,1,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,1135,7,4,2,5,5,3,0,0,0,0,1073,1,6,7,3,42.9,0.61,0.26,0.14,0.33,20.9,0,0.06,0.6,0.6,1230,11,138,821,276,10,1230,4,4,100.0,0,0.0,730,3149,1356,28,3,11,1,1032,792380,Defensive Midfield,03-05-2004,20,"['Germany', 'Serbia']",188,both,01-11-2023,: Ablöse -,30-06-2029,50000000,0,9.913793103448276,8.094827586206897,3.660344827586207,0.5086206896551724,1.9396551724137931
108,Aljoscha Kemlein,GER,MF,Union Berlin,de  Bundesliga,20-221,2004,15,11,922,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,41.0,77,4,4,20,4,0.8,6,17,-11,-1.07,-0.73,11.5,14.3,-2.8,-0.27,-0.06,3,0,0,15,2,1,5,6,4,0,1,0,58,19,14,57.6,10,4,4,5,1,5,14,35.7,9,14,3,11,6,16,15,0,351,465,75.5,5960,1692,163,195,83.6,132,165,80.0,40,64,62.5,0,0.6,0.7,-0.6,10,28,6,1,42,1,1,1,0,0.9,0.9,1.5,5,19,0.1,0.0,0.1,0.1,0.1,0.09,0.06,0.15,0.09,0.15,21,2.05,18,2,0,0,0,1,2,0.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,445,16,3,0,4,5,1,3,2,0,1,351,4,8,11,3,27.3,1.07,0.29,0.09,0.33,17.4,1,0.09,0.1,0.1,549,16,117,331,105,18,549,9,6,66.7,3,33.3,260,952,437,5,1,11,1,329,692737,Defensive Midfield,02-08-2004,20,['Germany'],187,right,01-07-2023,1.FC Union Berlin U19,0,7000000,Knock - Return unknown,10.098039215686276,7.401960784313726,1.7862745098039219,0.6274509803921569,0.7843137254901961
117,Amadou Koné,MLI,MF,Reims,fr  Ligue 1,19-301,2005,15,8,668,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29.7,66,2,7,20,3,0.6,7,9,-2,-0.27,0.41,11.4,13.4,-2.0,-0.27,0.56,1,1,0,10,31,0,0,9,21,0,1,0,44,8,12,40.0,31,21,19,12,0,17,22,77.3,5,10,2,8,9,40,14,0,314,352,89.2,5683,1562,129,146,88.4,144,154,93.5,31,39,79.5,0,0.1,0.2,-0.1,3,33,4,0,48,0,0,0,0,0.2,0.2,0.3,15,8,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,14,1.89,10,0,1,1,1,1,1,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,348,4,3,1,1,0,1,0,0,0,0,314,0,1,8,1,12.5,1.08,0.13,0.0,0.0,27.1,0,0.03,-0.2,-0.2,448,32,120,276,61,2,448,16,12,75.0,2,12.5,283,1871,934,8,0,10,8,308,1178474,Defensive Midfield,14-05-2005,19,"[""Cote d'Ivoire"", 'Mali']",0,left,01-07-2024,Stade Reims B,30-06-2028,1000000,0,14.594594594594595,12.054054054054054,2.151351351351351,0.7162162162162162,1.135135135135135
118,Amadou Onana,BEL,MF,Aston Villa,eng  Premier League,23-207,2001,17,14,1079,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,41.3,72,6,3,23,2,1.47,13,21,-8,-0.67,-0.9,14.9,17.4,-2.6,-0.21,-0.43,4,0,0,24,16,0,1,19,22,0,0,0,56,20,14,58.8,38,22,18,17,3,11,21,52.4,10,13,6,7,19,57,26,3,464,526,88.2,7190,1625,233,247,94.3,200,222,90.1,18,25,72.0,0,0.2,0.2,-0.2,5,32,5,1,36,2,2,2,0,1.8,1.8,2.0,13,10,0.17,0.0,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17,17,1.42,12,1,0,4,0,0,2,0.17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,523,2,2,1,0,1,0,0,0,0,0,464,1,9,14,4,28.6,1.17,0.33,0.14,0.5,13.8,0,0.13,0.2,0.2,662,49,185,387,103,15,662,14,9,64.3,3,21.4,359,1697,802,15,0,7,7,435,485706,Defensive Midfield,16-08-2001,23,"['Belgium', 'Senegal']",195,right,22-07-2024,Everton FC,30-06-2029,55000000,"Hamstring injury - Return expected on Feb 25, 2025",12.666666666666666,7.3500000000000005,1.3875,0.625,0.6083333333333333
149,André,BRA,MF,Wolves,eng  Premier League,23-238,2001,23,21,1657,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,65.8,79,9,2,3,2,0.83,25,36,-11,-0.6,0.24,19.1,28.6,-9.5,-0.52,-0.09,4,0,0,22,26,0,0,22,39,0,1,0,122,2,6,25.0,57,39,25,27,5,24,40,60.0,16,32,7,25,22,79,26,1,786,848,92.7,12864,3663,390,409,95.4,318,334,95.2,55,68,80.9,0,0.6,0.5,-0.6,11,78,3,0,72,0,0,0,0,0.2,0.2,0.8,6,9,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,33,1.79,26,3,1,0,0,3,2,0.11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,823,23,20,4,12,0,1,0,0,0,0,786,2,9,6,1,16.7,0.33,0.05,0.0,0.0,22.0,0,0.04,-0.2,-0.2,1040,74,289,662,96,2,1040,20,9,45.0,7,35.0,560,2418,1088,12,0,19,12,696,800176,Defensive Midfield,16-07-2001,23,['Brazil'],176,right,30-08-2024,Fluminense Football Club,30-06-2029,25000000,0,14.07608695652174,5.03804347826087,2.05054347826087,0.782608695652174,0.875
163,Angelo Stiller,GER,MF,Stuttgart,de  Bundesliga,23-341,2001,25,24,2186,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,97.2,90,22,1,34,0,1.48,42,39,3,0.12,-2.69,41.2,35.0,6.2,0.25,-0.52,4,0,0,18,34,1,60,22,22,1,0,0,117,15,21,41.7,41,22,14,21,6,13,26,50.0,13,22,7,15,22,63,45,4,1730,1980,87.4,29363,9825,802,857,93.6,750,835,89.8,144,221,65.2,5,4.7,6.2,0.3,40,216,40,8,217,1,6,1,0,1.0,1.0,5.8,28,49,0.04,0.21,0.25,0.04,0.25,0.04,0.2,0.24,0.04,0.24,83,3.42,69,10,2,0,2,0,6,0.25,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1847,125,60,11,5,60,5,32,17,5,0,1730,8,13,13,3,23.1,0.54,0.12,0.08,0.33,20.1,0,0.08,0.0,0.0,2172,66,418,1344,420,24,2172,25,18,72.0,7,28.0,1204,5236,2778,24,3,13,20,1648,443710,Defensive Midfield,04-04-2001,23,['Germany'],183,left,25-08-2023,TSG 1899 Hoffenheim,30-06-2028,32000000,0,10.164609053497943,3.5967078189300414,4.697530864197531,0.5720164609053497,1.9465020576131686
175,Anthony Losilla,FRA,MF,Bochum,de  Bundesliga,39-001,1986,19,13,1083,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,48.1,72,5,6,24,4,0.84,9,30,-21,-1.75,-1.59,12.4,23.8,-11.4,-0.94,-0.35,1,0,0,18,9,1,4,18,16,0,0,0,40,25,22,53.2,28,16,14,11,3,16,32,50.0,16,21,7,14,18,46,25,1,294,386,76.2,4704,1771,131,160,81.9,127,161,78.9,18,37,48.6,0,0.4,0.6,-0.4,7,18,8,3,42,0,0,0,0,0.1,0.1,0.5,3,11,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,18,1.49,17,0,0,0,1,0,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,377,8,8,0,1,4,0,0,0,0,0,294,1,7,3,0,0.0,0.25,0.0,0.0,0.0,23.7,0,0.03,-0.1,-0.1,507,35,141,285,85,2,507,5,1,20.0,4,80.0,206,732,293,3,1,10,7,260,111266,Defensive Midfield,10-03-1986,38,['France'],185,right,01-07-2014,SG Dynamo Dresden,30-06-2025,500000,Team captain,11.0,6.3500000000000005,1.5591666666666668,0.48333333333333334,0.5583333333333333
