Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Final Third,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Defensive Actions,Aerial Duels,Passing and Build-up,Defensive Awareness,Discipline,Defensive Duties,Offensive Contributions,Final Third Play,Possession Play,Dribbling,Dribbling Accuracy,Defensive Contributions,Passing Ability,Build-Up Play,Ball Recovery & Defensive Work,Line Breaking Passes,Playmaking,Ball Progression,Final Third Impact,Goal Threat,Final Ball Efficiency,Passing,Ball Carrying,Defensive Work,Chance Creation,Possession Retention,Crosses and Playmaking,Chance Conversion,Link-Up Play,Shooting Accuracy,Penalty Box Presence,Shot Stopping,Expected Goals Prevented,Cross and Aerial Control,Sweeper Keeper Activity,Distribution Ability
22,Adam Masina,MAR,DF,Torino,it  Serie A,31-068,1994,20,15,1452,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,57.6,89,13,5,24,7,1.2,18,21,-3,-0.19,-0.35,16.2,23.2,-7,-0.43,0.07,5,0,0,18,15,1,13,18,14,1,0,0,63,50,16,75.8,28,14,20,7,1,20,35,57.1,15,23,14,9,18,46,63,2,817,970,84.2,15027,5538,309,340,90.9,424,479,88.5,75,135,55.6,2,0.3,0.5,1.7,3,51,5,2,61,1,3,1,0,0.2,0.2,0.5,13,7,0.06,0.12,0.19,0.06,0.19,0.01,0.02,0.03,0.01,0.03,16,0.99,13,0,2,0,1,0,4,0.25,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,921,47,18,1,7,13,23,0,0,0,0,817,2,3,5,2,40,0.31,0.12,0.2,0.5,14.5,0,0.05,0.8,0.8,1139,131,494,582,67,9,1139,8,3,37.5,5,62.5,647,2972,1684,8,1,7,4,750,286949,Centre-Back,02-01-1994,31,"['Morocco', 'Italy']",191,left,01-07-2024,Udinese Calcio,30-06-2026,1500000,0,12.11180124,4.708074534,9.204968944,5.341614907,1.428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Adam Obert,SVK,DF,Cagliari,it  Serie A,22-200,2002,16,11,876,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,34.8,72,4,5,18,11,1.06,12,12,0,0,0.82,10.7,15.2,-4.5,-0.46,-0.11,3,0,0,16,7,0,9,18,16,0,0,0,52,24,17,58.5,28,16,11,17,0,14,25,56,11,16,7,9,18,46,38,2,332,436,76.1,5487,2273,169,189,89.4,133,158,84.2,24,56,42.9,1,0.4,0.2,0.6,9,33,4,1,45,1,2,1,0,0.9,0.9,1.2,12,16,0.1,0.1,0.21,0.1,0.21,0.09,0.04,0.13,0.09,0.13,24,2.47,18,3,0,2,1,0,4,0.41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,338,95,11,0,3,9,84,0,0,0,0,332,3,17,9,2,22.2,0.92,0.21,0.11,0.5,12,0,0.11,0.1,0.1,575,51,244,255,90,13,575,9,5,55.6,4,44.4,236,1226,674,8,0,22,7,253,568333,Centre-Back,23-08-2002,22,['Slovakia'],188,left,01-07-2021,Sampdoria Primavera,30-06-2029,3000000,0,15.67010309,6.030927835,13.41237113,5.567010309,1.958762887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Alan Matturro,URU,DF,Genoa,it  Serie A,20-151,2004,10,8,767,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,30.4,90,8,2,24,12,0.9,7,11,-4,-0.47,-0.16,6.9,11.1,-4.2,-0.49,-0.41,2,0,0,8,5,2,6,12,5,0,0,0,24,13,15,46.4,10,5,5,5,0,3,14,21.4,11,6,2,4,12,22,33,0,259,326,79.4,5262,1671,64,79,81,168,188,89.4,25,47,53.2,0,0.2,0.3,-0.2,3,9,4,2,14,0,0,0,0,0.1,0.1,0.3,11,8,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,8,0.94,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,300,25,4,0,1,6,20,0,0,0,0,259,1,5,3,3,100,0.35,0.35,0,0,16.9,0,0.05,-0.1,-0.1,408,47,227,147,36,8,408,3,2,66.7,1,33.3,204,1153,623,5,1,6,3,240,861981,Centre-Back,11-10-2004,20,"['Uruguay', 'Italy']",189,left,02-01-2023,Defensor Sporting Club,30-06-2026,8000000,0,10,5.458823529,11.34117647,4.588235294,1.176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Alberto Dossena,ITA,DF,Como,it  Serie A,26-149,1998,22,20,1808,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,71.7,87,14,2,35,3,0.95,25,33,-8,-0.4,-0.15,22.5,22.8,-0.3,-0.02,-0.24,1,1,0,22,16,0,1,22,19,0,2,0,67,58,24,70.7,32,19,22,8,2,15,27,55.6,12,22,11,11,22,54,88,1,890,1015,87.7,16611,5419,309,335,92.2,505,544,92.8,64,109,58.7,2,0.7,0.4,1.3,5,33,1,0,35,0,2,0,0,0.8,0.8,1.5,4,1,0,0.1,0.1,0,0.1,0.04,0.03,0.07,0.04,0.07,11,0.55,9,0,1,1,0,0,2,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,947,65,43,0,3,1,4,0,0,0,0,890,3,8,12,3,25,0.6,0.15,0,0,11.3,0,0.07,-0.8,-0.8,1212,172,674,512,31,20,1212,6,4,66.7,2,33.3,692,2714,1465,1,0,7,3,774,385394,Centre-Back,13-10-1998,26,['Italy'],195,right,01-07-2024,Cagliari Calcio,30-06-2028,7000000,0,11.49253731,3.517412935,6.353233831,5.472636816,1.194029851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Alessandro Bastoni,ITA,DF,Inter,it  Serie A,25-332,1999,27,26,2013,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,79.9,77,8,1,14,1,2.22,56,19,37,1.65,1.83,41.9,19,22.8,1.02,0.38,3,0,0,34,32,1,56,21,17,0,0,0,76,37,22,62.7,35,17,16,14,5,16,24,66.7,8,19,9,10,21,56,46,1,1675,1886,88.8,30980,9417,716,751,95.3,739,794,93.1,195,285,68.4,4,2.2,2.4,1.8,25,111,41,21,138,1,5,1,0,0.6,0.6,2.8,52,71,0.04,0.18,0.22,0.04,0.22,0.03,0.1,0.12,0.03,0.12,58,2.59,50,3,0,1,2,2,10,0.45,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,1694,183,62,3,21,56,97,0,0,0,0,1675,9,14,10,2,20,0.45,0.09,0.1,0.5,13.1,0,0.06,0.4,0.4,2077,154,670,1024,393,23,2077,15,7,46.7,5,33.3,1388,7097,4310,61,5,23,4,1547,315853,Centre-Back,13-04-1999,25,['Italy'],190,left,30-08-2017,Atalanta BC,30-06-2028,75000000,0,8.794642857,2.799107143,11.24107143,2.901785714,1.651785714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Alessandro Buongiorno,ITA,DF,Napoli,it  Serie A,25-278,1999,19,19,1681,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,66.7,88,18,0,0,2,2.11,29,13,16,0.86,0.21,27.9,14,13.9,0.75,0.28,2,0,0,15,15,1,1,30,19,0,0,0,80,30,17,63.8,33,19,21,11,1,21,26,80.8,5,26,15,11,30,63,55,2,1037,1143,90.7,18035,5732,421,448,94,551,576,95.7,54,94,57.4,0,0.6,0.6,-0.6,5,63,3,0,78,1,1,1,0,0.8,0.8,1.4,24,7,0.05,0,0.05,0.05,0.05,0.04,0.03,0.08,0.04,0.08,16,0.86,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,1094,46,32,0,2,1,3,0,0,0,0,1037,3,8,8,4,50,0.43,0.21,0.13,0.25,11,0,0.1,0.2,0.2,1314,105,564,708,50,13,1314,4,1,25,2,50,823,4159,2506,7,1,11,6,943,386446,Centre-Back,06-06-1999,25,['Italy'],190,left,13-07-2024,Torino FC,30-06-2029,45000000,0,11.97860963,3.411764706,9.288770053,4.331550802,0.909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Alessandro Circati,AUS,DF,Parma,it  Serie A,21-152,2003,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,14.3,90,4,0,0,1,1,6,7,-1,-0.25,0.29,6,7.3,-1.3,-0.33,0.2,1,0,0,3,2,0,0,2,2,0,0,0,5,5,3,62.5,4,2,3,1,0,1,1,100,0,5,4,1,2,6,29,1,149,170,87.6,2853,696,48,56,85.7,84,90,93.3,13,20,65,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,148,22,12,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,57,135,83,1,0,219,0,0,0,0,0,98,406,210,0,0,3,2,125,867137,Centre-Back,10-10-2003,21,"['Australia', 'Italy']",190,right,01-07-2022,Parma Primavera,30-06-2027,8500000,"Cruciate ligament tear - Return expected on Apr 1, 2025",11.25,15.625,23.15,8.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Alessandro Marcandalli,ITA,DF,Genoa,it  Serie A,22-167,2002,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.8,45,0,1,1,18,1,0,1,-1,-1.96,-1.63,0.1,0.6,-0.4,-0.87,-0.68,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100,1,0,1,0,0,0,0,50,0,0,0,0,0,1,2,0,12,20,60,236,47,3,4,75,8,13,61.5,1,1,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,1,1,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,5.7,0,0.05,0,0,24,6,17,6,1,0,24,0,0,0,0,0,11,20,4,1,0,0,0,11,818448,Centre-Back,25-10-2002,22,"['Italy', 'Nigeria']",190,right,29-01-2025,Genoa CFC,30-06-2025,2000000,0,12,200,122,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Alessandro Vogliacco,ITA,DF,Genoa,it  Serie A,26-178,1998,12,8,715,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,28.4,75,5,4,29,7,1.17,5,14,-9,-1.13,-1.08,7.7,13.2,-5.5,-0.69,-0.67,3,0,0,12,2,0,11,9,3,0,1,0,20,11,8,57.9,15,3,7,7,1,10,12,83.3,2,11,7,4,9,24,20,0,266,341,78,5278,2121,97,110,88.2,128,152,84.2,35,64,54.7,0,0,0.2,0,1,35,4,3,26,2,2,2,0,1.3,1.3,1.4,9,2,0.25,0,0.25,0.25,0.25,0.17,0,0.17,0.17,0.17,6,0.76,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,319,21,5,0,4,11,16,0,0,0,0,266,1,8,5,2,40,0.63,0.25,0.4,1,10.6,0,0.27,0.7,0.7,407,37,183,189,35,5,407,1,0,0,1,100,208,1139,666,8,1,2,1,258,330208,Centre-Back,14-09-1998,26,['Italy'],186,right,15-01-2025,Genoa CFC,30-06-2025,2000000,Muscle fatigue - Return unknown,9.493670886,7.329113924,13.29113924,3.924050633,1.898734177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Alessio Romagnoli,ITA,DF,Lazio,it  Serie A,30-058,1995,23,22,1863,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,73.9,84,19,1,25,2,1.83,32,25,7,0.34,-0.62,31.1,20.2,10.9,0.53,0.18,1,1,0,18,8,2,0,21,18,0,0,0,66,59,27,68.6,32,18,14,16,2,15,19,78.9,4,22,10,12,21,53,80,0,1139,1235,92.2,19855,6547,450,476,94.5,612,637,96.1,59,91,64.8,0,0.1,0.1,-0.1,5,61,2,0,56,1,1,1,0,1.3,1.3,1.5,3,3,0.05,0,0.05,0.05,0.05,0.06,0.01,0.07,0.06,0.07,14,0.68,12,0,0,2,0,0,1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,1116,116,41,0,0,0,8,0,0,0,0,1139,3,3,11,4,36.4,0.53,0.19,0.09,0.25,9,0,0.12,-0.3,-0.3,1427,197,654,730,49,27,1427,0,0,0,0,0,757,3004,1268,2,0,6,1,956,197747,Centre-Back,12-01-1995,30,['Italy'],185,left,12-07-2022,AC Milan,30-06-2027,12000000,0,10.6763285,3.314009662,7.400966184,4.927536232,0.966183575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
