Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Final Third,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Defensive Duties,Offensive Contributions,Final Third Play,Possession Play,Dribbling,Dribbling Accuracy
19,Achraf Hakimi,MAR,DF,Paris S-G,fr  Ligue 1,26-127,1998,20,19,1646,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,73.2,86,16,1,17,2,2.7,55,14,41,2.24,1.5,51.4,16.9,34.5,1.89,0.76,4,0,0,17,21,6,66,27,30,0,0,0,113,7,11,38.9,40,30,16,16,8,24,41,58.5,17,21,2,19,27,67,13,2,1518,1711,88.7,20306,5927,973,1036,93.9,439,500,87.8,44,68,64.7,6,5.9,4.7,0.1,45,101,29,8,137,4,10,4,0,2.6,2.6,8.5,81,223,0.22,0.33,0.55,0.22,0.55,0.14,0.32,0.46,0.14,0.46,88,4.81,79,2,3,0,3,1,10,0.55,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,1554,155,27,2,5,66,125,3,0,0,0,1518,2,26,26,11,42.3,1.42,0.6,0.15,0.36,18.3,4,0.1,1.4,1.4,1907,34,355,776,788,69,1907,43,22,51.2,18,41.9,1117,4924,2972,46,18,32,15,1453,398073,Right-Back,04-11-1998,26,"['Morocco', 'Spain']",181,right,06-07-2021,Inter Milan,30-06-2029,60000000,0,10.382513661202186,14.628415300546447,10.98360655737705,5.415628415300546,0.244444444,1.2021857923497268
24,Adam Smith,ENG,DF,Bournemouth,eng  Premier League,33-316,1991,17,12,1035,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,41.1,74,4,5,29,0,1.65,19,13,6,0.52,0.1,23.6,12.7,10.9,0.95,0.8,4,0,0,8,9,0,18,11,8,0,0,0,34,8,11,42.1,16,8,8,4,4,9,19,47.4,10,9,2,7,11,27,37,1,312,407,76.7,5134,1781,149,171,87.1,137,171,80.1,19,50,38.0,0,0.1,0.1,-0.1,3,31,3,1,31,0,0,0,0,0.6,0.6,0.7,7,16,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,12,1.04,8,1,1,0,1,1,1,0.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,327,80,4,0,2,18,76,0,0,0,0,312,0,8,1,0,0.0,0.09,0.0,0.0,0.0,10.2,0,0.6,-0.6,-0.6,507,29,173,222,115,3,507,11,4,36.4,4,36.4,217,783,370,12,0,10,5,224,61841,Right-Back,29-04-1991,33,['England'],174,right,28-01-2014,: Ablöse ?,30-06-2026,1000000,"Muscle injury - Return expected on Mar 1, 2025",8.608695652173912,3.573913043478261,2.869565217391304,1.4464347826086956,0.044444444,0.34782608695652173
37,Adrià Altimira,ESP,"DF,FW",Leganés,es  La Liga,23-348,2001,15,12,1082,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,44.5,79,6,3,43,11,1.0,10,20,-10,-0.83,-0.43,8.3,19.6,-11.2,-0.93,-0.32,3,0,0,21,17,2,10,12,15,0,1,0,52,9,14,39.1,30,15,20,8,2,15,26,57.7,11,11,6,5,12,42,41,2,326,410,79.5,5253,1496,179,204,87.7,118,148,79.7,25,43,58.1,0,0.0,0.2,0.0,2,27,5,0,31,0,0,0,0,0.1,0.1,0.1,14,33,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,8,0.67,6,0,1,0,1,0,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,337,72,3,1,3,10,69,0,0,0,0,326,1,8,4,1,25.0,0.33,0.08,0.0,0.0,24.8,0,0.03,-0.1,-0.1,563,51,189,275,109,2,563,22,8,36.4,10,45.5,241,1205,603,13,1,19,6,281,466807,Right-Back,28-03-2001,23,['Spain'],170,right,21-08-2024,Villarreal CF,30-06-2025,1800000,0,11.333333333333334,3.9333333333333336,2.0,1.3460833333333333,0.088888889,0.6666666666666666
44,Aitor Ruibal,ESP,"FW,DF",Betis,es  La Liga,28-354,1996,19,7,677,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27.9,70,1,12,16,2,1.68,7,10,-3,-0.4,-0.66,10.6,10.5,0.0,0.0,-0.35,3,0,0,4,9,2,18,9,8,0,0,0,35,4,11,26.7,12,8,7,2,3,8,15,53.3,7,9,2,7,9,21,14,0,226,278,81.3,3446,1365,127,134,94.8,74,91,81.3,18,31,58.1,2,1.3,0.8,0.7,13,20,8,4,25,0,2,0,0,0.6,0.6,1.9,15,40,0.0,0.27,0.27,0.0,0.27,0.08,0.17,0.25,0.08,0.25,24,3.18,20,2,1,1,0,0,2,0.27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,239,35,4,0,1,18,26,2,1,1,0,226,4,8,9,2,22.2,1.2,0.27,0.0,0.0,17.9,0,0.07,-0.6,-0.6,367,17,74,167,131,20,367,15,8,53.3,7,46.7,192,978,511,15,4,15,10,228,378139,Right-Back,22-03-1996,28,['Spain'],176,right,01-07-2019,: Ablöse -,30-06-2028,3500000,0,9.866666666666667,7.173333333333333,7.2,2.2061333333333333,0.088888889,1.0666666666666667
72,Alessandro Florenzi,ITA,"DF,FW",Milan,it  Serie A,34-000,1991,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,130365,Right-Back,11-03-1991,33,['Italy'],173,right,01-07-2022,AS Roma,30-06-2025,1500000,"Cruciate ligament tear - Return expected on Apr 30, 2025",0.0,0.0,0.0,0.0,0.0,0.0
76,Alessandro Zanoli,ITA,"FW,DF",Genoa,it  Serie A,24-159,2000,23,15,1340,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,53.2,75,3,8,27,2,1.09,15,17,-2,-0.13,0.48,12.2,18.8,-6.6,-0.44,-0.5,3,0,0,15,12,1,53,9,17,0,0,0,45,16,10,61.5,25,17,11,12,2,9,18,50.0,9,14,2,12,9,34,38,0,268,401,66.8,4467,1397,130,159,81.8,111,156,71.2,18,47,38.3,0,1.3,0.9,-1.3,16,9,19,12,24,0,0,0,0,0.3,0.3,1.6,57,73,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,27,1.81,21,2,2,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,361,40,0,1,1,53,40,0,0,0,0,268,0,18,8,1,12.5,0.54,0.07,0.0,0.0,20.7,0,0.03,-0.3,-0.3,569,27,147,225,204,32,569,42,15,35.7,25,59.5,276,2671,1461,38,19,27,7,343,397225,Right-Back,03-10-2000,24,['Italy'],188,right,11-07-2024,SSC Napoli,30-06-2025,6000000,0,7.85234899328859,6.570469798657719,7.919463087248322,1.6689261744966444,0.166666667,1.006711409395973
109,Allan Nyom,CMR,"DF,MF",Getafe,es  La Liga,36-305,1988,12,8,640,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,26.3,72,3,4,17,1,1.08,5,6,-1,-0.14,-0.24,4.6,8.4,-3.8,-0.53,-0.37,4,0,0,17,6,0,14,2,7,0,1,0,22,5,12,29.4,12,7,5,6,1,9,11,81.8,2,2,1,1,2,14,14,0,207,260,79.6,3320,1216,105,115,91.3,85,100,85.0,13,38,34.2,1,0.3,0.3,0.7,4,17,5,4,19,1,2,1,0,0.5,0.5,0.7,4,17,0.14,0.14,0.28,0.14,0.28,0.07,0.04,0.1,0.07,0.1,10,1.41,6,0,0,1,2,1,2,0.28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,206,54,5,0,0,14,49,0,0,0,0,207,0,1,8,4,50.0,1.13,0.56,0.13,0.25,16.2,0,0.06,0.5,0.5,327,12,69,171,89,13,327,8,3,37.5,5,62.5,153,611,310,9,0,15,3,178,111508,Right-Back,10-05-1988,36,"['Cameroon', 'France']",189,right,08-10-2024,Without Club,30-06-2025,400000,0,6.338028169014085,3.8450704225352115,4.084507042253521,1.7211267605633804,0.033333333,0.4225352112676057
132,Andoni Gorosabel,ESP,DF,Athletic Club,es  La Liga,28-219,1996,13,11,917,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,37.7,81,4,2,13,14,1.69,11,10,1,0.1,-1.09,11.7,11.0,0.7,0.07,-0.85,3,0,0,15,3,1,25,10,13,0,0,0,39,10,16,38.5,28,13,17,7,4,15,26,57.7,11,13,1,12,10,38,30,0,497,581,85.5,7470,2191,287,303,94.7,187,222,84.2,17,34,50.0,2,1.5,1.3,0.5,10,45,10,7,36,0,2,0,0,0.3,0.3,1.9,13,34,0.0,0.2,0.2,0.0,0.2,0.03,0.15,0.18,0.03,0.18,23,2.26,22,1,0,0,0,0,2,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,472,108,7,0,0,25,101,0,0,0,0,497,1,10,2,1,50.0,0.2,0.1,0.0,0.0,22.2,0,0.17,-0.3,-0.3,694,25,157,374,168,8,694,6,3,50.0,3,50.0,287,1082,484,11,2,11,10,384,289255,Right-Back,04-08-1996,28,['Spain'],174,right,01-07-2024,Deportivo Alavés,30-06-2028,5000000,0,10.686274509803923,5.911764705882353,5.882352941176471,2.3794117647058823,0.033333333,0.29411764705882354
155,Andrés García,ESP,"DF,MF",Aston Villa,eng  Premier League,22-032,2003,5,4,267,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10.2,62,1,1,21,2,1.0,4,5,-1,-0.34,-0.22,3.5,6.1,-2.6,-0.86,-1.0,0,0,0,1,0,0,16,0,5,0,0,0,11,0,4,0.0,7,5,5,2,0,3,6,50.0,3,2,0,2,0,7,8,2,138,162,85.2,2073,443,76,82,92.7,53,60,88.3,5,10,50.0,0,0.1,0.3,-0.1,2,7,6,4,12,0,0,0,0,0.0,0.0,0.1,22,19,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,141,21,0,0,0,16,21,0,0,0,0,138,0,5,2,0,0.0,0.67,0.0,0.0,0.0,26.6,0,0.02,0.0,0.0,208,6,30,86,93,2,208,16,5,31.3,10,62.5,124,982,538,12,2,8,6,133,1063329,Right-Back,07-02-2003,22,['Spain'],185,right,21-01-2025,Levante UD,0,1200000,"No eligibility - until Jun 30, 2025 - UEFA Champions League - 2 matchdays",8.666666666666666,12.1,8.666666666666666,3.791,0.055555556,1.6666666666666667
159,Andy Pelmard,FRA,DF,Lecce,it  Serie A,24-364,2000,3,1,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5.1,90,1,2,20,13,0.33,0,4,-4,-2.79,-1.96,0.8,3.9,-3.1,-2.15,-1.55,1,0,0,2,0,0,0,0,6,0,0,0,4,0,1,0.0,6,6,5,1,0,4,4,100.0,0,1,0,1,0,6,5,0,27,34,79.4,525,145,12,12,100.0,11,14,78.6,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,9,1,0,0,0,8,0,0,0,0,27,0,1,0,0,0.0,0.0,0.0,0.0,0.0,28.9,0,0.01,0.0,0.0,48,5,23,20,7,0,48,1,1,100.0,0,0.0,19,72,24,1,0,0,0,19,494236,Right-Back,12-03-2000,24,"['France', 'Guadeloupe']",180,right,20-01-2025,Clermont Foot 63,30-06-2025,2500000,0,10.714285714285715,1.4285714285714286,0.7142857142857143,0.875,0.011111111,0.7142857142857143
179,Antoine Hainaut,FRA,"DF,MF",Parma,it  Serie A,23-021,2002,19,7,820,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,32.5,83,4,12,20,8,0.84,12,18,-6,-0.66,-0.24,9.1,15.8,-6.7,-0.73,-0.35,3,0,0,9,12,1,17,12,11,0,0,0,40,23,9,71.9,19,11,11,5,3,9,11,81.8,2,11,3,8,12,31,37,0,277,370,74.9,4375,1839,133,161,82.6,107,141,75.9,20,44,45.5,0,0.4,0.9,-0.4,4,22,10,4,28,1,1,1,0,0.6,0.6,1.0,20,27,0.11,0.0,0.11,0.11,0.11,0.06,0.05,0.11,0.06,0.11,13,1.43,10,0,1,1,1,0,2,0.22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,315,54,5,0,2,17,48,1,0,0,0,277,1,5,5,2,40.0,0.55,0.22,0.2,0.5,19.6,0,0.11,0.4,0.4,492,31,137,227,134,8,492,19,10,52.6,7,36.8,245,1302,691,11,2,15,6,273,917375,Right-Back,18-02-2002,23,['France'],187,right,31-01-2022,US Boulogne,30-06-2026,1000000,0,12.197802197802199,5.813186813186813,4.615384615384616,1.9532967032967032,0.111111111,1.098901098901099
182,Antoine Mendy,FRA,DF,Nice,fr  Ligue 1,20-288,2004,11,5,539,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,24.0,81,3,6,23,8,1.82,10,8,2,0.33,-0.56,6.9,8.1,-1.2,-0.2,-1.09,1,0,0,5,7,0,7,5,17,0,0,0,35,9,9,50.0,24,17,12,12,0,16,23,69.6,7,7,3,4,5,29,22,0,249,320,77.8,4266,1461,108,120,90.0,116,141,82.3,22,49,44.9,0,0.1,0.2,-0.1,2,19,7,3,20,0,0,0,0,0.4,0.4,0.5,9,11,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.09,0.07,0.09,8,1.34,6,0,1,0,1,0,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,270,50,12,1,1,7,38,0,0,0,0,249,0,3,4,1,25.0,0.67,0.17,0.0,0.0,9.8,0,0.11,-0.4,-0.4,402,32,153,214,40,7,402,11,4,36.4,5,45.5,180,915,493,3,0,8,3,225,891998,Right-Back,27-05-2004,20,"['France', 'Senegal']",187,right,01-07-2022,OGC Nice B,30-06-2028,3000000,0,13.5,5.2,3.6666666666666665,1.3776666666666666,0.044444444,0.6666666666666666
188,Antonio Candela,ITA,DF,Venezia,it  Serie A,24-318,2000,14,12,1008,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,40.0,80,6,2,24,5,0.71,9,23,-14,-1.25,-0.95,9.6,18.5,-8.9,-0.79,-0.24,2,0,0,14,4,0,22,8,21,0,2,1,38,14,13,51.9,31,21,13,11,7,18,26,69.2,8,7,5,2,8,39,22,2,299,403,74.2,4708,1990,158,183,86.3,120,162,74.1,15,35,42.9,1,0.8,0.5,0.2,9,26,6,6,27,0,1,0,0,0.3,0.3,1.2,12,25,0.0,0.09,0.09,0.0,0.09,0.03,0.07,0.11,0.03,0.11,17,1.52,13,1,1,0,0,2,1,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,350,51,3,0,1,22,48,0,0,0,0,299,2,5,5,0,0.0,0.45,0.0,0.0,0.0,19.1,0,0.07,-0.3,-0.3,505,38,198,201,112,13,505,12,6,50.0,5,41.7,250,1430,700,5,2,17,10,285,392881,Right-Back,27-04-2000,24,['Italy'],185,right,03-02-2025,Venezia FC,30-06-2025,2300000,0,7.857142857142858,4.330357142857143,4.196428571428572,1.4203571428571427,0.066666667,0.5357142857142857
198,Archie Gray,ENG,DF,Tottenham,eng  Premier League,18-364,2006,20,12,1155,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,45.8,90,11,8,10,8,1.35,24,22,2,0.16,-0.64,17.1,25.6,-8.5,-0.66,-1.15,0,0,0,8,10,0,5,8,4,0,0,1,49,9,7,56.3,10,4,3,4,3,5,14,35.7,9,14,8,6,8,18,37,2,809,901,89.8,14333,4559,295,318,92.8,460,490,93.9,45,72,62.5,0,0.0,0.1,0.0,1,29,0,0,27,0,0,0,0,0.0,0.0,0.1,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.23,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,841,59,28,0,0,5,23,0,0,0,0,809,1,13,1,1,100.0,0.08,0.08,0.0,0.0,24.6,0,0.02,0.0,0.0,993,127,509,443,50,1,993,8,4,50.0,3,37.5,709,3176,1303,5,0,4,7,762,922693,Right-Back,12-03-2006,18,"['England', 'Scotland']",187,right,02-07-2024,Leeds United,30-06-2030,25000000,0,8.671875,2.4296875,0.625,1.510390625,0.044444444,0.3125
218,Arthur,BRA,"DF,FW",Leverkusen,de  Bundesliga,21-359,2003,12,6,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22.0,74,2,6,8,10,2.17,11,5,6,1.09,0.12,8.8,4.8,4.0,0.73,-0.18,0,0,0,12,5,0,12,8,10,0,0,0,20,8,7,53.3,13,10,3,8,2,5,10,50.0,5,7,0,7,8,21,18,0,194,250,77.6,2892,734,116,121,95.9,67,93,72.0,6,16,37.5,1,0.4,0.8,0.6,2,10,4,0,14,0,1,0,0,0.0,0.0,0.4,8,43,0.0,0.18,0.18,0.0,0.18,0.0,0.07,0.07,0.0,0.07,3,0.55,3,0,0,0,0,0,1,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,219,31,0,0,0,12,31,0,0,0,0,194,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,336,12,65,148,125,10,336,15,2,13.3,13,86.7,150,704,345,7,2,11,3,200,977464,Right-Back,17-03-2003,21,['Brazil'],174,right,01-07-2023,América Futebol Clube (MG),30-06-2028,5000000,0,10.181818181818182,4.509090909090909,3.8181818181818183,2.798545454545455,0.022222222,0.36363636363636365
235,Aurélio Buta,POR,DF,Reims,fr  Ligue 1,28-029,1997,20,18,1489,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,66.2,81,12,2,16,2,1.05,20,26,-6,-0.36,0.58,18.6,25.6,-6.9,-0.42,0.72,5,0,0,27,21,2,24,17,21,0,1,0,59,9,10,47.4,33,21,20,10,3,19,35,54.3,16,11,2,9,17,50,43,0,668,801,83.4,10045,3658,367,417,88.0,254,297,85.5,30,51,58.8,1,0.4,0.8,0.6,8,48,12,4,72,0,1,0,0,0.2,0.2,0.6,19,50,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,26,1.57,19,5,0,2,0,0,4,0.24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,649,151,10,0,0,24,140,0,0,0,0,668,1,14,7,1,14.3,0.42,0.06,0.0,0.0,22.4,0,0.03,-0.2,-0.2,959,53,270,450,247,9,959,17,7,41.2,9,52.9,442,2028,952,18,1,21,5,547,258039,Right-Back,10-02-1997,28,"['Portugal', 'Angola']",172,right,29-08-2024,Eintracht Frankfurt,30-06-2025,5000000,0,9.090909090909092,6.048484848484848,3.8181818181818183,2.1057575757575755,0.077777778,0.42424242424242425
237,Axel Tuanzebe,COD,DF,Ipswich Town,eng  Premier League,27-117,1997,14,13,1095,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,43.5,82,7,1,27,0,0.64,11,23,-12,-0.99,0.28,11.3,19.7,-8.4,-0.69,0.62,5,1,1,11,8,0,6,17,13,0,0,0,33,10,10,50.0,24,13,15,3,6,13,20,65.0,7,10,5,5,17,41,35,0,436,519,84.0,6602,2581,240,265,90.6,170,202,84.2,17,30,56.7,1,0.3,0.1,0.7,4,41,1,0,39,0,1,0,0,0.2,0.2,0.5,7,7,0.0,0.08,0.08,0.0,0.08,0.02,0.02,0.04,0.02,0.04,9,0.74,7,1,0,0,1,0,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,427,92,21,0,1,6,71,0,0,0,0,436,0,8,4,0,0.0,0.33,0.0,0.0,0.0,15.7,0,0.05,-0.2,-0.2,623,55,254,280,95,6,623,7,4,57.1,3,42.9,284,1239,573,6,1,9,1,346,342046,Right-Back,14-11-1997,27,"['DR Congo', 'England']",185,right,08-09-2023,Without Club,30-06-2025,5000000,"Indirect card suspension - until Feb 24, 2025 - Premier League - 1 matchday",9.01639344262295,4.106557377049181,1.3934426229508197,1.3198360655737704,0.044444444,0.3278688524590164
