Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Final Third,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,Dribbling,Crosses and Playmaking,Goal Threat,Final Third Impact,Ball Carrying
4,Abdallah Sima,SEN,"FW,MF",Brest,fr  Ligue 1,23-267,2001,20,10,899,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40.0,65,1,10,25,0,1.45,16,17,-1,-0.1,-0.03,15.7,16.1,-0.4,-0.04,0.3,2,0,0,10,19,3,14,1,8,0,0,0,50,28,30,48.3,9,8,1,3,5,4,9,44.4,5,5,0,5,1,10,9,0,176,253,69.6,2396,514,109,140,77.9,53,77,68.8,7,8,87.5,2,0.9,0.7,1.1,10,7,4,1,21,4,6,4,0,4.3,4.3,5.2,31,68,0.4,0.2,0.6,0.4,0.6,0.44,0.09,0.52,0.44,0.52,22,2.2,14,0,1,4,3,0,3,0.3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,248,5,2,0,1,14,3,0,0,0,0,176,0,12,29,12,41.4,2.9,1.2,0.14,0.33,13.7,0,0.15,-0.3,-0.3,387,9,54,144,194,51,387,21,6,28.6,11,52.4,231,1616,570,13,17,35,13,280,776798,Right Winger,17-06-2001,23,['Senegal'],188,right,21-08-2024,Brighton & Hove Albion,30-06-2025,10000000,0,5.4,1.56,1.26,2.15,5.4
28,Adama Traoré,ESP,"FW,MF",Fulham,eng  Premier League,29-045,1996,26,15,1379,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,54.7,76,4,11,21,1,1.58,25,20,5,0.33,0.48,23.0,16.0,7.0,0.46,0.48,2,0,0,19,28,1,81,1,9,0,0,0,68,22,18,55.0,14,9,7,2,5,5,13,38.5,8,5,0,5,1,15,4,2,338,474,71.3,5288,1312,186,232,80.2,113,156,72.4,25,43,58.1,5,4.1,3.8,0.9,32,27,26,14,53,2,7,2,0,3.7,3.7,7.8,78,133,0.13,0.33,0.46,0.13,0.46,0.24,0.27,0.51,0.24,0.51,65,4.24,52,0,7,4,0,2,7,0.46,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,473,0,0,5,2,81,0,0,0,0,0,338,1,16,34,11,32.4,2.22,0.72,0.06,0.18,14.3,0,0.11,-1.7,-1.7,642,1,63,227,370,79,642,76,38,50.0,28,36.8,440,3625,2028,35,31,28,15,498,204103,Right Winger,25-01-1996,29,"['Spain', 'Mali']",178,right,12-08-2023,Wolverhampton Wanderers,30-06-2025,10000000,0,9.607843137254902,5.810457516339869,0.6143790849673203,2.7908496732026142,9.607843137254902
30,Adnan Januzaj,BEL,"MF,FW",Las Palmas,es  La Liga,30-034,1995,9,3,322,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13.3,77,1,6,15,4,0.89,6,3,3,0.84,1.61,4.4,7.0,-2.6,-0.72,0.22,3,0,0,2,12,0,35,0,4,0,0,0,17,1,8,11.1,6,4,1,5,0,4,5,80.0,1,4,0,4,0,6,2,0,129,182,70.9,2497,884,56,63,88.9,53,68,77.9,20,41,48.8,1,0.7,1.2,0.3,9,15,5,2,20,2,3,2,0,0.5,0.5,1.2,14,30,0.56,0.28,0.84,0.56,0.84,0.15,0.19,0.34,0.15,0.34,22,6.15,9,6,0,3,4,0,5,1.4,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,153,29,4,5,3,35,8,17,9,5,0,129,0,10,10,3,30.0,2.8,0.84,0.2,0.67,23.5,4,0.05,1.5,1.5,237,4,21,106,111,10,237,18,4,22.2,13,72.2,142,907,403,3,4,15,3,173,177847,Right Winger,05-02-1995,30,"['Belgium', 'Kosovo']",186,left,24-07-2024,Sevilla FC,30-06-2025,1500000,0,6.111111111111111,10.25,0.8333333333333333,3.3333333333333335,6.111111111111111
78,Alessio Iovine,ITA,"DF,FW",Como,it  Serie A,34-038,1991,9,3,377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15.0,75,2,6,25,18,0.89,6,7,-1,-0.24,0.14,5.7,4.0,1.6,0.39,0.4,2,0,0,5,6,0,15,3,2,0,0,0,16,2,7,22.2,5,2,2,3,0,4,10,40.0,6,7,1,6,3,8,21,1,162,215,75.3,3009,899,64,75,85.3,75,90,83.3,20,40,50.0,0,0.2,0.2,-0.2,3,6,3,3,6,0,0,0,0,0.0,0.0,0.2,9,7,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,5,1.19,2,2,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,171,44,3,0,1,15,41,0,0,0,0,162,0,5,1,0,0.0,0.24,0.0,0.0,0.0,26.0,0,0.02,0.0,0.0,255,13,83,116,58,3,255,1,1,100.0,0,0.0,114,608,327,8,2,1,0,140,330472,Right Winger,01-02-1991,34,['Italy'],174,right,05-07-2019,AS Giana Erminio,0,400000,0,2.857142857142857,3.6666666666666665,0.0,1.5,2.857142857142857
87,Alexander Bernhardsson,SWE,"MF,DF",Holstein Kiel,de  Bundesliga,26-184,1998,10,7,574,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,25.5,69,1,3,30,1,0.7,10,14,-4,-0.63,0.45,7.2,9.1,-1.9,-0.3,0.43,2,0,0,13,4,0,13,0,9,0,0,0,20,12,10,54.5,15,9,5,4,6,10,13,76.9,3,7,0,7,0,15,12,0,107,171,62.6,1789,615,50,71,70.4,44,66,66.7,9,22,40.9,1,0.6,0.5,0.4,10,10,5,1,16,2,3,2,0,1.4,1.4,2.0,8,33,0.31,0.16,0.47,0.31,0.47,0.21,0.09,0.31,0.21,0.31,15,2.35,9,4,0,1,0,1,2,0.31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,153,16,3,1,3,13,4,8,3,4,1,107,2,4,11,4,36.4,1.72,0.63,0.18,0.5,16.3,0,0.12,0.6,0.6,256,8,54,122,89,15,256,22,9,40.9,13,59.1,117,723,339,10,3,13,8,149,633454,Right Winger,08-09-1998,26,['Sweden'],185,left,22-01-2024,IF Elfsborg,30-06-2027,1500000,Patellar tendon rupture - Return unknown,3.125,2.203125,0.7499999999999999,1.515625,3.125
97,Alexis Saelemaekers,BEL,"DF,FW",Roma,it  Serie A,25-257,1999,15,11,883,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,35.0,68,1,4,33,2,1.93,21,6,15,1.53,1.64,17.6,9.4,8.2,0.83,0.74,3,0,0,11,15,0,39,6,13,1,0,0,48,2,1,66.7,26,13,18,5,3,13,23,56.5,10,10,1,9,6,32,5,0,389,483,80.5,5647,1507,243,270,90.0,111,134,82.8,24,48,50.0,2,2.4,1.7,-0.4,18,22,15,5,40,6,8,6,0,1.9,1.9,4.3,25,89,0.61,0.2,0.82,0.61,0.82,0.19,0.25,0.44,0.19,0.44,34,3.47,27,0,2,3,2,0,6,0.61,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,443,36,3,2,3,39,30,3,1,1,0,389,4,12,17,9,52.9,1.73,0.92,0.35,0.67,17.3,0,0.11,4.1,4.1,605,8,115,220,275,28,605,32,12,37.5,18,56.3,369,1886,1033,22,8,27,11,452,381950,Right Winger,27-06-1999,25,['Belgium'],180,right,30-08-2024,AC Milan,30-06-2025,12000000,0,4.591836734693877,4.3979591836734695,1.0,3.0408163265306123,4.591836734693877
104,Ali Dembélé,FRA,DF,Torino,it  Serie A,21-065,2004,10,1,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4.9,32,0,9,10,17,2.1,1,3,-2,-1.45,-1.49,1.2,3.0,-1.8,-1.32,-0.9,4,1,1,3,0,0,2,0,2,0,0,0,4,2,6,25.0,4,2,3,1,0,3,3,100.0,0,1,1,0,0,4,4,1,49,62,79.0,774,263,22,28,78.6,23,27,85.2,2,3,66.7,0,0.0,0.0,0.0,1,2,1,1,6,0,0,0,0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,4,2.9,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,51,11,1,0,0,2,10,0,0,0,0,49,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,79,5,27,37,16,1,79,2,1,50.0,1,50.0,35,167,92,2,0,3,3,42,1004344,Right Winger,05-01-2004,21,"['France', 'Mali']",189,right,01-07-2023,Torino Primavera,30-06-2026,800000,0,2.857142857142857,1.4285714285714286,0.0,1.2142857142857142,2.857142857142857
115,Amad Diallo,CIV,"FW,MF",Manchester Utd,eng  Premier League,22-243,2002,22,17,1594,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,63.3,87,12,5,25,2,1.14,24,25,-1,-0.06,0.43,25.9,27.1,-1.2,-0.07,0.33,3,0,0,19,23,9,38,11,26,1,0,0,93,9,15,37.5,33,26,6,19,8,15,26,57.7,11,10,0,10,11,44,16,0,658,794,82.9,9051,1880,407,450,90.4,185,217,85.3,33,63,52.4,6,3.9,3.6,2.1,39,25,29,5,53,6,12,6,0,4.1,4.1,8.0,92,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,80,4.52,54,9,7,2,4,4,16,0.9,7,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,723,67,3,2,1,38,36,28,22,1,1,658,4,17,40,13,32.5,2.26,0.73,0.15,0.46,17.7,0,0.1,1.9,1.9,1012,13,150,374,504,109,1012,72,36,50.0,32,44.4,656,4482,2294,46,52,35,32,714,536835,Right Winger,11-07-2002,22,"[""Cote d'Ivoire"", 'Italy']",173,left,02-01-2021,Atalanta BC,30-06-2030,25000000,"Ankle injury - Return expected on Jun 1, 2025",10.169491525423728,2.5706214689265536,0.8022598870056498,3.305084745762712,10.169491525423728
142,Andreas Skov Olsen,DEN,"FW,MF",Wolfsburg,de  Bundesliga,25-072,1999,6,2,266,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,11.8,75,0,4,29,2,1.67,7,3,4,1.35,1.08,5.8,3.7,2.1,0.71,0.9,0,0,0,1,1,1,15,1,3,0,0,0,9,1,0,100.0,4,3,3,1,0,2,2,100.0,0,2,0,2,1,5,6,0,100,123,81.3,1726,401,43,52,82.7,44,48,91.7,11,19,57.9,1,1.3,0.8,-0.3,10,5,5,1,9,0,1,0,0,0.3,0.3,1.6,12,17,0.0,0.34,0.34,0.0,0.34,0.1,0.44,0.54,0.1,0.54,15,5.08,8,4,1,2,0,0,1,0.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,112,11,1,0,2,15,2,8,8,0,0,100,0,3,4,0,0.0,1.35,0.0,0.0,0.0,15.2,0,0.07,-0.3,-0.3,149,3,25,54,71,9,149,6,2,33.3,4,66.7,79,547,297,6,2,1,2,98,432982,Right Winger,29-12-1999,25,['Denmark'],187,left,17-01-2025,Club Brugge KV,30-06-2029,16000000,0,5.333333333333333,5.7,0.19999999999999998,2.6,5.333333333333333
165,Ansgar Knauff,GER,"MF,DF",Eint Frankfurt,de  Bundesliga,23-060,2002,23,13,1170,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,52.0,74,1,10,21,1,1.7,25,22,3,0.23,-0.52,24.3,21.3,3.0,0.23,-0.18,2,0,0,16,12,6,27,11,19,0,0,0,51,16,16,50.0,35,19,17,12,6,10,22,45.5,12,20,4,16,11,46,18,0,285,428,66.6,3919,1443,175,229,76.4,88,137,64.2,9,26,34.6,4,4.1,3.1,-0.1,20,12,16,4,45,1,5,1,0,1.4,1.4,5.6,39,108,0.08,0.31,0.38,0.08,0.38,0.11,0.32,0.43,0.11,0.43,43,3.31,29,0,6,3,3,2,7,0.54,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,403,24,1,3,0,27,23,0,0,0,0,285,1,18,17,4,23.5,1.31,0.31,0.06,0.25,17.2,0,0.09,-0.4,-0.4,595,18,126,236,244,50,595,42,19,45.2,21,50.0,332,1995,1160,28,14,32,11,357,429874,Right Winger,10-01-2002,23,"['Germany', 'Ghana']",180,right,01-07-2023,Borussia Dortmund,30-06-2028,10000000,0,5.538461538461538,2.630769230769231,0.29230769230769227,2.1076923076923078,5.538461538461538
