name,Squad,position,TIS
Romain Esse,Crystal Palace,Attacking Midfield,92.5
Gabriel Vidovic,Bayern Munich,Attacking Midfield,85.0
Nicolas Pays,Montpellier,Attacking Midfield,50.11111111111111
Ben Viadere,Auxerre,Attacking Midfield,49.0
Nicolò Cambiaghi,Bologna,Attacking Midfield,44.528023598820056
Florian Wirtz,Leverkusen,Attacking Midfield,43.83306680881307
Dani Olmo,Barcelona,Attacking Midfield,42.52052545155994
Rémy Cabella,Lille,Attacking Midfield,41.66573243647235
Rayan Cherki,Lyon,Attacking Midfield,41.43574297188754
Saad El Haddad,Venezia,Attacking Midfield,41.0
Florian Thauvin,Udinese,Attacking Midfield,40.59304703476482
João Félix,Chelsea,Attacking Midfield,40.412149954832884
Charles De Ketelaere,Atalanta,Attacking Midfield,40.306372549019606
Alberto Risco,Getafe,Attacking Midfield,39.97584541062801
Martín Tejón,Valencia,Attacking Midfield,39.69387755102041
Kevin De Bruyne,Manchester City,Attacking Midfield,39.56967213114754
Gianluca Gaetano,Cagliari,Attacking Midfield,39.48780487804878
Joaquín Correa,Inter,Attacking Midfield,38.80621693121693
Ethan Nwaneri,Arsenal,Attacking Midfield,38.72124017957351
Viggo Gebel,RB Leipzig,Attacking Midfield,37.857142857142854
Jamal Musiala,Bayern Munich,Attacking Midfield,37.78675538656527
Can Uzun,Eint Frankfurt,Attacking Midfield,37.720070422535215
Denis Suárez,Villarreal,Attacking Midfield,37.65004616805171
Aleksandr Golovin,Monaco,Attacking Midfield,37.57922535211268
Julian Brandt,Dortmund,Attacking Midfield,37.50408496732027
Stanis Idumbo,Sevilla,Attacking Midfield,37.42302543507363
Steven Skrzybski,Holstein Kiel,Attacking Midfield,37.08863743517209
Thiago Almada,Lyon,Attacking Midfield,37.05075757575758
Reda Khadra,Reims,Attacking Midfield,36.53846153846154
Iker Losada,Celta Vigo,Attacking Midfield,36.13586956521739
Jonas Hofmann,Leverkusen,Attacking Midfield,35.92669432918395
Paulo Dybala,Roma,Attacking Midfield,35.85289236605026
Oihan Sancet,Athletic Club,Attacking Midfield,35.83487998020292
Pablo Torre,Barcelona,Attacking Midfield,35.83014048531291
Mateusz Kowalski,Parma,Attacking Midfield,35.714285714285715
Eberechi Eze,Crystal Palace,Attacking Midfield,35.634528759528756
Martin Ødegaard,Arsenal,Attacking Midfield,35.57345754428833
Adrian Beck,Heidenheim,Attacking Midfield,35.383275261324044
Arsen Zakharyan,Real Sociedad,Attacking Midfield,35.04566210045662
Nikola Vlašić,Torino,Attacking Midfield,35.01556593284412
Angel Gomes,Lille,Attacking Midfield,34.99094202898551
Giacomo Raspadori,Napoli,Attacking Midfield,34.91584720121029
Nick Woltemade,Stuttgart,Attacking Midfield,34.884453781512605
Ademola Lookman,Atalanta,Attacking Midfield,34.797383535418
Emile Smith Rowe,Fulham,Attacking Midfield,34.41381831014317
Andrea Colpani,Fiorentina,Attacking Midfield,34.272325692454636
Fredrik Jensen,Augsburg,Attacking Midfield,34.24585218702866
Kevin Stöger,Gladbach,Attacking Midfield,33.96221532091097
Tommaso Baldanzi,Roma,Attacking Midfield,33.82405869324474
Kamory Doumbia,Brest,Attacking Midfield,33.783638320775026
Roberto López,Leganés,Attacking Midfield,33.396946564885496
Thomas Lemar,Atlético Madrid,Attacking Midfield,33.333333333333336
Dwight McNeil,Everton,Attacking Midfield,33.2843567251462
Nicolas Viola,Cagliari,Attacking Midfield,33.2794737807114
Bennit Bröger,Wolfsburg,Attacking Midfield,32.95374865156418
Dele Alli,Como,Attacking Midfield,32.95374865156418
Hugo Cuenca,Genoa,Attacking Midfield,32.95374865156418
David Pejičić,Udinese,Attacking Midfield,32.95374865156418
Naj Razi,Como,Attacking Midfield,32.95374865156418
Tidiane Diallo,Strasbourg,Attacking Midfield,32.95374865156418
Matheus França,Crystal Palace,Attacking Midfield,32.95374865156418
Ismaïl Bouneb,Le Havre,Attacking Midfield,32.95374865156418
Joni Montiel,Rayo Vallecano,Attacking Midfield,32.95374865156418
Hákon Arnar Haraldsson,Lille,Attacking Midfield,32.91007036059807
Thomas Müller,Bayern Munich,Attacking Midfield,32.89351851851852
Lewis Ferguson,Bologna,Attacking Midfield,32.85490931832395
Angelo Fulgini,Lens,Attacking Midfield,32.67004504504504
Armindo Sieb,Mainz 05,Attacking Midfield,32.43372521899493
Samuele Vignato,Monza,Attacking Midfield,32.234042553191486
Mario Götze,Eint Frankfurt,Attacking Midfield,32.16086414896407
Dejan Kulusevski,Tottenham,Attacking Midfield,32.01930516867843
Julio Enciso,Ipswich Town,Attacking Midfield,31.978070175438596
Vasilije Adžić,Juventus,Attacking Midfield,31.923076923076923
Mikkel Damsgaard,Brentford,Attacking Midfield,31.886335209505944
Alphadjo Cissè,Hellas Verona,Attacking Midfield,31.666666666666664
Lovro Majer,Wolfsburg,Attacking Midfield,31.576149425287355
Himad Abdelli,Angers,Attacking Midfield,31.28908692933083
Sebastiano Esposito,Empoli,Attacking Midfield,31.20005175983437
Mert Kömür,Augsburg,Attacking Midfield,31.15119047619048
Iván Martín,Girona,Attacking Midfield,31.12561425061425
Romano Schmid,Werder Bremen,Attacking Midfield,31.111077186126035
Cole Palmer,Chelsea,Attacking Midfield,31.038850198006283
Jens Odgaard,Bologna,Attacking Midfield,31.020413870246088
Amine Harit,Marseille,Attacking Midfield,30.939265536723163
Pablo Fornals,Betis,Attacking Midfield,30.916064981949454
Nicolò Zaniolo,Fiorentina,Attacking Midfield,30.692204301075268
Simone Pafundi,Udinese,Attacking Midfield,30.625
Ruslan Malinovskyi,Genoa,Attacking Midfield,30.51388888888889
Florent Mollet,Nantes,Attacking Midfield,30.332300275482094
Conor Chaplin,Ipswich Town,Attacking Midfield,30.311482084690553
Louis Leroux,Nantes,Attacking Midfield,30.27006172839506
Bence Dárdai,Wolfsburg,Attacking Midfield,29.979724249797243
Dany Mota,Monza,Attacking Midfield,29.757326007326007
Isco,Betis,Attacking Midfield,29.594017094017094
Unai Gómez,Athletic Club,Attacking Midfield,29.117907801418443
Xavi Simons,RB Leipzig,Attacking Midfield,29.105065023956193
Paul Nebel,Mainz 05,Attacking Midfield,29.068559910185755
