name,Squad,position,TIS
Mouctar Diakhaby,Valencia,Centre-Back,72.61695906432749
Hiroki Ito,Bayern Munich,Centre-Back,59.37393162393163
Eric García,Barcelona,Centre-Back,56.53095304857152
Daley Blind,Girona,Centre-Back,53.786248388483024
Samuel Gigot,Lazio,Centre-Back,52.69265452743714
Alessandro Bastoni,Inter,Centre-Back,51.6252053956972
Aridane Hernández,Rayo Vallecano,Centre-Back,51.50031746031746
Iñigo Martínez,Barcelona,Centre-Back,51.24899644674925
Piero Hincapié,Leverkusen,Centre-Back,49.32068058204422
Jérémy Jacquet,Rennes,Centre-Back,49.11937116973088
César Azpilicueta,Atlético Madrid,Centre-Back,48.68460038986355
Wilfried Singo,Monaco,Centre-Back,48.66743762544696
Giorgio Scalvini,Atalanta,Centre-Back,47.06724484665662
Waldemar Anton,Dortmund,Centre-Back,46.81751387014545
Strahinja Pavlović,Milan,Centre-Back,46.48205128205129
Julián Malatini,Werder Bremen,Centre-Back,46.46458827516096
Patric,Lazio,Centre-Back,46.32792632957378
Lloyd Kelly,Newcastle Utd,Centre-Back,46.27082451834928
Rafael Tolói,Atalanta,Centre-Back,45.870853462157804
Nathan Aké,Manchester City,Centre-Back,45.791871517535235
Nnamdi Collins,Eint Frankfurt,Centre-Back,45.337801441626574
Cristian Romero,Tottenham,Centre-Back,45.02448379044124
Chadi Riad,Crystal Palace,Centre-Back,44.888888888888886
Niklas Süle,Dortmund,Centre-Back,44.80509407914127
Marquinhos,Paris S-G,Centre-Back,44.761158594491924
Eric Dier,Bayern Munich,Centre-Back,44.63863559608241
Maxim Leitsch,Mainz 05,Centre-Back,44.60521443607497
Adam Obert,Cagliari,Centre-Back,44.567400382468875
El Chadaille Bitshiabu,RB Leipzig,Centre-Back,44.406652806652815
Christian Kabasele,Udinese,Centre-Back,44.045608927705
Joe Gomez,Liverpool,Centre-Back,43.93112988488711
Manuel Akanji,Manchester City,Centre-Back,43.87113895022507
Adam Webster,Brighton,Centre-Back,43.53088762386676
Kristoffer Ajer,Brentford,Centre-Back,43.105458327680545
Sam Beukema,Bologna,Centre-Back,43.07581927477216
Axel Disasi,Aston Villa,Centre-Back,43.01087369420703
Benjamin Pavard,Inter,Centre-Back,42.94581196581197
Pau Cubarsí,Barcelona,Centre-Back,42.62325368602741
Thilo Kehrer,Monaco,Centre-Back,42.57519106407995
Jan Paul van Hecke,Brighton,Centre-Back,42.44721459096459
Mohammed Salisu,Monaco,Centre-Back,42.18347578347579
Alessandro Vogliacco,Genoa,Centre-Back,42.17187257187257
Rúben Dias,Manchester City,Centre-Back,42.17120200490004
Trevoh Chalobah,Crystal Palace,Centre-Back,41.96686018384132
Benoît Badiashile,Chelsea,Centre-Back,41.773761713520756
Berat Djimsiti,Atalanta,Centre-Back,41.74967283098223
Max Geschwill,Holstein Kiel,Centre-Back,41.63270392430195
Odilon Kossounou,Atalanta,Centre-Back,41.57352801519468
Alejandro Francés,Girona,Centre-Back,41.53107018177441
Yarek Gasiorowski,Valencia,Centre-Back,41.2587197672304
Rasmus Nicolaisen,Toulouse,Centre-Back,41.193329766363476
Gabriel Magalhães,Arsenal,Centre-Back,41.192387181758306
James Hill,Bournemouth,Centre-Back,41.181769147788565
Sebastiaan Bornauw,Wolfsburg,Centre-Back,41.064893499613724
John Stones,Manchester City,Centre-Back,40.80928317424668
Marvin Friedrich,Gladbach,Centre-Back,40.71803046404534
Timo Becker,Holstein Kiel,Centre-Back,40.5674158980329
Danny da Costa,Mainz 05,Centre-Back,40.432549123270775
Francesco Acerbi,Inter,Centre-Back,40.41845238095238
Nico Elvedi,Gladbach,Centre-Back,40.416323429656764
Amir Rrahmani,Napoli,Centre-Back,40.388414055080716
Renato Veiga,Chelsea,Centre-Back,40.316522642489495
Luiz Felipe,Marseille,Centre-Back,40.2991452991453
Edmond Tapsoba,Leverkusen,Centre-Back,39.97996953541508
Alidu Seidu,Rennes,Centre-Back,39.78340837244947
Micky van de Ven,Tottenham,Centre-Back,39.48508975403841
Hauke Wahl,St. Pauli,Centre-Back,39.42103703703704
Javi Rodríguez,Celta Vigo,Centre-Back,39.40091433114689
Éder Militão,Real Madrid,Centre-Back,39.20715105789732
Federico Gatti,Juventus,Centre-Back,39.2028138890884
Ben Mee,Brentford,Centre-Back,39.132502776570576
Charlie Cresswell,Toulouse,Centre-Back,39.064387768605606
Maxime Bernauer,Saint-Étienne,Centre-Back,38.96479142747799
Stefan de Vrij,Inter,Centre-Back,38.94027105154485
Anthony Jung,Werder Bremen,Centre-Back,38.89628922999836
Amos Pieper,Werder Bremen,Centre-Back,38.84162062615101
Pau Navarro,Villarreal,Centre-Back,38.82239382239382
Alessandro Buongiorno,Napoli,Centre-Back,38.797444541049536
Cameron Burgess,Ipswich Town,Centre-Back,38.784938271604936
Pau Torres,Aston Villa,Centre-Back,38.76661535150883
Lukas Klostermann,RB Leipzig,Centre-Back,38.419615486123796
Aïssa Mandi,Lille,Centre-Back,38.2918826955019
Lewis Dunk,Brighton,Centre-Back,38.263873841338636
Karol Mets,St. Pauli,Centre-Back,38.246058879392216
Castello Lukeba,RB Leipzig,Centre-Back,38.186937335999524
Diogo Leite,Union Berlin,Centre-Back,37.88147699706972
Fali Candé,Venezia,Centre-Back,37.75699362366029
Leny Yoro,Manchester Utd,Centre-Back,37.71997557997558
Tyrone Mings,Aston Villa,Centre-Back,37.55124374842684
Mario Hermoso,Roma,Centre-Back,37.46528416249532
Nico Schlotterbeck,Dortmund,Centre-Back,37.37460751112249
Pierre Kalulu,Juventus,Centre-Back,37.37301514362446
Jonathan Tah,Leverkusen,Centre-Back,37.291191832858495
Flavius Daniliuc,Hellas Verona,Centre-Back,37.21951819075713
Nayef Aguerd,Real Sociedad,Centre-Back,37.13617892420287
Anthony Rouault,Rennes,Centre-Back,37.12081882452253
José Luis Palomino,Cagliari,Centre-Back,37.08958859217927
Matthias Ginter,Freiburg,Centre-Back,37.01687581535491
Nathan Collins,Brentford,Centre-Back,37.00107855107856
Marcos Senesi,Bournemouth,Centre-Back,36.983204242746226
Gianluca Mancini,Roma,Centre-Back,36.800576151445526
Logan Costa,Villarreal,Centre-Back,36.750297252480664
Unai Núñez,Athletic Club,Centre-Back,36.73627980206928
Abdukodir Khusanov,Manchester City,Centre-Back,36.60987976242214
Matteo Gabbia,Milan,Centre-Back,36.551418271210714
Kevin Danso,Tottenham,Centre-Back,36.51008645533141
Sebastiano Luperto,Cagliari,Centre-Back,36.46530999864333
Fellipe Jack,Como,Centre-Back,36.3923126905583
Joachim Andersen,Crystal Palace,Centre-Back,36.33618233618233
Lilian Brassier,Marseille,Centre-Back,36.245460430312804
Max Rosenfelder,Freiburg,Centre-Back,36.191694318753136
Mark McKenzie,Toulouse,Centre-Back,36.14358974358974
Bernardo,Bochum,Centre-Back,36.09762307829941
Florian Lejeune,Rayo Vallecano,Centre-Back,36.09724557229712
Yeray Álvarez,Athletic Club,Centre-Back,36.06401587393323
Nasser Djiga,Wolves,Centre-Back,36.04938271604938
Jaydee Canvot,Toulouse,Centre-Back,36.03836188198328
Joseph Okumu,Reims,Centre-Back,35.97856430350133
Marco Komenda,Holstein Kiel,Centre-Back,35.97515199577055
Ben Godfrey,Ipswich Town,Centre-Back,35.96786957898069
Dayot Upamecano,Bayern Munich,Centre-Back,35.957510766977514
Sepp van den Berg,Brentford,Centre-Back,35.94936979797538
Lisandro Martínez,Manchester Utd,Centre-Back,35.93975603684342
Marc Bartra,Betis,Centre-Back,35.887187462615145
Virgil van Dijk,Liverpool,Centre-Back,35.67299996725284
Aritz Elustondo,Real Sociedad,Centre-Back,35.6601752677702
William Saliba,Arsenal,Centre-Back,35.563628983154054
Malick Thiaw,Milan,Centre-Back,35.542340522973184
Ben Davies,Tottenham,Centre-Back,35.40565104907418
Ezri Konsa,Aston Villa,Centre-Back,35.3990992374226
David Zec,Holstein Kiel,Centre-Back,35.35760037178477
Michael Svoboda,Venezia,Centre-Back,35.25974059764014
Danilho Doekhi,Union Berlin,Centre-Back,35.14216144349478
Dean Huijsen,Bournemouth,Centre-Back,35.14081249866786
Arthur Theate,Eint Frankfurt,Centre-Back,35.091830943282005
Guillermo Maripán,Torino,Centre-Back,34.88933998100664
Soumaïla Coulibaly,Brest,Centre-Back,34.873980408226984
Victor Lindelöf,Manchester Utd,Centre-Back,34.83161283161283
Malang Sarr,Lens,Centre-Back,34.803199649353495
Jeanuël Belocian,Leverkusen,Centre-Back,34.77626948215183
Becir Omeragic,Montpellier,Centre-Back,34.67519330902969
Jake O'Brien,Everton,Centre-Back,34.636813908824415
Mats Hummels,Roma,Centre-Back,34.615933203866454
Matthijs de Ligt,Manchester Utd,Centre-Back,34.58808254198511
