name,Squad,position,TIS
Francis Coquelin,Nantes,Defensive Midfield,80.43478260869566
Tom Pouilly,Lens,Defensive Midfield,64.56232911825018
Yunus Emre Konak,Brentford,Defensive Midfield,60.38646616541353
Arthur Melo,Girona,Defensive Midfield,50.69340016708438
João Neves,Paris S-G,Defensive Midfield,48.44339796860572
Julián Chicco,Leganés,Defensive Midfield,45.85478848636744
Billy Gilmour,Brighton,Defensive Midfield,45.43194721497622
Nabil Bentaleb,Lille,Defensive Midfield,43.67818400964243
Hakan Çalhanoğlu,Inter,Defensive Midfield,43.42709636565889
Joshua Kimmich,Bayern Munich,Defensive Midfield,42.61635813996097
Adam Wharton,Crystal Palace,Defensive Midfield,41.42954442074127
Florian Grillitsch,Valladolid,Defensive Midfield,41.20225115695348
Arthur Atta,Udinese,Defensive Midfield,41.038452029493456
Jean Onana,Genoa,Defensive Midfield,40.652173913043484
Granit Xhaka,Leverkusen,Defensive Midfield,39.63879625285547
Salih Özcan,Wolfsburg,Defensive Midfield,39.45632494834821
Ismaël Bennacer,Milan,Defensive Midfield,38.72096149464571
Mikel Vesga,Athletic Club,Defensive Midfield,38.31852358168148
Nikola Moro,Bologna,Defensive Midfield,38.149500383133244
Lamine Fomba,Saint-Étienne,Defensive Midfield,37.56413971669853
Kristjan Asllani,Inter,Defensive Midfield,37.31971266928062
William Carvalho,Betis,Defensive Midfield,37.12626708471584
Yannik Keitel,Stuttgart,Defensive Midfield,37.0541727799522
Baptiste Santamaria,Nice,Defensive Midfield,36.948360048702725
Ramón Terrats,Villarreal,Defensive Midfield,36.790292873057034
Louis Mouton,Saint-Étienne,Defensive Midfield,36.67323367456753
Aleksandar Pavlovic,Bayern Munich,Defensive Midfield,36.44350921842201
Norman Theuerkauf,Heidenheim,Defensive Midfield,35.909090909090914
Bruno Guimarães,Newcastle Utd,Defensive Midfield,35.579976749362245
Angelo Stiller,Stuttgart,Defensive Midfield,35.51708848766681
Casemiro,Manchester Utd,Defensive Midfield,34.45760487421179
Julian Niehues,Heidenheim,Defensive Midfield,34.364587940439336
Danilo Cataldi,Fiorentina,Defensive Midfield,34.343252976403015
Rodri,Manchester City,Defensive Midfield,34.23076923076923
Mats Wieffer,Brighton,Defensive Midfield,34.17614072286468
Toby Collyer,Manchester Utd,Defensive Midfield,33.58116514307352
Wataru Endo,Liverpool,Defensive Midfield,33.163265306122454
Rassoul Ndiaye,Le Havre,Defensive Midfield,33.14130267016515
Răzvan Marin,Cagliari,Defensive Midfield,33.07562824888167
Thomas Partey,Arsenal,Defensive Midfield,32.83351412009169
Leandro Paredes,Roma,Defensive Midfield,32.66921229089125
Gabriel Moscardo,Reims,Defensive Midfield,32.5
Niklas Dorsch,Augsburg,Defensive Midfield,32.5
Assane Dioussé,Auxerre,Defensive Midfield,32.36846874056177
Danilo,Nott'ham Forest,Defensive Midfield,32.100591715976336
Cheick Doucouré,Crystal Palace,Defensive Midfield,31.951439338491042
Milan Badelj,Genoa,Defensive Midfield,31.931751480763417
Yacine Adli,Fiorentina,Defensive Midfield,31.927314227126256
Jonas Martin,Brest,Defensive Midfield,31.875254088876382
Tanner Tessmann,Lyon,Defensive Midfield,31.86916659128909
Amadou Koné,Reims,Defensive Midfield,31.718129018790858
Aurélien Tchouaméni,Real Madrid,Defensive Midfield,31.681404619263976
Matteo Prati,Cagliari,Defensive Midfield,31.637608267616123
Geoffrey Kondogbia,Marseille,Defensive Midfield,31.336188178293444
Johann Lepenant,Nantes,Defensive Midfield,31.250390513548414
Zinédine Ould Khaled,Angers,Defensive Midfield,31.14832535885168
Manuel Locatelli,Juventus,Defensive Midfield,30.912567950830784
Marc Roca,Betis,Defensive Midfield,30.65697054194789
Azor Matusiwa,Rennes,Defensive Midfield,30.500089601771425
Gerard Gumbau,Rayo Vallecano,Defensive Midfield,30.294973783215667
Lucas Tousart,Union Berlin,Defensive Midfield,30.205294277823164
Stefan Bajcetic,Las Palmas,Defensive Midfield,30.177884550949567
Marvin Schulz,Holstein Kiel,Defensive Midfield,30.02811441343904
