name,Squad,position,TIS
Gianluca Scamacca,Atalanta,Centre-Forward,70.0
Mika Biereth,Monaco,Centre-Forward,66.77115987460814
Gonçalo Ramos,Paris S-G,Centre-Forward,62.207130730050935
David Mokwa,Hoffenheim,Centre-Forward,61.81818181818183
Youssoufa Moukoko,Nice,Centre-Forward,61.5686274509804
Lukas Nmecha,Wolfsburg,Centre-Forward,58.99103139013452
Mateo Pellegrino,Parma,Centre-Forward,56.78409090909091
Amine Gouiri,Marseille,Centre-Forward,56.13785557986871
Danny Ings,West Ham,Centre-Forward,55.61619718309859
Andreas Albers,St. Pauli,Centre-Forward,55.403225806451616
Tammy Abraham,Roma,Centre-Forward,55.0
Folarin Balogun,Monaco,Centre-Forward,51.72707889125799
Robert Lewandowski,Barcelona,Centre-Forward,51.59085244267198
Maroan Sannadi,Athletic Club,Centre-Forward,51.58986175115207
Sergi Guardiola,Rayo Vallecano,Centre-Forward,51.38996138996139
Myron Boadu,Bochum,Centre-Forward,49.982993197278915
Elye Wahi,Marseille,Centre-Forward,49.90635888501742
George Ilenikhena,Monaco,Centre-Forward,49.78021978021978
Maximilian Breunig,Heidenheim,Centre-Forward,49.58571428571429
Victor Orakpo,Nice,Centre-Forward,49.44444444444444
Endrick,Real Madrid,Centre-Forward,49.331896551724135
Kevin Behrens,Wolfsburg,Centre-Forward,47.57575757575758
Gerard Moreno,Villarreal,Centre-Forward,47.43739565943239
Jonathan Burkardt,Mainz 05,Centre-Forward,47.35418130709768
Taiwo Awoniyi,Nott'ham Forest,Centre-Forward,46.81647940074907
Diogo Jota,Liverpool,Centre-Forward,46.146327014218
Elysée Logbo,Le Havre,Centre-Forward,45.74074074074074
El Bilal Touré,Stuttgart,Centre-Forward,45.455974842767304
Alexander Isak,Newcastle Utd,Centre-Forward,45.442251461988306
Ollie Watkins,Aston Villa,Centre-Forward,45.06082725060827
Gaëtan Laborde,Nice,Centre-Forward,45.0464527027027
Ibrahima Niane,Angers,Centre-Forward,43.728717366628835
Chuba Akpom,Lille,Centre-Forward,43.728222996515676
Victor Boniface,Leverkusen,Centre-Forward,43.425
Mateo Retegui,Atalanta,Centre-Forward,43.22583176396736
Cristhian Stuani,Girona,Centre-Forward,42.89953271028037
Enes Ünal,Bournemouth,Centre-Forward,42.89492753623188
Haris Tabakovic,Hoffenheim,Centre-Forward,42.81970649895178
