name,Squad,position,TIS
Carlos Alcaraz,Southampton,Central Midfield,100.0
Ethan Mbappé,Lille,Central Midfield,52.70167840879438
Marshall Munetsi,Wolves,Central Midfield,50.54097648737515
Harvey Elliott,Liverpool,Central Midfield,47.44503768844221
Philip Billing,Bournemouth,Central Midfield,46.139938824557575
Scott McTominay,Manchester Utd,Central Midfield,43.63748567398396
Senny Mayulu,Paris S-G,Central Midfield,42.161158901853895
Abdou Harroui,Hellas Verona,Central Midfield,41.83952067754178
Carney Chukwuemeka,Dortmund,Central Midfield,39.698933262805255
Antoine Bernede,Hellas Verona,Central Midfield,39.36689435199952
Marco Brescianini,Atalanta,Central Midfield,38.558104203235594
Matt O'Riley,Brighton,Central Midfield,36.89471480208058
Exequiel Palacios,Leverkusen,Central Midfield,35.49397036306276
Giovani Lo Celso,Betis,Central Midfield,35.437018020861146
Joan Jordán,Alavés,Central Midfield,35.353417049131544
Mikel Merino,Arsenal,Central Midfield,35.04074907113471
Niklas Schmidt,Toulouse,Central Midfield,34.931976957960536
Oscar Højlund,Eint Frankfurt,Central Midfield,34.91479802270006
Piotr Zieliński,Inter,Central Midfield,34.68543112387333
Florian Neuhaus,Gladbach,Central Midfield,34.62891172601204
Lewis Miley,Newcastle Utd,Central Midfield,34.42987506979341
Bilal Nadir,Marseille,Central Midfield,34.39347619782645
Arne Maier,Augsburg,Central Midfield,34.11567037642199
Stefano Sensi,Monza,Central Midfield,33.92094754975509
Drissa Camara,Parma,Central Midfield,33.70950883024044
Davide Frattesi,Inter,Central Midfield,33.69738445016149
Kévin Danois,Auxerre,Central Midfield,33.40692900141519
Corentin Tolisso,Lyon,Central Midfield,33.30247066320158
Aleix García,Leverkusen,Central Midfield,33.282809610280296
Leon Goretzka,Bayern Munich,Central Midfield,33.095539965264734
Vitinha,Genoa,Central Midfield,33.002012352105844
Leonardo Bittencourt,Werder Bremen,Central Midfield,32.690029015859274
Pedri,Barcelona,Central Midfield,32.66199315206025
Mats Pannewig,Bochum,Central Midfield,32.485276913668876
Kevin Zeroli,Monza,Central Midfield,32.468665164904984
Connor Metcalfe,St. Pauli,Central Midfield,32.38283930666549
Xaver Schlager,RB Leipzig,Central Midfield,32.25243390062652
Justin Devenny,Crystal Palace,Central Midfield,32.19061765852322
Khéphren Thuram,Juventus,Central Midfield,32.18929000500674
Fabio Miretti,Genoa,Central Midfield,31.952294504511432
Pedro Díaz,Rayo Vallecano,Central Midfield,31.674934785627137
Teddy Teuma,Reims,Central Midfield,31.54056393076494
İlkay Gündoğan,Manchester City,Central Midfield,31.461263932117333
Cesare Casadei,Chelsea,Central Midfield,31.438216724648886
Pablo Ibáñez,Osasuna,Central Midfield,31.411682027259918
Kacper Urbanski,Bologna,Central Midfield,31.37365301541445
Florian Tardieu,Saint-Étienne,Central Midfield,31.343808243093402
Nicolò Fagioli,Fiorentina,Central Midfield,31.303062457039513
Ross Barkley,Aston Villa,Central Midfield,31.289472331573634
Adrien Rabiot,Marseille,Central Midfield,31.131734543363585
James Milner,Brighton,Central Midfield,31.02927110899666
Diego Gómez,Brighton,Central Midfield,30.969197841057138
Joe Willock,Newcastle Utd,Central Midfield,30.930498048514785
Frenkie de Jong,Barcelona,Central Midfield,30.833964630522797
Gaetano Castrovilli,Monza,Central Midfield,30.734708022872983
Alex Scott,Bournemouth,Central Midfield,30.70825619324694
Tom Krauß,Bochum,Central Midfield,30.523670986511508
Matheus Nunes,Manchester City,Central Midfield,30.488176835646943
Joe Aribo,Southampton,Central Midfield,30.330308470003057
Seko Fofana,Rennes,Central Midfield,30.273775339281443
Tommy Doyle,Wolves,Central Midfield,30.24631628367711
Harrison Reed,Fulham,Central Midfield,30.214856332946784
Gvidas Gineitis,Torino,Central Midfield,30.19654223498445
Ismaël Koné,Marseille,Central Midfield,30.1000372231528
Michel Aebischer,Bologna,Central Midfield,30.030480270203473
Douglas Luiz,Juventus,Central Midfield,29.85696927259247
Carles Aleñá,Getafe,Central Midfield,29.791157112998622
Weston McKennie,Juventus,Central Midfield,29.761786502808096
Dominik Szoboszlai,Liverpool,Central Midfield,29.66432049306097
Mattias Svanberg,Wolfsburg,Central Midfield,29.660465703743128
Jurgen Ekkelenkamp,Udinese,Central Midfield,29.614182339182626
Mathias Jensen,Brentford,Central Midfield,29.550082841744956
Manu Bueno,Sevilla,Central Midfield,29.459476871537174
Nicolò Barella,Inter,Central Midfield,29.43844742113887
Issa Doumbia,Venezia,Central Midfield,29.396182354327017
Mahamadou Diawara,Le Havre,Central Midfield,29.24123824249452
Edu Expósito,Espanyol,Central Midfield,29.230040862486533
Neil El Aynaoui,Lens,Central Midfield,29.161846535138018
Mahmoud Dahoud,Eint Frankfurt,Central Midfield,29.090875623538942
Roberto Gagliardini,Monza,Central Midfield,28.97635105351318
Mohamed Kaba,Lecce,Central Midfield,28.964692867321684
Jacopo Fazzini,Empoli,Central Midfield,28.810799228043116
Andy Diouf,Lens,Central Midfield,28.62592516260434
Kike Pérez,Venezia,Central Midfield,28.437113101740586
Carlo Boukhalfa,St. Pauli,Central Midfield,28.366827345092755
Rocco Reitz,Gladbach,Central Midfield,28.361127140219974
Szymon Żurkowski,Empoli,Central Midfield,28.31010397901457
Tijjani Reijnders,Milan,Central Midfield,28.24923540503234
Matías Vecino,Lazio,Central Midfield,28.231909835546574
Curtis Jones,Liverpool,Central Midfield,28.104186671719063
Oier Zarraga,Udinese,Central Midfield,27.969156125454862
Marcel Sabitzer,Dortmund,Central Midfield,27.90747720081891
Christian Eriksen,Manchester Utd,Central Midfield,27.808097288687478
Mathis Amougou,Chelsea,Central Midfield,27.80778894472362
Hugo Larsson,Eint Frankfurt,Central Midfield,27.807189504491806
Conor Gallagher,Atlético Madrid,Central Midfield,27.78022727657264
Jackson Irvine,St. Pauli,Central Midfield,27.740908244928345
Janik Haberer,Union Berlin,Central Midfield,27.701005025125628
Sergi Darder,Mallorca,Central Midfield,27.69599297846361
Cher Ndour,Fiorentina,Central Midfield,27.65191699236925
Johan Manzambi,Freiburg,Central Midfield,27.6027194797517
Éderson,Atalanta,Central Midfield,27.59720236585638
Miha Zajc,Toulouse,Central Midfield,27.595536680452405
Erik Ahlstrand,St. Pauli,Central Midfield,27.56456702115227
Albert Grønbaek,Southampton,Central Midfield,27.24672746448291
Daler Kuzyaev,Le Havre,Central Midfield,27.21480344107368
Pierrick Capelle,Angers,Central Midfield,26.85611551346476
Eduardo Camavinga,Real Madrid,Central Midfield,26.8132481588028
Jens Stage,Werder Bremen,Central Midfield,26.80494965670845
Alex Král,Espanyol,Central Midfield,26.758539925499893
Alfred Duncan,Venezia,Central Midfield,26.75706000204792
Ivan Ilić,Torino,Central Midfield,26.64414951854243
Justin Smith,Espanyol,Central Midfield,26.590127671852084
Tom Bischof,Hoffenheim,Central Midfield,26.587847731907587
Khalil Fayad,Montpellier,Central Midfield,26.56314337424999
Jack Taylor,Ipswich Town,Central Midfield,26.54287594434759
László Bénes,Union Berlin,Central Midfield,26.386294850504303
Naouirou Ahamada,Crystal Palace,Central Midfield,26.24501819442038
Yasin Ayari,Brighton,Central Midfield,25.965140171776895
Antonio Sánchez,Mallorca,Central Midfield,25.935281405228224
Grischa Prömel,Hoffenheim,Central Midfield,25.924449835383815
Donny van de Beek,Girona,Central Midfield,25.89009864135492
Henrikh Mkhitaryan,Inter,Central Midfield,25.786172725274387
Ander Guevara,Alavés,Central Midfield,25.734571735079893
András Schäfer,Union Berlin,Central Midfield,25.708476593493785
Enzo Fernández,Chelsea,Central Midfield,25.70244567547636
Sergi Roberto,Como,Central Midfield,25.6835774185954
Yunus Musah,Milan,Central Midfield,25.599797692999125
Álvaro Aguado,Espanyol,Central Midfield,25.54251140761277
Sandi Lovrić,Udinese,Central Midfield,25.526525145699445
Philipp Sander,Gladbach,Central Midfield,25.52257771775905
Ayyoub Bouaddi,Lille,Central Midfield,25.51925064089274
Frank Onyeka,Brentford,Central Midfield,25.43718592964824
Edoardo Bove,Fiorentina,Central Midfield,25.39937495940336
José Gragera,Espanyol,Central Midfield,25.291748726055584
Lucas Da Cunha,Como,Central Midfield,25.268255317103243
Massimo Luongo,Ipswich Town,Central Midfield,25.246120103278827
Sean Longstaff,Newcastle Utd,Central Midfield,25.198478990124883
Youri Tielemans,Aston Villa,Central Midfield,25.04547022547502
Jordan Veretout,Lyon,Central Midfield,24.98231710482811
Michael Folorunsho,Fiorentina,Central Midfield,24.95513528917061
Florian Micheler,Hoffenheim,Central Midfield,24.852910385259634
Dani Ceballos,Real Madrid,Central Midfield,24.84254203710862
Pape Matar Sarr,Tottenham,Central Midfield,24.800332848579092
Haris Belkebla,Angers,Central Midfield,24.79843188312862
Sergi Altimira,Betis,Central Midfield,24.751948291412855
Hernani,Parma,Central Midfield,24.74342852064795
Federico Valverde,Real Madrid,Central Midfield,24.740121831273868
Gianluca Busio,Venezia,Central Midfield,24.737919284489188
Vincent Sierro,Toulouse,Central Midfield,24.73449116929677
Fran Beltrán,Celta Vigo,Central Midfield,24.709249964868228
Tom Cairney,Fulham,Central Midfield,24.693495320676572
Medon Berisha,Lecce,Central Midfield,24.48156949405663
Robert Wagner,St. Pauli,Central Midfield,24.395811474957206
Maxence Caqueret,Como,Central Midfield,24.337154297956157
Mateo Flores,Betis,Central Midfield,24.243398364370876
Felix Nmecha,Dortmund,Central Midfield,24.18141029343594
Yassin Belkhdim,Angers,Central Midfield,24.153418963978773
Mahdi Camara,Brest,Central Midfield,24.14328642685163
Nicolas Haas,Empoli,Central Midfield,24.082279866230106
Aster Vranckx,Wolfsburg,Central Midfield,24.05895078756791
Nicolas Seiwald,RB Leipzig,Central Midfield,24.058673243801255
André Gomes,Lille,Central Midfield,24.025522913713868
Morten Thorsby,Genoa,Central Midfield,23.964423590771702
Benjamin Bouchouari,Saint-Étienne,Central Midfield,23.86961656132836
Toma Bašić,Lazio,Central Midfield,23.856085985482974
Giuseppe Mazzaglia,Como,Central Midfield,23.856085985482974
Luis Hasa,Napoli,Central Midfield,23.856085985482974
Edan Diop,Monaco,Central Midfield,23.856085985482974
Umut Tohumcu,Hoffenheim,Central Midfield,23.845558812581423
Patrizio Masini,Genoa,Central Midfield,23.803476017557372
Gavi,Barcelona,Central Midfield,23.59368162131981
Rodrigo De Paul,Atlético Madrid,Central Midfield,23.532569263429448
Óscar Valentín,Rayo Vallecano,Central Midfield,23.514857899071785
Luis Milla,Getafe,Central Midfield,23.495613589834694
Lewis Holtby,Holstein Kiel,Central Midfield,23.398194720131645
Andrey Santos,Strasbourg,Central Midfield,23.179799773111686
Simon Sohm,Parma,Central Midfield,23.14015611828204
Jordan James,Rennes,Central Midfield,23.1316840613323
Valentin Rongier,Marseille,Central Midfield,23.07907830111007
Mattéo Guendouzi,Lazio,Central Midfield,23.067612628447534
Lucas Bergvall,Tottenham,Central Midfield,22.98754505561177
Santi Comesaña,Villarreal,Central Midfield,22.87828696913595
Matteo Pessina,Monza,Central Midfield,22.84246172313558
Jack Hinshelwood,Brighton,Central Midfield,22.772365044104646
Armin Gigovic,Holstein Kiel,Central Midfield,22.73852078260719
Djibril Sow,Sevilla,Central Midfield,22.719898396520943
Djaoui Cissé,Rennes,Central Midfield,22.67014787743431
Seydouba Cissé,Leganés,Central Midfield,22.48281044077087
Jan Schöppner,Heidenheim,Central Midfield,22.47831456862371
Yassine Kechta,Le Havre,Central Midfield,22.452091946342975
Martín Payero,Udinese,Central Midfield,22.36053562157767
Lassana Coulibaly,Lecce,Central Midfield,22.240025046367485
Pascal Groß,Dortmund,Central Midfield,22.21780672067822
Kevin Kampl,RB Leipzig,Central Midfield,22.21362383623544
Jon Guridi,Alavés,Central Midfield,22.189489841775657
José Campaña,Las Palmas,Central Midfield,22.064121738942287
Hamza Rafia,Lecce,Central Midfield,22.06330961676688
Iñigo Ruiz de Galarreta,Athletic Club,Central Midfield,22.05095992784435
Sandro Tonali,Newcastle Utd,Central Midfield,21.865360037180118
Habib Diarra,Strasbourg,Central Midfield,21.6795779100949
Tim Iroegbunam,Everton,Central Midfield,21.566501864159505
Hugo Sotelo,Celta Vigo,Central Midfield,21.530085097251714
Koke,Atlético Madrid,Central Midfield,21.48271703991479
Konrad Laimer,Bayern Munich,Central Midfield,21.391019773122412
Morten Frendrup,Genoa,Central Midfield,21.37853292901773
Niccolò Pisilli,Roma,Central Midfield,21.3321491462195
Manu Koné,Roma,Central Midfield,21.02382087908679
Alexis Mac Allister,Liverpool,Central Midfield,20.881989689486435
Tamás Nikitscher,Valladolid,Central Midfield,20.833333333333332
Carlos Soler,West Ham,Central Midfield,20.70192322468612
Declan Rice,Arsenal,Central Midfield,20.650207718164882
Beñat Turrientes,Real Sociedad,Central Midfield,20.640933217423257
Alessandro Deiola,Cagliari,Central Midfield,20.51704131343741
Maximilian Eggestein,Freiburg,Central Midfield,20.489532007156622
Suat Serdar,Hellas Verona,Central Midfield,20.402935166762305
Saúl Ñíguez,Sevilla,Central Midfield,20.388724983804032
Yannick Gerhardt,Wolfsburg,Central Midfield,20.356654447762157
Enzo Loiodice,Las Palmas,Central Midfield,20.347870303900454
Albert Sambi Lokonga,Sevilla,Central Midfield,20.265224776489358
John McGinn,Aston Villa,Central Midfield,20.25804081371027
Dennis Geiger,Hoffenheim,Central Midfield,20.055691845052028
Abdoulaye Doucouré,Everton,Central Midfield,19.962679313977098
Luca Kerber,Heidenheim,Central Midfield,19.746793327367428
Kobbie Mainoo,Manchester Utd,Central Midfield,19.253539096259505
Elliot Anderson,Nott'ham Forest,Central Midfield,19.241680566327055
Hugo Magnetti,Brest,Central Midfield,18.738663201193237
Remo Freuler,Bologna,Central Midfield,18.673070919439095
Mateus Fernandes,Southampton,Central Midfield,18.606127009091256
Amir Richardson,Fiorentina,Central Midfield,18.18862832681928
Manu Morlanes,Mallorca,Central Midfield,18.06849377852781
Amadou Haidara,RB Leipzig,Central Midfield,17.82265399395166
Pablo Barrios,Atlético Madrid,Central Midfield,17.65579668067592
Beñat Prados,Athletic Club,Central Midfield,17.59801623327267
Lewis Cook,Bournemouth,Central Midfield,17.58958781745391
Matthias Braunöder,Como,Central Midfield,17.043457336433413
Hicham Boudaoui,Nice,Central Midfield,17.04237753153063
Nadiem Amiri,Mainz 05,Central Midfield,17.01504866778844
Lamine Camara,Monaco,Central Midfield,16.917289409507966
Jon Moncayola,Osasuna,Central Midfield,16.831421070135132
Mikel Jauregizar,Athletic Club,Central Midfield,16.694481806309575
Mauro Arambarri,Getafe,Central Midfield,16.432132994802455
Pathé Ciss,Rayo Vallecano,Central Midfield,16.367196086010747
Alessandro Bianco,Monza,Central Midfield,16.32009787940448
Patrick Osterhage,Freiburg,Central Midfield,15.911412590052267
Joelinton,Newcastle Utd,Central Midfield,15.41787028957161
Yangel Herrera,Girona,Central Midfield,15.306255455682166
Nicolás Domínguez,Nott'ham Forest,Central Midfield,15.086939273745198
Karol Linetty,Torino,Central Midfield,14.908741575793686
Maximilian Arnold,Wolfsburg,Central Midfield,14.652572606191201
Youssef Maleh,Empoli,Central Midfield,14.61830399236802
Jordan Ferri,Montpellier,Central Midfield,14.2557087557931
Cristian Cásseres Jr.,Toulouse,Central Midfield,13.96065520076322
Ryan Yates,Nott'ham Forest,Central Midfield,13.875873013776722
Ryan Christie,Bournemouth,Central Midfield,13.581861581394097
Nicolai Remberg,Holstein Kiel,Central Midfield,13.409157590694255
Magnus Knudsen,Holstein Kiel,Central Midfield,13.356899746961759
Liam Henderson,Empoli,Central Midfield,13.271151215069278
Hans Nicolussi Caviglia,Venezia,Central Midfield,12.424196392330577
Warren Bondo,Monza,Central Midfield,12.212895441360075
Unai López,Rayo Vallecano,Central Midfield,12.17110910424006
Tommaso Pobega,Bologna,Central Midfield,11.100939397061232
Ilaix Moriba,Celta Vigo,Central Midfield,11.025704842548494
Sam Morsy,Ipswich Town,Central Midfield,10.252356612098728
Will Hughes,Crystal Palace,Central Midfield,9.637750503482268
Saša Lukić,Fulham,Central Midfield,9.291600888986551
Pol Lozano,Espanyol,Central Midfield,8.347543705353395
João Gomes,Wolves,Central Midfield,7.918868117024833
Ondrej Duda,Hellas Verona,Central Midfield,4.677115143272747
