name,Squad,position,TIS
Andriy Lunin,Real Madrid,Goalkeeper,70.0
Jonas Urbig,Bayern Munich,Goalkeeper,55.0
Manuel Neuer,Bayern Munich,Goalkeeper,37.5
Antonín Kinský,Tottenham,Goalkeeper,37.5
Alexander Meyer,Dortmund,Goalkeeper,35.0
Oliver Baumann,Hoffenheim,Goalkeeper,33.75
Alisson,Liverpool,Goalkeeper,30.750798722044728
Lucas Chevalier,Lille,Goalkeeper,29.6
Ivan Provedel,Lazio,Goalkeeper,29.444444444444443
Michele Di Gregorio,Juventus,Goalkeeper,29.347826086956523
Alex Palmer,Ipswich Town,Goalkeeper,28.75
Kauã Santos,Eint Frankfurt,Goalkeeper,28.333333333333332
David de Gea,Fiorentina,Goalkeeper,28.2
Finn Dahmen,Augsburg,Goalkeeper,28.0
Mike Maignan,Milan,Goalkeeper,27.685185185185183
Steve Mandanda,Rennes,Goalkeeper,27.12121212121212
André Onana,Manchester Utd,Goalkeeper,26.96428571428571
Alexander Nübel,Stuttgart,Goalkeeper,26.599999999999998
Benjamin Lecomte,Montpellier,Goalkeeper,26.59090909090909
Daniel Peretz,Bayern Munich,Goalkeeper,25.833333333333332
Mads Hermansen,Leicester City,Goalkeeper,25.73170731707317
Alex Meret,Napoli,Goalkeeper,25.61503416856492
Yann Sommer,Inter,Goalkeeper,25.6
Álex Remiro,Real Sociedad,Goalkeeper,25.576923076923077
Lorenzo Montipò,Hellas Verona,Goalkeeper,25.555555555555557
Christos Mandas,Lazio,Goalkeeper,25.0
Cieran Slicker,Ipswich Town,Goalkeeper,25.0
Andrea Mazza,Monza,Goalkeeper,25.0
Daniel Batz,Mainz 05,Goalkeeper,25.0
Christian Früchtl,Lecce,Goalkeeper,25.0
Carlo Pinsoglio,Juventus,Goalkeeper,25.0
Carlos Miguel,Nott'ham Forest,Goalkeeper,25.0
Carl Rushworth,Brighton,Goalkeeper,25.0
Carl Klaus,Union Berlin,Goalkeeper,25.0
Caoimhín Kelleher,Liverpool,Goalkeeper,25.0
Brice Maubleu,Saint-Étienne,Goalkeeper,25.0
Daniel Iversen,Leicester City,Goalkeeper,25.0
Daniel Bentley,Wolves,Goalkeeper,25.0
Daniel Klein,Augsburg,Goalkeeper,25.0
Claudio Turi,Napoli,Goalkeeper,25.0
Antonio Donnarumma,Torino,Goalkeeper,25.0
Benjamin Siegrist,Genoa,Goalkeeper,25.0
Arnau Tenas,Paris S-G,Goalkeeper,25.0
André Ferreira,Valladolid,Goalkeeper,25.0
Brandon Austin,Tottenham,Goalkeeper,25.0
Alphonse Areola,West Ham,Goalkeeper,25.0
Altay Bayındır,Manchester Utd,Goalkeeper,25.0
Alexander Schwolow,Union Berlin,Goalkeeper,25.0
Alfie Whiteman,Tottenham,Goalkeeper,25.0
Alen Sherri,Cagliari,Goalkeeper,25.0
Alexandre Olliero,Reims,Goalkeeper,25.0
Aitor Fernández,Osasuna,Goalkeeper,25.0
Jens Grahl,Eint Frankfurt,Goalkeeper,25.0
Jelle Van Neck,Marseille,Goalkeeper,25.0
Jaume Doménech,Valencia,Goalkeeper,25.0
Jean Butez,Como,Goalkeeper,25.0
Jesse Joronen,Venezia,Goalkeeper,25.0
Jason Steele,Brighton,Goalkeeper,25.0
Iván Villar,Celta Vigo,Goalkeeper,25.0
Iván Cuéllar,Mallorca,Goalkeeper,25.0
Jakob Busk,Hoffenheim,Goalkeeper,25.0
Jacopo Seghetti,Empoli,Goalkeeper,25.0
Jan Oblak,Atlético Madrid,Goalkeeper,25.0
Federico Ravaglia,Bologna,Goalkeeper,25.0
Eric Oelschlägel,St. Pauli,Goalkeeper,25.0
Fabian Bredlow,Stuttgart,Goalkeeper,25.0
Elia Caprile,Cagliari,Goalkeeper,25.0
Daniele Padelli,Udinese,Goalkeeper,25.0
Frank Feller,Heidenheim,Goalkeeper,25.0
Filip Jørgensen,Chelsea,Goalkeeper,25.0
Florian Müller,Freiburg,Goalkeeper,25.0
Fran Vieites,Betis,Goalkeeper,25.0
Fraser Forster,Tottenham,Goalkeeper,25.0
Francesco Rossi,Atalanta,Goalkeeper,25.0
Jasper Samooja,Lecce,Goalkeeper,25.0
Iker Álvarez,Villarreal,Goalkeeper,25.0
Hákon Rafn Valdimarsson,Brentford,Goalkeeper,25.0
Guillaume Restes,Toulouse,Goalkeeper,25.0
Hugo Barbet,Nantes,Goalkeeper,25.0
Harvey Davies,Liverpool,Goalkeeper,25.0
Giuseppe Ciocci,Cagliari,Goalkeeper,25.0
Grégoire Coudert,Brest,Goalkeeper,25.0
Gauthier Gallon,Rennes,Goalkeeper,25.0
Dimitry Bertaud,Montpellier,Goalkeeper,25.0
Jannik Huth,Freiburg,Goalkeeper,25.0
John Ruddy,Newcastle Utd,Goalkeeper,25.0
Juan Carlos,Girona,Goalkeeper,25.0
Kevin Müller,Heidenheim,Goalkeeper,25.0
Marcus Bettinelli,Chelsea,Goalkeeper,25.0
Marco Sportiello,Milan,Goalkeeper,25.0
Marcel Lotka,Dortmund,Goalkeeper,25.0
Marco Silvestri,Empoli,Goalkeeper,25.0
Mathieu Gorgelin,Le Havre,Goalkeeper,25.0
Mathew Ryan,Lens,Goalkeeper,25.0
Kevin Trapp,Eint Frankfurt,Goalkeeper,25.0
Ludovic Butelle,Reims,Goalkeeper,25.0
Lorenzo Torriani,Milan,Goalkeeper,25.0
Luca Philipp,Hoffenheim,Goalkeeper,25.0
Leopold Zingerle,RB Leipzig,Goalkeeper,25.0
Maarten Vandevoordt,RB Leipzig,Goalkeeper,25.0
Leo Román,Mallorca,Goalkeeper,25.0
Lasse Rieß,Mainz 05,Goalkeeper,25.0
Kjetil Haug,Toulouse,Goalkeeper,25.0
Justin Lacombe,Toulouse,Goalkeeper,25.0
Christian Walton,Ipswich Town,Goalkeeper,25.0
Federico Magro,Hellas Verona,Goalkeeper,25.0
Fernando Pacheco,Espanyol,Goalkeeper,25.0
