iter	RMSE
0	1.319063384
1	1.299464457
2	1.281287063
3	1.259746278
4	1.240473724
5	1.220009663
6	1.202926564
7	1.187728474
8	1.170368482
9	1.155221614
10	1.140462861
11	1.126497927
12	1.112913584
13	1.09971648
14	1.086581463
15	1.074883745
16	1.062003598
17	1.048700569
18	1.038291997
19	1.02772293
20	1.01793365
21	1.009142138
22	1.000529465
23	0.9885415516
24	0.9792583338
25	0.9684981148
26	0.9590786479
27	0.9502630484
28	0.941841169
29	0.9335608194
30	0.9258275697
31	0.9176117073
32	0.9096540597
33	0.9026088826
34	0.8961084168
35	0.8877381
36	0.8807150267
37	0.8749713222
38	0.8682676019
39	0.8641989049
40	0.8594682318
41	0.8543755845
42	0.8484799792
43	0.8424603582
44	0.837875429
45	0.8324322311
46	0.8269822031
47	0.821662135
48	0.8161037886
49	0.8109766565
50	0.8070464133
51	0.803456612
52	0.7989993365
53	0.7937720171
54	0.7893552604
55	0.7836453046
56	0.7787154366
57	0.7744735218
58	0.7708688028
59	0.766130587
60	0.7603188094
61	0.7554918553
62	0.7508481168
63	0.7476186596
64	0.743599185
65	0.7388649906
66	0.735355358
67	0.7328437235
68	0.7297983625
69	0.7254744823
70	0.7224487757
71	0.7196060753
72	0.7166935351
73	0.7136965098
74	0.7108444452
75	0.7080320005
76	0.7045279694
77	0.7006425573
78	0.6980684449
79	0.6946844745
80	0.6923459499
81	0.688074003
82	0.6847060295
83	0.6822586714
84	0.678695145
85	0.6758376432
86	0.673332822
87	0.6697728069
88	0.667206981
89	0.6640989679
90	0.6610812586
91	0.6579706259
92	0.6550642389
93	0.6527372351
94	0.6492065258
95	0.646138222
96	0.6426118309
97	0.6406879096
98	0.6376626155
99	0.6355781567
100	0.6328228251
101	0.630416934
102	0.6281001036
103	0.6254710951
104	0.6234733305
105	0.6208905209
106	0.6189193427
107	0.6160926802
108	0.6144044451
109	0.6119950133
110	0.6095470471
111	0.6064751009
112	0.6043542057
113	0.6020370372
114	0.6003863119
115	0.5985525928
116	0.5959837895
117	0.5939028296
118	0.5923658754
119	0.5894186817
120	0.5870991469
121	0.584897399
122	0.5831559579
123	0.5812338387
124	0.5788305073
125	0.5773991075
126	0.575828598
127	0.5745191686
128	0.5718189305
129	0.5701376644
130	0.5682230072
131	0.5667975478
132	0.5652942491
133	0.5639073926
134	0.5620788107
135	0.5597986788
136	0.5577626431
137	0.5549416101
138	0.5525498689
139	0.5510105494
140	0.5493857429
141	0.5471076267
142	0.5451727282
143	0.5440146605
144	0.5417140646
145	0.5398225838
146	0.5378231429
147	0.5366183446
148	0.5346650535
149	0.5334668591
150	0.5319576771
151	0.5303589955
152	0.5283321837
153	0.5266448498
154	0.5248611675
155	0.5218228131
