iter	Passed	Remaining
0	6	3214
1	10	2498
2	13	2286
3	17	2120
4	19	1965
5	22	1817
6	24	1696
7	26	1603
8	28	1573
9	31	1542
10	33	1506
11	36	1464
12	38	1426
13	40	1392
14	42	1366
15	44	1337
16	46	1329
17	49	1337
18	52	1317
19	54	1299
20	56	1291
21	58	1275
22	60	1259
23	63	1267
24	66	1264
25	69	1267
26	71	1256
27	73	1243
28	75	1230
29	78	1222
30	80	1217
31	83	1223
32	86	1220
33	88	1216
34	91	1213
35	93	1205
36	95	1198
37	99	1204
38	101	1197
39	103	1188
40	106	1188
41	108	1180
42	110	1173
43	113	1177
44	115	1172
45	119	1175
46	121	1170
47	123	1163
48	125	1156
49	128	1154
50	130	1152
51	133	1153
52	136	1149
53	138	1142
54	140	1137
55	142	1131
56	145	1130
57	148	1131
58	150	1126
59	152	1121
60	155	1121
61	158	1116
62	160	1113
63	163	1111
64	165	1106
65	167	1101
66	169	1096
67	171	1090
68	173	1084
69	176	1083
70	179	1087
71	182	1085
72	184	1080
73	186	1075
74	189	1071
75	191	1066
76	193	1062
77	195	1060
78	197	1055
79	199	1049
80	201	1043
81	204	1042
82	206	1038
83	210	1042
84	212	1038
85	214	1034
86	217	1032
87	219	1027
88	221	1022
89	223	1017
90	226	1017
91	228	1014
92	231	1013
93	233	1010
94	236	1007
95	238	1004
96	241	1002
97	243	1000
98	247	1000
99	249	996
100	251	993
101	253	990
102	256	987
103	258	986
104	261	984
105	264	981
106	266	979
107	269	977
108	271	974
109	274	974
110	277	972
111	279	968
112	282	966
113	284	963
114	286	959
115	289	958
116	292	956
117	295	955
118	297	951
119	299	948
120	302	946
121	304	943
122	307	942
123	310	941
124	312	938
125	315	935
126	317	933
127	320	930
128	323	929
129	325	927
130	328	924
131	331	923
132	333	920
133	336	919
134	339	916
135	341	913
136	344	912
137	346	909
138	349	906
139	352	905
140	355	904
141	357	902
142	360	899
143	362	896
144	365	895
145	368	893
146	372	893
147	374	891
148	377	889
149	380	886
150	382	884
151	386	883
152	388	882
153	391	879
154	393	876
155	396	873
156	398	870
157	402	870
158	404	867
159	407	865
160	409	863
161	412	860
162	414	857
163	417	855
164	421	855
165	423	852
166	425	849
167	428	846
168	430	843
169	432	840
170	436	839
171	438	836
172	440	833
173	443	830
174	445	827
175	447	824
176	450	821
177	453	819
178	455	816
179	458	815
180	460	811
181	462	808
182	465	806
183	467	803
184	470	801
185	473	799
186	475	796
187	478	794
188	481	791
189	483	789
190	486	787
191	488	783
192	490	780
193	493	778
194	495	775
195	499	774
196	501	771
197	504	769
198	506	766
199	509	763
200	511	761
201	515	759
202	517	757
203	520	755
204	522	752
205	525	749
206	527	746
207	530	744
208	532	741
209	535	739
210	537	736
211	540	733
212	542	731
