Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,PrgC_90,PrgP_90,PrgR_90,xG_90,xAG_90,npxG_90,npxG+xAG_90,Possession_Influence,Defensive_Contribution,Final_Third_Impact,Tactical_Adaptability,TIS
Alberto Perea,es ESP,"MF,FW",Granada,32.0,1990.0,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,4.87,4.87,0.0,4.87,Matches,0.0,90.0,45.0,0.0,4.5,0.0,4.5,75.0,100.0,46.874999999999986,66.66666666666667,70.57291666666666
Miloš Pantović,rs SRB,MF,Union Berlin,27.0,1996.0,1,0,15,0.2,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,1,0,1,6.0,0.0,6.0,6.0,6.0,4.55,0.0,4.55,4.55,4.55,Matches,6.0,0.0,6.0,4.800000000000001,0.0,4.800000000000001,4.800000000000001,6.666666666666667,100.0,99.99999999999999,71.11111111111113,69.1111111111111
Christian Kühlwetter,de GER,MF,Heidenheim,27.0,1996.0,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,0,0,0.0,11.25,11.25,0.0,11.25,0.0,6.85,6.85,0.0,6.85,Matches,11.25,0.0,0.0,0.0,6.749999999999999,0.0,6.749999999999999,6.25,100.0,70.31249999999997,100.0,61.484374999999986
Deivid Washington,br BRA,"DF,FW",Chelsea,18.0,2005.0,2,0,13,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,1,0.0,0.0,0.0,0.0,0.0,3.23,0.0,3.23,3.23,3.23,Matches,0.0,0.0,6.923076923076923,3.4615384615384617,0.0,3.4615384615384617,3.4615384615384617,3.8461538461538463,100.0,72.1153846153846,51.28205128205129,56.52243589743589
Enso Gonzalez,py PAR,"MF,DF",Wolves,18.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,180.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,55.0
Donny van de Beek,nl NED,DF,Manchester Utd,26.0,1997.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,0,1,0.0,0.0,0.0,0.0,0.0,1.09,4.44,5.54,1.09,5.54,Matches,0.0,0.0,30.0,0.0,3.0,0.0,6.0,16.666666666666668,100.0,31.249999999999993,88.8888888888889,49.82638888888889
Elye Wahi,fr FRA,FW,Montpellier,20.0,2003.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,4.23,4.23,0.0,4.23,Matches,6.428571428571429,6.428571428571429,12.857142857142858,0.0,3.8571428571428568,0.0,3.8571428571428568,14.285714285714286,100.0,40.178571428571416,57.142857142857146,49.06249999999999
Mattéo Guendouzi,fr FRA,MF,Marseille,24.0,1999.0,2,0,19,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2,1,1,0.0,0.0,0.0,0.0,0.0,2.59,0.0,2.59,2.59,2.59,Matches,9.473684210526315,4.7368421052631575,4.7368421052631575,2.3684210526315788,0.0,2.3684210526315788,2.3684210526315788,10.526315789473683,100.0,49.34210526315788,35.08771929824562,48.936403508771924
Luca Raimund,de GER,"FW,MF",Stuttgart,18.0,2005.0,3,0,30,0.3,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,0,1,2,0.0,0.0,0.0,0.0,0.0,2.79,0.0,2.79,2.79,2.79,Matches,0.0,3.0,6.0,2.7,0.0,2.7,2.7,5.0,94.44444444444444,56.24999999999999,40.00000000000001,48.79861111111111
Hianga Mananga Mbock,fr FRA,"MF,FW",Brest,23.0,1999.0,2,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.55,1.62,2.17,0.55,2.17,Matches,10.0,20.0,0.0,1.0,2.0,1.0,2.0,16.666666666666668,100.0,41.66666666666666,29.629629629629633,47.54629629629629
Noah Mbamba,be BEL,MF,Leverkusen,18.0,2005.0,3,0,16,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,2,1,0.0,5.63,5.63,0.0,5.63,0.14,3.16,3.3,0.14,3.3,Matches,5.625,11.25,5.625,0.0,3.3749999999999996,0.0,3.3749999999999996,12.5,100.0,35.156249999999986,50.0,46.05468749999999
Nathanael Mbuku,cd COD,FW,Augsburg,21.0,2002.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.56,0.69,1.25,0.56,1.25,Matches,18.0,18.0,72.0,0.0,0.0,0.0,1.8000000000000003,60.0,100.0,0.0,26.666666666666675,45.66666666666667
Timothy Chandler,us USA,"MF,DF",Eint Frankfurt,33.0,1990.0,6,0,18,0.2,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,1,5,10,0.0,5.0,5.0,0.0,5.0,0.4,0.69,1.09,0.4,1.09,Matches,5.0,25.0,50.0,0.5,0.5,0.5,1.0,44.44444444444444,100.0,15.624999999999996,14.814814814814817,45.28356481481481
