Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Brenden Aaronson,us USA,"MF,FW",Union Berlin,22.0,2000.0,30,14,"1,267",14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27
Paxten Aaronson,us USA,MF,Eint Frankfurt,19.0,2003.0,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19
Junior Adamu,at AUT,"FW,MF",Freiburg,22.0,2001.0,15,0,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.16,0.05,0.16
Sargis Adamyan,am ARM,"FW,MF",Köln,30.0,1993.0,20,8,801,8.9,1,2,3,1,0,0,2,0,4.1,4.1,2.0,6.1,15,18,42,0.11,0.22,0.34,0.11,0.34,0.46,0.23,0.69,0.46,0.69
Karim Adeyemi,de GER,"FW,MF",Dortmund,21.0,2002.0,21,10,913,10.1,3,1,4,3,0,0,6,1,3.5,3.5,2.0,5.5,52,26,96,0.3,0.1,0.39,0.3,0.39,0.34,0.2,0.54,0.34,0.54
Amine Adli,ma MAR,"MF,FW",Leverkusen,23.0,2000.0,23,8,898,10.0,4,6,10,4,0,0,5,0,3.3,3.3,2.3,5.6,32,39,131,0.4,0.6,1.0,0.4,1.0,0.33,0.23,0.56,0.33,0.56
Felix Agu,de GER,"DF,MF",Werder Bremen,23.0,1999.0,24,19,"1,614",17.9,0,0,0,0,0,0,2,0,0.9,0.9,0.6,1.5,32,32,90,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08
Ludovic Ajorque,fr FRA,FW,Mainz 05,29.0,1994.0,26,15,"1,360",15.1,2,0,2,2,0,2,4,0,5.3,3.7,1.0,4.7,5,21,88,0.13,0.0,0.13,0.13,0.13,0.35,0.06,0.41,0.25,0.31
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28.0,1995.0,17,11,"1,097",12.2,0,0,0,0,0,0,7,0,0.3,0.3,0.3,0.6,10,55,9,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05
Faride Alidou,de GER,"FW,MF",Köln,22.0,2001.0,26,14,"1,282",14.2,4,0,4,4,0,0,4,0,3.0,3.0,0.6,3.6,51,33,95,0.28,0.0,0.28,0.28,0.28,0.21,0.04,0.26,0.21,0.26
Skelly Alvero,fr FRA,MF,Werder Bremen,21.0,2002.0,6,1,123,1.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,1,9,6,0.73,0.0,0.73,0.73,0.73,0.24,0.03,0.27,0.24,0.27
Nadiem Amiri,de GER,MF,Mainz 05,26.0,1996.0,15,15,"1,315",14.6,1,4,5,1,0,1,5,0,2.2,1.4,4.3,5.7,16,88,22,0.07,0.27,0.34,0.07,0.34,0.15,0.3,0.45,0.1,0.39
Nadiem Amiri,de GER,MF,Leverkusen,26.0,1996.0,8,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,6,6,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.16,0.13,0.16
Kofi Amoako,de GER,MF,Wolfsburg,18.0,2005.0,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Andrich,de GER,"MF,DF",Leverkusen,28.0,1994.0,28,18,"1,690",18.8,4,2,6,4,0,0,4,0,1.7,1.7,1.8,3.5,20,97,14,0.21,0.11,0.32,0.21,0.32,0.09,0.1,0.19,0.09,0.19
Waldemar Anton,de GER,DF,Stuttgart,27.0,1996.0,33,32,"2,886",32.1,0,3,3,0,0,0,7,0,1.7,1.7,1.0,2.7,38,172,15,0.0,0.09,0.09,0.0,0.09,0.05,0.03,0.09,0.05,0.09
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29.0,1994.0,25,11,"1,216",13.5,2,2,4,2,0,0,5,0,2.2,2.2,3.5,5.7,50,28,138,0.15,0.15,0.3,0.15,0.3,0.16,0.26,0.42,0.16,0.42
Asaf Arania,il ISR,MF,Darmstadt 98,17.0,2005.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Arnold,de GER,MF,Wolfsburg,29.0,1994.0,30,27,"2,506",27.8,2,1,3,2,0,0,9,0,1.0,1.0,3.9,4.9,20,143,19,0.07,0.04,0.11,0.07,0.11,0.04,0.14,0.18,0.04,0.18
Arthur,br BRA,DF,Leverkusen,20.0,2003.0,4,2,184,2.0,0,2,2,0,0,0,0,0,0.1,0.1,0.3,0.4,8,7,28,0.0,0.98,0.98,0.0,0.98,0.04,0.15,0.19,0.04,0.19
