Unnamed: 0.1,name,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,xAG,npxG+xAG,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,2CrdY,Fls,Fld,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,Tkl.1,Tkl%,Pass,Tkl+Int,Clr,Err,Cmp%,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,PPA,CrsPA,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,SCA,SCA90,PassLive,PassDead,TO,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
12,Abdoulaye Touré,2512,GUI,MF,Le Havre,fr  Ligue 1,31-008,1994.0,16.9,668.0,654.0,8.0,7.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,548.0,6.0,4.0,4.0,25.0,3.0,12.0,1.48,0.18,0.04,0.33,23.1,3.0,4.0,4.9,1.6,0.06,-0.9,-0.6,877.0,65.0,264.0,485.0,135.0,19.0,13.0,56.5,7.0,30.4,442.0,2004.0,879.0,8.0,10.0,0.0,20.0,23.0,520.0,17.0,19.0,17.0,1523.0,1.0,5.0,1.0,4.0,0.0,0.1,1.7,70.0,0.24,0.06,0.3,0.06,0.12,0.29,0.01,0.3,0.09,0.1,0.0,23.0,29.0,25.0,24.0,0.0,0.0,0.0,109.0,24.0,15.0,61.5,45.0,25.0,62.5,10.0,70.0,31.0,3.0,82.0,232.0,272.0,85.3,235.0,279.0,84.2,65.0,87.0,74.7,0.4,0.9,4.0,6.0,2.0,80.0,67.7,86.0,11.0,2.0,27.0,0.0,0.68,15.0,38.0,-23.0,-1.36,-0.86,18.7,32.7,-14.0,-0.83,-0.53,,,,,,,,,,,,,,,31.0,1.83,20.0,0.0,1.0,1.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,181382,Defensive Midfield,1994-03-03,30,"['Guinea', 'France']",188.0,right,2023-07-26,Genoa CFC,2025-06-30,3000000.0,Rib fracture - Return unknown
26,Adam Wharton,2653,ENG,MF,Crystal Palace,eng  Premier League,20-282,2004.0,9.4,502.0,475.0,24.0,8.0,5.0,1.0,24.0,0.0,16.0,10.0,1.0,0.0,384.0,3.0,8.0,0.0,10.0,5.0,50.0,1.07,0.53,0.0,0.0,25.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,600.0,16.0,132.0,318.0,153.0,6.0,1.0,14.3,6.0,85.7,294.0,1345.0,717.0,9.0,14.0,2.0,9.0,11.0,372.0,10.0,13.0,10.0,843.0,0.0,0.0,0.0,1.0,0.0,2.0,2.2,88.0,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.24,0.03,0.24,0.0,7.0,16.0,13.0,12.0,0.0,0.0,0.0,70.0,7.0,14.0,33.3,28.0,13.0,40.6,7.0,41.0,18.0,0.0,76.5,140.0,170.0,82.4,185.0,228.0,81.1,53.0,80.0,66.3,1.4,-2.0,19.0,16.0,5.0,65.0,33.5,79.0,3.0,3.0,19.0,1.0,1.38,12.0,11.0,1.0,0.11,0.0,14.8,12.0,2.9,0.31,-0.01,,,,,,,,,,,,,,,46.0,4.92,38.0,6.0,0.0,1.0,4.0,0.43,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,744149,Defensive Midfield,2004-02-06,21,['England'],182.0,left,2024-02-01,Blackburn Rovers,2029-06-30,32000000.0,
52,Alberto Grassi,1009,ITA,MF,Empoli,it  Serie A,30-004,1995.0,15.9,570.0,545.0,22.0,20.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,432.0,3.0,9.0,1.0,5.0,2.0,40.0,0.32,0.13,0.2,0.5,13.2,0.0,0.0,0.6,0.6,0.12,0.4,0.4,714.0,55.0,216.0,409.0,98.0,12.0,3.0,42.9,3.0,42.9,310.0,1471.0,598.0,11.0,8.0,1.0,15.0,13.0,375.0,11.0,19.0,18.0,1427.0,0.0,1.0,1.0,6.0,0.0,0.2,0.8,43.0,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,0.0,17.0,24.0,21.0,16.0,1.0,0.0,0.0,83.0,17.0,12.0,58.6,30.0,10.0,71.4,7.0,51.0,31.0,1.0,75.8,178.0,217.0,82.0,223.0,276.0,80.8,22.0,47.0,46.8,0.3,-0.2,5.0,5.0,0.0,75.0,56.6,78.0,6.0,1.0,17.0,1.0,0.53,11.0,24.0,-13.0,-0.82,-0.08,13.9,21.4,-7.6,-0.48,0.15,,,,,,,,,,,,,,,16.0,1.01,14.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,197473,Defensive Midfield,1995-03-07,29,['Italy'],183.0,right,2023-07-01,Parma Calcio 1913,2026-06-30,1800000.0,Team captain
62,Aleksandar Pavlovic,1972,GER,MF,Bayern Munich,de  Bundesliga,20-312,2004.0,11.6,1143.0,1135.0,7.0,4.0,2.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,1073.0,1.0,6.0,1.0,7.0,3.0,42.9,0.61,0.26,0.14,0.33,20.9,0.0,0.0,0.4,0.4,0.06,0.6,0.6,1230.0,11.0,138.0,821.0,276.0,10.0,4.0,100.0,0.0,0.0,730.0,3149.0,1356.0,8.0,28.0,3.0,11.0,1.0,1032.0,30.0,15.0,14.0,1041.0,0.0,1.0,1.0,2.0,0.0,0.2,0.6,92.0,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.05,0.03,0.05,0.0,13.0,5.0,3.0,16.0,0.0,0.0,0.0,56.0,6.0,7.0,46.2,30.0,18.0,66.7,14.0,33.0,9.0,0.0,93.9,592.0,609.0,97.2,415.0,431.0,96.3,53.0,76.0,69.7,1.4,-0.2,5.0,10.0,1.0,69.0,46.3,73.0,5.0,1.0,22.0,3.0,2.4,33.0,8.0,25.0,2.16,0.23,25.0,8.1,16.9,1.46,-0.61,,,,,,,,,,,,,,,20.0,1.73,19.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,792380,Defensive Midfield,2004-05-03,20,"['Germany', 'Serbia']",188.0,both,2023-11-01,: Ablöse -,2029-06-30,50000000.0,
108,Aljoscha Kemlein,1288,GER,MF,Union Berlin,de  Bundesliga,20-221,2004.0,10.2,465.0,445.0,16.0,3.0,0.0,4.0,5.0,1.0,3.0,2.0,0.0,1.0,351.0,4.0,8.0,1.0,11.0,3.0,27.3,1.07,0.29,0.09,0.33,17.4,0.0,0.0,0.9,0.9,0.09,0.1,0.1,549.0,16.0,117.0,331.0,105.0,18.0,6.0,66.7,3.0,33.3,260.0,952.0,437.0,5.0,5.0,1.0,11.0,1.0,329.0,19.0,15.0,11.0,922.0,0.0,1.0,1.0,3.0,0.0,0.6,1.5,42.0,0.1,0.0,0.1,0.1,0.1,0.09,0.06,0.15,0.09,0.15,0.0,15.0,2.0,6.0,4.0,0.0,1.0,0.0,58.0,19.0,14.0,57.6,10.0,5.0,35.7,11.0,16.0,15.0,0.0,75.5,163.0,195.0,83.6,132.0,165.0,80.0,40.0,64.0,62.5,0.7,-0.6,10.0,6.0,1.0,61.0,41.0,77.0,4.0,4.0,20.0,4.0,0.8,6.0,17.0,-11.0,-1.07,-0.73,11.5,14.3,-2.8,-0.27,-0.06,,,,,,,,,,,,,,,21.0,2.05,18.0,2.0,0.0,1.0,2.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,692737,Defensive Midfield,2004-08-02,20,['Germany'],187.0,right,2023-07-01,1.FC Union Berlin U19,,7000000.0,Knock - Return unknown
117,Amadou Koné,1331,MLI,MF,Reims,fr  Ligue 1,19-301,2005.0,7.4,352.0,348.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,314.0,0.0,1.0,0.0,8.0,1.0,12.5,1.08,0.13,0.0,0.0,27.1,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,448.0,32.0,120.0,276.0,61.0,2.0,12.0,75.0,2.0,12.5,283.0,1871.0,934.0,15.0,8.0,0.0,10.0,8.0,308.0,8.0,15.0,8.0,668.0,0.0,0.0,0.0,1.0,1.0,0.1,0.3,48.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,0.0,10.0,31.0,9.0,21.0,0.0,1.0,0.0,44.0,8.0,12.0,40.0,31.0,17.0,77.3,8.0,40.0,14.0,0.0,89.2,129.0,146.0,88.4,144.0,154.0,93.5,31.0,39.0,79.5,0.2,-0.1,3.0,4.0,0.0,45.0,29.7,66.0,2.0,7.0,20.0,3.0,0.6,7.0,9.0,-2.0,-0.27,0.41,11.4,13.4,-2.0,-0.27,0.56,,,,,,,,,,,,,,,14.0,1.89,10.0,0.0,1.0,1.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,1178474,Defensive Midfield,2005-05-14,19,"[""Cote d'Ivoire"", 'Mali']",,left,2024-07-01,Stade Reims B,2028-06-30,1000000.0,
118,Amadou Onana,1896,BEL,MF,Aston Villa,eng  Premier League,23-207,2001.0,12.0,526.0,523.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,464.0,1.0,9.0,2.0,14.0,4.0,28.6,1.17,0.33,0.14,0.5,13.8,0.0,0.0,1.8,1.8,0.13,0.2,0.2,662.0,49.0,185.0,387.0,103.0,15.0,9.0,64.3,3.0,21.4,359.0,1697.0,802.0,13.0,15.0,0.0,7.0,7.0,435.0,10.0,17.0,14.0,1079.0,0.0,2.0,2.0,4.0,0.0,0.2,2.0,36.0,0.17,0.0,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17,0.0,24.0,16.0,19.0,22.0,0.0,0.0,0.0,56.0,20.0,14.0,58.8,38.0,11.0,52.4,7.0,57.0,26.0,3.0,88.2,233.0,247.0,94.3,200.0,222.0,90.1,18.0,25.0,72.0,0.2,-0.2,5.0,5.0,1.0,63.0,41.3,72.0,6.0,3.0,23.0,2.0,1.47,13.0,21.0,-8.0,-0.67,-0.9,14.9,17.4,-2.6,-0.21,-0.43,,,,,,,,,,,,,,,17.0,1.42,12.0,1.0,0.0,0.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,485706,Defensive Midfield,2001-08-16,23,"['Belgium', 'Senegal']",195.0,right,2024-07-22,Everton FC,2029-06-30,55000000.0,"Hamstring injury - Return expected on Feb 25, 2025"
149,André,117,BRA,MF,Wolves,eng  Premier League,23-238,2001.0,18.4,848.0,823.0,23.0,20.0,4.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,786.0,2.0,9.0,0.0,6.0,1.0,16.7,0.33,0.05,0.0,0.0,22.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,1040.0,74.0,289.0,662.0,96.0,2.0,9.0,45.0,7.0,35.0,560.0,2418.0,1088.0,6.0,12.0,0.0,19.0,12.0,696.0,9.0,23.0,21.0,1657.0,0.0,0.0,0.0,4.0,0.0,0.6,0.8,72.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,0.0,22.0,26.0,22.0,39.0,0.0,1.0,0.0,122.0,2.0,6.0,25.0,57.0,24.0,60.0,25.0,79.0,26.0,1.0,92.7,390.0,409.0,95.4,318.0,334.0,95.2,55.0,68.0,80.9,0.5,-0.6,11.0,3.0,0.0,72.0,65.8,79.0,9.0,2.0,3.0,2.0,0.83,25.0,36.0,-11.0,-0.6,0.24,19.1,28.6,-9.5,-0.52,-0.09,,,,,,,,,,,,,,,33.0,1.79,26.0,3.0,1.0,3.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,800176,Defensive Midfield,2001-07-16,23,['Brazil'],176.0,right,2024-08-30,Fluminense Football Club,2029-06-30,25000000.0,
163,Angelo Stiller,2407,GER,MF,Stuttgart,de  Bundesliga,23-341,2001.0,24.3,1980.0,1847.0,125.0,60.0,11.0,5.0,60.0,5.0,32.0,17.0,5.0,0.0,1730.0,8.0,13.0,1.0,13.0,3.0,23.1,0.54,0.12,0.08,0.33,20.1,0.0,0.0,1.0,1.0,0.08,0.0,0.0,2172.0,66.0,418.0,1344.0,420.0,24.0,18.0,72.0,7.0,28.0,1204.0,5236.0,2778.0,28.0,24.0,3.0,13.0,20.0,1648.0,49.0,25.0,24.0,2186.0,5.0,6.0,1.0,4.0,0.0,4.7,5.8,217.0,0.04,0.21,0.25,0.04,0.25,0.04,0.2,0.24,0.04,0.24,0.0,18.0,34.0,22.0,22.0,1.0,0.0,0.0,117.0,15.0,21.0,41.7,41.0,13.0,50.0,15.0,63.0,45.0,4.0,87.4,802.0,857.0,93.6,750.0,835.0,89.8,144.0,221.0,65.2,6.2,0.3,40.0,40.0,8.0,87.0,97.2,90.0,22.0,1.0,34.0,0.0,1.48,42.0,39.0,3.0,0.12,-2.69,41.2,35.0,6.2,0.25,-0.52,,,,,,,,,,,,,,,83.0,3.42,69.0,10.0,2.0,0.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,443710,Defensive Midfield,2001-04-04,23,['Germany'],183.0,left,2023-08-25,TSG 1899 Hoffenheim,2028-06-30,32000000.0,
175,Anthony Losilla,1466,FRA,MF,Bochum,de  Bundesliga,39-001,1986.0,12.0,386.0,377.0,8.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,294.0,1.0,7.0,0.0,3.0,0.0,0.0,0.25,0.0,0.0,,23.7,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,507.0,35.0,141.0,285.0,85.0,2.0,1.0,20.0,4.0,80.0,206.0,732.0,293.0,3.0,3.0,1.0,10.0,7.0,260.0,11.0,19.0,13.0,1083.0,0.0,0.0,0.0,1.0,0.0,0.4,0.5,42.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,0.0,18.0,9.0,18.0,16.0,0.0,0.0,0.0,40.0,25.0,22.0,53.2,28.0,16.0,50.0,14.0,46.0,25.0,1.0,76.2,131.0,160.0,81.9,127.0,161.0,78.9,18.0,37.0,48.6,0.6,-0.4,7.0,8.0,3.0,57.0,48.1,72.0,5.0,6.0,24.0,4.0,0.84,9.0,30.0,-21.0,-1.75,-1.59,12.4,23.8,-11.4,-0.94,-0.35,,,,,,,,,,,,,,,18.0,1.49,17.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,111266,Defensive Midfield,1986-03-10,38,['France'],185.0,right,2014-07-01,SG Dynamo Dresden,2025-06-30,500000.0,Team captain
