Unnamed: 0.1,name,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,xAG,npxG+xAG,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,2CrdY,Fls,Fld,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,Tkl.1,Tkl%,Pass,Tkl+Int,Clr,Err,Cmp%,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,PPA,CrsPA,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,SCA,SCA90,PassLive,PassDead,TO,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
1,Aaron Ramsdale,2085,ENG,GK,Southampton,eng  Premier League,26-301,1998.0,20.0,854.0,679.0,170.0,54.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,918.0,673.0,907.0,12.0,0.0,0.0,0.0,,0.0,,575.0,2916.0,1700.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,20.0,20.0,1800.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,64.9,153.0,153.0,100.0,214.0,224.0,95.5,181.0,466.0,38.8,0.1,0.0,0.0,1.0,0.0,90.0,71.4,90.0,0.0,0.0,,2.0,0.4,15.0,48.0,-33.0,-1.65,0.23,18.0,47.3,-29.3,-1.46,0.08,48.0,2.4,136.0,88.0,67.6,2.0,2.0,16.0,2.0,10.0,4.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3,0.32,-2.7,-0.13,733.0,90.0,42.7,35.5,75.0,54.1,263.0,17.0,6.5,14.0,0.7,12.4,427568,Goalkeeper,1998-05-14,26,['England'],190.0,right,2024-08-30,Arsenal FC,2028-06-30,20000000.0,
39,Adrián,33,ESP,GK,Betis,es  La Liga,38-067,1987.0,8.0,271.0,207.0,63.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,279.0,237.0,278.0,1.0,0.0,0.0,0.0,,0.0,,169.0,805.0,522.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,8.0,8.0,720.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,77.5,27.0,27.0,100.0,117.0,120.0,97.5,65.0,121.0,53.7,0.0,0.0,0.0,0.0,0.0,90.0,29.6,90.0,8.0,0.0,,17.0,2.2,17.0,10.0,7.0,0.87,1.14,12.2,9.1,3.1,0.39,0.18,10.0,1.25,25.0,15.0,64.0,5.0,1.0,2.0,3.0,37.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.32,-1.2,-0.15,229.0,34.0,28.8,31.3,34.1,36.0,101.0,5.0,5.0,5.0,0.63,12.7,71271,Goalkeeper,1987-01-03,38,['Spain'],190.0,right,2024-07-08,Liverpool FC,2026-06-30,500000.0,
42,Aitor Fernández,1070,ESP,GK,Osasuna,es  La Liga,33-312,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118997,Goalkeeper,1991-05-03,33,['Spain'],182.0,right,2022-07-02,Levante UD,2027-06-30,1500000.0,
48,Alban Lafont,1379,FRA,GK,Nantes,fr  Ligue 1,26-047,1999.0,12.0,367.0,278.0,88.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,408.0,334.0,401.0,7.0,0.0,0.0,0.0,,0.0,,228.0,1065.0,545.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,12.0,12.0,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,5.0,0.0,100.0,1.0,1.0,100.0,2.0,1.0,8.0,1.0,69.8,41.0,41.0,100.0,147.0,147.0,100.0,68.0,177.0,38.4,0.0,0.0,2.0,0.0,0.0,90.0,48.0,90.0,12.0,0.0,,3.0,0.83,14.0,19.0,-5.0,-0.42,0.35,13.1,16.9,-3.8,-0.32,0.18,19.0,1.58,49.0,32.0,67.3,2.0,4.0,6.0,2.0,16.7,3.0,0.0,0.0,0.0,2.0,0.17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.3,-0.2,-0.02,309.0,56.0,34.0,34.9,66.7,51.1,200.0,16.0,8.0,6.0,0.5,10.6,357117,Goalkeeper,1999-01-23,26,"['France', 'Burkina Faso']",196.0,right,2021-07-01,: Ablöse €7.50m,2027-06-30,7000000.0,
55,Alberto Paleari,1951,ITA,GK,Torino,it  Serie A,32-194,1992.0,1.0,32.0,23.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,37.0,29.0,37.0,0.0,0.0,0.0,0.0,,0.0,,23.0,111.0,65.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,87.5,10.0,10.0,100.0,6.0,6.0,100.0,12.0,16.0,75.0,0.0,0.0,0.0,0.0,0.0,90.0,3.6,90.0,1.0,0.0,,27.0,0.0,2.0,3.0,-1.0,-1.0,-1.0,0.7,2.0,-1.4,-1.35,-0.92,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.32,-0.8,-0.77,26.0,5.0,34.6,31.0,50.0,42.0,12.0,0.0,0.0,5.0,5.0,27.3,163048,Goalkeeper,1992-08-29,32,['Italy'],193.0,right,2024-07-19,Benevento Calcio,2026-06-30,500000.0,
65,Alen Sherri,2309,ALB,GK,Cagliari,it  Serie A,27-086,1997.0,6.0,198.0,138.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,212.0,182.0,210.0,3.0,0.0,0.0,0.0,,0.0,,124.0,566.0,283.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,1.0,1.0,50.0,0.0,1.0,1.0,0.0,75.3,38.0,38.0,100.0,73.0,74.0,98.6,37.0,85.0,43.5,0.0,0.0,1.0,0.0,0.0,90.0,21.4,90.0,6.0,0.0,,22.0,0.83,7.0,9.0,-2.0,-0.33,0.26,10.6,9.1,1.6,0.27,0.84,9.0,1.5,25.0,16.0,64.0,1.0,2.0,3.0,1.0,16.7,0.0,0.0,0.0,,2.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.35,-0.4,-0.07,150.0,20.0,32.7,30.9,37.5,34.4,64.0,4.0,6.3,5.0,0.83,12.5,304144,Goalkeeper,1997-12-15,27,['Albania'],197.0,right,2024-07-24,KF Egnatia,2027-06-30,1000000.0,
67,Alessandro Berardi,367,ITA,GK,Hellas Verona,it  Serie A,34-054,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127217,Goalkeeper,1991-01-16,34,['Italy'],185.0,right,2018-12-14,Without Club,2025-06-30,50000.0,
77,Alessio Furlanetto,1137,ITA,GK,Lazio,it  Serie A,23-032,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538079,Goalkeeper,2002-02-07,23,['Italy'],191.0,,,,2028-06-30,50000.0,
83,Alex McCarthy,1631,ENG,GK,Southampton,eng  Premier League,35-098,1989.0,5.0,156.0,126.0,29.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,173.0,141.0,173.0,0.0,0.0,0.0,0.0,,0.0,,100.0,452.0,276.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,5.0,5.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,0.0,0.0,,0.0,0.0,1.0,4.0,75.0,41.0,43.0,95.3,45.0,49.0,91.8,30.0,61.0,49.2,0.0,0.0,0.0,0.0,0.0,90.0,17.9,90.0,5.0,0.0,,23.0,0.0,3.0,13.0,-10.0,-2.0,-0.35,4.8,10.8,-6.1,-1.21,0.33,13.0,2.6,37.0,24.0,70.3,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.29,-0.4,-0.07,132.0,29.0,33.3,29.5,34.8,30.7,74.0,8.0,10.8,0.0,0.0,6.5,95976,Goalkeeper,1989-12-03,35,['England'],193.0,right,2016-08-01,Crystal Palace,2026-06-30,500000.0,
84,Alex Meret,1657,ITA,GK,Napoli,it  Serie A,27-354,1997.0,24.4,815.0,638.0,177.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,867.0,679.0,862.0,5.0,0.0,0.0,0.0,,0.0,,508.0,2224.0,1208.0,0.0,0.0,0.0,1.0,0.0,501.0,0.0,25.0,25.0,2195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,39.0,4.0,0.0,100.0,0.0,0.0,,1.0,0.0,13.0,0.0,84.9,93.0,93.0,100.0,431.0,441.0,97.7,168.0,281.0,59.8,0.0,0.0,0.0,0.0,0.0,88.0,87.1,88.0,24.0,0.0,,0.0,2.04,39.0,22.0,17.0,0.7,-0.69,35.0,19.6,15.4,0.63,-0.17,22.0,0.9,68.0,46.0,69.1,15.0,6.0,4.0,9.0,36.0,1.0,1.0,1.0,50.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.29,0.1,0.0,684.0,84.0,15.6,27.5,26.7,32.5,273.0,17.0,6.2,34.0,1.39,16.4,240414,Goalkeeper,1997-03-22,27,['Italy'],190.0,left,2019-07-01,Udinese Calcio,2025-06-30,12000000.0,
