Unnamed: 0.1,name,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,xAG,npxG+xAG,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,2CrdY,Fls,Fld,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,Tkl.1,Tkl%,Pass,Tkl+Int,Clr,Err,Cmp%,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,PPA,CrsPA,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,SCA,SCA90,PassLive,PassDead,TO,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
4,Abdallah Sima,2326,SEN,"FW,MF",Brest,fr  Ligue 1,23-267,2001.0,10.0,253.0,248.0,5.0,2.0,0.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,176.0,0.0,12.0,4.0,29.0,12.0,41.4,2.9,1.2,0.14,0.33,13.7,0.0,0.0,4.3,4.3,0.15,-0.3,-0.3,387.0,9.0,54.0,144.0,194.0,51.0,6.0,28.6,11.0,52.4,231.0,1616.0,570.0,31.0,13.0,17.0,35.0,13.0,280.0,68.0,20.0,10.0,899.0,2.0,6.0,4.0,2.0,0.0,0.9,5.2,21.0,0.4,0.2,0.6,0.4,0.6,0.44,0.09,0.52,0.44,0.52,0.0,10.0,19.0,1.0,8.0,0.0,0.0,0.0,50.0,28.0,30.0,48.3,9.0,4.0,44.4,5.0,10.0,9.0,0.0,69.6,109.0,140.0,77.9,53.0,77.0,68.8,7.0,8.0,87.5,0.7,1.1,10.0,4.0,1.0,45.0,40.0,65.0,1.0,10.0,25.0,0.0,1.45,16.0,17.0,-1.0,-0.1,-0.03,15.7,16.1,-0.4,-0.04,0.3,,,,,,,,,,,,,,,22.0,2.2,14.0,0.0,1.0,0.0,3.0,0.3,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,776798,Right Winger,2001-06-17,23,['Senegal'],188.0,right,2024-08-21,Brighton & Hove Albion,2025-06-30,10000000.0,
28,Adama Traoré,2519,ESP,"FW,MF",Fulham,eng  Premier League,29-045,1996.0,15.3,474.0,473.0,0.0,0.0,5.0,2.0,81.0,0.0,0.0,0.0,0.0,0.0,338.0,1.0,16.0,2.0,34.0,11.0,32.4,2.22,0.72,0.06,0.18,14.3,0.0,0.0,3.7,3.7,0.11,-1.7,-1.7,642.0,1.0,63.0,227.0,370.0,79.0,38.0,50.0,28.0,36.8,440.0,3625.0,2028.0,78.0,35.0,31.0,28.0,15.0,498.0,133.0,26.0,15.0,1379.0,5.0,7.0,2.0,2.0,0.0,4.1,7.8,53.0,0.13,0.33,0.46,0.13,0.46,0.24,0.27,0.51,0.24,0.51,0.0,19.0,28.0,1.0,9.0,0.0,0.0,0.0,68.0,22.0,18.0,55.0,14.0,5.0,38.5,5.0,15.0,4.0,2.0,71.3,186.0,232.0,80.2,113.0,156.0,72.4,25.0,43.0,58.1,3.8,0.9,32.0,26.0,14.0,53.0,54.7,76.0,4.0,11.0,21.0,1.0,1.58,25.0,20.0,5.0,0.33,0.48,23.0,16.0,7.0,0.46,0.48,,,,,,,,,,,,,,,65.0,4.24,52.0,0.0,7.0,2.0,7.0,0.46,6.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,204103,Right Winger,1996-01-25,29,"['Spain', 'Mali']",178.0,right,2023-08-12,Wolverhampton Wanderers,2025-06-30,10000000.0,
30,Adnan Januzaj,1192,BEL,"MF,FW",Las Palmas,es  La Liga,30-034,1995.0,3.6,182.0,153.0,29.0,4.0,5.0,3.0,35.0,8.0,17.0,9.0,5.0,0.0,129.0,0.0,10.0,2.0,10.0,3.0,30.0,2.8,0.84,0.2,0.67,23.5,0.0,0.0,0.5,0.5,0.05,1.5,1.5,237.0,4.0,21.0,106.0,111.0,10.0,4.0,22.2,13.0,72.2,142.0,907.0,403.0,14.0,3.0,4.0,15.0,3.0,173.0,30.0,9.0,3.0,322.0,1.0,3.0,2.0,3.0,0.0,0.7,1.2,20.0,0.56,0.28,0.84,0.56,0.84,0.15,0.19,0.34,0.15,0.34,0.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,17.0,1.0,8.0,11.1,6.0,4.0,80.0,4.0,6.0,2.0,0.0,70.9,56.0,63.0,88.9,53.0,68.0,77.9,20.0,41.0,48.8,1.2,0.3,9.0,5.0,2.0,36.0,13.3,77.0,1.0,6.0,15.0,4.0,0.89,6.0,3.0,3.0,0.84,1.61,4.4,7.0,-2.6,-0.72,0.22,,,,,,,,,,,,,,,22.0,6.15,9.0,6.0,0.0,0.0,5.0,1.4,2.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,177847,Right Winger,1995-02-05,30,"['Belgium', 'Kosovo']",186.0,left,2024-07-24,Sevilla FC,2025-06-30,1500000.0,
78,Alessio Iovine,1165,ITA,"DF,FW",Como,it  Serie A,34-038,1991.0,4.2,215.0,171.0,44.0,3.0,0.0,1.0,15.0,41.0,0.0,0.0,0.0,0.0,162.0,0.0,5.0,0.0,1.0,0.0,0.0,0.24,0.0,0.0,,26.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,255.0,13.0,83.0,116.0,58.0,3.0,1.0,100.0,0.0,0.0,114.0,608.0,327.0,9.0,8.0,2.0,1.0,0.0,140.0,7.0,9.0,3.0,377.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,0.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,16.0,2.0,7.0,22.2,5.0,4.0,40.0,6.0,8.0,21.0,1.0,75.3,64.0,75.0,85.3,75.0,90.0,83.3,20.0,40.0,50.0,0.2,-0.2,3.0,3.0,3.0,42.0,15.0,75.0,2.0,6.0,25.0,18.0,0.89,6.0,7.0,-1.0,-0.24,0.14,5.7,4.0,1.6,0.39,0.4,,,,,,,,,,,,,,,5.0,1.19,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,330472,Right Winger,1991-02-01,34,['Italy'],174.0,right,2019-07-05,AS Giana Erminio,,400000.0,
87,Alexander Bernhardsson,307,SWE,"MF,DF",Holstein Kiel,de  Bundesliga,26-184,1998.0,6.4,171.0,153.0,16.0,3.0,1.0,3.0,13.0,4.0,8.0,3.0,4.0,1.0,107.0,2.0,4.0,2.0,11.0,4.0,36.4,1.72,0.63,0.18,0.5,16.3,0.0,0.0,1.4,1.4,0.12,0.6,0.6,256.0,8.0,54.0,122.0,89.0,15.0,9.0,40.9,13.0,59.1,117.0,723.0,339.0,8.0,10.0,3.0,13.0,8.0,149.0,33.0,10.0,7.0,574.0,1.0,3.0,2.0,2.0,0.0,0.6,2.0,16.0,0.31,0.16,0.47,0.31,0.47,0.21,0.09,0.31,0.21,0.31,0.0,13.0,4.0,0.0,9.0,0.0,0.0,0.0,20.0,12.0,10.0,54.5,15.0,10.0,76.9,7.0,15.0,12.0,0.0,62.6,50.0,71.0,70.4,44.0,66.0,66.7,9.0,22.0,40.9,0.5,0.4,10.0,5.0,1.0,57.0,25.5,69.0,1.0,3.0,30.0,1.0,0.7,10.0,14.0,-4.0,-0.63,0.45,7.2,9.1,-1.9,-0.3,0.43,,,,,,,,,,,,,,,15.0,2.35,9.0,4.0,0.0,1.0,2.0,0.31,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,633454,Right Winger,1998-09-08,26,['Sweden'],185.0,left,2024-01-22,IF Elfsborg,2027-06-30,1500000.0,Patellar tendon rupture - Return unknown
97,Alexis Saelemaekers,2197,BEL,"DF,FW",Roma,it  Serie A,25-257,1999.0,9.8,483.0,443.0,36.0,3.0,2.0,3.0,39.0,30.0,3.0,1.0,1.0,0.0,389.0,4.0,12.0,6.0,17.0,9.0,52.9,1.73,0.92,0.35,0.67,17.3,0.0,0.0,1.9,1.9,0.11,4.1,4.1,605.0,8.0,115.0,220.0,275.0,28.0,12.0,37.5,18.0,56.3,369.0,1886.0,1033.0,25.0,22.0,8.0,27.0,11.0,452.0,89.0,15.0,11.0,883.0,2.0,8.0,6.0,3.0,0.0,2.4,4.3,40.0,0.61,0.2,0.82,0.61,0.82,0.19,0.25,0.44,0.19,0.44,0.0,11.0,15.0,6.0,13.0,1.0,0.0,0.0,48.0,2.0,1.0,66.7,26.0,13.0,56.5,9.0,32.0,5.0,0.0,80.5,243.0,270.0,90.0,111.0,134.0,82.8,24.0,48.0,50.0,1.7,-0.4,18.0,15.0,5.0,59.0,35.0,68.0,1.0,4.0,33.0,2.0,1.93,21.0,6.0,15.0,1.53,1.64,17.6,9.4,8.2,0.83,0.74,,,,,,,,,,,,,,,34.0,3.47,27.0,0.0,2.0,0.0,6.0,0.61,2.0,0.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,381950,Right Winger,1999-06-27,25,['Belgium'],180.0,right,2024-08-30,AC Milan,2025-06-30,12000000.0,
104,Ali Dembélé,672,FRA,DF,Torino,it  Serie A,21-065,2004.0,1.4,62.0,51.0,11.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,79.0,5.0,27.0,37.0,16.0,1.0,1.0,50.0,1.0,50.0,35.0,167.0,92.0,3.0,2.0,0.0,3.0,3.0,42.0,1.0,10.0,1.0,124.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,6.0,25.0,4.0,3.0,100.0,0.0,4.0,4.0,1.0,79.0,22.0,28.0,78.6,23.0,27.0,85.2,2.0,3.0,66.7,0.0,0.0,1.0,1.0,1.0,12.0,4.9,32.0,0.0,9.0,10.0,17.0,2.1,1.0,3.0,-2.0,-1.45,-1.49,1.2,3.0,-1.8,-1.32,-0.9,,,,,,,,,,,,,,,4.0,2.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1004344,Right Winger,2004-01-05,21,"['France', 'Mali']",189.0,right,2023-07-01,Torino Primavera,2026-06-30,800000.0,
115,Amad Diallo,686,CIV,"FW,MF",Manchester Utd,eng  Premier League,22-243,2002.0,17.7,794.0,723.0,67.0,3.0,2.0,1.0,38.0,36.0,28.0,22.0,1.0,1.0,658.0,4.0,17.0,6.0,40.0,13.0,32.5,2.26,0.73,0.15,0.46,17.7,0.0,0.0,4.1,4.1,0.1,1.9,1.9,1012.0,13.0,150.0,374.0,504.0,109.0,36.0,50.0,32.0,44.4,656.0,4482.0,2294.0,92.0,46.0,52.0,35.0,32.0,714.0,159.0,22.0,17.0,1594.0,6.0,12.0,6.0,3.0,0.0,3.9,8.0,53.0,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,0.0,19.0,23.0,11.0,26.0,1.0,0.0,0.0,93.0,9.0,15.0,37.5,33.0,15.0,57.7,10.0,44.0,16.0,0.0,82.9,407.0,450.0,90.4,185.0,217.0,85.3,33.0,63.0,52.4,3.6,2.1,39.0,29.0,5.0,72.0,63.3,87.0,12.0,5.0,25.0,2.0,1.14,24.0,25.0,-1.0,-0.06,0.43,25.9,27.1,-1.2,-0.07,0.33,,,,,,,,,,,,,,,80.0,4.52,54.0,9.0,7.0,4.0,16.0,0.9,7.0,0.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,536835,Right Winger,2002-07-11,22,"[""Cote d'Ivoire"", 'Italy']",173.0,left,2021-01-02,Atalanta BC,2030-06-30,25000000.0,"Ankle injury - Return expected on Jun 1, 2025"
142,Andreas Skov Olsen,2352,DEN,"FW,MF",Wolfsburg,de  Bundesliga,25-072,1999.0,3.0,123.0,112.0,11.0,1.0,0.0,2.0,15.0,2.0,8.0,8.0,0.0,0.0,100.0,0.0,3.0,0.0,4.0,0.0,0.0,1.35,0.0,0.0,,15.2,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3,149.0,3.0,25.0,54.0,71.0,9.0,2.0,33.3,4.0,66.7,79.0,547.0,297.0,12.0,6.0,2.0,1.0,2.0,98.0,17.0,6.0,2.0,266.0,1.0,1.0,0.0,0.0,0.0,1.3,1.6,9.0,0.0,0.34,0.34,0.0,0.34,0.1,0.44,0.54,0.1,0.54,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0,4.0,2.0,100.0,2.0,5.0,6.0,0.0,81.3,43.0,52.0,82.7,44.0,48.0,91.7,11.0,19.0,57.9,0.8,-0.3,10.0,5.0,1.0,44.0,11.8,75.0,0.0,4.0,29.0,2.0,1.67,7.0,3.0,4.0,1.35,1.08,5.8,3.7,2.1,0.71,0.9,,,,,,,,,,,,,,,15.0,5.08,8.0,4.0,1.0,0.0,1.0,0.34,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,432982,Right Winger,1999-12-29,25,['Denmark'],187.0,left,2025-01-17,Club Brugge KV,2029-06-30,16000000.0,
165,Ansgar Knauff,1311,GER,"MF,DF",Eint Frankfurt,de  Bundesliga,23-060,2002.0,13.0,428.0,403.0,24.0,1.0,3.0,0.0,27.0,23.0,0.0,0.0,0.0,0.0,285.0,1.0,18.0,1.0,17.0,4.0,23.5,1.31,0.31,0.06,0.25,17.2,0.0,0.0,1.4,1.4,0.09,-0.4,-0.4,595.0,18.0,126.0,236.0,244.0,50.0,19.0,45.2,21.0,50.0,332.0,1995.0,1160.0,39.0,28.0,14.0,32.0,11.0,357.0,108.0,23.0,13.0,1170.0,4.0,5.0,1.0,2.0,0.0,4.1,5.6,45.0,0.08,0.31,0.38,0.08,0.38,0.11,0.32,0.43,0.11,0.43,0.0,16.0,12.0,11.0,19.0,0.0,0.0,0.0,51.0,16.0,16.0,50.0,35.0,10.0,45.5,16.0,46.0,18.0,0.0,66.6,175.0,229.0,76.4,88.0,137.0,64.2,9.0,26.0,34.6,3.1,-0.1,20.0,16.0,4.0,51.0,52.0,74.0,1.0,10.0,21.0,1.0,1.7,25.0,22.0,3.0,0.23,-0.52,24.3,21.3,3.0,0.23,-0.18,,,,,,,,,,,,,,,43.0,3.31,29.0,0.0,6.0,2.0,7.0,0.54,4.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,429874,Right Winger,2002-01-10,23,"['Germany', 'Ghana']",180.0,right,2023-07-01,Borussia Dortmund,2028-06-30,10000000.0,
