Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
3,Abakar Sylla,CIV,DF,Strasbourg,fr  Ligue 1,22-076,2002.0,16.0,9.0,830.0,9.2,,,,,,,,,,,0.0,,,,,52.0,36.9,77.0,6.0,7.0,20.0,6.0,1.63,14.0,19.0,-5.0,-0.54,-1.3,13.0,17.1,-4.1,-0.45,-0.41,2.0,1.0,0.0,17.0,7.0,0.0,0.0,10.0,13.0,0.0,0.0,1.0,35.0,19.0,13.0,59.4,25.0,13.0,13.0,10.0,2.0,14.0,16.0,87.5,2.0,16.0,8.0,8.0,10.0,35.0,47.0,0.0,526.0,594.0,88.6,9032.0,3311.0,201.0,220.0,91.4,300.0,324.0,92.6,20.0,40.0,50.0,0.0,0.0,0.1,0.0,0.0,17.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,0.4,0.4,0.4,0.0,2.0,0.11,0.0,0.11,0.11,0.11,0.05,0.0,0.05,0.05,0.05,3.0,0.33,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.11,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,594.0,529.0,65.0,23.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,526.0,0.0,6.0,5.0,1.0,20.0,0.54,0.11,0.2,1.0,9.0,0.0,0.08,0.6,0.6,703.0,132.0,456.0,226.0,23.0,9.0,703.0,5.0,2.0,40.0,3.0,60.0,380.0,1329.0,526.0,1.0,0.0,4.0,3.0,440.0,962555,Centre-Back,2002-12-25,22,"[""Cote d'Ivoire""]",188.0,left,2023-07-15,Club Brugge KV,2028-06-30,12000000.0,
6,Abdel Abqar,MAR,DF,Alavés,es  La Liga,26-001,1999.0,25.0,25.0,2118.0,23.5,,,,,,,,,,,0.0,,,,,85.0,87.2,85.0,21.0,0.0,,0.0,1.04,27.0,36.0,-9.0,-0.38,-0.09,27.6,29.1,-1.5,-0.06,0.47,12.0,0.0,0.0,43.0,27.0,2.0,5.0,36.0,20.0,1.0,2.0,0.0,76.0,35.0,31.0,53.0,31.0,20.0,20.0,10.0,1.0,18.0,29.0,62.1,11.0,22.0,15.0,7.0,36.0,67.0,124.0,1.0,645.0,847.0,76.2,14212.0,5082.0,165.0,177.0,93.2,377.0,411.0,91.7,99.0,234.0,42.3,1.0,0.2,0.4,0.8,7.0,58.0,9.0,2.0,76.0,0.0,1.0,0.0,0.0,0.8,0.8,1.0,15.0,4.0,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,23.0,0.98,18.0,0.0,0.0,2.0,1.0,2.0,3.0,0.13,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,847.0,801.0,43.0,37.0,1.0,17.0,5.0,5.0,0.0,0.0,0.0,0.0,645.0,3.0,5.0,9.0,1.0,11.1,0.38,0.04,0.0,0.0,7.5,0.0,0.08,-0.8,-0.8,1114.0,144.0,586.0,486.0,52.0,21.0,1114.0,3.0,2.0,66.7,1.0,33.3,565.0,3322.0,1901.0,7.0,0.0,16.0,2.0,583.0,559979,Centre-Back,1999-03-10,25,['Morocco'],188.0,right,2022-07-01,Deportivo Alavés B,2025-06-30,7500000.0,
9,Abdoul Koné,FRA,DF,Reims,fr  Ligue 1,19-323,2005.0,3.0,1.0,120.0,1.3,,,,,,,,,,,0.0,,,,,40.0,5.3,60.0,0.0,2.0,30.0,3.0,1.0,1.0,2.0,-1.0,-0.75,-0.2,1.4,2.4,-1.0,-0.75,-0.09,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,5.0,3.0,4.0,1.0,0.0,3.0,5.0,60.0,2.0,2.0,1.0,1.0,1.0,6.0,4.0,0.0,42.0,60.0,70.0,864.0,174.0,15.0,17.0,88.2,21.0,26.0,80.8,6.0,11.0,54.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,43.0,17.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,42.0,0.0,6.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,79.0,10.0,36.0,36.0,7.0,0.0,79.0,2.0,1.0,50.0,1.0,50.0,35.0,134.0,23.0,0.0,0.0,5.0,1.0,38.0,1130445,Centre-Back,2005-04-22,19,"['France', ""Cote d'Ivoire""]",192.0,right,2024-07-01,Stade Reims B,2027-06-30,500000.0,
10,Abdoulaye Bamba,CIV,DF,Angers,fr  Ligue 1,34-320,1990.0,13.0,10.0,970.0,10.8,,,,,,,,,,,0.0,,,,,75.0,43.1,87.0,8.0,3.0,33.0,12.0,0.92,8.0,19.0,-11.0,-1.02,-0.81,12.8,15.4,-2.6,-0.24,0.46,2.0,0.0,0.0,9.0,4.0,0.0,4.0,12.0,7.0,0.0,0.0,0.0,28.0,10.0,8.0,55.6,15.0,7.0,11.0,3.0,1.0,9.0,12.0,75.0,3.0,9.0,5.0,4.0,12.0,27.0,52.0,0.0,351.0,399.0,88.0,7157.0,2345.0,89.0,99.0,89.9,230.0,244.0,94.3,29.0,47.0,61.7,0.0,0.3,0.3,-0.3,6.0,16.0,4.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,8.0,0.74,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,383.0,16.0,7.0,1.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,351.0,0.0,4.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,500.0,58.0,260.0,220.0,21.0,1.0,500.0,1.0,1.0,100.0,0.0,0.0,301.0,1199.0,509.0,2.0,0.0,2.0,1.0,327.0,62351,Centre-Back,1990-04-25,34,"[""Cote d'Ivoire"", 'Italy']",182.0,right,2017-01-01,Without Club,2025-06-30,350000.0,
14,Abdukodir Khusanov,UZB,DF,Manchester City,eng  Premier League,21-010,2004.0,5.0,5.0,413.0,4.6,,,,,,,,,,,0.0,,,,,83.0,16.4,83.0,4.0,0.0,9.0,1.0,1.8,6.0,4.0,2.0,0.44,-0.12,7.3,4.9,2.4,0.52,0.1,1.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,24.0,3.0,3.0,50.0,5.0,4.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,5.0,4.0,1.0,3.0,8.0,21.0,1.0,300.0,328.0,91.5,5101.0,1748.0,135.0,141.0,95.7,156.0,161.0,96.9,6.0,20.0,30.0,0.0,0.1,0.1,-0.1,2.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,5.0,1.09,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,328.0,320.0,8.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,300.0,0.0,3.0,1.0,0.0,0.0,0.22,0.0,0.0,0.0,23.9,0.0,0.02,0.0,0.0,369.0,33.0,171.0,171.0,29.0,1.0,369.0,2.0,0.0,0.0,2.0,100.0,235.0,1059.0,398.0,1.0,0.0,2.0,1.0,277.0,763079,Centre-Back,2004-02-29,20,['Uzbekistan'],186.0,right,2025-01-20,RC Lens,2029-06-30,12000000.0,
15,Abdul Mumin,GHA,DF,Rayo Vallecano,es  La Liga,26-278,1998.0,24.0,24.0,2017.0,22.4,,,,,,,,,,,0.0,,,,,84.0,83.0,84.0,21.0,0.0,,0.0,1.46,24.0,21.0,3.0,0.13,0.79,26.6,25.1,1.5,0.06,-0.03,6.0,1.0,0.0,22.0,12.0,0.0,6.0,23.0,25.0,0.0,0.0,0.0,93.0,31.0,25.0,55.4,37.0,25.0,30.0,7.0,0.0,17.0,27.0,63.0,10.0,40.0,29.0,11.0,23.0,60.0,125.0,0.0,900.0,1085.0,82.9,17231.0,7016.0,315.0,339.0,92.9,492.0,536.0,91.8,87.0,190.0,45.8,1.0,0.2,0.1,0.8,1.0,40.0,1.0,0.0,40.0,2.0,3.0,2.0,0.0,0.6,0.6,0.8,12.0,6.0,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,11.0,0.49,10.0,0.0,0.0,0.0,1.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1085.0,1017.0,65.0,25.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,900.0,3.0,4.0,10.0,3.0,30.0,0.45,0.13,0.2,0.67,12.9,0.0,0.06,1.4,1.4,1351.0,253.0,874.0,447.0,39.0,13.0,1351.0,10.0,5.0,50.0,4.0,40.0,725.0,3467.0,1525.0,5.0,2.0,16.0,5.0,819.0,451801,Centre-Back,1998-06-06,26,"['Ghana', 'Nigeria']",188.0,right,2022-09-01,Vitória Guimarães SC,2026-06-30,5000000.0,
22,Adam Masina,MAR,DF,Torino,it  Serie A,31-068,1994.0,20.0,15.0,1452.0,16.1,,,,,,,,,,,0.0,,,,,73.0,57.6,89.0,13.0,5.0,24.0,7.0,1.2,18.0,21.0,-3.0,-0.19,-0.35,16.2,23.2,-7.0,-0.43,0.07,5.0,0.0,0.0,18.0,15.0,1.0,13.0,18.0,14.0,1.0,0.0,0.0,63.0,50.0,16.0,75.8,28.0,14.0,20.0,7.0,1.0,20.0,35.0,57.1,15.0,23.0,14.0,9.0,18.0,46.0,63.0,2.0,817.0,970.0,84.2,15027.0,5538.0,309.0,340.0,90.9,424.0,479.0,88.5,75.0,135.0,55.6,2.0,0.3,0.5,1.7,3.0,51.0,5.0,2.0,61.0,1.0,3.0,1.0,0.0,0.2,0.2,0.5,13.0,7.0,0.06,0.12,0.19,0.06,0.19,0.01,0.02,0.03,0.01,0.03,16.0,0.99,13.0,0.0,2.0,0.0,1.0,0.0,4.0,0.25,2.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,970.0,921.0,47.0,18.0,1.0,7.0,13.0,23.0,0.0,0.0,0.0,0.0,817.0,2.0,3.0,5.0,2.0,40.0,0.31,0.12,0.2,0.5,14.5,0.0,0.05,0.8,0.8,1139.0,131.0,494.0,582.0,67.0,9.0,1139.0,8.0,3.0,37.5,5.0,62.5,647.0,2972.0,1684.0,8.0,1.0,7.0,4.0,750.0,286949,Centre-Back,1994-01-02,31,"['Morocco', 'Italy']",191.0,left,2024-07-01,Udinese Calcio,2026-06-30,1500000.0,
23,Adam Obert,SVK,DF,Cagliari,it  Serie A,22-200,2002.0,16.0,11.0,876.0,9.7,,,,,,,,,,,0.0,,,,,55.0,34.8,72.0,4.0,5.0,18.0,11.0,1.06,12.0,12.0,0.0,0.0,0.82,10.7,15.2,-4.5,-0.46,-0.11,3.0,0.0,0.0,16.0,7.0,0.0,9.0,18.0,16.0,0.0,0.0,0.0,52.0,24.0,17.0,58.5,28.0,16.0,11.0,17.0,0.0,14.0,25.0,56.0,11.0,16.0,7.0,9.0,18.0,46.0,38.0,2.0,332.0,436.0,76.1,5487.0,2273.0,169.0,189.0,89.4,133.0,158.0,84.2,24.0,56.0,42.9,1.0,0.4,0.2,0.6,9.0,33.0,4.0,1.0,45.0,1.0,2.0,1.0,0.0,0.9,0.9,1.2,12.0,16.0,0.1,0.1,0.21,0.1,0.21,0.09,0.04,0.13,0.09,0.13,24.0,2.47,18.0,3.0,0.0,2.0,1.0,0.0,4.0,0.41,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,436.0,338.0,95.0,11.0,0.0,3.0,9.0,84.0,0.0,0.0,0.0,0.0,332.0,3.0,17.0,9.0,2.0,22.2,0.92,0.21,0.11,0.5,12.0,0.0,0.11,0.1,0.1,575.0,51.0,244.0,255.0,90.0,13.0,575.0,9.0,5.0,55.6,4.0,44.4,236.0,1226.0,674.0,8.0,0.0,22.0,7.0,253.0,568333,Centre-Back,2002-08-23,22,['Slovakia'],188.0,left,2021-07-01,Sampdoria Primavera,2029-06-30,3000000.0,
25,Adam Webster,ENG,DF,Brighton,eng  Premier League,30-066,1995.0,10.0,7.0,527.0,5.9,,,,,,,,,,,0.0,,,,,53.0,20.9,69.0,4.0,3.0,14.0,6.0,2.2,15.0,6.0,9.0,1.54,1.67,11.0,7.4,3.5,0.6,0.66,0.0,0.0,0.0,4.0,2.0,1.0,1.0,13.0,5.0,0.0,0.0,0.0,19.0,15.0,3.0,83.3,7.0,5.0,3.0,3.0,1.0,4.0,9.0,44.4,5.0,11.0,8.0,3.0,13.0,20.0,25.0,1.0,385.0,446.0,86.3,7195.0,2889.0,149.0,155.0,96.1,192.0,207.0,92.8,37.0,71.0,52.1,0.0,0.1,0.1,-0.1,2.0,31.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,8.0,1.37,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.51,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,401.0,44.0,23.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,385.0,1.0,4.0,1.0,1.0,100.0,0.17,0.17,0.0,0.0,15.3,0.0,0.02,0.0,0.0,507.0,71.0,241.0,250.0,19.0,5.0,507.0,3.0,1.0,33.3,2.0,66.7,298.0,1830.0,1094.0,2.0,0.0,3.0,1.0,336.0,212847,Centre-Back,1995-01-04,30,['England'],190.0,right,2019-08-03,Bristol City,2026-06-30,12000000.0,
43,Aitor Paredes,ESP,DF,Athletic Club,es  La Liga,24-316,2000.0,16.0,15.0,1281.0,14.2,,,,,,,,,,,0.0,,,,,80.0,52.7,84.0,11.0,1.0,21.0,8.0,1.69,28.0,15.0,13.0,0.91,0.29,22.3,12.3,9.9,0.7,0.2,4.0,1.0,1.0,18.0,4.0,0.0,1.0,18.0,8.0,0.0,1.0,0.0,45.0,24.0,22.0,52.2,10.0,8.0,7.0,3.0,0.0,4.0,9.0,44.4,5.0,17.0,8.0,9.0,18.0,28.0,85.0,4.0,603.0,715.0,84.3,12976.0,4912.0,133.0,152.0,87.5,395.0,426.0,92.7,73.0,130.0,56.2,0.0,0.0,0.1,0.0,1.0,30.0,2.0,0.0,37.0,3.0,3.0,3.0,0.0,2.2,2.2,2.2,2.0,1.0,0.21,0.0,0.21,0.21,0.21,0.16,0.0,0.16,0.16,0.16,6.0,0.42,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,715.0,691.0,23.0,19.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,603.0,1.0,3.0,5.0,3.0,60.0,0.35,0.21,0.6,1.0,3.8,0.0,0.44,0.8,0.8,864.0,88.0,452.0,402.0,12.0,8.0,864.0,1.0,0.0,0.0,1.0,100.0,436.0,2235.0,1285.0,3.0,0.0,5.0,1.0,535.0,591916,Centre-Back,2000-04-29,24,['Spain'],185.0,right,2022-07-01,Bilbao Athletic,2029-06-30,22000000.0,
