Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
12,Abdoulaye Touré,GUI,MF,Le Havre,fr  Ligue 1,31-008,1994.0,19.0,17.0,1523.0,16.9,,,,,,,,,,,4.0,,,,,80.0,67.7,86.0,11.0,2.0,27.0,0.0,0.68,15.0,38.0,-23.0,-1.36,-0.86,18.7,32.7,-14.0,-0.83,-0.53,4.0,0.0,0.0,23.0,29.0,1.0,5.0,25.0,24.0,0.0,0.0,0.0,109.0,24.0,15.0,61.5,45.0,24.0,27.0,13.0,5.0,25.0,40.0,62.5,15.0,24.0,14.0,10.0,25.0,70.0,31.0,3.0,548.0,668.0,82.0,9867.0,2805.0,232.0,272.0,85.3,235.0,279.0,84.2,65.0,87.0,74.7,1.0,0.1,0.4,0.9,4.0,60.0,6.0,2.0,70.0,4.0,5.0,1.0,3.0,4.9,1.6,1.7,8.0,17.0,0.24,0.06,0.3,0.06,0.12,0.29,0.01,0.3,0.09,0.1,31.0,1.83,20.0,0.0,1.0,4.0,5.0,1.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,654.0,8.0,7.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,548.0,6.0,4.0,25.0,3.0,12.0,1.48,0.18,0.04,0.33,23.1,0.0,0.06,-0.9,-0.6,877.0,65.0,264.0,485.0,135.0,19.0,873.0,23.0,13.0,56.5,7.0,30.4,442.0,2004.0,879.0,10.0,0.0,20.0,23.0,520.0,181382,Defensive Midfield,1994-03-03,30,"['Guinea', 'France']",188.0,right,2023-07-26,Genoa CFC,2025-06-30,3000000.0,Rib fracture - Return unknown
26,Adam Wharton,ENG,MF,Crystal Palace,eng  Premier League,20-282,2004.0,13.0,10.0,843.0,9.4,,,,,,,,,,,0.0,,,,,65.0,33.5,79.0,3.0,3.0,19.0,1.0,1.38,12.0,11.0,1.0,0.11,0.0,14.8,12.0,2.9,0.31,-0.01,1.0,0.0,0.0,7.0,16.0,0.0,24.0,13.0,12.0,0.0,0.0,0.0,70.0,7.0,14.0,33.3,28.0,12.0,11.0,14.0,3.0,13.0,32.0,40.6,19.0,8.0,1.0,7.0,13.0,41.0,18.0,0.0,384.0,502.0,76.5,7352.0,2782.0,140.0,170.0,82.4,185.0,228.0,81.1,53.0,80.0,66.3,0.0,2.0,1.4,-2.0,19.0,57.0,16.0,5.0,88.0,0.0,0.0,0.0,0.0,0.3,0.3,2.2,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.24,0.03,0.24,46.0,4.92,38.0,6.0,0.0,1.0,0.0,1.0,4.0,0.43,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,502.0,475.0,24.0,8.0,5.0,1.0,24.0,0.0,16.0,10.0,1.0,0.0,384.0,3.0,8.0,10.0,5.0,50.0,1.07,0.53,0.0,0.0,25.0,0.0,0.03,-0.3,-0.3,600.0,16.0,132.0,318.0,153.0,6.0,600.0,7.0,1.0,14.3,6.0,85.7,294.0,1345.0,717.0,14.0,2.0,9.0,11.0,372.0,744149,Defensive Midfield,2004-02-06,21,['England'],182.0,left,2024-02-01,Blackburn Rovers,2029-06-30,32000000.0,
52,Alberto Grassi,ITA,MF,Empoli,it  Serie A,30-004,1995.0,19.0,18.0,1427.0,15.9,,,,,,,,,,,0.0,,,,,75.0,56.6,78.0,6.0,1.0,17.0,1.0,0.53,11.0,24.0,-13.0,-0.82,-0.08,13.9,21.4,-7.6,-0.48,0.15,6.0,0.0,0.0,17.0,24.0,1.0,6.0,21.0,16.0,1.0,0.0,0.0,83.0,17.0,12.0,58.6,30.0,16.0,11.0,15.0,4.0,10.0,14.0,71.4,4.0,17.0,10.0,7.0,21.0,51.0,31.0,1.0,432.0,570.0,75.8,7265.0,2159.0,178.0,217.0,82.0,223.0,276.0,80.8,22.0,47.0,46.8,0.0,0.2,0.3,-0.2,5.0,36.0,5.0,0.0,43.0,1.0,1.0,1.0,0.0,0.6,0.6,0.8,11.0,11.0,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,16.0,1.01,14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,545.0,22.0,20.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,432.0,3.0,9.0,5.0,2.0,40.0,0.32,0.13,0.2,0.5,13.2,0.0,0.12,0.4,0.4,714.0,55.0,216.0,409.0,98.0,12.0,714.0,7.0,3.0,42.9,3.0,42.9,310.0,1471.0,598.0,8.0,1.0,15.0,13.0,375.0,197473,Defensive Midfield,1995-03-07,29,['Italy'],183.0,right,2023-07-01,Parma Calcio 1913,2026-06-30,1800000.0,Team captain
62,Aleksandar Pavlovic,GER,MF,Bayern Munich,de  Bundesliga,20-312,2004.0,15.0,14.0,1041.0,11.6,,,,,,,,,,,0.0,,,,,69.0,46.3,73.0,5.0,1.0,22.0,3.0,2.4,33.0,8.0,25.0,2.16,0.23,25.0,8.1,16.9,1.46,-0.61,2.0,0.0,0.0,13.0,5.0,0.0,5.0,3.0,16.0,0.0,0.0,0.0,56.0,6.0,7.0,46.2,30.0,16.0,9.0,13.0,8.0,18.0,27.0,66.7,9.0,17.0,3.0,14.0,3.0,33.0,9.0,0.0,1073.0,1143.0,93.9,16854.0,4086.0,592.0,609.0,97.2,415.0,431.0,96.3,53.0,76.0,69.7,0.0,0.2,1.4,-0.2,5.0,128.0,10.0,1.0,92.0,1.0,1.0,1.0,0.0,0.4,0.4,0.6,8.0,30.0,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.05,0.03,0.05,20.0,1.73,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1143.0,1135.0,7.0,4.0,2.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,1073.0,1.0,6.0,7.0,3.0,42.9,0.61,0.26,0.14,0.33,20.9,0.0,0.06,0.6,0.6,1230.0,11.0,138.0,821.0,276.0,10.0,1230.0,4.0,4.0,100.0,0.0,0.0,730.0,3149.0,1356.0,28.0,3.0,11.0,1.0,1032.0,792380,Defensive Midfield,2004-05-03,20,"['Germany', 'Serbia']",188.0,both,2023-11-01,: Ablöse -,2029-06-30,50000000.0,
108,Aljoscha Kemlein,GER,MF,Union Berlin,de  Bundesliga,20-221,2004.0,15.0,11.0,922.0,10.2,,,,,,,,,,,0.0,,,,,61.0,41.0,77.0,4.0,4.0,20.0,4.0,0.8,6.0,17.0,-11.0,-1.07,-0.73,11.5,14.3,-2.8,-0.27,-0.06,3.0,0.0,0.0,15.0,2.0,1.0,5.0,6.0,4.0,0.0,1.0,0.0,58.0,19.0,14.0,57.6,10.0,4.0,4.0,5.0,1.0,5.0,14.0,35.7,9.0,14.0,3.0,11.0,6.0,16.0,15.0,0.0,351.0,465.0,75.5,5960.0,1692.0,163.0,195.0,83.6,132.0,165.0,80.0,40.0,64.0,62.5,0.0,0.6,0.7,-0.6,10.0,28.0,6.0,1.0,42.0,1.0,1.0,1.0,0.0,0.9,0.9,1.5,5.0,19.0,0.1,0.0,0.1,0.1,0.1,0.09,0.06,0.15,0.09,0.15,21.0,2.05,18.0,2.0,0.0,0.0,0.0,1.0,2.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,465.0,445.0,16.0,3.0,0.0,4.0,5.0,1.0,3.0,2.0,0.0,1.0,351.0,4.0,8.0,11.0,3.0,27.3,1.07,0.29,0.09,0.33,17.4,1.0,0.09,0.1,0.1,549.0,16.0,117.0,331.0,105.0,18.0,549.0,9.0,6.0,66.7,3.0,33.3,260.0,952.0,437.0,5.0,1.0,11.0,1.0,329.0,692737,Defensive Midfield,2004-08-02,20,['Germany'],187.0,right,2023-07-01,1.FC Union Berlin U19,,7000000.0,Knock - Return unknown
117,Amadou Koné,MLI,MF,Reims,fr  Ligue 1,19-301,2005.0,15.0,8.0,668.0,7.4,,,,,,,,,,,0.0,,,,,45.0,29.7,66.0,2.0,7.0,20.0,3.0,0.6,7.0,9.0,-2.0,-0.27,0.41,11.4,13.4,-2.0,-0.27,0.56,1.0,1.0,0.0,10.0,31.0,0.0,0.0,9.0,21.0,0.0,1.0,0.0,44.0,8.0,12.0,40.0,31.0,21.0,19.0,12.0,0.0,17.0,22.0,77.3,5.0,10.0,2.0,8.0,9.0,40.0,14.0,0.0,314.0,352.0,89.2,5683.0,1562.0,129.0,146.0,88.4,144.0,154.0,93.5,31.0,39.0,79.5,0.0,0.1,0.2,-0.1,3.0,33.0,4.0,0.0,48.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,14.0,1.89,10.0,0.0,1.0,1.0,1.0,1.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,352.0,348.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,314.0,0.0,1.0,8.0,1.0,12.5,1.08,0.13,0.0,0.0,27.1,0.0,0.03,-0.2,-0.2,448.0,32.0,120.0,276.0,61.0,2.0,448.0,16.0,12.0,75.0,2.0,12.5,283.0,1871.0,934.0,8.0,0.0,10.0,8.0,308.0,1178474,Defensive Midfield,2005-05-14,19,"[""Cote d'Ivoire"", 'Mali']",,left,2024-07-01,Stade Reims B,2028-06-30,1000000.0,
118,Amadou Onana,BEL,MF,Aston Villa,eng  Premier League,23-207,2001.0,17.0,14.0,1079.0,12.0,,,,,,,,,,,0.0,,,,,63.0,41.3,72.0,6.0,3.0,23.0,2.0,1.47,13.0,21.0,-8.0,-0.67,-0.9,14.9,17.4,-2.6,-0.21,-0.43,4.0,0.0,0.0,24.0,16.0,0.0,1.0,19.0,22.0,0.0,0.0,0.0,56.0,20.0,14.0,58.8,38.0,22.0,18.0,17.0,3.0,11.0,21.0,52.4,10.0,13.0,6.0,7.0,19.0,57.0,26.0,3.0,464.0,526.0,88.2,7190.0,1625.0,233.0,247.0,94.3,200.0,222.0,90.1,18.0,25.0,72.0,0.0,0.2,0.2,-0.2,5.0,32.0,5.0,1.0,36.0,2.0,2.0,2.0,0.0,1.8,1.8,2.0,13.0,10.0,0.17,0.0,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17,17.0,1.42,12.0,1.0,0.0,4.0,0.0,0.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,523.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,464.0,1.0,9.0,14.0,4.0,28.6,1.17,0.33,0.14,0.5,13.8,0.0,0.13,0.2,0.2,662.0,49.0,185.0,387.0,103.0,15.0,662.0,14.0,9.0,64.3,3.0,21.4,359.0,1697.0,802.0,15.0,0.0,7.0,7.0,435.0,485706,Defensive Midfield,2001-08-16,23,"['Belgium', 'Senegal']",195.0,right,2024-07-22,Everton FC,2029-06-30,55000000.0,"Hamstring injury - Return expected on Feb 25, 2025"
149,André,BRA,MF,Wolves,eng  Premier League,23-238,2001.0,23.0,21.0,1657.0,18.4,,,,,,,,,,,0.0,,,,,72.0,65.8,79.0,9.0,2.0,3.0,2.0,0.83,25.0,36.0,-11.0,-0.6,0.24,19.1,28.6,-9.5,-0.52,-0.09,4.0,0.0,0.0,22.0,26.0,0.0,0.0,22.0,39.0,0.0,1.0,0.0,122.0,2.0,6.0,25.0,57.0,39.0,25.0,27.0,5.0,24.0,40.0,60.0,16.0,32.0,7.0,25.0,22.0,79.0,26.0,1.0,786.0,848.0,92.7,12864.0,3663.0,390.0,409.0,95.4,318.0,334.0,95.2,55.0,68.0,80.9,0.0,0.6,0.5,-0.6,11.0,78.0,3.0,0.0,72.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,33.0,1.79,26.0,3.0,1.0,0.0,0.0,3.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,848.0,823.0,23.0,20.0,4.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,786.0,2.0,9.0,6.0,1.0,16.7,0.33,0.05,0.0,0.0,22.0,0.0,0.04,-0.2,-0.2,1040.0,74.0,289.0,662.0,96.0,2.0,1040.0,20.0,9.0,45.0,7.0,35.0,560.0,2418.0,1088.0,12.0,0.0,19.0,12.0,696.0,800176,Defensive Midfield,2001-07-16,23,['Brazil'],176.0,right,2024-08-30,Fluminense Football Club,2029-06-30,25000000.0,
163,Angelo Stiller,GER,MF,Stuttgart,de  Bundesliga,23-341,2001.0,25.0,24.0,2186.0,24.3,,,,,,,,,,,0.0,,,,,87.0,97.2,90.0,22.0,1.0,34.0,0.0,1.48,42.0,39.0,3.0,0.12,-2.69,41.2,35.0,6.2,0.25,-0.52,4.0,0.0,0.0,18.0,34.0,1.0,60.0,22.0,22.0,1.0,0.0,0.0,117.0,15.0,21.0,41.7,41.0,22.0,14.0,21.0,6.0,13.0,26.0,50.0,13.0,22.0,7.0,15.0,22.0,63.0,45.0,4.0,1730.0,1980.0,87.4,29363.0,9825.0,802.0,857.0,93.6,750.0,835.0,89.8,144.0,221.0,65.2,5.0,4.7,6.2,0.3,40.0,216.0,40.0,8.0,217.0,1.0,6.0,1.0,0.0,1.0,1.0,5.8,28.0,49.0,0.04,0.21,0.25,0.04,0.25,0.04,0.2,0.24,0.04,0.24,83.0,3.42,69.0,10.0,2.0,0.0,2.0,0.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1980.0,1847.0,125.0,60.0,11.0,5.0,60.0,5.0,32.0,17.0,5.0,0.0,1730.0,8.0,13.0,13.0,3.0,23.1,0.54,0.12,0.08,0.33,20.1,0.0,0.08,0.0,0.0,2172.0,66.0,418.0,1344.0,420.0,24.0,2172.0,25.0,18.0,72.0,7.0,28.0,1204.0,5236.0,2778.0,24.0,3.0,13.0,20.0,1648.0,443710,Defensive Midfield,2001-04-04,23,['Germany'],183.0,left,2023-08-25,TSG 1899 Hoffenheim,2028-06-30,32000000.0,
175,Anthony Losilla,FRA,MF,Bochum,de  Bundesliga,39-001,1986.0,19.0,13.0,1083.0,12.0,,,,,,,,,,,0.0,,,,,57.0,48.1,72.0,5.0,6.0,24.0,4.0,0.84,9.0,30.0,-21.0,-1.75,-1.59,12.4,23.8,-11.4,-0.94,-0.35,1.0,0.0,0.0,18.0,9.0,1.0,4.0,18.0,16.0,0.0,0.0,0.0,40.0,25.0,22.0,53.2,28.0,16.0,14.0,11.0,3.0,16.0,32.0,50.0,16.0,21.0,7.0,14.0,18.0,46.0,25.0,1.0,294.0,386.0,76.2,4704.0,1771.0,131.0,160.0,81.9,127.0,161.0,78.9,18.0,37.0,48.6,0.0,0.4,0.6,-0.4,7.0,18.0,8.0,3.0,42.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,18.0,1.49,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,386.0,377.0,8.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,294.0,1.0,7.0,3.0,0.0,0.0,0.25,0.0,0.0,,23.7,0.0,0.03,-0.1,-0.1,507.0,35.0,141.0,285.0,85.0,2.0,507.0,5.0,1.0,20.0,4.0,80.0,206.0,732.0,293.0,3.0,1.0,10.0,7.0,260.0,111266,Defensive Midfield,1986-03-10,38,['France'],185.0,right,2014-07-01,SG Dynamo Dresden,2025-06-30,500000.0,Team captain
