name,Squad,position,TIS
Takehiro Tomiyasu,Arsenal,Right-Back,83.70979805534779
Danilo Veiga,Lecce,Right-Back,63.48566921734461
Fabien Centonze,Nantes,Right-Back,57.467948717948715
Michael Kayode,Brentford,Right-Back,57.37783595113438
Pedro Lima,Wolves,Right-Back,54.54115557217651
Issa Kaboré,Manchester City,Right-Back,50.80839310837927
Sacha Boey,Bayern Munich,Right-Back,46.8104714818656
Achraf Hakimi,Paris S-G,Right-Back,45.8964027412869
Timothy Chandler,Eint Frankfurt,Right-Back,45.39735464315238
Tiago Santos,Lille,Right-Back,45.35094157321492
Saud Abdulhamid,Roma,Right-Back,45.296092453071125
Nikolas Veratschnig,Mainz 05,Right-Back,45.22007652033831
Andrés García,Aston Villa,Right-Back,44.56949918622664
Sergio Carreira,Celta Vigo,Right-Back,42.065283636144805
Nathan Patterson,Everton,Right-Back,41.840770729331545
Yoram Zague,Paris S-G,Right-Back,41.01775196335079
Hiroki Sekine,Reims,Right-Back,39.88169837023421
Óscar de Marcos,Athletic Club,Right-Back,39.85892937452799
Max Aarons,Bournemouth,Right-Back,38.38146840375015
Arthur,Leverkusen,Right-Back,38.34671320535195
Nahuel Molina,Atlético Madrid,Right-Back,37.84393948618044
Junior Sambia,Empoli,Right-Back,37.58153133616283
Davide Calabria,Bologna,Right-Back,37.20602632499653
Yan Couto,Dortmund,Right-Back,37.13875038089697
Jules Koundé,Barcelona,Right-Back,36.94814414346055
Thierry Correia,Valencia,Right-Back,36.70263473040285
Hugo Novoa,Alavés,Right-Back,36.64950184461086
Jordan Teze,Monaco,Right-Back,36.513154585279516
Tariq Lamptey,Brighton,Right-Back,36.36900386681723
Rasmus Kristensen,Eint Frankfurt,Right-Back,36.34660256796021
Rubén Peña,Osasuna,Right-Back,36.31869781808946
Marnon Busch,Heidenheim,Right-Back,36.287959635392916
Thomas Meunier,Lille,Right-Back,36.142303475666544
Lucas Vázquez,Real Madrid,Right-Back,35.76564076218396
Valentin Gendrey,Lecce,Right-Back,35.66098749272833
Elseid Hysaj,Lazio,Right-Back,35.62020711425932
Pascal Stenzel,Stuttgart,Right-Back,35.517789148024754
Ruben Aguilar,Lens,Right-Back,35.496339375429685
Kieran Trippier,Newcastle Utd,Right-Back,35.43781013983275
Devyne Rensch,Roma,Right-Back,35.3388885506717
Conor Bradley,Liverpool,Right-Back,34.96756131659442
Héctor Bellerín,Betis,Right-Back,34.95292842900852
Stefan Posch,Bologna,Right-Back,34.769142822923236
Cristian Gamboa,Bochum,Right-Back,34.52537766365425
Dennis Appiah,Saint-Étienne,Right-Back,34.327321659098274
Iñigo Lekue,Athletic Club,Right-Back,33.96388716545785
James Bree,Southampton,Right-Back,33.8479572327784
Ridle Baku,Wolfsburg,Right-Back,33.75137266747214
Denzel Dumfries,Inter,Right-Back,33.69780793462632
Samuele Birindelli,Monza,Right-Back,33.67306573589296
Robert Gumny,Augsburg,Right-Back,33.644287732545024
Pedro Porro,Tottenham,Right-Back,33.47311510670219
Henri Koudossou,Augsburg,Right-Back,33.053110970026225
Timothy Castagne,Fulham,Right-Back,33.01277304770773
Álvaro Tejero,Espanyol,Right-Back,32.995137378425
Mads Roerslev,Brentford,Right-Back,32.89566917588802
Mateu Morey,Mallorca,Right-Back,32.41420914692276
Stefan Lainer,Gladbach,Right-Back,32.39719720342489
Héctor Fort,Barcelona,Right-Back,32.32138336242001
Loïc Nego,Le Havre,Right-Back,32.2923138937073
Caleb Kporha,Crystal Palace,Right-Back,32.19371727748691
Séamus Coleman,Everton,Right-Back,32.12907102760134
Djibril Sidibé,Toulouse,Right-Back,31.991676268304882
Pasquale Mazzocchi,Napoli,Right-Back,31.89321095030129
Marius Wolf,Augsburg,Right-Back,31.789987567879635
Lasse Rosenboom,Holstein Kiel,Right-Back,31.502570666125223
Malo Gusto,Chelsea,Right-Back,31.40098017966762
Falaye Sacko,Montpellier,Right-Back,31.348945218766616
Silvan Widmer,Mainz 05,Right-Back,31.31780940736329
Aitor Ruibal,Betis,Right-Back,31.18063536132357
Daniel Oyegoke,Hellas Verona,Right-Back,31.17642448179786
Pol Lirola,Marseille,Right-Back,31.03597798362196
Matteo Darmian,Inter,Right-Back,30.881704778696776
Lutsharel Geertruida,RB Leipzig,Right-Back,30.698324055562928
Lorenzo De Silvestri,Bologna,Right-Back,30.62644240383217
Reece James,Chelsea,Right-Back,30.503227894124493
Giovanni Di Lorenzo,Napoli,Right-Back,30.496969791406965
Antoine Mendy,Nice,Right-Back,30.495364749104468
Youssouf Sabaly,Betis,Right-Back,30.455679661777253
Juan Foyth,Villarreal,Right-Back,30.34037856864088
Davide Faraoni,Hellas Verona,Right-Back,30.33579098788319
Woyo Coulibaly,Leicester City,Right-Back,29.973891370596302
Hamari Traoré,Real Sociedad,Right-Back,29.85640586665655
Mattia De Sciglio,Empoli,Right-Back,29.83179257695787
Joel Ward,Crystal Palace,Right-Back,29.35758607557738
Oualid El Hajjam,Le Havre,Right-Back,29.35758607557738
Alessandro Florenzi,Milan,Right-Back,29.35758607557738
Buba Sangaré,Roma,Right-Back,29.35758607557738
Tyronne Ebuehi,Empoli,Right-Back,29.35758607557738
Luis Pérez,Valladolid,Right-Back,29.307590520777328
Hans Hateboer,Rennes,Right-Back,29.11331783725509
Ricardo Pereira,Leicester City,Right-Back,28.91907059507922
Alessandro Zanoli,Genoa,Right-Back,28.90242602432862
Emil Holm,Bologna,Right-Back,28.898793508822962
Álvaro Odriozola,Real Sociedad,Right-Back,28.708767942421904
Kenny Lala,Brest,Right-Back,28.661080204666064
Carlens Arcus,Angers,Right-Back,28.501373977722093
Pablo Maffeo,Mallorca,Right-Back,28.398395260314473
Manolis Saliakas,St. Pauli,Right-Back,28.39435926202942
Vladimír Coufal,West Ham,Right-Back,28.305270616764044
Benjamin Henrichs,RB Leipzig,Right-Back,28.26864471633489
