,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Max Aarons,ENG,DF,Bournemouth,eng  Premier League,25-066,2000.0,1.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1,Max Aarons,ENG,MF,Valencia,es  La Liga,25-066,2000.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2,Rodrigo Abajas,ESP,DF,Valencia,es  La Liga,21-303,2003.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3,James Abankwah,IRL,"DF,MF",Udinese,it  Serie A,21-054,2004.0,1.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4,Keyliane Abdallah,FRA,FW,Marseille,fr  Ligue 1,18-340,2006.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,DF,Saint-Étienne,fr  Ligue 1,37-164,1987.0,10.8,6,0.55,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
6,Himad Abdelli,ALG,"MF,FW",Angers,fr  Ligue 1,25-114,1999.0,23.7,70,2.95,59,2,3,1,3,2,2,0.08,1,0,1,0,0,0
7,Mohamed Abdelmoneim,EGY,DF,Nice,fr  Ligue 1,26-038,1999.0,6.8,3,0.44,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
8,Ali Abdi,TUN,"DF,MF",Nice,fr  Ligue 1,31-081,1993.0,10.5,29,2.77,20,3,3,2,0,1,2,0.19,1,1,0,0,0,0
9,Saud Abdulhamid,KSA,DF,Roma,it  Serie A,25-236,1999.0,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0
10,Abel,ESP,DF,Osasuna,es  La Liga,24-202,2000.0,16.4,21,1.28,17,1,1,0,1,1,2,0.12,0,0,1,0,0,1
