,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987,8,8,720,8.0,10,1.25,25,15,64.0,5,1,2,3,37.5,1,1,0,0,0.0
1,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0
2,Alisson,BRA,GK,Liverpool,eng  Premier League,32-160,1992,21,21,1878,20.9,18,0.86,64,46,71.9,15,5,1,8,38.1,0,0,0,0,
3,Alphonse Areola,FRA,GK,West Ham,eng  Premier League,32-012,1993,17,16,1450,16.1,28,1.74,73,48,61.6,4,3,9,4,25.0,0,0,0,0,
4,Kepa Arrizabalaga,ESP,GK,Bournemouth,eng  Premier League,30-159,1994,21,21,1890,21.0,27,1.29,100,73,77.0,10,4,7,5,23.8,4,4,0,0,0.0
5,Noah Atubolu,GER,GK,Freiburg,de  Bundesliga,22-290,2002,22,22,1980,22.0,29,1.32,102,71,71.6,11,5,6,10,45.5,2,0,2,0,100.0
6,Emil Audero,ITA,GK,Como,it  Serie A,28-052,1997,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0
7,Brandon Austin,ENG,GK,Tottenham,eng  Premier League,26-062,1999,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
8,Augusto Batalla,ARG,GK,Rayo Vallecano,es  La Liga,28-315,1996,22,22,1980,22.0,23,1.05,93,70,77.4,7,8,7,5,22.7,3,2,1,0,33.3
9,Oliver Baumann,GER,GK,Hoffenheim,de  Bundesliga,34-282,1990,20,20,1800,20.0,36,1.8,99,62,65.7,5,6,9,3,15.0,4,2,2,0,50.0
10,Dimitry Bertaud,COD,GK,Montpellier,fr  Ligue 1,26-278,1998,3,3,270,3.0,8,2.67,16,8,56.3,1,0,2,0,0.0,1,1,0,0,0.0
11,Marco Bizot,NED,GK,Brest,fr  Ligue 1,34-001,1991,24,24,2160,24.0,39,1.62,96,57,64.6,10,3,11,7,29.2,7,5,1,1,16.7
12,Jean Butez,FRA,GK,Como,it  Serie A,29-276,1995,10,10,900,10.0,14,1.4,37,23,67.6,3,2,5,1,10.0,2,2,0,0,0.0
13,Marcin Bułka,POL,GK,Nice,fr  Ligue 1,25-158,1999,25,25,2250,25.0,30,1.2,119,90,76.5,13,7,5,6,24.0,2,2,0,0,0.0
14,Elia Caprile,ITA,GK,Cagliari,it  Serie A,23-198,2001,9,9,810,9.0,11,1.22,42,31,76.2,2,3,4,1,11.1,1,1,0,0,0.0
15,Elia Caprile,ITA,GK,Napoli,it  Serie A,23-198,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,
16,Cárdenas,ESP,GK,Rayo Vallecano,es  La Liga,27-348,1997,5,5,450,5.0,6,1.2,19,13,68.4,2,1,2,1,20.0,0,0,0,0,
17,Tiago Cardoso,LUX,GK,Gladbach,de  Bundesliga,18-338,2006,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
18,Patrik Carlgren,SWE,GK,Nantes,fr  Ligue 1,33-062,1992,3,3,270,3.0,5,1.67,21,16,76.2,1,1,1,1,33.3,0,0,0,0,
19,Marco Carnesecchi,ITA,GK,Atalanta,it  Serie A,24-253,2000,25,25,2250,25.0,25,1.0,89,66,73.0,15,6,4,10,40.0,1,1,0,0,0.0
20,Lucas Chevalier,FRA,GK,Lille,fr  Ligue 1,23-125,2001,25,25,2250,25.0,27,1.08,97,70,75.3,12,8,5,9,36.0,3,3,0,0,0.0
21,Leandro Chichizola,ARG,GK,Parma,it  Serie A,34-349,1990,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
22,Jasper Cillessen,NED,GK,Las Palmas,es  La Liga,35-323,1989,25,25,2219,24.7,40,1.62,124,83,71.0,6,6,13,3,12.0,8,4,3,1,42.9
23,Diego Conde,ESP,GK,Villarreal,es  La Liga,26-134,1998,20,20,1782,19.8,29,1.46,83,55,68.7,10,6,4,2,10.0,4,3,0,1,0.0
24,Grégoire Coudert,FRA,GK,Brest,fr  Ligue 1,25-342,1999,1,1,90,1.0,1,1.0,7,6,85.7,1,0,0,0,0.0,0,0,0,0,
25,Thibaut Courtois,BEL,GK,Real Madrid,es  La Liga,32-304,1992,23,23,2070,23.0,21,0.91,64,44,71.9,14,6,3,8,34.8,3,3,0,0,0.0
26,Finn Dahmen,GER,GK,Augsburg,de  Bundesliga,26-349,1998,10,10,900,10.0,3,0.3,33,31,90.9,5,4,1,7,70.0,0,0,0,0,
27,Thomas Dähne,GER,GK,Holstein Kiel,de  Bundesliga,31-066,1994,1,1,90,1.0,3,3.0,9,5,66.7,0,0,1,0,0.0,1,0,1,0,100.0
28,Théo De Percin,MTQ,GK,Auxerre,fr  Ligue 1,24-037,2001,2,2,180,2.0,3,1.5,9,5,77.8,0,1,1,1,50.0,2,1,1,0,50.0
29,Arthur Desmas,FRA,GK,Le Havre,fr  Ligue 1,30-338,1994,17,17,1530,17.0,36,2.12,91,54,62.6,4,0,13,3,17.6,3,2,1,0,33.3
30,Michele Di Gregorio,ITA,GK,Juventus,it  Serie A,27-227,1997,23,23,2070,23.0,22,0.96,69,47,75.4,11,10,2,11,47.8,5,5,0,0,0.0
31,Stole Dimitrievski,MKD,GK,Valencia,es  La Liga,31-076,1993,4,4,360,4.0,6,1.5,12,6,58.3,0,2,2,0,0.0,2,1,0,1,0.0
32,Yehvann Diouf,FRA,GK,Reims,fr  Ligue 1,25-115,1999,25,25,2250,25.0,40,1.6,137,96,73.0,5,7,13,3,12.0,4,3,1,0,25.0
33,Marko Dmitrović,SRB,GK,Leganés,es  La Liga,33-046,1992,21,21,1890,21.0,33,1.57,98,66,71.4,5,7,9,7,33.3,6,5,0,1,0.0
