,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987,8.0,10,1,0,2,0,8.8,0.32,-1.2,-0.15,30,80,37.5,229,34,28.8,31.3,41,34.1,36.0,101,5,5.0,5,0.63,12.7
1,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2
2,Alisson,BRA,GK,Liverpool,eng  Premier League,32-160,1992,20.9,18,0,0,1,0,17.7,0.28,-0.3,-0.01,52,138,37.7,589,86,20.4,26.5,54,33.3,30.7,198,7,3.5,39,1.87,15.8
3,Alphonse Areola,FRA,GK,West Ham,eng  Premier League,32-012,1993,16.1,28,0,0,2,3,21.6,0.3,-3.4,-0.21,102,258,39.5,504,71,33.9,31.9,140,62.1,44.9,244,11,4.5,16,0.99,13.3
4,Kepa Arrizabalaga,ESP,GK,Bournemouth,eng  Premier League,30-159,1994,21.0,27,4,0,2,0,29.3,0.26,2.3,0.11,102,265,38.5,539,76,36.5,34.1,134,50.7,40.3,264,13,4.9,36,1.71,15.8
5,Noah Atubolu,GER,GK,Freiburg,de  Bundesliga,22-290,2002,22.0,29,0,1,3,0,30.7,0.29,1.7,0.08,136,354,38.4,906,99,31.3,32.7,103,68.0,51.4,332,27,8.1,25,1.14,12.8
6,Emil Audero,ITA,GK,Como,it  Serie A,28-052,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.7,17,55,30.9,232,30,22.0,28.6,21,19.0,27.5,95,5,5.3,8,1.0,12.9
7,Brandon Austin,ENG,GK,Tottenham,eng  Premier League,26-062,1999,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.0,12.4
8,Augusto Batalla,ARG,GK,Rayo Vallecano,es  La Liga,28-315,1996,22.0,23,2,0,3,1,23.1,0.22,1.1,0.05,117,357,32.8,670,85,41.3,37.7,134,59.7,49.3,304,21,6.9,17,0.77,13.6
9,Oliver Baumann,GER,GK,Hoffenheim,de  Bundesliga,34-282,1990,20.0,36,2,0,5,1,39.9,0.38,4.9,0.24,106,295,35.9,662,98,36.3,34.4,90,61.1,47.2,300,10,3.3,20,1.0,14.6
10,Dimitry Bertaud,COD,GK,Montpellier,fr  Ligue 1,26-278,1998,3.0,8,1,0,0,0,6.3,0.36,-1.7,-0.56,18,42,42.9,66,14,42.4,36.5,25,56.0,44.8,43,8,18.6,2,0.67,12.8
11,Marco Bizot,NED,GK,Brest,fr  Ligue 1,34-001,1991,24.0,39,5,1,1,1,33.7,0.3,-4.3,-0.18,172,403,42.7,664,98,44.6,36.9,156,68.6,50.8,340,24,7.1,29,1.21,15.3
12,Jean Butez,FRA,GK,Como,it  Serie A,29-276,1995,10.0,14,2,0,1,0,11.8,0.27,-2.2,-0.22,55,136,40.4,401,53,30.7,31.9,23,56.5,44.0,99,11,11.1,20,2.0,16.7
13,Marcin Bułka,POL,GK,Nice,fr  Ligue 1,25-158,1999,25.0,30,2,0,3,1,32.8,0.27,3.8,0.15,81,209,38.8,727,129,22.4,28.6,119,38.7,33.9,363,29,8.0,22,0.88,12.0
14,Elia Caprile,ITA,GK,Cagliari,it  Serie A,23-198,2001,9.0,11,1,0,1,0,14.9,0.35,3.9,0.44,68,180,37.8,269,43,49.4,38.5,81,58.0,45.4,145,6,4.1,6,0.67,14.6
15,Elia Caprile,ITA,GK,Napoli,it  Serie A,23-198,2001,3.6,1,0,0,0,0,2.2,0.27,1.2,0.32,11,25,44.0,82,9,25.6,31.7,15,26.7,30.7,31,3,9.7,3,0.83,13.7
16,Cárdenas,ESP,GK,Rayo Vallecano,es  La Liga,27-348,1997,5.0,6,0,0,0,0,5.6,0.31,-0.4,-0.08,23,84,27.4,100,15,57.0,44.8,39,69.2,52.4,69,1,1.4,1,0.2,10.5
17,Tiago Cardoso,LUX,GK,Gladbach,de  Bundesliga,18-338,2006,1.0,0,0,0,0,0,0.3,0.08,0.3,0.33,5,10,50.0,31,6,22.6,26.5,8,37.5,32.5,19,1,5.3,0,0.0,6.8
18,Patrik Carlgren,SWE,GK,Nantes,fr  Ligue 1,33-062,1992,3.0,5,0,0,0,0,6.1,0.29,1.1,0.35,14,37,37.8,69,21,27.5,30.5,23,78.3,50.7,54,1,1.9,1,0.33,12.8
19,Marco Carnesecchi,ITA,GK,Atalanta,it  Serie A,24-253,2000,25.0,25,1,0,2,2,25.5,0.3,2.5,0.1,83,268,31.0,631,113,29.2,32.9,135,62.2,47.6,214,15,7.0,33,1.32,14.8
20,Lucas Chevalier,FRA,GK,Lille,fr  Ligue 1,23-125,2001,25.0,27,3,0,4,0,33.2,0.33,6.2,0.25,87,221,39.4,698,93,27.9,30.3,87,29.9,35.0,266,15,5.6,16,0.64,14.1
21,Leandro Chichizola,ARG,GK,Parma,it  Serie A,34-349,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,8,37.5,34.4,21,2,9.5,2,2.0,16.3
22,Jasper Cillessen,NED,GK,Las Palmas,es  La Liga,35-323,1989,24.7,40,4,0,4,2,42.4,0.3,4.4,0.18,111,394,28.2,780,134,39.9,34.6,172,48.3,43.4,405,12,3.0,20,0.81,14.6
23,Diego Conde,ESP,GK,Villarreal,es  La Liga,26-134,1998,19.8,29,3,1,6,1,22.5,0.25,-5.5,-0.28,58,157,36.9,492,99,23.8,28.9,94,42.6,38.1,306,18,5.9,13,0.66,11.2
24,Grégoire Coudert,FRA,GK,Brest,fr  Ligue 1,25-342,1999,1.0,1,0,0,1,0,0.9,0.13,-0.1,-0.07,3,12,25.0,34,3,26.5,31.1,4,75.0,52.8,22,1,4.5,1,1.0,11.7
25,Thibaut Courtois,BEL,GK,Real Madrid,es  La Liga,32-304,1992,23.0,21,3,0,3,1,19.4,0.29,-0.6,-0.02,37,141,26.2,684,124,15.6,26.9,107,31.8,37.0,249,10,4.0,13,0.57,11.1
26,Finn Dahmen,GER,GK,Augsburg,de  Bundesliga,26-349,1998,10.0,3,0,0,0,1,9.4,0.31,7.4,0.74,66,177,37.3,315,26,38.7,34.2,71,77.5,55.1,195,6,3.1,11,1.1,13.3
27,Thomas Dähne,GER,GK,Holstein Kiel,de  Bundesliga,31-066,1994,1.0,3,0,0,1,0,3.5,0.32,0.5,0.53,5,9,55.6,35,3,20.0,29.6,7,28.6,29.3,18,1,5.6,0,0.0,7.0
28,Théo De Percin,MTQ,GK,Auxerre,fr  Ligue 1,24-037,2001,2.0,3,1,0,0,0,3.5,0.22,0.5,0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.5,13.1
29,Arthur Desmas,FRA,GK,Le Havre,fr  Ligue 1,30-338,1994,17.0,36,2,1,3,0,37.4,0.4,1.4,0.08,54,149,36.2,383,68,29.8,31.4,112,31.3,29.9,263,12,4.6,7,0.41,11.9
30,Michele Di Gregorio,ITA,GK,Juventus,it  Serie A,27-227,1997,23.0,22,5,0,4,0,20.4,0.24,-1.6,-0.07,79,216,36.6,586,83,28.2,31.0,105,48.6,41.4,315,21,6.7,16,0.7,11.5
31,Stole Dimitrievski,MKD,GK,Valencia,es  La Liga,31-076,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80.0,53.6,51,3,5.9,16,4.0,25.7
32,Yehvann Diouf,FRA,GK,Reims,fr  Ligue 1,25-115,1999,25.0,40,3,1,5,0,48.9,0.34,8.9,0.35,109,336,32.4,723,103,33.5,32.9,152,61.8,44.9,353,17,4.8,22,0.88,13.8
33,Marko Dmitrović,SRB,GK,Leganés,es  La Liga,33-046,1992,21.0,33,5,0,5,1,33.7,0.3,1.7,0.08,133,506,26.3,507,68,65.3,47.3,194,90.2,66.0,404,28,6.9,34,1.62,14.7
34,Álex Domínguez,ESP,GK,Toulouse,fr  Ligue 1,26-224,1998,0.2,0,0,0,0,0,0.0,,0.0,0.0,2,5,40.0,8,1,25.0,30.0,3,100.0,69.3,7,0,0.0,0,0.0,
35,Gianluigi Donnarumma,ITA,GK,Paris S-G,fr  Ligue 1,26-014,1999,18.2,19,1,1,4,0,18.3,0.27,-0.7,-0.04,28,83,33.7,453,79,13.9,25.2,71,28.2,27.4,163,8,4.9,10,0.55,13.3
36,Patrick Drewes,GER,GK,Bochum,de  Bundesliga,32-035,1993,21.0,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45.0,681,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8
37,Martin Dúbravka,SVK,GK,Newcastle Utd,eng  Premier League,36-055,1989,10.0,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3
38,Ederson,BRA,GK,Manchester City,eng  Premier League,31-206,1993,19.0,23,2,0,2,1,25.7,0.36,3.7,0.2,60,136,44.1,650,77,18.9,28.0,56,23.2,31.2,166,10,6.0,36,1.89,17.5
39,Łukasz Fabiański,POL,GK,West Ham,eng  Premier League,39-327,1985,11.9,20,3,1,3,0,22.3,0.3,2.3,0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7
