,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Max Aarons,ENG,DF,Bournemouth,eng  Premier League,25-066,2000.0,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,
1,Max Aarons,ENG,MF,Valencia,es  La Liga,25-066,2000.0,0.3,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,
2,Rodrigo Abajas,ESP,DF,Valencia,es  La Liga,21-303,2003.0,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0
3,James Abankwah,IRL,"DF,MF",Udinese,it  Serie A,21-054,2004.0,1.0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0
4,Keyliane Abdallah,FRA,FW,Marseille,fr  Ligue 1,18-340,2006.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
5,Yunis Abdelhamid,MAR,DF,Saint-Étienne,fr  Ligue 1,37-164,1987.0,10.8,2,0,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4
6,Himad Abdelli,ALG,"MF,FW",Angers,fr  Ligue 1,25-114,1999.0,23.7,2,0,0,37,30,2,36,18,24,0,0,0,133,11,17,39.3
7,Mohamed Abdelmoneim,EGY,DF,Nice,fr  Ligue 1,26-038,1999.0,6.8,2,0,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9
8,Ali Abdi,TUN,"DF,MF",Nice,fr  Ligue 1,31-081,1993.0,10.5,1,0,0,16,9,2,26,11,16,0,0,0,45,13,10,56.5
9,Saud Abdulhamid,KSA,DF,Roma,it  Serie A,25-236,1999.0,2.3,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0
10,Abel,ESP,DF,Osasuna,es  La Liga,24-202,2000.0,16.4,2,0,0,15,19,1,60,13,26,0,0,0,84,16,10,61.5
11,Nabil Aberdin,FRA,MF,Getafe,es  La Liga,22-200,2002.0,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9
12,Oliver Abildgaard,DEN,MF,Como,it  Serie A,28-274,1996.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
13,Matthis Abline,FRA,FW,Nantes,fr  Ligue 1,21-348,2003.0,22.1,2,0,0,22,42,5,24,2,4,0,0,0,64,39,51,43.3
14,Abner,BRA,DF,Lyon,fr  Ligue 1,24-288,2000.0,9.1,1,0,0,11,4,0,26,5,14,0,0,0,37,5,6,45.5
15,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr  Ligue 1,25-021,2000.0,20.3,4,0,0,34,23,10,31,6,11,2,0,0,56,21,38,35.6
16,Abdel Abqar,MAR,DF,Alavés,es  La Liga,26-001,1999.0,23.5,12,0,0,43,27,2,5,36,20,1,2,0,76,35,31,53.0
17,Tammy Abraham,ENG,FW,Roma,it  Serie A,27-160,1997.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
18,Tammy Abraham,ENG,FW,Milan,it  Serie A,27-160,1997.0,10.6,1,0,0,18,6,4,3,2,10,1,0,0,10,25,29,46.3
19,Federico Accornero,ITA,MF,Genoa,it  Serie A,21-034,2004.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
20,Francesco Acerbi,ITA,DF,Inter,it  Serie A,37-029,1988.0,12.4,0,0,0,9,14,0,6,19,12,0,0,0,34,37,18,67.3
21,Joshua Acheampong,ENG,DF,Chelsea,eng  Premier League,18-310,2006.0,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3
22,Akor Adams,NGA,FW,Sevilla,es  La Liga,25-041,2000.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
23,Akor Adams,NGA,FW,Montpellier,fr  Ligue 1,25-041,2000.0,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9
24,Che Adams,SCO,FW,Torino,it  Serie A,28-241,1996.0,20.3,2,0,0,19,28,16,8,1,3,0,0,0,38,28,46,37.8
25,Tyler Adams,USA,MF,Bournemouth,eng  Premier League,26-025,1999.0,13.0,4,0,0,26,12,0,1,28,38,0,1,0,65,19,15,55.9
26,Junior Adamu,AUT,FW,Freiburg,de  Bundesliga,23-278,2001.0,11.6,3,1,0,25,18,8,3,8,0,0,0,0,34,34,76,30.9
27,Tosin Adarabioyo,ENG,DF,Chelsea,eng  Premier League,27-168,1997.0,12.1,2,0,0,7,3,1,0,9,10,0,0,0,30,32,22,59.3
28,Martin Adeline,FRA,MF,Reims,fr  Ligue 1,21-099,2003.0,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
29,Karim Adeyemi,GER,"FW,MF",Dortmund,de  Bundesliga,23-052,2002.0,10.4,3,0,0,14,13,2,18,5,9,0,0,0,36,7,8,46.7
30,Simon Adingra,CIV,"FW,MF",Brighton,eng  Premier League,23-069,2002.0,6.9,0,0,0,9,0,1,21,6,7,0,0,0,30,3,1,75.0
31,Amine Adli,MAR,"MF,FW",Leverkusen,de  Bundesliga,24-305,2000.0,4.5,2,0,0,5,9,4,18,0,6,2,0,0,17,13,12,52.0
32,Yacine Adli,FRA,MF,Fiorentina,it  Serie A,24-225,2000.0,12.4,3,1,1,9,16,0,56,6,18,0,0,0,69,5,15,25.0
33,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987.0,8.0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,1,50.0
34,Adryelson,BRA,DF,Lyon,fr  Ligue 1,26-353,1998.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
35,Vasilije Adžić,MNE,"MF,FW",Juventus,it  Serie A,18-303,2006.0,0.3,0,0,0,1,0,0,0,0,2,0,0,0,2,2,2,50.0
36,Michel Aebischer,SUI,MF,Bologna,it  Serie A,28-064,1997.0,4.7,0,0,0,9,10,0,6,5,7,0,0,0,21,4,6,40.0
37,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,de  Bundesliga,27-027,1998.0,15.3,2,0,0,19,33,9,46,7,8,1,0,0,61,15,39,27.8
38,Emmanuel Agbadou,CIV,DF,Wolves,eng  Premier League,27-267,1997.0,5.7,2,0,0,0,2,1,0,7,9,0,0,0,37,12,8,60.0
39,Emmanuel Agbadou,CIV,DF,Reims,fr  Ligue 1,27-267,1997.0,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1
40,Asher Agbinone,ENG,MF,Crystal Palace,eng  Premier League,19-164,2005.0,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
41,Jeremy Agbonifo,SWE,"FW,MF",Lens,fr  Ligue 1,19-138,2005.0,1.6,0,0,0,6,3,1,2,1,3,0,0,0,5,0,2,0.0
42,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000.0,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0
