,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Max Aarons,ENG,DF,Bournemouth,eng  Premier League,25-066,2000.0,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8
1,Max Aarons,ENG,MF,Valencia,es  La Liga,25-066,2000.0,0.3,14,18,77.8,222,48,6,7,85.7,6,9,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2
2,Rodrigo Abajas,ESP,DF,Valencia,es  La Liga,21-303,2003.0,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2
3,James Abankwah,IRL,"DF,MF",Udinese,it  Serie A,21-054,2004.0,1.0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4
4,Keyliane Abdallah,FRA,FW,Marseille,fr  Ligue 1,18-340,2006.0,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,DF,Saint-Étienne,fr  Ligue 1,37-164,1987.0,10.8,432,498,86.7,7860,2367,145,157,92.4,259,283,91.5,23,48,47.9,0,0.1,0.3,-0.1,2,27,0,0,22
6,Himad Abdelli,ALG,"MF,FW",Angers,fr  Ligue 1,25-114,1999.0,23.7,1079,1306,82.6,16537,4434,575,648,88.7,402,462,87.0,60,113,53.1,1,2.8,2.8,-1.8,30,125,29,1,160
7,Mohamed Abdelmoneim,EGY,DF,Nice,fr  Ligue 1,26-038,1999.0,6.8,291,332,87.7,5339,1686,105,115,91.3,160,175,91.4,19,32,59.4,0,0.0,0.1,0.0,0,15,1,0,26
8,Ali Abdi,TUN,"DF,MF",Nice,fr  Ligue 1,31-081,1993.0,10.5,332,447,74.3,5175,1770,174,207,84.1,128,168,76.2,19,40,47.5,2,1.4,1.2,0.6,13,11,13,3,29
9,Saud Abdulhamid,KSA,DF,Roma,it  Serie A,25-236,1999.0,2.3,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,0.8,2,4,4,2,9
10,Abel,ESP,DF,Osasuna,es  La Liga,24-202,2000.0,16.4,534,747,71.5,8967,3745,269,304,88.5,213,277,76.9,42,120,35.0,0,0.7,0.9,-0.7,9,42,8,6,56
11,Nabil Aberdin,FRA,MF,Getafe,es  La Liga,22-200,2002.0,2.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6
12,Oliver Abildgaard,DEN,MF,Como,it  Serie A,28-274,1996.0,0.1,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
13,Matthis Abline,FRA,FW,Nantes,fr  Ligue 1,21-348,2003.0,22.1,263,381,69.0,3815,677,143,187,76.5,86,114,75.4,15,27,55.6,1,2.8,2.8,-1.8,20,16,14,4,33
14,Abner,BRA,DF,Lyon,fr  Ligue 1,24-288,2000.0,9.1,420,502,83.7,6126,2606,242,265,91.3,139,164,84.8,24,39,61.5,1,0.9,1.9,0.1,10,32,10,2,51
15,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr  Ligue 1,25-021,2000.0,20.3,212,335,63.3,2647,728,140,186,75.3,52,90,57.8,6,14,42.9,2,1.5,1.8,0.5,11,15,9,3,22
16,Abdel Abqar,MAR,DF,Alavés,es  La Liga,26-001,1999.0,23.5,645,847,76.2,14212,5082,165,177,93.2,377,411,91.7,99,234,42.3,1,0.2,0.4,0.8,7,58,9,2,76
17,Tammy Abraham,ENG,FW,Roma,it  Serie A,27-160,1997.0,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
