,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Max Aarons,ENG,DF,Bournemouth,eng  Premier League,25-066,2000.0,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1
1,Max Aarons,ENG,MF,Valencia,es  La Liga,25-066,2000.0,0.3,18,14,4,0,0,0,2,4,0,0,0,0,14,0,0
2,Rodrigo Abajas,ESP,DF,Valencia,es  La Liga,21-303,2003.0,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2
3,James Abankwah,IRL,"DF,MF",Udinese,it  Serie A,21-054,2004.0,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0
4,Keyliane Abdallah,FRA,FW,Marseille,fr  Ligue 1,18-340,2006.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
5,Yunis Abdelhamid,MAR,DF,Saint-Étienne,fr  Ligue 1,37-164,1987.0,10.8,498,456,40,20,0,0,0,1,0,0,0,0,432,2,1
6,Himad Abdelli,ALG,"MF,FW",Angers,fr  Ligue 1,25-114,1999.0,23.7,1306,1210,88,32,20,8,36,13,8,4,2,0,1079,8,24
7,Mohamed Abdelmoneim,EGY,DF,Nice,fr  Ligue 1,26-038,1999.0,6.8,332,313,19,15,0,6,0,2,0,0,0,0,291,0,1
8,Ali Abdi,TUN,"DF,MF",Nice,fr  Ligue 1,31-081,1993.0,10.5,447,365,78,9,0,2,26,69,0,0,0,0,332,4,11
9,Saud Abdulhamid,KSA,DF,Roma,it  Serie A,25-236,1999.0,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3
10,Abel,ESP,DF,Osasuna,es  La Liga,24-202,2000.0,16.4,747,579,166,9,2,1,60,157,0,0,0,0,534,2,31
11,Nabil Aberdin,FRA,MF,Getafe,es  La Liga,22-200,2002.0,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3
12,Oliver Abildgaard,DEN,MF,Como,it  Serie A,28-274,1996.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Matthis Abline,FRA,FW,Nantes,fr  Ligue 1,21-348,2003.0,22.1,381,359,21,1,2,3,24,1,0,0,0,0,263,1,22
14,Abner,BRA,DF,Lyon,fr  Ligue 1,24-288,2000.0,9.1,502,425,75,8,1,1,26,61,6,6,0,0,420,2,14
15,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr  Ligue 1,25-021,2000.0,20.3,335,319,13,1,0,0,31,7,3,2,0,0,212,3,13
16,Abdel Abqar,MAR,DF,Alavés,es  La Liga,26-001,1999.0,23.5,847,801,43,37,1,17,5,5,0,0,0,0,645,3,5
17,Tammy Abraham,ENG,FW,Roma,it  Serie A,27-160,1997.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
18,Tammy Abraham,ENG,FW,Milan,it  Serie A,27-160,1997.0,10.6,167,152,14,0,2,0,3,0,0,0,0,0,118,1,5
19,Federico Accornero,ITA,MF,Genoa,it  Serie A,21-034,2004.0,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1
20,Francesco Acerbi,ITA,DF,Inter,it  Serie A,37-029,1988.0,12.4,864,830,32,21,0,1,6,7,0,0,0,0,808,2,2
21,Joshua Acheampong,ENG,DF,Chelsea,eng  Premier League,18-310,2006.0,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2
22,Akor Adams,NGA,FW,Sevilla,es  La Liga,25-041,2000.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
23,Akor Adams,NGA,FW,Montpellier,fr  Ligue 1,25-041,2000.0,11.9,179,160,17,0,1,2,5,0,0,0,0,0,112,2,7
24,Che Adams,SCO,FW,Torino,it  Serie A,28-241,1996.0,20.3,421,389,31,2,3,4,8,1,0,0,0,0,304,1,15
25,Tyler Adams,USA,MF,Bournemouth,eng  Premier League,26-025,1999.0,13.0,589,556,31,28,1,0,1,3,0,0,0,0,494,2,8
26,Junior Adamu,AUT,FW,Freiburg,de  Bundesliga,23-278,2001.0,11.6,223,209,12,0,1,0,3,2,0,0,0,0,142,2,8
27,Tosin Adarabioyo,ENG,DF,Chelsea,eng  Premier League,27-168,1997.0,12.1,944,917,25,15,1,1,0,4,0,0,0,0,863,2,3
28,Martin Adeline,FRA,MF,Reims,fr  Ligue 1,21-099,2003.0,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
29,Karim Adeyemi,GER,"FW,MF",Dortmund,de  Bundesliga,23-052,2002.0,10.4,291,279,10,1,2,1,18,6,2,2,0,0,219,2,16
30,Simon Adingra,CIV,"FW,MF",Brighton,eng  Premier League,23-069,2002.0,6.9,222,217,4,0,1,0,21,4,0,0,0,0,167,1,7
31,Amine Adli,MAR,"MF,FW",Leverkusen,de  Bundesliga,24-305,2000.0,4.5,210,202,7,0,0,1,18,7,0,0,0,0,158,1,11
32,Yacine Adli,FRA,MF,Fiorentina,it  Serie A,24-225,2000.0,12.4,798,710,84,39,3,13,56,5,39,17,19,0,649,4,11
33,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987.0,8.0,271,207,63,22,0,0,0,0,0,0,0,0,210,1,1
34,Adryelson,BRA,DF,Lyon,fr  Ligue 1,26-353,1998.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
35,Vasilije Adžić,MNE,"MF,FW",Juventus,it  Serie A,18-303,2006.0,0.3,16,16,0,0,0,0,0,0,0,0,0,0,12,0,1
36,Michel Aebischer,SUI,MF,Bologna,it  Serie A,28-064,1997.0,4.7,237,223,12,6,1,2,6,0,6,1,3,0,205,2,2
37,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,de  Bundesliga,27-027,1998.0,15.3,389,365,21,3,0,4,46,10,0,0,0,0,274,3,24
38,Emmanuel Agbadou,CIV,DF,Wolves,eng  Premier League,27-267,1997.0,5.7,343,324,17,12,0,8,0,0,0,0,0,0,280,2,3
39,Emmanuel Agbadou,CIV,DF,Reims,fr  Ligue 1,27-267,1997.0,14.0,922,842,77,37,3,22,1,4,0,0,0,0,810,3,4
40,Asher Agbinone,ENG,MF,Crystal Palace,eng  Premier League,19-164,2005.0,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
41,Jeremy Agbonifo,SWE,"FW,MF",Lens,fr  Ligue 1,19-138,2005.0,1.6,29,27,2,0,0,0,2,2,0,0,0,0,21,0,2
42,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000.0,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0
43,Lucien Agoume,FRA,MF,Sevilla,es  La Liga,23-030,2002.0,13.8,708,687,17,13,2,5,5,4,0,0,0,0,582,4,11
44,Felix Agu,GER,DF,Werder Bremen,de  Bundesliga,25-165,1999.0,11.0,463,377,84,3,0,2,25,81,0,0,0,0,366,2,15
45,Álvaro Aguado,ESP,MF,Espanyol,es  La Liga,28-314,1996.0,4.5,205,189,15,9,1,3,11,2,3,1,1,0,158,1,5
46,Lorenzo Aguado,ESP,DF,Real Madrid,es  La Liga,22-173,2002.0,0.1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
47,Nayef Aguerd,MAR,DF,Real Sociedad,es  La Liga,28-346,1996.0,18.6,1295,1236,53,38,0,33,2,3,0,0,0,0,1132,6,10
48,Ruben Aguilar,FRA,DF,Lens,fr  Ligue 1,31-319,1993.0,6.8,452,368,84,5,0,2,26,79,0,0,0,0,365,0,20
49,Naouirou Ahamada,FRA,"MF,FW",Rennes,fr  Ligue 1,22-347,2002.0,0.6,22,22,0,0,0,0,1,0,0,0,0,0,17,0,0
50,Honest Ahanor,ITA,DF,Genoa,it  Serie A,17-016,2008.0,0.9,17,14,3,0,0,0,1,3,0,0,0,0,12,0,0
51,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,de  Bundesliga,23-148,2001.0,0.5,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0
52,Jean-Eudes Aholou,CIV,MF,Angers,fr  Ligue 1,30-356,1994.0,19.5,707,697,8,8,2,2,2,0,0,0,0,0,603,2,8
53,Joseph Aidoo,GHA,DF,Valladolid,es  La Liga,29-163,1995.0,2.7,163,157,6,2,0,0,0,0,0,0,0,0,138,0,2
54,Joseph Aidoo,GHA,DF,Celta Vigo,es  La Liga,29-163,1995.0,0.0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1
55,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,fr  Ligue 1,19-259,2005.0,1.4,29,29,0,0,0,0,1,0,0,0,0,0,17,0,1
56,Ola Aina,NGA,DF,Nott'ham Forest,eng  Premier League,28-154,1996.0,27.1,1098,872,224,15,0,3,40,209,0,0,0,0,801,2,34
57,Rayan Aït-Nouri,ALG,DF,Wolves,eng  Premier League,23-278,2001.0,25.6,1247,1029,214,28,3,4,59,171,15,12,1,0,1052,4,32
58,Junior Ajayi,CIV,FW,Hellas Verona,it  Serie A,20-151,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Kristoffer Ajer,NOR,DF,Brentford,eng  Premier League,26-328,1998.0,12.6,526,473,52,2,0,3,11,50,0,0,0,0,415,1,12
60,Ludovic Ajorque,FRA,FW,Brest,fr  Ligue 1,31-014,1994.0,19.5,475,466,6,0,1,8,5,1,0,0,0,0,322,3,12
61,Manuel Akanji,SUI,DF,Manchester City,eng  Premier League,29-235,1995.0,19.0,1479,1444,34,17,4,9,11,10,0,0,0,0,1389,1,5
62,Ümit Akdag,ROU,DF,Toulouse,fr  Ligue 1,21-156,2003.0,4.8,293,265,28,7,1,2,1,18,0,0,0,0,231,0,8
63,Nathan Aké,NED,DF,Manchester City,eng  Premier League,30-021,1995.0,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3
64,Ilias Akhomach,MAR,"MF,FW",Villarreal,es  La Liga,20-329,2004.0,6.5,185,177,7,2,1,2,18,2,3,2,0,0,136,1,7
65,Sergio Akieme,ESP,DF,Reims,fr  Ligue 1,27-085,1997.0,19.5,820,684,131,15,0,0,59,113,3,2,0,0,667,5,14
66,Maghnes Akliouche,FRA,"FW,MF",Monaco,fr  Ligue 1,23-014,2002.0,18.9,902,867,28,10,7,5,35,9,9,4,1,0,732,7,29
