,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
0,Max Aarons,ENG,DF,Bournemouth,eng  Premier League,25-066,2000.0,3,86.0,29.0,3.4,1.0,1,61.0,0,2,13.0,11,0.67,2.0,0.0,2.0,2.09,1.69,2.3,0.3,2.0,2.12,1.7
1,Max Aarons,ENG,MF,Valencia,es  La Liga,25-066,2000.0,1,31.0,31.0,1.3,0.3,0,,0,1,31.0,7,0.0,0.0,2.0,-2.0,-5.81,-5.32,0.9,0.6,0.4,1.1,1.45
2,Álvaro Abajas,ESP,GK,Leganés,es  La Liga,21-303,2003.0,0,,,,,0,,0,0,,22,,,,,,,,,,,
3,Rodrigo Abajas,ESP,DF,Valencia,es  La Liga,21-303,2003.0,1,65.0,65.0,2.7,0.7,1,65.0,0,0,,8,0.0,1.0,2.0,-1.0,-1.38,-0.85,1.4,0.7,0.7,0.93,1.29
4,James Abankwah,IRL,"DF,MF",Udinese,it  Serie A,21-054,2004.0,6,88.0,15.0,3.5,1.0,0,,0,6,15.0,12,1.67,2.0,0.0,2.0,2.05,2.23,0.6,1.5,-0.9,-0.91,-0.62
5,Zach Abbott,ENG,DF,Nott'ham Forest,eng  Premier League,18-302,2006.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
6,Keyliane Abdallah,FRA,FW,Marseille,fr  Ligue 1,18-340,2006.0,1,3.0,3.0,0.1,0.0,0,,0,1,3.0,7,3.0,0.0,0.0,0.0,0.0,-0.88,0.0,0.0,0.0,-0.49,-1.02
7,Yunis Abdelhamid,MAR,DF,Saint-Étienne,fr  Ligue 1,37-164,1987.0,12,976.0,81.0,43.4,10.8,11,85.0,9,1,40.0,12,0.5,4.0,31.0,-27.0,-2.49,-2.14,8.0,26.3,-18.3,-1.68,-0.86
8,Jonas El-Abdellaoui,NOR,FW,Celta Vigo,es  La Liga,19-058,2006.0,0,,,,,0,,0,0,,7,,,,,,,,,,,
9,Himad Abdelli,ALG,"MF,FW",Angers,fr  Ligue 1,25-114,1999.0,24,2132.0,89.0,94.8,23.7,24,89.0,19,0,,0,1.0,22.0,40.0,-18.0,-0.76,-3.81,25.4,40.3,-14.9,-0.63,-2.4
