,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Max Aarons,ENG,DF,Bournemouth,eng  Premier League,25-066,2000.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
1,Max Aarons,ENG,MF,Valencia,es  La Liga,25-066,2000.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2,Rodrigo Abajas,ESP,DF,Valencia,es  La Liga,21-303,2003.0,0.7,0,1,0,0.0,1.38,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
3,James Abankwah,IRL,"DF,MF",Udinese,it  Serie A,21-054,2004.0,1.0,0,1,0,0.0,1.02,0.0,0.0,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
4,Keyliane Abdallah,FRA,FW,Marseille,fr  Ligue 1,18-340,2006.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
5,Yunis Abdelhamid,MAR,DF,Saint-Étienne,fr  Ligue 1,37-164,1987.0,10.8,0,2,1,50.0,0.18,0.09,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
6,Himad Abdelli,ALG,"MF,FW",Angers,fr  Ligue 1,25-114,1999.0,23.7,6,23,6,26.1,0.97,0.25,0.13,0.5,24.0,0,3,4,5.6,2.4,0.11,0.4,0.6
7,Mohamed Abdelmoneim,EGY,DF,Nice,fr  Ligue 1,26-038,1999.0,6.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
8,Ali Abdi,TUN,"DF,MF",Nice,fr  Ligue 1,31-081,1993.0,10.5,2,16,5,31.3,1.53,0.48,0.13,0.4,19.8,0,0,0,1.2,1.2,0.07,0.8,0.8
9,Saud Abdulhamid,KSA,DF,Roma,it  Serie A,25-236,1999.0,2.3,0,1,0,0.0,0.44,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
10,Abel,ESP,DF,Osasuna,es  La Liga,24-202,2000.0,16.4,2,9,3,33.3,0.55,0.18,0.22,0.67,25.1,0,0,0,0.4,0.4,0.04,1.6,1.6
11,Nabil Aberdin,FRA,MF,Getafe,es  La Liga,22-200,2002.0,2.9,0,2,0,0.0,0.68,0.0,0.0,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
12,Oliver Abildgaard,DEN,MF,Como,it  Serie A,28-274,1996.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
13,Matthis Abline,FRA,FW,Nantes,fr  Ligue 1,21-348,2003.0,22.1,7,60,22,36.7,2.71,0.99,0.1,0.27,14.8,0,1,1,7.2,6.4,0.11,-0.2,-0.4
14,Abner,BRA,DF,Lyon,fr  Ligue 1,24-288,2000.0,9.1,1,6,3,50.0,0.66,0.33,0.17,0.33,19.9,0,0,0,0.2,0.2,0.03,0.8,0.8
15,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr  Ligue 1,25-021,2000.0,20.3,7,59,24,40.7,2.91,1.18,0.1,0.25,14.5,0,1,2,10.1,8.5,0.14,-3.1,-2.5
16,Abdel Abqar,MAR,DF,Alavés,es  La Liga,26-001,1999.0,23.5,0,9,1,11.1,0.38,0.04,0.0,0.0,7.5,0,0,0,0.8,0.8,0.08,-0.8,-0.8
17,Tammy Abraham,ENG,FW,Roma,it  Serie A,27-160,1997.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
18,Tammy Abraham,ENG,FW,Milan,it  Serie A,27-160,1997.0,10.6,2,20,9,45.0,1.88,0.85,0.05,0.11,13.8,0,1,2,6.1,4.4,0.22,-4.1,-3.4
19,Federico Accornero,ITA,MF,Genoa,it  Serie A,21-034,2004.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
20,Francesco Acerbi,ITA,DF,Inter,it  Serie A,37-029,1988.0,12.4,0,4,1,25.0,0.32,0.08,0.0,0.0,11.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3
21,Joshua Acheampong,ENG,DF,Chelsea,eng  Premier League,18-310,2006.0,1.9,0,2,0,0.0,1.06,0.0,0.0,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2
22,Akor Adams,NGA,FW,Sevilla,es  La Liga,25-041,2000.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
23,Akor Adams,NGA,FW,Montpellier,fr  Ligue 1,25-041,2000.0,11.9,3,26,12,46.2,2.18,1.0,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3
24,Che Adams,SCO,FW,Torino,it  Serie A,28-241,1996.0,20.3,8,43,20,46.5,2.12,0.99,0.19,0.4,16.6,0,0,0,5.2,5.2,0.12,2.8,2.8
25,Tyler Adams,USA,MF,Bournemouth,eng  Premier League,26-025,1999.0,13.0,0,6,1,16.7,0.46,0.08,0.0,0.0,18.7,0,0,0,1.2,1.2,0.19,-1.2,-1.2
26,Junior Adamu,AUT,FW,Freiburg,de  Bundesliga,23-278,2001.0,11.6,2,23,9,39.1,1.98,0.78,0.09,0.22,12.9,0,0,0,4.0,4.0,0.18,-2.0,-2.0
27,Tosin Adarabioyo,ENG,DF,Chelsea,eng  Premier League,27-168,1997.0,12.1,1,11,2,18.2,0.91,0.17,0.09,0.5,12.3,0,0,0,0.9,0.9,0.08,0.1,0.1
28,Martin Adeline,FRA,MF,Reims,fr  Ligue 1,21-099,2003.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
29,Karim Adeyemi,GER,"FW,MF",Dortmund,de  Bundesliga,23-052,2002.0,10.4,3,30,10,33.3,2.9,0.97,0.1,0.3,17.6,0,0,0,3.2,3.2,0.11,-0.2,-0.2
30,Simon Adingra,CIV,"FW,MF",Brighton,eng  Premier League,23-069,2002.0,6.9,2,16,5,31.3,2.33,0.73,0.13,0.4,16.8,0,0,0,1.5,1.5,0.09,0.5,0.5
31,Amine Adli,MAR,"MF,FW",Leverkusen,de  Bundesliga,24-305,2000.0,4.5,1,13,4,30.8,2.9,0.89,0.08,0.25,13.1,0,0,0,1.5,1.5,0.12,-0.5,-0.5
32,Yacine Adli,FRA,MF,Fiorentina,it  Serie A,24-225,2000.0,12.4,3,11,4,36.4,0.88,0.32,0.27,0.75,21.5,1,0,0,0.5,0.5,0.04,2.5,2.5
33,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987.0,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
34,Adryelson,BRA,DF,Lyon,fr  Ligue 1,26-353,1998.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
35,Vasilije Adžić,MNE,"MF,FW",Juventus,it  Serie A,18-303,2006.0,0.3,0,1,1,100.0,3.46,3.46,0.0,0.0,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0
36,Michel Aebischer,SUI,MF,Bologna,it  Serie A,28-064,1997.0,4.7,0,7,3,42.9,1.48,0.63,0.0,0.0,20.3,1,0,0,0.3,0.3,0.04,-0.3,-0.3
37,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,de  Bundesliga,27-027,1998.0,15.3,2,31,10,32.3,2.03,0.65,0.06,0.2,19.6,0,0,0,2.8,2.8,0.09,-0.8,-0.8
38,Emmanuel Agbadou,CIV,DF,Wolves,eng  Premier League,27-267,1997.0,5.7,0,2,1,50.0,0.35,0.18,0.0,0.0,35.3,0,0,0,0.0,0.0,0.02,0.0,0.0
39,Emmanuel Agbadou,CIV,DF,Reims,fr  Ligue 1,27-267,1997.0,14.0,0,15,3,20.0,1.07,0.21,0.0,0.0,28.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5
40,Asher Agbinone,ENG,MF,Crystal Palace,eng  Premier League,19-164,2005.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
41,Jeremy Agbonifo,SWE,"FW,MF",Lens,fr  Ligue 1,19-138,2005.0,1.6,1,3,2,66.7,1.84,1.22,0.33,0.5,13.0,0,0,0,0.5,0.5,0.17,0.5,0.5
42,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000.0,13.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
43,Lucien Agoume,FRA,MF,Sevilla,es  La Liga,23-030,2002.0,13.8,0,7,0,0.0,0.51,0.0,0.0,,14.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4
44,Felix Agu,GER,DF,Werder Bremen,de  Bundesliga,25-165,1999.0,11.0,2,3,3,100.0,0.27,0.27,0.67,0.67,12.9,0,0,0,0.7,0.7,0.22,1.3,1.3
45,Álvaro Aguado,ESP,MF,Espanyol,es  La Liga,28-314,1996.0,4.5,0,9,0,0.0,2.0,0.0,0.0,,23.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4
46,Lorenzo Aguado,ESP,DF,Real Madrid,es  La Liga,22-173,2002.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
47,Nayef Aguerd,MAR,DF,Real Sociedad,es  La Liga,28-346,1996.0,18.6,0,15,5,33.3,0.81,0.27,0.0,0.0,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4
48,Ruben Aguilar,FRA,DF,Lens,fr  Ligue 1,31-319,1993.0,6.8,1,4,2,50.0,0.58,0.29,0.25,0.5,15.2,0,0,0,0.3,0.3,0.07,0.7,0.7
49,Naouirou Ahamada,FRA,"MF,FW",Rennes,fr  Ligue 1,22-347,2002.0,0.6,0,1,0,0.0,1.55,0.0,0.0,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0
50,Honest Ahanor,ITA,DF,Genoa,it  Serie A,17-016,2008.0,0.9,0,1,0,0.0,1.06,0.0,0.0,,9.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
51,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,de  Bundesliga,23-148,2001.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
