Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Junior Adamu,at AUT,FW,Freiburg,23-278,2001,18,12,"1,043",11.6,2,1,3,2,0,0,3,1,4.0,4.0,1.4,5.4,6,7,56,0.17,0.09,0.26,0.17,0.26,0.34,0.12,0.47,0.34,0.47,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,23-052,2002,16,11,932,10.4,3,3,6,3,0,0,3,0,3.2,3.2,2.7,5.9,47,18,103,0.29,0.29,0.58,0.29,0.58,0.31,0.26,0.57,0.31,0.57,Matches
Amine Adli,ma MAR,"MF,FW",Leverkusen,24-305,2000,11,4,403,4.5,1,0,1,1,0,0,2,0,1.5,1.5,0.2,1.7,23,13,67,0.22,0.00,0.22,0.22,0.22,0.34,0.04,0.38,0.34,0.38,Matches
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,27-027,1998,24,14,"1,376",15.3,2,1,3,2,0,0,2,0,2.8,2.8,3.3,6.2,47,26,90,0.13,0.07,0.20,0.13,0.20,0.18,0.22,0.40,0.18,0.40,Matches
Felix Agu,de GER,DF,Werder Bremen,25-165,1999,13,12,990,11.0,2,0,2,2,0,0,1,0,0.7,0.7,0.9,1.5,19,19,74,0.18,0.00,0.18,0.18,0.18,0.06,0.08,0.14,0.06,0.14,Matches
Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,23-148,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-326,1995,24,17,"1,695",18.8,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,11,81,15,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Andreas Albers,dk DEN,FW,St. Pauli,34-353,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.45,0.00,1.45,1.45,1.45,0.90,0.14,1.04,0.90,1.04,Matches
Skelly Alvero,fr FRA,MF,Werder Bremen,22-311,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-223,2003,4,1,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32,Matches
Nadiem Amiri,de GER,MF,Mainz 05,28-135,1996,22,22,"1,756",19.5,6,3,9,4,2,2,6,2,4.1,2.5,5.1,7.6,36,142,48,0.31,0.15,0.46,0.21,0.36,0.21,0.26,0.47,0.13,0.39,Matches
Mohamed Amoura,dz ALG,FW,Wolfsburg,24-306,2000,23,22,"1,886",21.0,10,8,18,8,2,2,4,0,7.0,5.5,3.2,8.7,67,47,185,0.48,0.38,0.86,0.38,0.76,0.34,0.15,0.49,0.26,0.41,Matches
Robert Andrich,de GER,MF,Leverkusen,30-170,1994,17,15,"1,240",13.8,2,1,3,2,0,0,6,0,1.2,1.2,0.2,1.4,7,54,14,0.15,0.07,0.22,0.15,0.22,0.09,0.02,0.10,0.09,0.10,Matches
Waldemar Anton,de GER,DF,Dortmund,28-234,1996,17,13,"1,140",12.7,0,2,2,0,0,0,3,0,0.8,0.8,0.6,1.4,23,84,11,0.00,0.16,0.16,0.00,0.16,0.06,0.05,0.11,0.06,0.11,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,30-288,1994,21,20,"1,791",19.9,2,4,6,2,0,0,7,0,0.7,0.7,2.2,2.9,6,97,10,0.10,0.20,0.30,0.10,0.30,0.04,0.11,0.15,0.04,0.15,Matches
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,25-064,2000,19,3,643,7.1,2,0,2,1,1,2,5,1,3.5,2.0,0.9,2.9,12,19,55,0.28,0.00,0.28,0.14,0.14,0.49,0.13,0.62,0.27,0.40,Matches
Arthur,br BRA,"DF,FW",Leverkusen,21-359,2003,12,6,495,5.5,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,8,14,43,0.00,0.18,0.18,0.00,0.18,0.00,0.07,0.07,0.00,0.07,Matches
Noah Atubolu,de GER,GK,Freiburg,22-290,2002,22,22,"1,980",22.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ayman Azhil,ma MAR,MF,Dortmund,23-335,2001,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Adam Aznou,ma MAR,DF,Bayern Munich,18-282,2006,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,22-089,2002,5,0,91,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,1,5,0.00,0.00,0.00,0.00,0.00,0.18,0.17,0.35,0.18,0.35,Matches
Ridle Baku,de GER,"FW,MF",Wolfsburg,26-337,1998,15,14,"1,170",13.0,2,1,3,2,0,0,2,0,1.5,1.5,1.3,2.7,16,44,78,0.15,0.08,0.23,0.15,0.23,0.11,0.10,0.21,0.11,0.21,Matches
Ridle Baku,de GER,"DF,MF",RB Leipzig,26-337,1998,10,8,713,7.9,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.9,15,19,55,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Matches
Samuel Bamba,de GER,"FW,DF",Bochum,21-026,2004,4,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,6,0.00,0.00,0.00,0.00,0.00,0.43,0.20,0.62,0.43,0.62,Matches
Noahkai Banks,us USA,DF,Augsburg,18-100,2006,7,2,274,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Scott Banks,sct SCO,"FW,MF",St. Pauli,23-166,2001,11,0,101,1.1,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,1,8,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches
Aymen Barkok,ma MAR,MF,Mainz 05,26-294,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
Michy Batshuayi,be BEL,"FW,DF",Eint Frankfurt,31-160,1993,4,2,151,1.7,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.6,1,5,8,0.60,0.00,0.60,0.60,0.60,0.31,0.03,0.33,0.31,0.33,Matches
Maximilian Bauer,de GER,DF,Augsburg,25-030,2000,11,8,658,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,30,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
Oliver Baumann,de GER,GK,Hoffenheim,34-282,1990,20,20,"1,800",20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.8,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Christoph Baumgartner,at AUT,MF,RB Leipzig,25-222,1999,23,13,"1,160",12.9,2,1,3,2,0,0,5,0,2.7,2.7,1.1,3.8,22,31,65,0.16,0.08,0.23,0.16,0.23,0.21,0.08,0.29,0.21,0.29,Matches
Adrian Beck,de GER,"MF,FW",Heidenheim,27-275,1997,23,9,861,9.6,2,1,3,2,0,0,0,0,2.0,2.0,0.9,2.9,13,37,48,0.21,0.10,0.31,0.21,0.31,0.21,0.09,0.30,0.21,0.30,Matches
Timo Becker,de GER,DF,Holstein Kiel,27-351,1997,21,20,"1,718",19.1,0,2,2,0,0,0,1,0,1.2,1.2,0.8,2.0,21,40,32,0.00,0.10,0.10,0.00,0.10,0.06,0.04,0.11,0.06,0.11,Matches
Hannes Behrens,de GER,DF,Hoffenheim,,,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Behrens,de GER,FW,Wolfsburg,34-036,1991,14,0,132,1.5,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,2,2,15,0.68,0.00,0.68,0.68,0.68,0.86,0.05,0.91,0.86,0.91,Matches
