Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Max Aarons,eng ENG,MF,Valencia,25-066,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo Abajas,es ESP,DF,Valencia,21-303,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
Abel,es ESP,DF,Osasuna,24-202,2000,25,14,"1,478",16.4,2,0,2,2,0,0,2,0,0.4,0.4,0.7,1.1,37,56,57,0.12,0.00,0.12,0.12,0.12,0.02,0.04,0.07,0.02,0.07,Matches
Nabil Aberdin,fr FRA,MF,Getafe,22-200,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Abdel Abqar,ma MAR,DF,Alavés,26-001,1999,25,25,"2,118",23.5,0,1,1,0,0,0,12,0,0.8,0.8,0.2,1.0,15,76,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,Matches
Akor Adams,ng NGA,FW,Sevilla,25-041,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Adrián,es ESP,GK,Betis,38-067,1987,8,8,720,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Julen Agirrezabala,es ESP,GK,Athletic Club,24-075,2000,14,14,"1,206",13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lucien Agoume,fr FRA,MF,Sevilla,23-030,2002,25,14,"1,246",13.8,0,0,0,0,0,0,3,1,0.4,0.4,0.6,1.0,15,62,13,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
Álvaro Aguado,es ESP,MF,Espanyol,28-314,1996,11,4,406,4.5,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.5,9,25,2,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches
Lorenzo Aguado,es ESP,DF,Real Madrid,22-173,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nayef Aguerd,ma MAR,DF,Real Sociedad,28-346,1996,20,20,"1,670",18.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,71,1,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,Matches
Joseph Aidoo,gh GHA,DF,Valladolid,29-163,1995,3,3,244,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,29-163,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,20-329,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.00,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,Matches
David Alaba,at AUT,DF,Real Madrid,32-260,1992,5,3,258,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Raúl Albiol,es ESP,DF,Villarreal,39-188,1985,15,14,"1,188",13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Omar Alderete,py PAR,DF,Getafe,28-075,1996,24,24,"2,136",23.7,0,0,0,0,0,0,7,0,0.7,0.7,0.9,1.6,23,83,5,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,27-065,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,10,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
Carles Aleñá,es ESP,"MF,FW",Alavés,27-065,1998,4,4,356,4.0,0,2,2,0,0,0,1,0,0.4,0.4,0.6,0.9,10,26,13,0.00,0.51,0.51,0.00,0.51,0.09,0.14,0.23,0.09,0.23,Matches
Alfon,es ESP,"FW,MF",Celta Vigo,25-311,1999,16,6,683,7.6,2,2,4,2,0,0,0,1,3.3,3.3,1.9,5.2,46,12,80,0.26,0.26,0.53,0.26,0.53,0.43,0.25,0.69,0.43,0.69,Matches
Tadeo Allende,ar ARG,FW,Celta Vigo,26-019,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24-285,2000,24,15,"1,327",14.7,0,1,1,0,0,0,1,0,0.5,0.5,1.8,2.3,29,93,55,0.00,0.07,0.07,0.00,0.07,0.03,0.13,0.16,0.03,0.16,Matches
Iker Almena,es ESP,"FW,DF",Girona,20-311,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Matches
Marcos Alonso,es ESP,DF,Celta Vigo,34-073,1990,21,19,"1,800",20.0,1,0,1,0,1,1,8,1,1.5,0.7,0.6,1.3,36,138,35,0.05,0.00,0.05,0.00,0.00,0.08,0.03,0.11,0.04,0.07,Matches
Adrià Altimira,es ESP,"DF,FW",Leganés,23-348,2001,15,12,"1,082",12.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,14,31,33,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Sergi Altimira,es ESP,MF,Betis,23-198,2001,23,16,"1,508",16.8,0,1,1,0,0,0,3,0,1.6,1.5,1.5,3.0,17,75,23,0.00,0.06,0.06,0.00,0.06,0.10,0.09,0.18,0.09,0.18,Matches
Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21-252,2003,22,14,"1,387",15.4,4,2,6,4,0,0,5,0,2.3,2.3,0.8,3.1,66,48,143,0.26,0.13,0.39,0.26,0.39,0.15,0.05,0.20,0.15,0.20,Matches
Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,25-039,2000,27,21,"1,758",19.5,10,2,12,9,1,1,4,0,8.1,7.3,2.9,10.3,57,54,118,0.51,0.10,0.61,0.46,0.56,0.42,0.15,0.57,0.38,0.53,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,30-046,1995,16,15,"1,331",14.8,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,18,93,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
Selim Amallah,ma MAR,MF,Valladolid,28-116,1996,18,13,"1,047",11.6,3,1,4,2,1,1,5,0,2.7,1.9,0.6,2.5,22,38,17,0.26,0.09,0.34,0.17,0.26,0.23,0.05,0.28,0.17,0.21,Matches
Amath,sn SEN,"FW,DF",Valladolid,28-238,1996,9,5,316,3.5,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,7,11,21,0.00,0.28,0.28,0.00,0.28,0.10,0.06,0.16,0.10,0.16,Matches
Marcos André,br BRA,FW,Valladolid,28-142,1996,19,14,"1,156",12.8,1,2,3,1,0,0,5,0,2.2,2.2,0.8,3.0,11,16,38,0.08,0.16,0.23,0.08,0.23,0.17,0.07,0.24,0.17,0.24,Matches
Leandro Antonetti,pr PUR,FW,Sevilla,22-057,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,Matches
Antoniu,es ESP,"MF,FW",Espanyol,22-187,2002,15,6,485,5.4,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,17,11,34,0.00,0.19,0.19,0.00,0.19,0.11,0.18,0.29,0.11,0.29,Matches
Antony,br BRA,FW,Betis,25-015,2000,6,6,501,5.6,2,2,4,2,0,0,1,1,0.7,0.7,1.9,2.5,19,22,51,0.36,0.36,0.72,0.36,0.72,0.12,0.34,0.46,0.12,0.46,Matches
