Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Max Aarons,eng ENG,DF,Bournemouth,25-066,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joshua Acheampong,eng ENG,DF,Chelsea,18-310,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Tyler Adams,us USA,MF,Bournemouth,26-025,1999,18,12,"1,167",13.0,0,3,3,0,0,0,4,0,1.2,1.2,0.7,1.9,7,45,5,0.00,0.23,0.23,0.00,0.23,0.09,0.06,0.15,0.09,0.15,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-168,1997,15,11,"1,086",12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,5,30,1,0.08,0.08,0.17,0.08,0.17,0.07,0.02,0.09,0.07,0.09,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,23-069,2002,19,6,617,6.9,2,1,3,2,0,0,0,0,1.5,1.5,1.1,2.6,23,10,81,0.29,0.15,0.44,0.29,0.44,0.22,0.16,0.38,0.22,0.38,Matches
Emmanuel Agbadou,ci CIV,DF,Wolves,27-267,1997,6,6,510,5.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,14,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Asher Agbinone,eng ENG,MF,Crystal Palace,19-164,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,28-154,1996,28,28,"2,441",27.1,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,52,89,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-278,2001,27,27,"2,302",25.6,3,5,8,3,0,0,6,1,1.9,1.9,2.6,4.4,61,88,135,0.12,0.20,0.31,0.12,0.31,0.07,0.10,0.17,0.07,0.17,Matches
Kristoffer Ajer,no NOR,DF,Brentford,26-328,1998,15,14,"1,134",12.6,0,0,0,0,0,0,4,0,0.7,0.7,1.0,1.7,24,45,33,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.13,0.06,0.13,Matches
Manuel Akanji,ch SUI,DF,Manchester City,29-235,1995,20,20,"1,707",19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
