Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
James Abankwah,ie IRL,"DF,MF",Udinese,21-054,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Saud Abdulhamid,sa KSA,DF,Roma,25-236,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09,Matches
Oliver Abildgaard,dk DEN,MF,Como,28-274,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tammy Abraham,eng ENG,FW,Roma,27-160,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tammy Abraham,eng ENG,FW,Milan,27-160,1997,22,9,955,10.6,2,2,4,1,1,2,1,0,6.1,4.4,1.3,5.7,5,19,52,0.19,0.19,0.38,0.09,0.28,0.57,0.12,0.69,0.42,0.53,Matches
Federico Accornero,it ITA,MF,Genoa,21-034,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Francesco Acerbi,it ITA,DF,Inter,37-029,1988,14,14,"1,120",12.4,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,9,44,13,0.00,0.08,0.08,0.00,0.08,0.03,0.04,0.06,0.03,0.06,Matches
Che Adams,sct SCO,FW,Torino,28-241,1996,26,21,"1,823",20.3,8,3,11,8,0,0,2,0,5.2,5.2,1.8,7.0,18,27,109,0.39,0.15,0.54,0.39,0.54,0.26,0.09,0.35,0.26,0.35,Matches
Yacine Adli,fr FRA,MF,Fiorentina,24-225,2000,20,14,"1,120",12.4,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6,22,96,23,0.24,0.32,0.56,0.24,0.56,0.04,0.17,0.21,0.04,0.21,Matches
Vasilije Adžić,me MNE,"MF,FW",Juventus,18-303,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Michel Aebischer,ch SUI,MF,Bologna,28-064,1997,9,5,427,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,23,10,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
Honest Ahanor,it ITA,DF,Genoa,17-016,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Junior Ajayi,ci CIV,FW,Hellas Verona,20-151,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,32-151,1992,4,3,228,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
David Akpan Ankeye,ng NGA,"FW,MF",Genoa,23-025,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Faride Alidou,de GER,"FW,MF",Hellas Verona,23-236,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Pontus Almqvist,se SWE,"FW,MF",Parma,25-244,1999,25,7,924,10.3,1,1,2,1,0,0,4,0,1.7,1.7,1.3,3.0,40,12,78,0.10,0.10,0.19,0.10,0.19,0.16,0.13,0.29,0.16,0.29,Matches
Giorgio Altare,it ITA,DF,Venezia,26-214,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,28-202,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Angeliño,es ESP,DF,Roma,28-066,1997,28,26,"2,277",25.3,2,1,3,2,0,0,1,0,0.6,0.6,2.2,2.8,45,136,117,0.08,0.04,0.12,0.08,0.12,0.02,0.09,0.11,0.02,0.11,Matches
Lorenzo Anghelè,it ITA,FW,Juventus,20-013,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Faustino Anjorin,eng ENG,MF,Empoli,23-108,2001,17,13,983,10.9,0,3,3,0,0,0,2,0,0.8,0.8,1.6,2.4,27,50,30,0.00,0.27,0.27,0.00,0.27,0.07,0.15,0.22,0.07,0.22,Matches
Marko Arnautović,at AUT,FW,Inter,35-326,1989,10,1,239,2.7,2,1,3,2,0,0,1,0,1.9,1.9,0.5,2.4,2,8,35,0.75,0.38,1.13,0.75,1.13,0.72,0.18,0.89,0.72,0.89,Matches
Kristjan Asllani,al ALB,MF,Inter,23-002,2002,15,6,603,6.7,0,2,2,0,0,0,3,0,0.8,0.8,1.6,2.4,7,43,17,0.00,0.30,0.30,0.00,0.30,0.12,0.24,0.36,0.12,0.36,Matches
Arthur Atta,fr FRA,"MF,FW",Udinese,22-056,2003,18,3,517,5.7,0,1,1,0,0,0,2,0,0.7,0.7,0.6,1.3,11,24,36,0.00,0.17,0.17,0.00,0.17,0.12,0.11,0.23,0.12,0.23,Matches
Emil Audero,it ITA,GK,Como,28-052,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tommaso Augello,it ITA,"DF,FW",Cagliari,30-193,1994,28,21,"1,907",21.2,0,4,4,0,0,0,2,0,0.2,0.2,3.7,3.9,47,83,89,0.00,0.19,0.19,0.00,0.19,0.01,0.17,0.19,0.01,0.19,Matches
