Rank,Player,Value
1.0,Nicolai Remberg  •  Holstein Kiel,2
,Marco Friedl  •  Werder Bremen,2
,Stanley N'Soki  •  Hoffenheim,2
4.0,Tuta  •  Eint Frankfurt,1
,Angelo Stiller  •  Stuttgart,1
,Nico Elvedi  •  Gladbach,1
,Stefan Lainer  •  Gladbach,1
,Waldemar Anton  •  Dortmund,1
,Jakub Kamiński  •  Wolfsburg,1
,Philipp Treu  •  St. Pauli,1
,Edmond Tapsoba  •  Leverkusen,1
,Nordi Mukiele  •  Leverkusen,1
,Diogo Leite  •  Union Berlin,1
,Kauã Santos  •  Eint Frankfurt,1
,Felix Agu  •  Werder Bremen,1
,Chrislain Matsima  •  Augsburg,1
,Granit Xhaka  •  Leverkusen,1
,Noahkai Banks  •  Augsburg,1
