Rank,Player,Value
1.0,Marco Friedl  •  Werder Bremen,2
,Nadiem Amiri  •  Mainz 05,2
,Nico Schlotterbeck  •  Dortmund,2
,Willi Orban  •  RB Leipzig,2
5.0,Niklas Dorsch  •  2 squads,1
,Junior Adamu  •  Freiburg,1
,Loïs Openda  •  RB Leipzig,1
,Pascal Groß  •  Dortmund,1
,Tom Rothe  •  Union Berlin,1
,Ameen Al-Dakhil  •  Stuttgart,1
,Patrick Osterhage  •  Freiburg,1
,Emre Can  •  Dortmund,1
,João Palhinha  •  Bayern Munich,1
,Arthur Theate  •  Eint Frankfurt,1
,Niklas Stark  •  Werder Bremen,1
,Keven Schlotterbeck  •  Augsburg,1
,Julian Chabot  •  Stuttgart,1
,Álex Grimaldo  •  Leverkusen,1
,Leo Skiri Østigård  •  Hoffenheim,1
,Jann-Fiete Arp  •  Holstein Kiel,1
,Jonas Omlin  •  Gladbach,1
,Patrick Wimmer  •  Wolfsburg,1
,Benjamin Šeško  •  RB Leipzig,1
,Almugera Kabar  •  Dortmund,1
,Leonidas Stergiou  •  Stuttgart,1
,Dominik Kohr  •  Mainz 05,1
,Tim Kleindienst  •  Gladbach,1
,Tomáš Čvančara  •  Gladbach,1
,Cedric Zesiger  •  2 squads,1
,Andreas Hanche-Olsen  •  Mainz 05,1
,Mitchell Weiser  •  Werder Bremen,1
,Samuel Essende  •  Augsburg,1
,Lewis Holtby  •  Holstein Kiel,1
,Atakan Karazor  •  Stuttgart,1
,Andu Kelati  •  Holstein Kiel,1
,Stanley N'Soki  •  Hoffenheim,1
,Yannick Gerhardt  •  Wolfsburg,1
,Adam Dźwigała  •  St. Pauli,1
,Koji Miyoshi  •  Bochum,1
,Julian Ryerson  •  Dortmund,1
