Rank,Player,Value
1.0,Dominik Kohr  •  Mainz 05,10
,Cedric Zesiger  •  2 squads,10
3.0,Jeffrey Gouweleeuw  •  Augsburg,9
,Atakan Karazor  •  Stuttgart,9
,Nicolai Remberg  •  Holstein Kiel,9
,Julian Chabot  •  Stuttgart,9
,Matúš Bero  •  Bochum,9
8.0,Senne Lynen  •  Werder Bremen,8
,Ibrahima Sissoko  •  Bochum,8
,Elvis Rexhbeçaj  •  Augsburg,8
,Jens Stage  •  Werder Bremen,8
,Tuta  •  Eint Frankfurt,8
,Benedikt Gimber  •  Heidenheim,8
,Maximilian Wittek  •  Bochum,8
,Enzo Millot  •  Stuttgart,8
,Marco Friedl  •  Werder Bremen,8
