Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
1,Bayern Munich,14,12,1,1,46,14,32,37,2.64,41.5,9.1,32.4,2.32,14,9,4,1,35,13,22,31,2.21,28.1,10.3,17.8
2,Leverkusen,14,9,3,2,32,18,14,30,2.14,28.9,14.0,14.9,1.06,14,9,5,0,31,16,15,32,2.29,21.9,14.9,7.0
3,Eint Frankfurt,14,8,3,3,32,20,12,27,1.93,29.3,16.3,13.1,0.94,14,6,3,5,23,22,1,21,1.5,23.8,25.9,-2.1
4,Mainz 05,14,6,5,3,19,13,6,23,1.64,19.8,15.6,4.2,0.3,14,7,2,5,27,19,8,23,1.64,19.8,24.7,-4.9
5,RB Leipzig,14,8,4,2,27,16,11,28,2.0,22.3,19.1,3.1,0.22,14,4,5,5,17,19,-2,17,1.21,16.7,23.5,-6.8
6,Gladbach,14,7,2,5,24,19,5,23,1.64,23.2,23.3,-0.2,-0.01,14,6,3,5,21,22,-1,21,1.5,19.7,27.5,-7.7
7,Freiburg,14,8,2,4,26,19,7,26,1.86,19.7,17.1,2.6,0.19,14,4,4,6,12,25,-13,16,1.14,16.9,19.5,-2.6
8,Dortmund,14,8,3,3,34,17,17,27,1.93,26.9,13.4,13.6,0.97,14,4,2,8,18,26,-8,14,1.0,22.5,20.9,1.6
9,Stuttgart,14,6,2,6,30,24,6,20,1.43,28.7,18.6,10.1,0.72,14,5,5,4,21,20,1,20,1.43,20.0,23.2,-3.2
10,Werder Bremen,14,4,4,6,20,26,-6,16,1.14,20.4,18.9,1.5,0.11,14,7,2,5,25,27,-2,23,1.64,18.5,21.5,-3.0
11,Augsburg,14,6,4,4,16,15,1,22,1.57,16.2,14.7,1.5,0.11,14,4,5,5,15,24,-9,17,1.21,10.5,23.1,-12.6
12,Wolfsburg,14,3,6,5,23,24,-1,15,1.07,22.1,21.4,0.7,0.05,14,7,2,5,26,18,8,23,1.64,18.5,20.7,-2.2
13,Union Berlin,14,5,4,5,12,14,-2,19,1.36,18.3,16.5,1.7,0.12,14,4,2,8,14,26,-12,14,1.0,13.9,23.6,-9.7
14,Hoffenheim,14,3,5,6,21,29,-8,14,1.0,23.9,25.0,-1.1,-0.08,14,3,4,7,13,23,-10,13,0.93,10.8,21.9,-11.0
15,St. Pauli,14,3,4,7,9,15,-6,13,0.93,15.0,13.5,1.5,0.11,14,4,1,9,14,19,-5,13,0.93,15.3,23.8,-8.5
16,Heidenheim,14,3,1,10,12,25,-13,10,0.71,17.7,21.7,-4.0,-0.28,14,3,3,8,20,28,-8,12,0.86,16.7,23.4,-6.6
17,Bochum,14,3,3,8,13,26,-13,12,0.86,18.1,25.0,-6.9,-0.49,14,2,2,10,15,33,-18,8,0.57,15.3,32.1,-16.8
18,Holstein Kiel,14,3,2,9,18,34,-16,11,0.79,14.8,22.8,-8.1,-0.58,14,1,4,9,21,34,-13,7,0.5,16.8,26.3,-9.5
